a01	stime_h_vx4	stime_m_vx4	res_id_vx4	consent_vx4	v1_01	pid_v1	mid_v1	v1_02	v1_03	v1_04	v1_05	v1_06	v1_07	v1_08	v1_09	v1_10	v1_11	v1_15	v1_16	v1_12	v1_13	v1_14	hhid2	del	hh_type	round
1244.0	15	25	1	1	1	81	3	3	0	6	21	1	10	13	1	64		1		1	2	1	"1244"		3	3.0
1245.0	12	35	5	1	2																		"1245"		3	3.0
1246.1	14	0	1	1	2																		"1246.1"		3	3.0
1246.2	14	0	3	1	2																		"1246.2"		3	3.0
1247.0	15	39	1	1	1	81	3	3	4	1	20	1	74	13	1	45		1		2	1	2	"1247"		3	3.0
1248.0	14	35	2	1	2																		"1248"		3	3.0
1249.0	11	45	1	1	2																		"1249"		3	3.0
1250.0	17	37	1	1	2																		"1250"		3	3.0
1253.0	16	28	1	1	2																		"1253"		3	3.0
1254.0	15	34	3	1	2																		"1254"		3	3.0
1255.0	16	40	1	1	2																		"1255"		3	3.0
1256.0	15	46	5	1	1	81	1	3	0	5	38	1	99	13	1	1		1		1	1	1	"1256"		3	3.0
1257.0	17	14	2	1	2																		"1257"		3	3.0
1258.0	17	5	2	1	1	81	1	2	0	6	26	1	99	13	2		41	1		1	1	1	"1258"		3	3.0
1259.0	17	20	1	1	2																		"1259"		3	3.0
1260.0	15	45	1	1	2																		"1260"		3	3.0
1261.0	15	40	2	1	2																		"1261"		3	3.0
1262.0	16	15	1	1	2																		"1262"		3	3.0
1263.0	15	20	6	1	1	81	1	3	5	2	40	1	2	22	1	1		2	1	1	2	1	"1263"		3	3.0
1263.0			6	1	1	82	2	4	3	4	33	2	4	13	1	1		2	1	1	2	1	"1263"		3	3.0
1264.0	14	51	2	1	2																		"1264"		3	3.0
1265.0	13	10	2	1	2																		"1265"		3	3.0
1266.0	14	12	2	1	2																		"1266"		3	3.0
1267.0	13	5	1	1	2																		"1267"		3	3.0
1268.0	15	15	2	1	2																		"1268"		3	3.0
1269.0	15	15	2	1	2																		"1269"		3	3.0
1270.0	16	25	1	1	2																		"1270"		3	3.0
1271.0	15	0	1	1	2																		"1271"		3	3.0
1272.0	12	15	1	1	2																		"1272"		3	3.0
1273.0	16	10	2	1	2																		"1273"		3	3.0
1274.11	16	44	7	1	2																		"1274.1.1"		3	3.0
1274.12	13	51	1	1	2																		"1274.1.2"		3	3.0
1274.2	16	42	3	1	2																		"1274.2"		3	3.0
1275.0	15	15	2	1	2																		"1275"		3	3.0
1276.1	16	51	1	1	2																		"1276.1"		3	3.0
1276.2	16	0	4	1	2																		"1276.2"		3	3.0
1277.0	13	33	1	1	2																		"1277"		3	3.0
1278.0	16	10	1	1	2																		"1278"		3	3.0
1279.0	16	30	1	1	2																		"1279"		3	3.0
1280.0	17	20	1	1	2																		"1280"		3	3.0
1281.0	14	8	1	1	2																		"1281"		3	3.0
1282.0	15	3	1	1	2																		"1282"		3	3.0
1283.0	14	30	3	1	2																		"1283"		3	3.0
1284.0	8	1	1	1	2																		"1284"		3	3.0
1285.0	18	5	1	1	1	81	3	3	0	10	24	1	15	13	1	1		1		1	2	1	"1285"		3	3.0
1285.0			1	1	1	82	4	3	0	8	21	1	12	13	1	1		1		1	2	1	"1285"		3	3.0
1286.0	13	30	1	1	2																		"1286"		3	3.0
1287.0	15	55	1	1	2																		"1287"		3	3.0
1288.0	15	40	1	1	2																		"1288"		3	3.0
1289.0	14	45	1	1	2																		"1289"		3	3.0
1290.0	16	4	1	1	2																		"1290"		3	3.0
1291.0	17	35	1	1	2																		"1291"		3	3.0
1292.0	18	29	1	1	1	81	2	3	3	2	26	1	5	13	1	1		1		1	1	1	"1292"		3	3.0
1293.0	14	24	1	1	1	81	3	3	4	2	29	1	9	13	1	1		1		1	2	1	"1293"		3	3.0
1295.0	15	46	1	1	2																		"1295"		3	3.0
1296.0	14	40	1	1	2																		"1296"		3	3.0
1297.0	20	25	1	1	2																		"1297"		3	3.0
1298.1	14	23	1	1	2																		"1298.1"		3	3.0
1298.2	13	40	6	1	2																		"1298.2"		3	3.0
1299.0	8	35	1	1	2																		"1299"		3	3.0
1300.1	14	18	1	1	2																		"1300.1"		3	3.0
1300.2	12	56	5	1	2																		"1300.2"		3	3.0
1301.1	11	7	1	1	2																		"1301.1"		3	3.0
1301.2	14	5	3	1	2																		"1301.2"		3	3.0
1302.0	18	41	2	1	2																		"1302"		3	3.0
1303.1	14	25	1	1	2																		"1303.1"		3	3.0
1303.2	16	0	5	1	2																		"1303.2"		3	3.0
1304.0	14	58	1	1	2																		"1304"		3	3.0
1305.1	14	40	9	1	2																		"1305.1"		3	3.0
1305.2	13	50	3	1	2																		"1305.2"		3	3.0
1306.0	17	36	1	1	2																		"1306"		3	3.0
1307.1	17	30	3	1	2																		"1307.1"		3	3.0
1307.2	16	40	7	1	2																		"1307.2"		3	3.0
1307.3	15	31	10	1	2																		"1307.3"		3	3.0
1308.0	19	2	1	1	2																		"1308"		3	3.0
1309.11	15	20	1	1	2																		"1309.1.1"		3	3.0
1309.12	15	20	6	1	2																		"1309.1.2"		3	3.0
1309.2	13	23	3	1	2																		"1309.2"		3	3.0
1310.0	14	43	1	1	2																		"1310"		3	3.0
1311.0	17	30	4	1	2																		"1311"		3	3.0
1312.0	10	25	1	1	2																		"1312"		3	3.0
1313.0	15	28	1	1	2																		"1313"		3	3.0
1314.0	12	40	1	1	2																		"1314"		3	3.0
1315.0	12	20	1	1	2																		"1315"		3	3.0
1316.0	11	32	1	1	2																		"1316"		3	3.0
1317.0	11	34	1	1	2																		"1317"		3	3.0
1318.0	13	10	1	1	2																		"1318"		3	3.0
1319.0	17	54	2	1	2																		"1319"		3	3.0
1320.0	12	32	1	1	2																		"1320"		3	3.0
1321.0	14	30	5	1	1	81	3	3	0	6	20	1	6	22	1	1		1		8	1	1	"1321"		3	3.0
1321.0			5	1	1	82	1	2	0	1	48	1	99	22	1	1		1		8	1	2	"1321"		3	3.0
1322.0	14	25	1	1	2																		"1322"		3	3.0
1323.0	12	15	1	1	2																		"1323"		3	3.0
1324.0	13	5	4	1	2																		"1324"		3	3.0
1325.0	13	24	4	1	2																		"1325"		3	3.0
1326.0	12	0	1	1	2																		"1326"		3	3.0
1327.0	15	55	1	1	1	81	4	3	3	0	21	2	72	13	1	1		1		1	1	1	"1327"		3	3.0
1327.0			1	1	1	82	5	3	0	1	18	2	12	81	1	51		1		2	1	2	"1327"		3	3.0
1328.0	15	22	2	1	2																		"1328"		3	3.0
1329.0	13	24	1	1	2																		"1329"		3	3.0
1330.0	12	42	1	1	2																		"1330"		3	3.0
1331.1	12	15	6	1	1	81	1	2	0	6	46	1	2	22	1	52		1		1	1	2	"1331.1"		3	3.0
1331.2	13	10	5	1	2																		"1331.2"		3	3.0
1332.1	14	10	1	1	2																		"1332.1"		3	3.0
1332.2	14	20	2	1	2																		"1332.2"		3	3.0
1333.0	13	55	1	1	2																		"1333"		3	3.0
1334.0	14	40	2	1	2																		"1334"		3	3.0
1335.0	16	25	2	1	2																		"1335"		3	3.0
1336.0	20	50	1	1	1	81	3	3	0	11	16	1	10	81	1	34		1		2	2	2	"1336"		3	3.0
1337.0	13	50	1	1	2																		"1337"		3	3.0
1338.0	12	32	1	1	2																		"1338"		3	3.0
1339.0	14	40	2	1	1	81	1	2	2	4	50	1	99	37	1	1		1		8	1	1	"1339"		3	3.0
1340.1	14	25	1	1	2																		"1340.1"		3	3.0
1340.2	13	18	4	1	2																		"1340.2"		3	3.0
1341.0	16	58	3	1	2																		"1341"		2	3.0
1342.0	15	18	1	1	2																		"1342"		2	3.0
1343.0	15	31	1	1	1	81	3	3	2	6	21	1	6	37	2		29	1		1	7	1	"1343"		2	3.0
1344.0	14	24	5	1	1	81	2	3	2	7	10	1	1	81	1	7		1		2	3	2	"1344"		2	3.0
1345.0	12	7	1	1	2																		"1345"		2	3.0
1346.0	13	36	1	1	2																		"1346"		2	3.0
1347.0	14	50	2	1	1	81	1	2	0	5	47	1	99	50	2		41	1		1	5	1	"1347"		2	3.0
1347.0			2	1	1	82	3	3	0	10	21	1	6	21	2		20	1		1	5	1	"1347"		2	3.0
1348.1	17	16	1	1	1	81	7	3	2	2	24	1	2	21	1	1		1		1	3	1	"1348.1"		2	3.0
1348.1			1	1	1	82	8	3	2	2	22	1	2	21	2		29	3	1	1	5	1	"1348.1"		2	3.0
1348.2	18	0	4	1	2																		"1348.2"		2	3.0
1349.0	13	33	1	1	2																		"1349"		2	3.0
1350.0	15	55	1	1	1	81	3	3	0	10	16	1	2	21	1	7		1		1	1	1	"1350"		2	3.0
1351.0	16	19	1	1	1	81	3	11	1	1	14	2	5	81	1	7		1		2	3	2	"1351"		2	3.0
1351.0			1	1	1	82	4	10	2	4	43	2	99	82	1	1		1		9	3	2	"1351"		2	3.0
1352.0	14	11	1	1	1	81	3	3	2	7	9	2	2	81	1	7		1		2	3	2	"1352"		2	3.0
1352.0			1	1	1	82	7	12	0	5	22	2	99	82	1	18		1		1	4	2	"1352"		2	3.0
1353.0	15	41	1	1	2																		"1353"		2	3.0
1354.0	13	34	2	1	2																		"1354"		2	3.0
1355.0	13	5	2	1	2																		"1355"		2	3.0
1356.0	13	30	1	1	2																		"1356"		2	3.0
1357.0	12	6	2	1	1	81	3	3	3	1	17	2	8	82	1	7		1		3	3	2	"1357"		2	3.0
1358.0	13	51	1	1	2																		"1358"		2	3.0
1359.0	14	24	1	1	1	81	3	3	0	2	15	2	7	82	1	7		1		3	10	2	"1359"		2	3.0
1360.1	14	11	1	1	2																		"1360.1"		2	3.0
1360.2	14	49	3	1	2																		"1360.2"		2	3.0
1361.0	12	56	1	1	2																		"1361"		2	3.0
1362.0	13	58	1	1	2																		"1362"		2	3.0
1363.0	15	56	1	1	1	81	3	3	1	3	23	1	10	13	2		29	2	2	1	2	2	"1363"		2	3.0
1363.0			1	1	1	82	4	3	0	6	18	1	8	13	1	18		1		1	1	2	"1363"		2	3.0
1364.0	12	55	5	1	1	81	1	2	2	6	40	1	8	21	1	1		1		1	1	1	"1364"		2	3.0
1365.0	12	48	3	1	2																		"1365"		2	3.0
1366.0	13	28	2	1	2																		"1366"		2	3.0
1367.1	12	38	9	1	2																		"1367.1"		2	3.0
1367.2	17	46	3	1	2																		"1367.2"		2	3.0
1368.0	10	36	1	1	2																		"1368"		2	3.0
1369.0	12	21	1	1	1	81	3	3	1	6	36	1	9	24	1	7		4		8	1	1	"1369"		2	3.0
1370.0	13	21	2	1	1	81	4	3	2	3	19	1	5	21	1	18		1		1	3	1	"1370"		2	3.0
1371.0	13	53	4	1	2																		"1371"		2	3.0
1373.0	12	33	1	1	2																		"1373"		2	3.0
1374.0	12	38	1	1	2																		"1374"		2	3.0
1375.0	14	15	2	1	1	81	1	2	2	5	40	1	2	23	1	1		1		1	1	1	"1375"		2	3.0
1376.0	12	30	1	1	2																		"1376"		2	3.0
1377.0	12	17	4	1	2																		"1377"		2	3.0
1378.0	15	8	1	1	2																		"1378"		2	3.0
1379.0	16	31	1	1	1	81	2	3	4	2	25	1	15	12	1	34		4		1	1	1	"1379"		2	3.0
1380.0	12	20	1	1	2																		"1380"		2	3.0
1382.0	9	30	1	1	2																		"1382"		2	3.0
1383.0	12	0	2	1	2																		"1383"		2	3.0
1384.0	14	35	1	1	2																		"1384"		2	3.0
1385.0	14	19	4	1	2																		"1385"		2	3.0
1386.0	16	31	1	1	2																		"1386"		2	3.0
1387.0	13	35	1	1	2																		"1387"		2	3.0
1388.0	14	41	1	1	2																		"1388"		2	3.0
1389.0	15	27	1	1	2																		"1389"		2	3.0
1390.0	14	5	1	1	1	81	4	3	2	6	17	1	7	13	1	7		1		1	1	1	"1390"		2	3.0
1391.0	12	56	1	1	2																		"1391"		2	3.0
1392.0	16	25	2	1	2																		"1392"		2	3.0
1393.1	12	40	1	1	2																		"1393.1"		2	3.0
1393.2	13	32	4	1	2																		"1393.2"		2	3.0
1393.3	15	50	8	1	2																		"1393.3"		2	3.0
1394.1	13	8	1	1	2																		"1394.1"		2	3.0
1394.2	16	5	6	1	2																		"1394.2"		2	3.0
1395.0	15	22	1	1	2																		"1395"		2	3.0
1396.0	13	16	1	1	2																		"1396"		2	3.0
1397.0	13	27	1	1	2																		"1397"		2	3.0
1398.0	13	51	1	1	2																		"1398"		2	3.0
1399.0	14	54	1	1	2																		"1399"		2	3.0
1400.0	15	36	3	1	2																		"1400"		2	3.0
1401.0	15	18	2	1	2																		"1401"		2	3.0
1402.0	10	15	3	1	2																		"1402"		2	3.0
1403.0	12	16	1	1	2																		"1403"		2	3.0
1404.0	14	27	1	1	1	81	2	3	1	3	15	1	4	21	1	8		1		1	1	1	"1404"		2	3.0
1405.0	12	41	9	1	2																		"1405"		2	3.0
1406.0	14	52	1	1	2																		"1406"		2	3.0
1407.0	16	27	1	1	2																		"1407"		2	3.0
1408.1	15	12	1	1	2																		"1408.1"		2	3.0
1408.2	10	6	4	1	2																		"1408.2"		2	3.0
1410.0	11	55	2	1	2																		"1410"		2	3.0
1411.1	11	13	2	1	2																		"1411.1"		2	3.0
1411.2	16	45	5	1	2																		"1411.2"		2	3.0
1413.0	10	35	1	1	1	81	3	2	0	7	50	1	99	3	1	7		1		1	1	2	"1413"		2	3.0
1414.1	13	59	1	1	2																		"1414.1"		2	3.0
1414.2	15	15	3	1	2																		"1414.2"		2	3.0
1414.3	17	46	6	1	2																		"1414.3"		2	3.0
1415.0	17	5	1	1	2																		"1415"		2	3.0
1416.0	11	25	1	1	2																		"1416"		2	3.0
1417.1	14	4	3	1	2																		"1417.1"		2	3.0
1417.2	16	21	6	1	2																		"1417.2"		2	3.0
1418.0	10	56	2	1	2																		"1418"		2	3.0
1419.0	14	6	1	1	2																		"1419"		2	3.0
1420.0	11	36	1	1	2																		"1420"		2	3.0
1421.0	17	8	1	1	1	81	4	5	1	6	7	2	0	81	1	1		1		9	3	2	"1421"		2	3.0
1422.0	13	50	1	1	1	81	5	3	0	3	9	1	2	81	1	7		1		2	3	2	"1422"		2	3.0
1423.1	14	59	1	1	2																		"1423.1"		2	3.0
1423.2	14	32	3	1	2																		"1423.2"		2	3.0
1424.0	14	18	3	1	2																		"1424"		2	3.0
1425.0	17	31	1	1	2																		"1425"		2	3.0
1426.0	16	4	1	1	1	81	3	3	0	6	22	2	12	81	1	9		1		3	1	2	"1426"		2	3.0
1427.1	16	41	1	1	2																		"1427.1"		2	3.0
1427.2	16	22	3	1	2																		"1427.2"		2	3.0
1428.1	13	1	1	1	1	81	5	3	2	3	20	2	7	82	1	7		1		3	3	2	"1428.1"		2	3.0
1428.2	17	21	3	1	2																		"1428.2"		2	3.0
1429.0	15	7	1	1	2																		"1429"		2	3.0
1430.0	9	56	1	1	1	81	3	3	2	6	18	1	7	13	1	1		1		1	1	1	"1430"		2	3.0
1431.0	16	42	1	1	2																		"1431"		2	3.0
1432.0	12	6	2	1	2																		"1432"		2	3.0
1433.0	14	27	1	1	2																		"1433"		2	3.0
1434.0	13	2	1	1	2																		"1434"		2	3.0
1435.0	12	53	1	1	2																		"1435"		2	3.0
1436.0	15	50	1	1	2																		"1436"		2	3.0
1437.0	13	51	1	1	1	81	4	3	1	2	22	1	12	13	1	1		1		1	3	1	"1437"		2	3.0
1437.0			1	1	1	82	7	3	2	9	15	2	7	81	1	7		1		2	3	2	"1437"		2	3.0
1438.0	16	41	1	1	1	81	2	3	0	2	18	2	7	82	1	7		1		3	3	2	"1438"		2	3.0
1439.0	13	9	1	1	1	81	5	3	1	6	25	1	15	11	2		29	3	1	1	3	1	"1439"		2	3.0
1439.0			1	1	1	82	7	4	1	2	28	2	12	82	1	1		1		9	3	2	"1439"		2	3.0
1440.0	15	0	1	1	2																		"1440"		2	3.0
1441.0	12	32	1	1	1	81	3	3	2	8	17	2	8	82	1	24		1		3	3	2	"1441"		3	3.0
1442.0	13	0	1	1	2																		"1442"		3	3.0
1443.0	11	32	1	1	1	81	4	1	0	6	71	2	99	82	1	26		1		9	1	2	"1443"		3	3.0
1444.0	12	0	1	1	1	81	2	3	0	4	20	2	12	82	1	26		1		3	1	2	"1444"		3	3.0
1445.0	7	52	1	1	2																		"1445"		3	3.0
1446.0	15	5	1	1	1	81	4	3	2	0	17	1	10	13	1	1		1		1	1	2	"1446"		3	3.0
1447.0	14	32	1	1	1	81	4	3	0	10	20	1	10	51	2		31	1		8	1	2	"1447"		3	3.0
1448.0	11	50	1	1	1	81	3	3	1	3	19	2	8	82	1	27		1		3	1	2	"1448"		3	3.0
1449.0	11	42	1	1	1	81	4	5	2	3	11	1	5	81	1	26		1		2	1	2	"1449"		3	3.0
1449.0			1	1	1	82	5	3	3	2	23	1	16	46	1	1		1		2	1	2	"1449"		3	3.0
1450.1	11	25	5	1	1	81	1	6	0	3	71	2	99	82	1	26		1		9	1	2	"1450.1"		3	3.0
1450.2	14	20	2	1	2																		"1450.2"		3	3.0
1451.0	17	52	6	1	2																		"1451"		3	3.0
1452.0	11	20	4	1	1	81	2	3	0	4	19	2	8	82	1	26		1		3	1	2	"1452"		3	3.0
1453.1	12	20	3	1	2																		"1453.1"		3	3.0
1453.2	13	55	2	1	2																		"1453.2"		3	3.0
1454.0	14	20	1	1	2																		"1454"		3	3.0
1455.1	10	24	1	1	1	81	3	3	1	11	23	1	12	11	2		16	2	1	1	4	1	"1455.1"		3	3.0
1455.2	11	59	4	1	2																		"1455.2"		3	3.0
1455.3	14	55	2	1	2																		"1455.3"		3	3.0
1456.0	12	58	6	1	1	81	3	3	0	10	17	2	7	82	1	26		1		3	1	2	"1456"		3	3.0
1457.0	10	42	2	1	2																		"1457"		3	3.0
1458.0	15	18	1	1	2																		"1458"		3	3.0
1459.0	11	28	1	1	1	81	2	3	3	2	14	1	76	81	1	26		1		2	1	2	"1459"		3	3.0
1460.0	14	4	1	1	2																		"1460"		3	3.0
1462.0	11	35	2	1	1	81	5	3	2	3	20	1	8	13	2		29	1		1	1	1	"1462"		3	3.0
1463.0	18	34	1	1	1	81	5	8	1	2	20	2	4	82	1	26		3	2	3	3	2	"1463"		3	3.0
1463.0			1	1	1	82	6	3	2	0	30	2	10	82	1	26		1		9	1	2	"1463"		3	3.0
1463.0			1	1	1	83	7	5	2	0	10	1	4	81	1	26		1		9	1	2	"1463"		3	3.0
1463.0			1	1	1	84	8	5	2	0	7	2	1	81	1	26		1		9	1	2	"1463"		3	3.0
1464.0	12	50	1	1	1	81	4	3	1	8	22	2	5	82	1	26		1		3	1	2	"1464"		3	3.0
1465.0	13	30	1	1	2																		"1465"		3	3.0
1466.0	15	55	2	1	1	81	4	3	1	6	25	1	10	13	2		29	1		1	1	1	"1466"		3	3.0
1467.1	12	55	1	1	1	81	8	7	0	6	66	2	99	82	1	24		1		4	1	2	"1467.1"		3	3.0
1467.2	12	48	3	1	1	81	8	7	0	6	66	2	99	82	1	24		1		4	1	2	"1467.2"		3	3.0
1468.0	17	20	1	1	2																		"1468"		3	3.0
1469.0	13	36	1	1	2																		"1469"		3	3.0
1470.0	14	15	1	1	1	81	3	3	2	5	20	2	12	81	1	24		1		2	1	2	"1470"		3	3.0
1471.0	11	18	1	1	2																		"1471"		3	3.0
1472.0	12	38	1	1	2																		"1472"		3	3.0
1473.0	11	40	1	1	1	81	4	3	2	1	20	1	10	82	1	26		3	2	3	2	2	"1473"		3	3.0
1473.0			1	1	1	82	5	4	0	9	23	2	8	82	1	26		1		9	1	2	"1473"		3	3.0
1473.0			1	1	1	83	6	5	0	9	4	2	99	84	1	26		1		9	1	2	"1473"		3	3.0
1474.0	12	30	1	1	2																		"1474"		3	3.0
1475.0	11	40	1	1	2																		"1475"		3	3.0
1476.0	12	33	1	1	1	81	3	3	1	6	20	1	12	81	1	26		1		2	1	2	"1476"		3	3.0
1477.0	11	32	1	1	1	81	4	3	2	1	21	2	10	82	1	26		3	1	3	3	2	"1477"		3	3.0
1478.0	15	24	1	1	1	81	2	3	2	3	18	2	7	82	1	26		1		9	1	2	"1478"		3	3.0
1479.0	13	3	3	1	1	81	4	7	3	1	26	1	16	81	1	24		1		2	1	2	"1479"		3	3.0
1480.0	13	10	2	1	1	81	3	3	2	6	26	1	9	13	2		16	1		1	1	1	"1480"		3	3.0
1481.0	12	16	1	1	2																		"1481"		3	3.0
1482.0	8	56	1	1	1	81	3	3	2	8	23	1	10	13	2		21	1		1	1	1	"1482"		3	3.0
1482.0			1	1	1	82	4	3	2	0	21	2	10	82	1	26		3	2	3	1	2	"1482"		3	3.0
1483.0	12	42	1	1	1	81	4	3	2	0	18	2	7	82	1	26		1		3	3	2	"1483"		3	3.0
1483.0			1	1	1	82	5	4	1	0	23	2	12	82	1	26		1		9	1	2	"1483"		3	3.0
1485.0	11	2	1	1	1	81	2	3	1	6	22	2	0	82	1	26		1		3	3	2	"1485"		3	3.0
1486.0	15	4	4	1	1	81	1	2	2	8	55	1	99	13	2		24	1		1	1	1	"1486"		3	3.0
1487.0	13	52	1	1	1	81	7	4	1	1	23	2	3	82	2		26	1		9	1	2	"1487"		3	3.0
1488.0	13	25	3	1	2																		"1488"		3	3.0
1489.0	13	0	1	1	1	81	3	3	1	4	19	2	7	82	1	26		1		3	1	2	"1489"		3	3.0
1489.0			1	1	1	82	4	4	0	10	21	2	7	82	1	26		1		9	1	2	"1489"		3	3.0
1489.0			1	1	1	83	5	5	0	10	5	2	99	84	1	26		1		9	1	2	"1489"		3	3.0
1490.0	14	5	1	1	1	81	4	3	2	3	22	1	10	13	2		24	1		1	1	1	"1490"		3	3.0
1491.0	16	50	1	1	2																		"1491"		3	3.0
1492.0	13	0	4	1	2																		"1492"		3	3.0
1493.0	14	1	5	1	1	81	2	3	0	6	17	1	8	13	2		31	1		1	2	1	"1493"		3	3.0
1494.0	16	18	1	1	1	81	2	3	3	1	19	2	15	81	1	18		1		2	1	2	"1494"		3	3.0
1495.1	13	15	5	1	2																		"1495.1"		3	3.0
1495.2	11	29	11	1	1	81	4	3	1	2	18	1	8	11	2		29	1		1	1	2	"1495.2"		3	3.0
1495.3	17	0	9	1	2																		"1495.3"		3	3.0
1496.0	11	55	4	1	1	81	2	3	2	9	18	1	74	81	1	26		1		2	1	2	"1496"		3	3.0
1497.0	11	42	1	1	2																		"1497"		3	3.0
1498.0	13	10	1	1	1	81	3	3	2	3	17	1	8	13	2		29	1		1	1	1	"1498"		3	3.0
1499.0	11	31	3	1	2																		"1499"		3	3.0
1500.0	14	30	2	1	1	81	1	2	2	6	33	1	99	13	2		24	1		1	1	1	"1500"		3	3.0
1500.0			2	1	1	82	3	3	2	10	9	2	4	81	1	26		1		2	1	2	"1500"		3	3.0
1502.0	14	56	1	1	2																		"1502"		3	3.0
1505.0	15	16	1	1	2																		"1505"		3	3.0
1506.0	13	23	1	1	2																		"1506"		3	3.0
1507.0	13	44	5	1	1	81	3	5	2	11	13	1	5	81	1	45		1		2	3	2	"1507"		3	3.0
1507.0			5	1	1	82	4	5	0	1	11	1	5	81	1	45		1		2	3	2	"1507"		3	3.0
1510.0	15	20	2	1	1	81	5	3	2	4	29	2	4	13	1	1		1		1	1	1	"1510"		3	3.0
1511.0	12	18	2	1	1	81	1	2	3	2	32	1	1	3	1	1		1		1	1	1	"1511"		3	3.0
1514.0	15	23	1	1	1	81	9	3	1	2	25	1	12	13	1	1		1		1	1	1	"1514"		3	3.0
1514.0			1	1	1	82	3	3	1	0	33	1	9	13	1	1		1		1	1	1	"1514"		3	3.0
1515.0	16	53	2	1	2																		"1515"		3	3.0
1516.0	16	31	2	1	1	81	3	3	2	2	12	1	5	81	1	45		1		2	1	2	"1516"		3	3.0
1519.1	14	37	1	1	1	81	5	7	1	4	13	1	4	1	1	18		1		1	1	1	"1519.1"		3	3.0
1519.2	15	34	7	1	2																		"1519.2"		3	3.0
1520.0	12	15	1	1	2																		"1520"		3	3.0
1521.1	17	23	2	1	2																		"1521.1"		3	3.0
1521.2	15	46	3	1	2																		"1521.2"		3	3.0
1522.1	12	51	2	1	2																		"1522.1"		3	3.0
1522.2	15	52	4	1	2																		"1522.2"		3	3.0
1523.0	14	56	2	1	2																		"1523"		3	3.0
1524.0	13	47	2	1	2																		"1524"		3	3.0
1525.1	14	21	1	1	2																		"1525.1"		3	3.0
1525.2	17	21	5	1	1	81	3	2	4	3	30	1	10	11	1	1		1		1	1	1	"1525.2"		3	3.0
1526.0	14	20	1	1	2																		"1526"		3	3.0
1527.0	16	23	2	1	2																		"1527"		3	3.0
1528.0	16	35	1	1	1	81	2	3	1	2	14	1	76	10	1	1		1		1	1	2	"1528"		3	3.0
1529.0	11	5	1	1	2																		"1529"		3	3.0
1530.0	15	58	1	1	2																		"1530"		3	3.0
1531.0	15	58	1	1	2																		"1531"		3	3.0
1532.0	12	23	6	1	2																		"1532"		3	3.0
1533.0	12	48	2	1	2																		"1533"		3	3.0
1534.0	13	39	1	1	2																		"1534"		3	3.0
1535.0	14	55	3	1	2																		"1535"		3	3.0
1536.0	12	39	1	1	2																		"1536"		3	3.0
1537.0	13	35	2	1	2																		"1537"		3	3.0
1538.0	14	46	2	1	2																		"1538"		3	3.0
1540.0	13	30	1	1	2																		"1540"		3	3.0
1541.0	13	14	5	1	2																		"1541"		3	3.0
1542.0	12	34	1	1	2																		"1542"		3	3.0
1543.0	13	38	2	1	2																		"1543"		3	3.0
1546.0	11	55	1	1	1	81	3	3	1	3	16	1	4	7	1	1		1		1	1	1	"1546"		3	3.0
1546.0			1	1	1	82	4	3	0	8	15	1	5	7	1	1		1		1	1	1	"1546"		3	3.0
1547.0	16	24	1	1	2																		"1547"		3	3.0
1548.0	16	17	1	1	2																		"1548"		3	3.0
1549.1	16	39	3	1	2																		"1549.1"		3	3.0
1549.2	11	51	6	1	2																		"1549.2"		3	3.0
1550.0	15	36	1	1	2																		"1550"		3	3.0
1551.0	14	25	1	1	1	81	3	3	1	2	23	1	12	51	1	40		1		8	1	1	"1551"		3	3.0
1552.0	13	12	1	1	2																		"1552"		3	3.0
1553.0	10	41	1	1	2																		"1553"		3	3.0
1556.0	14	23	1	1	1	81	3	3	4	0	26	1	8	13	1	1		1		1	3	1	"1556"		3	3.0
1556.0			1	1	1	82	4	3	1	2	18	1	10	13	1	1		1		1	3	1	"1556"		3	3.0
1557.0	15	34	4	1	2																		"1557"		3	3.0
1558.0	15	11	1	1	2																		"1558"		3	3.0
1559.0	13	3	1	1	2																		"1559"		3	3.0
1560.0	12	50	1	1	2																		"1560"		3	3.0
1561.0	17	51	2	1	1	81	5	3	1	6	18	2	7	82	1	47		1		3	5	2	"1561"		3	3.0
1563.0	16	52	1	1	1	81	4	3	4	4	18	2	10	81	1	51		1		2	1	2	"1563"		3	3.0
1564.0	16	21	1	1	2																		"1564"		3	3.0
1565.0	15	39	5	1	2																		"1565"		3	3.0
1566.0	15	45	6	1	1	81	1	3	3	2	44	1	99	37	1	1		1		1	1	1	"1566"		3	3.0
1566.0			6	1	1	82	2	4	3	2	34	2	8	13	1	1		1		1	1	2	"1566"		3	3.0
1566.0			6	1	1	83	3	5	0	8	19	1	10	81	1	45		1		2	3	2	"1566"		3	3.0
1568.0	16	32	1	1	2																		"1568"		3	3.0
1570.0	13	57	1	1	1	81	3	5	1	2	10	2	5	81	1	51		1		2	3	2	"1570"		3	3.0
1571.0	12	30	1	1	2																		"1571"		3	3.0
1573.0	12	40	1	1	2																		"1573"		3	3.0
1574.0	11	23	1	1	2																		"1574"		3	3.0
1575.0	11	58	2	1	1	81	3	3	1	6	12	2	4	82	1	47		1		3	3	2	"1575"		3	3.0
1576.0	12	24	1	1	2																		"1576"		3	3.0
1577.1	13	6	1	1	2																		"1577.1"		3	3.0
1577.2	17	7	3	1	2																		"1577.2"		3	3.0
1578.0	14	43	2	1	1	81	3	7	1	2	25	2	10	13	1	37		1		1	1	1	"1578"		3	3.0
