a01	stime_h_vx4	stime_m_vx4	res_id_vx4	consent_vx4	v1_01	pid_v1	mid_v1	v1_02	v1_03	v1_04	v1_05	v1_06	v1_07	v1_08	v1_09	v1_10	v1_11	v1_15	v1_16	v1_12	v1_13	v1_14	hhid2	del	hh_type	round
48.0	15	58	1	1	1	81	4	4	0	8	32	2	7	82	1	21		1		9	3	2	"48"		2	3.0
48.0			1	1	1	82	5	5	0	8	13	2	6	81	1	21		1		9	3	2	"48"		2	3.0
48.0			1	1	1	83	6	5	0	8	3	1	99	84	1	21		1		9	3	2	"48"		2	3.0
49.0	17	20	1	1	1	81	3	3	2	2	33	1	12	11	2		20	3	6	1	1	2	"49"		2	3.0
49.0			1	1	1	82	4	4	1	8	29	2	12	82	1	34		1		1	1	2	"49"		2	3.0
49.0			1	1	1	83	5	5	1	8	8	1	3	81	1	34		1		1	1	2	"49"		2	3.0
49.0			1	1	1	84	6	5	1	8	3	1	99	84	1	34		1		1	1	2	"49"		2	3.0
50.0	13	48	1	1	1	81	2	5	2	6	14	2	5	13	1	18		1		1	3	1	"50"		2	3.0
51.0	16	29	1	1	1	81	5	8	2	6	19	1	8	13	1	1		1		1	4	2	"51"		2	3.0
52.0	14	8	2	1	2																		"52"		2	3.0
53.0	13	40	1	1	2																		"53"		2	3.0
54.0	14	35	1	1	2																		"54"		2	3.0
56.0	16	0	1	1	2																		"56"		2	3.0
58.0	14	25	1	1	1	81	4	3	0	6	17	1	10	81	1	1		1		1	1	2	"58"		2	3.0
60.0	14	25	1	1	1	81	6	5	2	5	8	2	3	81	1	1		1		9	1	2	"60"		2	3.0
61.0	13	5	1	1	2																		"61"		3	3.0
63.0	16	41	1	1	2																		"63"		3	3.0
66.0	13	52	1	1	2																		"66"		3	3.0
67.0	11	14	1	1	2																		"67"		3	3.0
68.0	13	12	2	1	2																		"68"		3	3.0
69.1	15	0	1	1	1	81	6	3	4	1	20	1	2	11	1	18		1		1	1	2	"69.1"		3	3.0
69.2	14	0	4	1	2																		"69.2"		3	3.0
70.0	14	20	1	1	2																		"70"		3	3.0
71.0	16	50	1	1	2																		"71"		3	3.0
72.0	12	50	1	1	1	81	3	3	1	9	29	1	7	51	2		29	1		1	7	1	"72"		3	3.0
73.0	15	30	1	1	2																		"73"		3	3.0
74.0	14	33	1	1	2																		"74"		3	3.0
75.0	12	24	2	1	2																		"75"		3	3.0
76.0	13	47	1	1	2																		"76"		3	3.0
78.0	14	10	1	1	2																		"78"		3	3.0
79.0	13	20	2	1	1	81	1	2	4	1	65	1	16	12	1	34		1		1	2	1	"79"		3	3.0
80.0	17	29	1	1	2																		"80"		3	3.0
81.0	10	17	1	1	2																		"81"		3	3.0
82.0	17	52	2	1	1	81	1	2	2	1	51	1	99	50	1	19		1		9	1	2	"82"		3	3.0
83.0	16	19	1	1	2																		"83"		3	3.0
84.0	16	40	2	1	2																		"84"		3	3.0
85.0	17	21	1	1	2																		"85"		3	3.0
