a01	stime_h_j	stime_m_j	res_id_j	consent_j	j1	j1_01	j1_01b	j1_02a	j1_02b2	j1_02b1	j1_02b1_ngo	j1_02b1_ngo2	j1_02c	j1_02coth	j1_03a	j1_03b	j1_03c	j1_03d	j1_03e	j1_03f	j1_03g	j1_03h	j1_03i	j1_03j	j1_03k	j1_03l	j1_03m	j1_03n	j1_03o	j1_03ooth	j1_03p	j1_04	j1_4a1_1	j1_4a1_2	j1_4a1_3	j1_5a	j1_05b	j1_5b	j1_5b_ngo	j1_5b_ngo2	j1_5c	j1_5coth	j1_06a	j1_06b	j1_06c	j1_06d	j1_06e	j1_06f	j1_06g	j1_06h	j1_06i	j1_06j	j1_06k	j1_06l	j1_06m	j1_06n	j1_06o	j1_06ooth	j1_06p	j1_07	j1_07oth	j1_08	j1_09	j1_09a	j1_09b	j1_09c	j1_09d	j1_09e	j1_09f	j1_09g	j1_09h	j1_09i	j1_09j	j1_09k	j1_09l	j1_09m	j1_09n	j1_09o	j1_09ooth	j1_09p	j1_10	j1_10oth	j1_11	j1_12	hhid2	hh_type	round
1721.0	13	12	2	1	1	2						" "		" "																" "		1	2			0		0		" "	4	"DOKAN"	1	2	2		2		1	2	1	2	2		2		2	" "			" "	2																	" "		1	" "	1	2	"1721"	2	3.0
1722.0	12	32	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1722"	2	3.0
1723.0	14	28	3	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1723"	2	3.0
1724.1	9	35	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1724.1"	2	3.0
1724.2	15	0	3	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1724.2"	2	3.0
1724.3	10	20	4	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1724.3"	2	3.0
1725.0	11	55	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1725"	2	3.0
1726.0	13	20	4	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1726"	2	3.0
1727.0	12	58	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1727"	2	3.0
1728.0	11	10	3	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1728"	2	3.0
1729.1	16	23	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1729.1"	2	3.0
1729.2	10	18	4	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1729.2"	2	3.0
1730.0	11	15	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1730"	2	3.0
1731.0	13	35	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1731"	2	3.0
1732.0	12	43	3	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1732"	2	3.0
1733.0	16	58	2	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	2	"1733"	2	3.0
1735.0	12	0	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1735"	2	3.0
1736.0	13	10	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1736"	2	3.0
1737.0	10	20	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1737"	2	3.0
1738.0	13	10	1	1	1	1	1	3	1	0		" "	0	" "	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	" "		2								" "		" "																" "			" "	1	2	2		2		2		2		2		2		2		2	" "			" "	1	2	"1738"	2	3.0
1739.1	13	50	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1739.1"	2	3.0
1739.2	13	25	5	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1739.2"	2	3.0
1740.0	11	31	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1740"	2	3.0
1741.0	13	20	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1741"	3	3.0
1742.0	13	0	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1742"	3	3.0
1743.1	13	45	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1743.1"	3	3.0
1743.2	10	55	3	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1743.2"	3	3.0
1745.0	12	10	2	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1745"	3	3.0
1746.0	10	48	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1746"	3	3.0
1749.1	12	30	2	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1749.1"	3	3.0
1749.2	13	10	4	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1749.2"	3	3.0
1750.0	12	35	1	1	1	2						" "		" "																" "		1	1			1	1	0		" "	0	" "	2		1	1	2		2		2		2		2		2	" "			" "	2																	" "		1	" "	1	1	"1750"	3	3.0
1751.0	12	50	5	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1751"	3	3.0
1752.0	12	52	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1752"	3	3.0
1753.0	12	30	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1753"	3	3.0
1754.0	12	18	3	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1754"	3	3.0
1755.0	10	12	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1755"	3	3.0
1756.0	11	3	7	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1756"	3	3.0
1757.0	13	30	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1757"	3	3.0
1759.0	11	30	5	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1759"	3	3.0
1760.0	13	55	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1760"	3	3.0
1761.0	10	39	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1761"	3	3.0
1762.0	12	58	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1762"	3	3.0
1763.0	16	56	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1763"	3	3.0
1764.0	11	14	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1764"	3	3.0
1765.0	11	19	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1765"	3	3.0
1766.0	12	2	4	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1766"	3	3.0
1767.0	12	40	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1767"	3	3.0
1769.0	11	2	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1769"	3	3.0
1770.0	12	40	2	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1770"	3	3.0
1771.0	10	33	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1771"	3	3.0
1772.0	15	42	2	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1772"	3	3.0
1773.0	10	57	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1773"	3	3.0
1774.0	13	20	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1774"	3	3.0
1775.11	16	3	19	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1775.1.1"	3	3.0
1775.12	14	23	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1775.1.2"	3	3.0
1775.2	12	52	3	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1775.2"	3	3.0
1775.3	12	0	18	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1775.3"	3	3.0
1776.0	10	24	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1776"	3	3.0
1777.0	12	10	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1777"	3	3.0
1778.0	11	40	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1778"	3	3.0
1779.0	10	40	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1779"	3	3.0
1780.0	11	20	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1780"	3	3.0
1781.0	11	15	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1781"	3	3.0
1782.0	12	31	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1782"	3	3.0
1783.0	13	30	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1783"	3	3.0
1784.0	12	30	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1784"	3	3.0
1786.0	13	55	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1786"	3	3.0
1787.0	17	30	2	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1787"	3	3.0
1788.0	10	24	2	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1788"	3	3.0
1789.0	11	10	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1789"	3	3.0
1790.0	13	0	2	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1790"	3	3.0
1791.1	12	44	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1791.1"	3	3.0
1791.2	12	17	4	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1791.2"	3	3.0
1791.3	12	0	8	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1791.3"	3	3.0
1793.0	10	22	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1793"	3	3.0
1795.0	12	45	3	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1795"	3	3.0
1796.0	13	10	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1796"	3	3.0
1797.1	15	18	5	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1797.1"	3	3.0
1797.2	12	35	2	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1797.2"	3	3.0
1798.0	13	30	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1798"	3	3.0
1799.0	12	5	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1799"	3	3.0
1800.0	12	52	7	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1800"	3	3.0
1801.0	11	30	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1801"	3	3.0
1802.0	14	0	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1802"	3	3.0
1803.1	15	20	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1803.1"	3	3.0
1803.2	9	58	5	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1803.2"	3	3.0
1804.0	11	15	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1804"	3	3.0
1805.0	11	30	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1805"	3	3.0
1806.0	10	21	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1806"	3	3.0
1807.0	10	27	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1807"	3	3.0
1808.1	15	42	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1808.1"	3	3.0
1808.2	10	22	3	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1808.2"	3	3.0
1809.0	10	40	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1809"	3	3.0
1810.0	14	10	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1810"	3	3.0
1811.1	11	5	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1811.1"	3	3.0
1811.2	15	0	3	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1811.2"	3	3.0
1812.0	12	38	5	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1812"	3	3.0
1813.0	16	1	2	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1813"	3	3.0
1814.0	12	50	3	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1814"	3	3.0
1815.0	13	13	1	1	1	1	1	0		0		" "	1	"LAL TIR"	2		1	2	2		1	2	1	2	2		2		2	" "		1	1			3	1	0		" "	0	" "	2		1	2	2		1	2	1	2	2		2		2	" "			" "	2																	" "		1	" "	1	1	"1815"	3	3.0
1816.0	16	55	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1816"	3	3.0
1817.0	12	18	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1817"	3	3.0
1818.0	12	6	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1818"	3	3.0
1819.0	17	48	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1819"	3	3.0
1820.0	10	46	2	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1820"	3	3.0
1821.0	12	43	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1821"	3	3.0
1822.0	12	50	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1822"	3	3.0
1823.0	13	0	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1823"	3	3.0
1824.0	13	40	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1824"	3	3.0
1825.0	10	18	3	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1825"	3	3.0
1826.0	13	25	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1826"	3	3.0
1827.0	13	35	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1827"	3	3.0
1828.0	8	44	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1828"	3	3.0
1829.0	15	20	4	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1829"	3	3.0
1830.0	13	40	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1830"	3	3.0
1832.1	9	38	2	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1832.1"	3	3.0
1832.2	16	10	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1832.2"	3	3.0
1833.0	10	55	2	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1833"	3	3.0
1834.0	13	0	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1834"	3	3.0
1835.0	13	55	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1835"	3	3.0
1836.0	13	15	1	1	1	1	1	2	1	0		" "	0	" "	1	2	1	2	2		2		2		2		2		2	" "		2								" "		" "																" "			" "	2																	" "		1	" "	1	1	"1836"	3	3.0
1837.0	11	15	4	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1837"	3	3.0
1838.0	13	26	1	1	1	1	1	1	1	0		" "	0	" "	1	2	2		2		1	2	1	2	2		2		2	" "		2								" "		" "																" "			" "	2																	" "		1	" "	1	1	"1838"	3	3.0
1839.0	12	47	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1839"	3	3.0
1840.0	14	10	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1840"	3	3.0
1841.0	11	42	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1841"	3	3.0
1842.0	13	42	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1842"	3	3.0
1843.11	13	30	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1843.1.1"	3	3.0
1843.12	12	0	8	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1843.1.2"	3	3.0
1843.2	13	30	5	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1843.2"	3	3.0
1844.0	11	20	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1844"	3	3.0
1845.0	13	41	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1845"	3	3.0
1846.0	11	48	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1846"	3	3.0
1847.0	18	10	3	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1847"	3	3.0
1848.0	12	18	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1848"	3	3.0
1849.0	16	2	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1849"	3	3.0
1850.0	13	25	1	1	1	1	1	1	1	0		" "	0	" "	1	3	2		2		2		2		2		2		2	" "		2								" "		" "																" "			" "	2																	" "		1	" "	1	1	"1850"	3	3.0
1851.0	11	2	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1851"	3	3.0
1853.0	13	30	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1853"	3	3.0
1854.0	11	3	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1854"	3	3.0
1855.0	14	15	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1855"	3	3.0
1856.1	10	58	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1856.1"	3	3.0
1856.2	13	5	6	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1856.2"	3	3.0
1857.0	11	25	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1857"	3	3.0
1858.0	13	41	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1858"	3	3.0
1859.0	14	40	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1859"	3	3.0
1860.0	14	20	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1860"	3	3.0
1861.1	11	0	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1861.1"	3	3.0
1861.2	16	15	4	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1861.2"	3	3.0
1862.0	10	20	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1862"	3	3.0
1863.0	14	50	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1863"	3	3.0
1864.0	12	55	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1864"	3	3.0
1865.1	12	2	5	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1865.1"	3	3.0
1865.2	11	9	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1865.2"	3	3.0
1866.0	12	0	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1866"	3	3.0
1867.0	12	32	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1867"	3	3.0
1868.0	10	46	2	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1868"	3	3.0
1869.0	11	46	2	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1869"	3	3.0
1870.0	10	51	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1870"	3	3.0
1871.0	11	8	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1871"	3	3.0
1872.0	11	20	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1872"	3	3.0
1873.0	12	50	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1873"	3	3.0
1874.0	13	48	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1874"	3	3.0
1875.0	10	40	4	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1875"	3	3.0
1876.1	12	28	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1876.1"	3	3.0
1876.2	17	50	6	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1876.2"	3	3.0
1877.0	10	52	2	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1877"	3	3.0
1878.0	9	12	5	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1878"	3	3.0
1879.1	13	5	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1879.1"	3	3.0
1879.2	11	10	6	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1879.2"	3	3.0
1880.0	18	14	2	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1880"	3	3.0
1881.0	11	50	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1881"	3	3.0
1882.0	10	28	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1882"	3	3.0
1883.0	11	26	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1883"	3	3.0
1884.0	10	38	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1884"	3	3.0
1885.0	11	25	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1885"	3	3.0
1886.0	10	31	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1886"	3	3.0
1887.0	11	40	5	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1887"	3	3.0
1888.0	16	21	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1888"	3	3.0
1889.0	15	56	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1889"	3	3.0
1891.0	10	24	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1891"	3	3.0
1892.0	12	55	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1892"	3	3.0
1893.0	10	45	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1893"	3	3.0
1894.0	11	20	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1894"	3	3.0
1895.0	9	44	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1895"	3	3.0
1896.0	11	24	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1896"	3	3.0
1897.0	10	40	3	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1897"	3	3.0
1898.0	12	17	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1898"	3	3.0
1899.0	12	28	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1899"	3	3.0
1900.0	11	20	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1900"	3	3.0
1901.0	15	45	2	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1901"	3	3.0
1902.0	11	47	6	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1902"	3	3.0
1903.0	12	50	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1903"	3	3.0
1905.0	12	32	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1905"	3	3.0
1906.0	14	0	3	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		2	" "	2		"1906"	3	3.0
1907.0	12	3	1	1	1	2						" "		" "																" "		1	1			1	1	0		" "	0	" "	2		2		2		1	2	1	2	2		2		2	" "			" "	2																	" "		1	" "	1	1	"1907"	3	3.0
1908.0	13	15	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1908"	3	3.0
1909.0	14	10	2	1	1	1	3	1	3	0		" "	0	" "	1	1	1	1	2		2		2		1	1	2		2	" "		2								" "		" "																" "			" "	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	" "			" "	1	1	"1909"	3	3.0
1910.0	12	20	2	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1910"	3	3.0
1914.0	11	47	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1914"	3	3.0
1915.0	13	47	4	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1915"	3	3.0
1916.0	13	25	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1916"	3	3.0
1917.0	12	10	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1917"	3	3.0
1919.0	13	53	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1919"	3	3.0
1920.0	13	25	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"1920"	3	3.0
1921.0	14	35	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1921"	3	3.0
1922.0	16	35	3	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"1922"	3	3.0
1923.0	11	32	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1923"	3	3.0
1924.0	13	10	4	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1924"	3	3.0
1926.0	12	50	1	1	1	1	1	12	1	0		" "	0	" "	1	1	1	1	1	1	1	1	1	1	2		2		2	" "		2								" "		" "																" "			" "	2																	" "		1	" "	1	1	"1926"	3	3.0
1927.0	13	25	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1927"	3	3.0
1928.0	17	14	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1928"	3	3.0
1929.0	12	50	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1929"	3	3.0
