a01	stime_h_j	stime_m_j	res_id_j	consent_j	j1	j1_01	j1_01b	j1_02a	j1_02b2	j1_02b1	j1_02b1_ngo	j1_02b1_ngo2	j1_02c	j1_02coth	j1_03a	j1_03b	j1_03c	j1_03d	j1_03e	j1_03f	j1_03g	j1_03h	j1_03i	j1_03j	j1_03k	j1_03l	j1_03m	j1_03n	j1_03o	j1_03ooth	j1_03p	j1_04	j1_4a1_1	j1_4a1_2	j1_4a1_3	j1_5a	j1_05b	j1_5b	j1_5b_ngo	j1_5b_ngo2	j1_5c	j1_5coth	j1_06a	j1_06b	j1_06c	j1_06d	j1_06e	j1_06f	j1_06g	j1_06h	j1_06i	j1_06j	j1_06k	j1_06l	j1_06m	j1_06n	j1_06o	j1_06ooth	j1_06p	j1_07	j1_07oth	j1_08	j1_09	j1_09a	j1_09b	j1_09c	j1_09d	j1_09e	j1_09f	j1_09g	j1_09h	j1_09i	j1_09j	j1_09k	j1_09l	j1_09m	j1_09n	j1_09o	j1_09ooth	j1_09p	j1_10	j1_10oth	j1_11	j1_12	hhid2	hh_type	round
39.0	12	1	1	1	1	1	1	6	1	0		" "	0	" "	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	" "		2								" "		" "																" "			" "	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	" "	1		" "	1	1	"39"	2	3.0
40.0	9	35	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"40"	2	3.0
41.0	12	36	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"41"	2	3.0
42.0	11	37	2	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"42"	2	3.0
43.0	13	46	2	1	1	1	1	1	1	0		" "	0	" "	1	1	2		2		1	1	1	1	2		2		2	" "		1	1			1	1	0		" "	0	" "	1	1	2		2		1	1	1	1	2		2		2	" "			" "	2																	" "		1	" "	1	1	"43"	2	3.0
44.0	11	30	2	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"44"	2	3.0
45.0	13	19	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"45"	2	3.0
46.0	12	53	1	1	1	2						" "		" "																" "		2								" "		" "																" "		2	" "	2																	" "		2	" "	2		"46"	2	3.0
47.0	12	51	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"47"	2	3.0
48.0	12	21	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"48"	2	3.0
