a01	stime_h_c	stime_m_c	res_id_c	consent_c	mid_c	c01	c02	c02oth	c03	c04	c05	c05oth	c06	c07	c08	c09	c10	c11	c12	c13	c14	hhid2	hh_type	round
1156.0			1	1	3	2		" "			69	" "	2	7	1.0	4						"1156"	3	3.0
1156.0			1	1	5	5		" "				" "										"1156"	3	3.0
1157.0	8	51	4	1	1	7		" "				" "										"1157"	3	3.0
1157.0			4	1	2	1		" "			69	" "	1	7	1.0	3					170.0	"1157"	3	3.0
1157.0			4	1	3	2		" "			65	" "	2	5	5.0	4						"1157"	3	3.0
1157.0			4	1	4	1		" "			65	" "	3	3	3.0	3					17000.0	"1157"	3	3.0
1157.0			4	1	4	1		" "			21	"PROKAS GONO KANDO"	4	3	2.0	2					10000.0	"1157"	3	3.0
1157.0			4	1	5	1		" "			1	" "	5	2	8.0	1	500	0	2		3000.0	"1157"	3	3.0
1157.0			4	1	11	8		" "				" "										"1157"	3	3.0
1157.0			4	1	13	8		" "				" "										"1157"	3	3.0
1158.0	8	21	1	1	1	1		" "			65	" "	1	5	10.0	3					8000.0	"1158"	3	3.0
1158.0			1	1	2	1		" "			69	" "	2	7	1.0	3					620.0	"1158"	3	3.0
1159.0	8	40	1	1	1	11		" "				" "										"1159"	3	3.0
1159.0			1	1	2	1		" "			69	" "	1	6	1.0	3					150.0	"1159"	3	3.0
1159.0			1	1	3	5		" "				" "										"1159"	3	3.0
1159.0			1	1	4	5		" "				" "										"1159"	3	3.0
1159.0			1	1	5	2		" "			69	" "	2	7	1.0	4						"1159"	3	3.0
1160.0	14	38	5	1	1	1		" "			69	" "	1	7	1.0	3					200.0	"1160"	3	3.0
1160.0			5	1	2	5		" "				" "										"1160"	3	3.0
1160.0			5	1	5	11		" "				" "										"1160"	3	3.0
1161.0	8	53	5	1	1	1		" "			69	" "	1	7	1.0	3					20.0	"1161"	3	3.0
1161.0			5	1	2	1		" "			67	" "	2	4	11.0	3					10500.0	"1161"	3	3.0
1161.0			5	1	3	8		" "				" "										"1161"	3	3.0
1161.0			5	1	4	5		" "				" "										"1161"	3	3.0
1161.0			5	1	5	1		" "			11	"MAS DORAR JAL TOYRI KORE"	3	5	5.0	1	400	0	2		10000.0	"1161"	3	3.0
1162.0	14	23	1	1	1	1		" "			57	" "	1	7	2.0	3					1500.0	"1162"	3	3.0
1162.0			1	1	1	1		" "			69	" "	2	7	1.0	3					20.0	"1162"	3	3.0
1162.0			1	1	2	8		" "				" "										"1162"	3	3.0
1162.0			1	1	3	1		" "			57	" "	3	7	3.0	3					1200.0	"1162"	3	3.0
1162.0			1	1	4	5		" "				" "										"1162"	3	3.0
1162.0			1	1	5	5		" "				" "										"1162"	3	3.0
1162.0			1	1	6	5		" "				" "										"1162"	3	3.0
1163.0	9	14	1	1	1	1		" "			11	"BASH KATAR KAJ"	1	6	8.0	1	200	0	2		4400.0	"1163"	3	3.0
1163.0			1	1	2	1		" "			69	" "	2	7	1.0	3					550.0	"1163"	3	3.0
1163.0			1	1	2	1		" "			11	"ANNER BARITE AYAR KAJ"	3	2	4.0	1	50	30	2		800.0	"1163"	3	3.0
1163.0			1	1	4	5		" "				" "										"1163"	3	3.0
1165.0	9	11	1	1	1	1		" "			67	" "	1	3	12.0	3					12000.0	"1165"	3	3.0
1165.0			1	1	2	8		" "				" "										"1165"	3	3.0
1165.0			1	1	3	1		" "			67	" "	2	3	10.0	3					8000.0	"1165"	3	3.0
1165.0			1	1	4	1		" "			11	"MAS DORAR SHOMIK"	3	3	8.0	1	200	100	2		3600.0	"1165"	3	3.0
1165.0			1	1	5	9		" "				" "										"1165"	3	3.0
1165.0			1	1	6	5		" "				" "										"1165"	3	3.0
1166.0	9	35	1	1	1	1		" "			64	" "	1	3	2.0	3					750.0	"1166"	3	3.0
1166.0			1	1	2	1		" "			69	" "	2	7	1.0	3					150.0	"1166"	3	3.0
1166.0			1	1	3	5		" "				" "										"1166"	3	3.0
1167.0	8	56	1	1	1	1		" "			69	" "	1	7	1.0	3					60.0	"1167"	3	3.0
1167.0			1	1	5	5		" "				" "										"1167"	3	3.0
1168.0	9	8	1	1	1	7		" "				" "										"1168"	3	3.0
1168.0			1	1	2	8		" "				" "										"1168"	3	3.0
1169.0	13	23	1	1	1	8		" "				" "										"1169"	3	3.0
1169.0			1	1	2	5		" "				" "										"1169"	3	3.0
1169.0			1	1	3	5		" "				" "										"1169"	3	3.0
1169.0			1	1	4	5		" "				" "										"1169"	3	3.0
1169.0			1	1	5	5		" "				" "										"1169"	3	3.0
1170.0	9	24	1	1	1	1		" "			50	" "	1	7	10.0	3					2000.0	"1170"	3	3.0
1170.0			1	1	1	1		" "			41	" "	2	2	2.0	3					500.0	"1170"	3	3.0
1170.0			1	1	2	8		" "				" "										"1170"	3	3.0
1170.0			1	1	5	8		" "				" "										"1170"	3	3.0
1170.0			1	1	7	5		" "				" "										"1170"	3	3.0
1170.0			1	1	8	6		" "				" "										"1170"	3	3.0
1171.0	16	21	1	1	1	8		" "				" "										"1171"	3	3.0
1171.0			1	1	2	5		" "				" "										"1171"	3	3.0
1171.0			1	1	3	5		" "				" "										"1171"	3	3.0
1172.0	8	43	1	1	1	1		" "			13	" "	1	6	8.0	2					5500.0	"1172"	3	3.0
1172.0			1	1	2	8		" "				" "										"1172"	3	3.0
1172.0			1	1	5	1		" "			24	" "	2	7	3.0	3					1200.0	"1172"	3	3.0
1172.0			1	1	5	1		" "			69	" "	3	7	1.0	3					0.0	"1172"	3	3.0
1173.0	9	18	1	1	1	1		" "			65	" "	1	7	3.0	3					700.0	"1173"	3	3.0
1173.0			1	1	2	1		" "			69	" "	2	7	2.0	3					450.0	"1173"	3	3.0
1173.0			1	1	5	2		" "			69	" "	3	7	1.0	4						"1173"	3	3.0
1173.0			1	1	6	2		" "			69	" "	4	7	1.0	4						"1173"	3	3.0
1173.0			1	1	7	5		" "				" "										"1173"	3	3.0
1173.0			1	1	8	1		" "			44	" "	5	7	8.0	2					7000.0	"1173"	3	3.0
1173.0			1	1	9	8		" "				" "										"1173"	3	3.0
1174.0	8	40	1	1	1	8		" "				" "										"1174"	3	3.0
1174.0			1	1	3	5		" "				" "										"1174"	3	3.0
1174.0			1	1	4	5		" "				" "										"1174"	3	3.0
1175.0	13	9	1	1	1	1		" "			69	" "	1	7	1.0	3					175.0	"1175"	3	3.0
1175.0			1	1	2	8		" "				" "										"1175"	3	3.0
1175.0			1	1	3	5		" "				" "										"1175"	3	3.0
1176.0	9	28	3	1	1	1		" "			69	" "	1	3	1.0	3					240.0	"1176"	3	3.0
1176.0			3	1	3	1		" "			23	" "	2	7	12.0	3					16000.0	"1176"	3	3.0
1176.0			3	1	4	2		" "			69	" "	3	7	1.0	4						"1176"	3	3.0
1176.0			3	1	5	8		" "				" "										"1176"	3	3.0
1176.0			3	1	6	8		" "				" "										"1176"	3	3.0
1176.0			3	1	7	5		" "				" "										"1176"	3	3.0
1176.0			3	1	9	6		" "				" "										"1176"	3	3.0
1177.0	8	44	1	1	1	1		" "			1	" "	1	3	8.0	1	300	0	2		6000.0	"1177"	3	3.0
1177.0			1	1	1	1		" "			11	"MAS DORAR SHOMIK"	2	4	10.0	1	400	0	2		4800.0	"1177"	3	3.0
1177.0			1	1	2	1		" "			69	" "	3	7	1.0	3					105.0	"1177"	3	3.0
1177.0			1	1	3	5		" "				" "										"1177"	3	3.0
1177.0			1	1	4	8		" "				" "										"1177"	3	3.0
1178.0	13	24	2	1	2	1		" "			69	" "	1	7	1.0	3					210.0	"1178"	3	3.0
1178.0			2	1	3	5		" "				" "										"1178"	3	3.0
1178.0			2	1	5	8		" "				" "										"1178"	3	3.0
1179.0	9	6	1	1	1	10		" "				" "										"1179"	3	3.0
1179.0			1	1	2	8		" "				" "										"1179"	3	3.0
1179.0			1	1	3	8		" "				" "										"1179"	3	3.0
1179.0			1	1	4	5		" "				" "										"1179"	3	3.0
1179.0			1	1	5	1		" "			11	"MAS DORAR SHOMIK"	1	3	8.0	1	150	120	2		4000.0	"1179"	3	3.0
1179.0			1	1	6	5		" "				" "										"1179"	3	3.0
1179.0			1	1	7	5		" "				" "										"1179"	3	3.0
1179.0			1	1	8	5		" "				" "										"1179"	3	3.0
1180.0	9	22	3	1	1	1		" "			65	" "	1	3	4.0	3					1000.0	"1180"	3	3.0
1180.0			3	1	1	1		" "			69	" "	2	7	1.0	3					500.0	"1180"	3	3.0
1180.0			3	1	1	1		" "			70	" "	3	7	1.0	3					0.0	"1180"	3	3.0
1180.0			3	1	2	1		" "			24	" "	4	3	2.0	3					600.0	"1180"	3	3.0
1180.0			3	1	2	2		" "			70	" "	5	3	1.0	4						"1180"	3	3.0
1180.0			3	1	3	1		" "			11	"MAS DORAR SHROMIK"	6	3	6.0	1	200	50	2		3750.0	"1180"	3	3.0
1180.0			3	1	3	2		" "			69	" "	7	7	1.0	4						"1180"	3	3.0
1180.0			3	1	3	2		" "			65	" "	8	4	3.0	4						"1180"	3	3.0
1180.0			3	1	3	2		" "			70	" "	9	7	1.0	4						"1180"	3	3.0
1181.0	9	33	1	1	1	1		" "			31	" "	1	7	10.0	3					10000.0	"1181"	3	3.0
1181.0			1	1	1	1		" "			70	" "	2	7	0.5	3					500.0	"1181"	3	3.0
1181.0			1	1	2	2		" "			70	" "	3	7	1.0	4						"1181"	3	3.0
1181.0			1	1	2	1		" "			69	" "	4	7	0.5	3					150.0	"1181"	3	3.0
1181.0			1	1	3	5		" "				" "										"1181"	3	3.0
1181.0			1	1	4	8		" "				" "										"1181"	3	3.0
1182.0	9	49	1	1	1	8		" "				" "										"1182"	3	3.0
1182.0			1	1	2	1		" "			35	" "	1	6	8.0	1	500	0	2		8000.0	"1182"	3	3.0
1183.1	9	29	1	1	1	1		" "			36	" "	1	6	8.0	1	400	0	2		7000.0	"1183.1"	3	3.0
1183.1			1	1	1	1		" "			70	" "	2	7	1.0	3					0.0	"1183.1"	3	3.0
1183.1			1	1	2	2		" "			70	" "	3	7	1.0	4						"1183.1"	3	3.0
1183.1			1	1	2	1		" "			69	" "	4	7	0.5	3					100.0	"1183.1"	3	3.0
1183.1			1	1	6	1		" "			13	" "	5	7	10.0	2					8000.0	"1183.1"	3	3.0
1183.1			1	1	7	8		" "				" "										"1183.1"	3	3.0
1183.2	16	2	4	1	3	1		" "			22	" "	1	7	10.0	3					8000.0	"1183.2"	3	3.0
1183.2			4	1	3	1		" "			70	" "	2	7	1.0	3					0.0	"1183.2"	3	3.0
1183.2			4	1	4	2		" "			70	" "	3	7	1.0	4						"1183.2"	3	3.0
1183.2			4	1	4	1		" "			69	" "	4	7	0.5	3					150.0	"1183.2"	3	3.0
1183.2			4	1	5	5		" "				" "										"1183.2"	3	3.0
1184.0	8	30	1	1	1	1		" "			3	" "	1	7	5.0	1	250	0	2		6500.0	"1184"	3	3.0
1184.0			1	1	1	1		" "			1	" "	2	6	4.0	1	250	0	2		5000.0	"1184"	3	3.0
1184.0			1	1	1	1		" "			70	" "	3	7	1.0	3					6000.0	"1184"	3	3.0
1184.0			1	1	1	1		" "			65	" "	4	1	1.0	3					8000.0	"1184"	3	3.0
1184.0			1	1	2	1		" "			69	" "	5	7	1.0	3					300.0	"1184"	3	3.0
1184.0			1	1	2	2		" "			70	" "	6	7	1.0	4						"1184"	3	3.0
1184.0			1	1	3	2		" "			70	" "	7	5	0.5	4						"1184"	3	3.0
1184.0			1	1	4	5		" "				" "										"1184"	3	3.0
1185.0	8	30	2	1	2	1		" "			70	" "	1	7	1.0	3					0.0	"1185"	3	3.0
1185.0			2	1	3	1		" "			7	" "	2	7	8.0	1	350	0	2		10000.0	"1185"	3	3.0
1185.0			2	1	3	2		" "			70	" "	3	7	1.0	4						"1185"	3	3.0
1186.0	9	38	1	1	1	1		" "			64	" "	1	4	3.0	3					5500.0	"1186"	3	3.0
1186.0			1	1	1	1		" "			70	" "	2	7	2.0	3					4000.0	"1186"	3	3.0
1186.0			1	1	2	2		" "			70	" "	3	7	1.0	4						"1186"	3	3.0
1186.0			1	1	2	1		" "			69	" "	4	7	0.5	3					250.0	"1186"	3	3.0
1186.0			1	1	3	2		" "			69	" "	6	4	0.5	4						"1186"	3	3.0
1186.0			1	1	4	1		" "			31	" "	5	7	12.0	3					9000.0	"1186"	3	3.0
1186.0			1	1	5	5		" "				" "										"1186"	3	3.0
1187.0	9	7	1	1	1	1		" "			69	" "	1	7	0.5	3					100.0	"1187"	3	3.0
1188.0	9	17	1	1	1	4		" "		6		" "										"1188"	3	3.0
1188.0			1	1	2	1		" "			69	" "	1	7	0.5	3					50.0	"1188"	3	3.0
1189.0	8	30	2	1	1	1		" "			8	" "	1	6	4.0	1	200	0	2		5000.0	"1189"	3	3.0
1189.0			2	1	1	1		" "			64	" "	2	3	2.0	3					3000.0	"1189"	3	3.0
1189.0			2	1	1	1		" "			70	" "	3	7	2.0	3					3000.0	"1189"	3	3.0
1189.0			2	1	2	1		" "			69	" "	4	7	0.5	3					400.0	"1189"	3	3.0
1189.0			2	1	2	2		" "			70	" "	5	7	1.0	4						"1189"	3	3.0
1189.0			2	1	3	5		" "				" "										"1189"	3	3.0
1189.0			2	1	4	5		" "				" "										"1189"	3	3.0
1190.0	8	40	5	1	2	5		" "				" "										"1190"	3	3.0
1190.0			5	1	4	1		" "			23	" "	1	6	10.0	3					20000.0	"1190"	3	3.0
1190.0			5	1	5	1		" "			69	" "	2	7	0.25	3					50.0	"1190"	3	3.0
1191.0	8	25	1	1	1	1		" "			64	" "	1	1	2.0	3					1500.0	"1191"	3	3.0
1191.0			1	1	1	1		" "			70	" "	2	4	1.0	3					0.0	"1191"	3	3.0
1191.0			1	1	1	1		" "			69	" "	3	7	0.25	3					50.0	"1191"	3	3.0
1191.0			1	1	2	5		" "				" "										"1191"	3	3.0
1191.0			1	1	3	5		" "				" "										"1191"	3	3.0
1192.0	10	20	1	1	1	1		" "			50	" "	1	7	10.0	3					6000.0	"1192"	3	3.0
1192.0			1	1	1	1		" "			70	" "	2	7	1.0	3					2000.0	"1192"	3	3.0
1192.0			1	1	2	2		" "			70	" "	3	7	2.0	4						"1192"	3	3.0
1192.0			1	1	3	8		" "				" "										"1192"	3	3.0
1192.0			1	1	7	5		" "				" "										"1192"	3	3.0
1194.1	10	53	1	1	1	1		" "			64	" "	1	7	5.0	3					7000.0	"1194.1"	3	3.0
1194.1			1	1	1	1		" "			70	" "	2	7	0.5	3					0.0	"1194.1"	3	3.0
1194.1			1	1	2	2		" "			70	" "	3	7	1.5	4						"1194.1"	3	3.0
1194.1			1	1	2	1		" "			69	" "	4	7	0.5	3					300.0	"1194.1"	3	3.0
1194.1			1	1	7	1		" "			7	" "	5	6	8.0	1	400	0	2		5000.0	"1194.1"	3	3.0
1194.1			1	1	9	5		" "				" "										"1194.1"	3	3.0
1194.2	10	21	4	1	4	1		" "			70	" "	1	7	3.0	3					3000.0	"1194.2"	3	3.0
1194.2			4	1	5	2		" "			70	" "	2	7	2.0	4						"1194.2"	3	3.0
1194.2			4	1	6	5		" "				" "										"1194.2"	3	3.0
1194.2			4	1	8	5		" "				" "										"1194.2"	3	3.0
1195.0	15	30	1	1	1	8		" "				" "										"1195"	3	3.0
1196.0	8	15	1	1	1	1		" "			70	" "	1	7	1.0	3					7000.0	"1196"	3	3.0
1196.0			1	1	2	8		" "				" "										"1196"	3	3.0
1197.0	11	1	1	1	1	7		" "				" "										"1197"	3	3.0
1197.0			1	1	2	1		" "			69	" "	1	7	0.5	3					200.0	"1197"	3	3.0
1199.0	11	30	1	1	1	1		" "			3	" "	1	7	8.0	1	400	0	2		8000.0	"1199"	3	3.0
1199.0			1	1	1	1		" "			70	" "	2	7	2.0	3					3000.0	"1199"	3	3.0
1199.0			1	1	2	2		" "			70	" "	3	7	2.0	4						"1199"	3	3.0
1199.0			1	1	3	5		" "				" "										"1199"	3	3.0
1199.0			1	1	4	5		" "				" "										"1199"	3	3.0
1200.0	13	1	1	1	1	1		" "			3	" "	1	7	6.0	1	250	0	2		6000.0	"1200"	3	3.0
1200.0			1	1	1	1		" "			70	" "	2	7	2.0	3					4200.0	"1200"	3	3.0
1200.0			1	1	2	2		" "			70	" "	3	2	1.0	4						"1200"	3	3.0
1200.0			1	1	3	5		" "				" "										"1200"	3	3.0
1200.0			1	1	4	5		" "				" "										"1200"	3	3.0
1201.0	9	32	1	1	1	7		" "				" "										"1201"	3	3.0
1201.0			1	1	2	1		" "			69	" "	1	7	1.0	3					200.0	"1201"	3	3.0
1202.0	10	27	1	1	1	1		" "			25	" "	1	2	7.0	3					8000.0	"1202"	3	3.0
1202.0			1	1	1	1		" "			65	" "	2	3	7.0	3					5000.0	"1202"	3	3.0
1202.0			1	1	1	1		" "			70	" "	3	7	1.0	3					0.0	"1202"	3	3.0
1202.0			1	1	2	2		" "			70	" "	4	7	2.0	4						"1202"	3	3.0
1202.0			1	1	2	1		" "			69	" "	5	7	1.0	3					300.0	"1202"	3	3.0
1202.0			1	1	5	7		" "				" "										"1202"	3	3.0
1203.0	7	30	1	1	1	1		" "			64	" "	1	5	4.0	3					5000.0	"1203"	3	3.0
1203.0			1	1	1	1		" "			70	" "	2	7	1.0	3					1000.0	"1203"	3	3.0
1203.0			1	1	2	2		" "			70	" "	3	7	1.5	4						"1203"	3	3.0
1203.0			1	1	3	1		" "			24	" "	4	7	10.0	3					10000.0	"1203"	3	3.0
1203.0			1	1	4	1		" "			24	" "	5	7	10.0	3					8000.0	"1203"	3	3.0
1203.0			1	1	5	2		" "			70	" "	6	7	1.0	4						"1203"	3	3.0
1204.0	9	6	1	1	1	1		" "			64	" "	1	5	6.0	3					5300.0	"1204"	3	3.0
1204.0			1	1	1	1		" "			70	" "	2	7	1.0	3					4000.0	"1204"	3	3.0
1204.0			1	1	2	2		" "			70	" "	3	7	1.5	4						"1204"	3	3.0
1204.0			1	1	3	1		" "			13	" "	4	6	8.0	2					13000.0	"1204"	3	3.0
1205.0	15	28	1	1	1	1		" "			50	" "	1	7	10.0	3					7500.0	"1205"	3	3.0
1205.0			1	1	2	1		" "			11	"PLASTIC GODOWN SROMIC"	2	6	8.0	1	250	0	2		4500.0	"1205"	3	3.0
1205.0			1	1	4	5		" "				" "										"1205"	3	3.0
1205.0			1	1	5	5		" "				" "										"1205"	3	3.0
1206.0	8	40	1	1	1	1		" "			64	" "	1	5	2.0	3					7000.0	"1206"	3	3.0
1206.0			1	1	1	1		" "			70	" "	2	7	2.0	3					5000.0	"1206"	3	3.0
1206.0			1	1	2	1		" "			69	" "	3	7	0.25	3					100.0	"1206"	3	3.0
1206.0			1	1	2	2		" "			70	" "	4	7	0.25	4						"1206"	3	3.0
1206.0			1	1	3	1		" "			13	" "	5	6	8.0	2					12000.0	"1206"	3	3.0
1206.0			1	1	4	5		" "				" "										"1206"	3	3.0
1206.0			1	1	5	2		" "			70	" "	6	7	4.0	4						"1206"	3	3.0
1206.0			1	1	5	2		" "			69	" "	7	7	0.25	4						"1206"	3	3.0
1206.0			1	1	7	2		" "			69	" "	8	7	0.25	4						"1206"	3	3.0
1207.0	8	30	1	1	1	2		" "			70	" "	1	7	0.25	4						"1207"	3	3.0
1207.0			1	1	2	1		" "			70	" "	2	7	0.25	3					0.0	"1207"	3	3.0
1207.0			1	1	3	1		" "			64	" "	3	6	4.0	3					3000.0	"1207"	3	3.0
1207.0			1	1	3	1		" "			69	" "	4	7	0.25	3					0.0	"1207"	3	3.0
1207.0			1	1	3	1		" "			1	" "	5	5	8.0	1	400	0	2		6000.0	"1207"	3	3.0
1208.0	9	39	1	1	1	1		" "			64	" "	1	3	4.0	3					6000.0	"1208"	3	3.0
1208.0			1	1	1	1		" "			70	" "	2	7	2.0	3					9000.0	"1208"	3	3.0
1208.0			1	1	2	2		" "			70	" "	3	7	1.0	4						"1208"	3	3.0
1208.0			1	1	3	2		" "			70	" "	4	7	1.0	4						"1208"	3	3.0
1208.0			1	1	4	5		" "				" "										"1208"	3	3.0
1208.0			1	1	5	5		" "				" "										"1208"	3	3.0
1208.0			1	1	6	5		" "				" "										"1208"	3	3.0
1209.0	8	50	1	1	1	1		" "			64	" "	1	4	3.0	3					3000.0	"1209"	3	3.0
1209.0			1	1	1	1		" "			70	" "	2	7	2.0	3					7000.0	"1209"	3	3.0
1209.0			1	1	2	2		" "			70	" "	3	7	1.0	4						"1209"	3	3.0
1209.0			1	1	3	5		" "				" "										"1209"	3	3.0
1209.0			1	1	4	5		" "				" "										"1209"	3	3.0
1210.0	9	59	1	1	1	4		" "		3		" "										"1210"	3	3.0
1210.0			1	1	2	8		" "				" "										"1210"	3	3.0
1210.0			1	1	3	5		" "				" "										"1210"	3	3.0
1210.0			1	1	4	5		" "				" "										"1210"	3	3.0
1211.0	7	45	1	1	1	1		" "			65	" "	1	3	1.0	3					15000.0	"1211"	3	3.0
1211.0			1	1	1	1		" "			21	"DOKANE KAJ KORE"	2	6	6.0	2					14000.0	"1211"	3	3.0
1211.0			1	1	2	1		" "			69	" "	3	7	0.25	3					500.0	"1211"	3	3.0
1211.0			1	1	3	1		" "			13	" "	4	6	12.0	2					15000.0	"1211"	3	3.0
1211.0			1	1	4	2		" "			69	" "	5	7	0.25	4						"1211"	3	3.0
1211.0			1	1	5	5		" "				" "										"1211"	3	3.0
1212.0	8	50	5	1	1	7		" "				" "										"1212"	3	3.0
1212.0			5	1	2	1		" "			69	" "	1	7	0.25	3					100.0	"1212"	3	3.0
1212.0			5	1	2	2		" "			70	" "	2	7	0.25	4						"1212"	3	3.0
1212.0			5	1	3	5		" "				" "										"1212"	3	3.0
1212.0			5	1	4	2		" "			70	" "	4	7	0.5	4						"1212"	3	3.0
1212.0			5	1	4	2		" "			69	" "	3	7	0.25	4						"1212"	3	3.0
1212.0			5	1	5	1		" "			70	" "	5	7	14.0	3					15000.0	"1212"	3	3.0
1212.0			5	1	5	1		" "			23	" "	6	6	10.0	3					10000.0	"1212"	3	3.0
1212.0			5	1	5	1		" "			65	" "	7	2	1.0	3					7000.0	"1212"	3	3.0
1212.0			5	1	6	5		" "				" "										"1212"	3	3.0
1213.0	10	7	1	1	1	1		" "			64	" "	1	5	4.0	3					3000.0	"1213"	3	3.0
1213.0			1	1	2	1		" "			70	" "	2	7	1.0	3					0.0	"1213"	3	3.0
1213.0			1	1	2	1		" "			69	" "	3	7	0.5	3					200.0	"1213"	3	3.0
1213.0			1	1	4	8		" "				" "										"1213"	3	3.0
1214.0	9	27	1	1	1	1		" "			64	" "	1	2	1.0	3					4000.0	"1214"	3	3.0
1214.0			1	1	1	1		" "			37	" "	2	6	8.0	1	400	0	2		6000.0	"1214"	3	3.0
1214.0			1	1	2	8		" "				" "										"1214"	3	3.0
1214.0			1	1	4	5		" "				" "										"1214"	3	3.0
1215.0	9	47	1	1	1	7		" "				" "										"1215"	3	3.0
1215.0			1	1	2	8		" "				" "										"1215"	3	3.0
1215.0			1	1	3	5		" "				" "										"1215"	3	3.0
1215.0			1	1	4	1		" "			19	" "	1	6	8.0	2					20000.0	"1215"	3	3.0
1216.0	9	49	1	1	1	1		" "			69	" "	1	7	0.5	3					200.0	"1216"	3	3.0
1216.0			1	1	3	2		" "			69	" "	2	7	0.5	4						"1216"	3	3.0
1216.0			1	1	4	5		" "				" "										"1216"	3	3.0
1216.0			1	1	5	8		" "				" "										"1216"	3	3.0
1216.0			1	1	6	5		" "				" "										"1216"	3	3.0
1216.0			1	1	7	5		" "				" "										"1216"	3	3.0
1217.0	9	37	1	1	1	1		" "			50	" "	1	7	8.0	3					1500.0	"1217"	3	3.0
1217.0			1	1	2	2		" "			50	" "	2	7	2.0	4						"1217"	3	3.0
1217.0			1	1	3	5		" "				" "										"1217"	3	3.0
1219.0	14	40	1	1	1	8		" "				" "										"1219"	3	3.0
1220.0	8	50	3	1	1	2		" "			65	" "	1	2	1.0	4						"1220"	3	3.0
1220.0			3	1	2	1		" "			70	" "	2	7	12.0	3					5000.0	"1220"	3	3.0
1220.0			3	1	3	1		" "			65	" "	3	2	4.0	3					5000.0	"1220"	3	3.0
1220.0			3	1	3	1		" "			1	" "	4	4	8.0	1	400	0	2		4800.0	"1220"	3	3.0
1220.0			3	1	3	1		" "			70	" "	5	7	1.0	3					0.0	"1220"	3	3.0
1220.0			3	1	4	2		" "			70	" "	6	7	0.5	4						"1220"	3	3.0
1220.0			3	1	4	1		" "			69	" "	7	7	1.0	3					50.0	"1220"	3	3.0
1220.0			3	1	5	5		" "				" "										"1220"	3	3.0
1221.0	9	35	1	1	1	1		" "			28	" "	1	7	10.0	3					8000.0	"1221"	3	3.0
1221.0			1	1	2	8		" "				" "										"1221"	3	3.0
1221.0			1	1	4	5		" "				" "										"1221"	3	3.0
1221.0			1	1	5	5		" "				" "										"1221"	3	3.0
1222.0	7	20	1	1	1	7		" "				" "										"1222"	3	3.0
1222.0			1	1	2	8		" "				" "										"1222"	3	3.0
1223.0	8	35	1	1	1	8		" "				" "										"1223"	3	3.0
1223.0			1	1	2	1		" "			13	" "	1	4	7.0	2					10000.0	"1223"	3	3.0
1223.0			1	1	2	1		" "			46	" "	2	6	2.0	3					1500.0	"1223"	3	3.0
1224.0	15	35	3	1	2	8		" "				" "										"1224"	3	3.0
1224.0			3	1	3	1		" "			23	" "	1	7	10.0	3					15000.0	"1224"	3	3.0
1224.0			3	1	4	8		" "				" "										"1224"	3	3.0
1225.0	8	50	1	1	1	2		" "			69	" "	1	7	0.25	4						"1225"	3	3.0
1225.0			1	1	3	1		" "			69	" "	2	7	0.25	3					100.0	"1225"	3	3.0
1226.0	8	40	1	1	1	1		" "			51	" "	1	7	11.0	3					20000.0	"1226"	3	3.0
1226.0			1	1	2	8		" "				" "										"1226"	3	3.0
1226.0			1	1	5	5		" "				" "										"1226"	3	3.0
1227.0	9	21	1	1	1	1		" "			64	" "	1	3	4.0	3					3000.0	"1227"	3	3.0
1227.0			1	1	1	1		" "			70	" "	2	7	1.0	3					2000.0	"1227"	3	3.0
1227.0			1	1	2	2		" "			70	" "	4	7	1.0	4						"1227"	3	3.0
1227.0			1	1	3	8		" "				" "										"1227"	3	3.0
1227.0			1	1	5	2		" "			64	" "	3	4	2.0	4						"1227"	3	3.0
1227.0			1	1	5	2		" "			70	" "	5	7	1.0	4						"1227"	3	3.0
1227.0			1	1	6	8		" "				" "										"1227"	3	3.0
1229.0	15	40	1	1	1	1		" "			69	" "	1	7	0.5	3					200.0	"1229"	3	3.0
1229.0			1	1	2	5		" "				" "										"1229"	3	3.0
1229.0			1	1	3	7		" "				" "										"1229"	3	3.0
1229.0			1	1	4	1		" "			21	"DOKAN KORMOCHARI"	2	1	8.0	2					6000.0	"1229"	3	3.0
1230.0	11	41	1	1	1	8		" "				" "										"1230"	3	3.0
1230.0			1	1	2	2		" "			50	" "	1	7	2.0	4						"1230"	3	3.0
1230.0			1	1	3	1		" "			50	" "	2	7	10.0	3					8000.0	"1230"	3	3.0
1232.0	9	19	1	1	1	8		" "				" "										"1232"	3	3.0
1233.0	12	26	1	1	1	1		" "			69	" "	1	7	0.5	3					200.0	"1233"	3	3.0
1233.0			1	1	3	5		" "				" "										"1233"	3	3.0
1233.0			1	1	4	7		" "				" "										"1233"	3	3.0
1234.0	9	57	1	1	1	1		" "			69	" "	1	7	0.5	3					200.0	"1234"	3	3.0
1234.0			1	1	2	5		" "				" "										"1234"	3	3.0
1234.0			1	1	3	5		" "				" "										"1234"	3	3.0
1235.0	8	54	1	1	1	8		" "				" "										"1235"	3	3.0
1236.0	9	12	4	1	2	8		" "				" "										"1236"	3	3.0
1236.0			4	1	3	8		" "				" "										"1236"	3	3.0
1236.0			4	1	4	1		" "			28	" "	1	7	10.0	3					18000.0	"1236"	3	3.0
1236.0			4	1	5	2		" "			28	" "	2	7	10.0	4						"1236"	3	3.0
