a01	stime_h_c	stime_m_c	res_id_c	consent_c	mid_c	c01	c02	c02oth	c03	c04	c05	c05oth	c06	c07	c08	c09	c10	c11	c12	c13	c14	hhid2	hh_type	round
7.0	9	49	1	1	1	1		" "			68	" "	1	4	3.0	3					30000.0	"7"	3	3.0
7.0			1	1	1	1		" "			70	" "	2	7	2.0	3					0.0	"7"	3	3.0
7.0			1	1	2	1		" "			69	" "	3	7	1.0	3					200.0	"7"	3	3.0
7.0			1	1	3	5		" "				" "										"7"	3	3.0
7.0			1	1	6	8		" "				" "										"7"	3	3.0
8.0	9	42	1	1	1	1		" "			68	" "	1	2	1.0	3					8000.0	"8"	3	3.0
8.0			1	1	2	1		" "			69	" "	2	7	1.0	3					500.0	"8"	3	3.0
8.0			1	1	3	5		" "				" "										"8"	3	3.0
8.0			1	1	4	2		" "			69	" "	3	7	1.0	4						"8"	3	3.0
9.0	16	18	1	1	1	1		" "			65	" "	1	7	6.0	3					15000.0	"9"	3	3.0
9.0			1	1	2	1		" "			69	" "	2	7	1.0	3					200.0	"9"	3	3.0
9.0			1	1	2	1		" "			24	" "	3	4	3.0	3					1000.0	"9"	3	3.0
9.0			1	1	3	2		" "			69	" "	4	2	0.25	4						"9"	3	3.0
9.0			1	1	4	5		" "				" "										"9"	3	3.0
10.1	14	50	3	1	1	7		" "				" "										"10.1"	3	3.0
10.1			3	1	3	1		" "			65	" "	1	7	2.0	3					4100.0	"10.1"	3	3.0
10.1			3	1	3	1		" "			1	" "	2	4	8.0	1	300	0	2		4500.0	"10.1"	3	3.0
10.1			3	1	4	1		" "			69	" "	3	7	1.0	3					50.0	"10.1"	3	3.0
10.1			3	1	6	5		" "				" "										"10.1"	3	3.0
10.1			3	1	7	5		" "				" "										"10.1"	3	3.0
10.2	13	25	3	1	2	9		" "				" "										"10.2"	3	3.0
10.2			3	1	3	1		" "			64	" "	1	7	3.0	3					6750.0	"10.2"	3	3.0
10.2			3	1	4	1		" "			69	" "	2	7	1.0	3					0.0	"10.2"	3	3.0
11.1	9	0	1	1	1	1		" "			1	" "	1	4	8.0	1	400	0	2		7200.0	"11.1"	3	3.0
11.1			1	1	1	1		" "			64	" "	2	3	1.0	3					4000.0	"11.1"	3	3.0
11.1			1	1	2	1		" "			69	" "	3	7	1.0	3					50.0	"11.1"	3	3.0
11.2	14	13	4	1	4	1		" "			7	" "	1	3	8.0	1	350	0	2		6300.0	"11.2"	3	3.0
11.2			4	1	7	8		" "				" "										"11.2"	3	3.0
11.3	9	38	3	1	3	1		" "			22	" "	1	7	10.0	3					8000.0	"11.3"	3	3.0
11.3			3	1	6	1		" "			69	" "	2	7	1.0	3					0.0	"11.3"	3	3.0
12.0	10	4	1	1	1	1		" "			1	" "	1	7	12.0	1	500	100	2		8000.0	"12"	3	3.0
12.0			1	1	1	1		" "			70	" "	2	7	1.0	3					0.0	"12"	3	3.0
12.0			1	1	2	1		" "			69	" "	3	7	1.0	3					0.0	"12"	3	3.0
12.0			1	1	3	5		" "				" "										"12"	3	3.0
12.0			1	1	4	8		" "				" "										"12"	3	3.0
13.0	9	51	1	1	1	1		" "			1	" "	1	4	8.0	1	400	0	2		4000.0	"13"	3	3.0
