a01	stime_h_q	stime_m_q	res_id_q	consent_q	q_01	q_02	q_03	q_04	q_05	q_06	q_07	q_08	q_09	q_10	q_11	q_11b	q_11c	q_12	q_13	q_14	q_15	q_16	q_17	q_18	q_19	q_19a	q_19b	q_19c	q_20	q_20a	q_20a_2	q_20a_3	q_20b	q_20b_2	q_20b_3	q_20c	q_20c_2	q_20c_3	q_20d_1	q_20d_2	q_20d_3	q_21	etime_h_q	etime_m_q	flag_q_20b_3	flag_q_20c_3	hhid2	hh_type	round
3046.0	14	20	1	1	3		800	1.0	3	3	1	2	4	1	1	1		180.0	1	1	110.0	5	400.0	1		3			1	1	1	" "	2		" "	2		" "	6			80	14	26			"3046"	3	3.0
3047.0	12	9	1	1	1	2000		8.0	0	1	1	2	4	1	3	2	1	432.0	1	2	180.0	5	0.0	1		3			4	1	1	" "	1	5	" "	1	2	" "	6			500	12	15			"3047"	3	3.0
3048.0	11	26	2	1	1	1000		3.0	0	2	2	2	4	1	1	1		324.0	1	2	300.0	5	800.0	1		3			2	1	2	" "	1	3	" "	2		" "	1			220	11	33			"3048"	3	3.0
3049.0	10	41	1	1	1	500		6.0	1	3	2	2	4	1	2	3	2	216.0	1	2	166.0	6	0.0	1		3			1	1	1	" "	2		" "	2		" "	1			3000	10	49			"3049"	3	3.0
3050.0	14	1	1	1	1	1500		8.0	0	3	1	2	1	1	4	1		675.0	1	2	600.0	5	0.0	1		3			2	1	3	" "	1	5	" "	2		" "	1			350	14	5			"3050"	3	3.0
3051.0	15	1	1	1	2	1500		15.0	0	3	2	2	4	1	1	2	1	288.0	1	2	320.0	5	0.0	1		3			2	1	8	" "	1	7	" "	2		" "	1			200	15	10			"3051"	3	3.0
3052.0	11	46	1	1	1	1000		3.0	0	2	4	2	4	1	1	2	1	162.0	1	2	350.0	5	1500.0	1		3			4	1	1	" "	1	5	" "	1	4	" "	6			500	11	53			"3052"	3	3.0
3053.0	10	50	1	1	1	400		10.0	0	4	4	2	4	1	1	1		221.0	1	2	120.0	5	500.0	1		3			1	2		" "	1	3	" "	2		" "	6			80	10	54			"3053"	3	3.0
3054.0	16	8	1	1	1	1000		12.0	0	3	1	2	1	1	2	2	1	360.0	1	2	96.0	5	0.0	1		3			2	1	1	" "	1	2	" "	2		" "	1			220	16	15			"3054"	3	3.0
3055.0	17	47	1	1	1	1500		35.0	1	2	1	3	1	1	2	2	1	396.0	1	2	150.0	5	1000.0	1		3			2	1	1	" "	1	2	" "	2		" "	1			300	17	59			"3055"	3	3.0
3056.0	17	20	1	1	1	500		3.0	0	3	4	2	4	1	1	2	2	396.0	1	2	94.0	5	600.0	1		3			1	1	3	" "	2		" "	2		" "	6			30	17	26			"3056"	3	3.0
3057.0	13	30	1	1	1	3000		20.0	0	2	1	2	1	1	5	1		1152.0	1	2	420.0	5	0.0	1		3			3	1	1	" "	1	5	" "	1	7	" "	1	4		400	13	49			"3057"	3	3.0
3058.0	12	38	3	1	1	1500		30.0	0	1	1	2	1	1	2	2	1	288.0	1	2	430.0	3	700.0	1		3			2	1	3	" "	1	4	" "	2		" "	6			300	12	44			"3058"	3	3.0
3059.0	17	49	1	1	1	1000		2.0	1	2	4	2	4	1	2	2	1	396.0	1	2	200.0	9	0.0	1		3			2	1	1	" "	1	2	" "	2		" "	1			100	17	58			"3059"	3	3.0
3060.0	12	8	1	1	1	500		6.0	2	3	2	2	4	1	2	1		252.0	2			5	400.0	4	80	3			1	1	3	" "	2		" "	2		" "	1			200	12	19			"3060"	3	3.0
3062.1	15	53	1	1	1	1000		10.0	8	2	2	2	4	1	3	2	1	360.0	1	2	76.0	9	0.0	1		3			1	1	5	" "	2		" "	2		" "	6			100	15	58			"3062.1"	3	3.0
3062.2	16	11	3	1	1	500		2.0	1	2	2	2	4	1	1	2	2	180.0	2			9	0.0	4	140	3			1	1	3	" "	2		" "	2		" "	6			30	16	17			"3062.2"	3	3.0
3063.0	15	20	1	1	1	500		2.0	0	1	1	2	1	1	3	1		540.0	1	2	0.0	5	0.0	1		3			1	1	1	" "	2		" "	2		" "	6			50	15	25			"3063"	3	3.0
3065.0	11	30	1	1	1	500		12.0	1	4	2	2	4	1	1	2	1	180.0	1	2	110.0	5	500.0	1		3			2	1	1	" "	1	2	" "	2		" "	1			500	11	33			"3065"	3	3.0
3066.0	16	21	1	1	1	1000		15.0	1	4	1	2	1	1	1	2	1	324.0	1	2	30.0	5	0.0	1		3			0	2		" "	2		" "	2		" "	6				16	26			"3066"	3	3.0
3067.0	14	13	1	1	1	400		4.0	2	4	2	2	4	1	2	3	2	405.0	1	2	80.0	5	0.0	1		3			1	1	1	" "	2		" "	2		" "	6			200	14	19			"3067"	3	3.0
3068.0	16	31	6	1	1	4000		20.0	0	1	1	2	1	1	5	2	1	2025.0	1	2	0.0	5	0.0	1		3			4	1	1	" "	1	4	" "	1	6	" "	6			500	16	36			"3068"	3	3.0
3069.0	13	20	1	1	1	600		8.0	0	3	2	2	4	1	2	2	1	405.0	1	2	100.0	5	0.0	1		3			1	1	1	" "	2		" "	2		" "	6			360	13	24			"3069"	3	3.0
3070.0	15	25	5	1	1	10000		12.0	0	1	1	2	1	1	7	2	1	900.0	1	2	425.0	5	0.0	1		3			10	1	5	" "	1	2	" "	1	13	" "	1			4000	15	30			"3070"	3	3.0
3071.1	14	22	1	1	1	1200		20.0	1	3	1	2	4	1	2	2	1	405.0	1	2	80.0	1		1		3			1	1	1	" "	2		" "	2		" "	6			100	14	23			"3071.1"	3	3.0
3071.2	15	29	8	1	1	1000		20.0	2	1	1	2	4	1	1	2	1	180.0	1	2	50.0	5	0.0	1		3			1	1	8	" "	2		" "	2		" "	6			100	15	36			"3071.2"	3	3.0
3072.0	11	16	1	1	1	5000		15.0	1	2	1	1	1	1	6	2	1	1620.0	1	2	200.0	5	1200.0	1		3			3	1	1	" "	1	2	" "	1	4	" "	6			400	11	20			"3072"	3	3.0
3073.0	12	51	2	1	1	600		4.0	0	3	5	2	4	1	1	2	1	540.0	1	2	100.0	9	0.0	1		3			1	1	3	" "	2		" "	2		" "	6			100	13	0			"3073"	3	3.0
3074.0	15	19	1	1	1	1000		16.0	0	1	1	2	1	1	3	2	1	468.0	1	2	42.0	5	0.0	1		3			2	1	1	" "	1	3	" "	2		" "	6			20	15	26			"3074"	3	3.0
