a01	j2a_01	j2a_02	j2a_03y	j2a_03m	j2a_04	j2a_04oth	j2a_05	j2a_06	j2a_09	j2a_09oth	j2a_10	j2a_10oth	etime_h_j	etime_m_j	hhid2	hh_type	round
2925.0	2					" "				" "		" "	14	42	"2925"	3	3.0
2926.0	1	2				" "				" "		" "	9	47	"2926"	3	3.0
2927.0	1	2				" "				" "		" "	10	14	"2927"	3	3.0
2928.0	1	2				" "				" "		" "	10	55	"2928"	3	3.0
2929.0	2					" "				" "		" "	10	55	"2929"	3	3.0
2930.0	1	2				" "				" "		" "	10	7	"2930"	3	3.0
2931.0	2					" "				" "		" "	9	54	"2931"	3	3.0
2932.0	1	2				" "				" "		" "	14	48	"2932"	3	3.0
2933.0	1	2				" "				" "		" "	10	36	"2933"	3	3.0
2934.0	2					" "				" "		" "	0		"2934"	3	3.0
2935.0	1	2				" "				" "		" "	11	50	"2935"	3	3.0
2936.0	1	2				" "				" "		" "	16	28	"2936"	3	3.0
2938.0	1	2				" "				" "		" "	10	34	"2938"	3	3.0
2939.0	1	2				" "				" "		" "	12	40	"2939"	3	3.0
2940.0	1	2				" "				" "		" "	11	25	"2940"	3	3.0
2941.0	1	2				" "				" "		" "	4	59	"2941"	2	3.0
2942.0	2					" "				" "		" "	3	34	"2942"	2	3.0
2943.0	1	2				" "				" "		" "	10	41	"2943"	2	3.0
2944.0	1	2				" "				" "		" "	10	32	"2944"	2	3.0
2945.0	1	1	2018	5	2	" "	2	1		" "		" "	11	20	"2945"	2	3.0
2946.0	1	2				" "				" "		" "	5	50	"2946"	2	3.0
2947.0	1	2				" "				" "		" "	9	48	"2947"	2	3.0
2948.0	1	2				" "				" "		" "	6	20	"2948"	2	3.0
2949.1	1	2				" "				" "		" "	8	5	"2949.1"	2	3.0
2949.2	1	2				" "				" "		" "	9	54	"2949.2"	2	3.0
2950.0	1	2				" "				" "		" "	10	19	"2950"	2	3.0
2951.1	1	2				" "				" "		" "	4	6	"2951.1"	2	3.0
2951.2	1	2				" "				" "		" "	12	5	"2951.2"	2	3.0
2952.0	1	2				" "				" "		" "	3	1	"2952"	2	3.0
2953.1	1	2				" "				" "		" "	9	35	"2953.1"	2	3.0
2953.2	1	2				" "				" "		" "	9	46	"2953.2"	2	3.0
2954.0	1	1	2013	1	2	" "	2	2	2	" "		" "	10	38	"2954"	2	3.0
2955.0	1	2				" "				" "		" "	3	45	"2955"	2	3.0
2956.0	1	1	2012	11	2	" "	2	1		" "		" "	5	15	"2956"	2	3.0
2957.0	1	2				" "				" "		" "	1	28	"2957"	2	3.0
2958.0	1	2				" "				" "		" "	5	53	"2958"	2	3.0
2959.0	1	2				" "				" "		" "	10	10	"2959"	2	3.0
2960.0	1	2				" "				" "		" "	12	30	"2960"	2	3.0
2961.1	1	2				" "				" "		" "	11	20	"2961.1"	3	3.0
2961.2	1	2				" "				" "		" "	11	51	"2961.2"	3	3.0
2962.0	1	2				" "				" "		" "	10	10	"2962"	3	3.0
2963.0	1	2				" "				" "		" "	13	56	"2963"	3	3.0
2964.0	1	2				" "				" "		" "	11	44	"2964"	3	3.0
2965.0	1	2				" "				" "		" "	9	57	"2965"	3	3.0
2966.0	1	1	2013	12	2	" "	1	2	3	" "		" "	12	39	"2966"	3	3.0
2967.0	1	2				" "				" "		" "	16	18	"2967"	3	3.0
2968.0	1	2				" "				" "		" "	9	21	"2968"	3	3.0
2969.0	1	2				" "				" "		" "	13	50	"2969"	3	3.0
2970.0	1	2				" "				" "		" "	12	19	"2970"	3	3.0
2971.0	1	1	2018	12	12	" "	1	1		" "		" "	11	37	"2971"	3	3.0
2972.0	1	2				" "				" "		" "	16	0	"2972"	3	3.0
2973.0	2					" "				" "		" "	9	53	"2973"	3	3.0
2974.0	1	2				" "				" "		" "	10	38	"2974"	3	3.0
2975.0	2					" "				" "		" "	15	48	"2975"	3	3.0
2976.0	1	2				" "				" "		" "	11	8	"2976"	3	3.0
2977.0	1	2				" "				" "		" "	12	27	"2977"	3	3.0
2978.0	1	2				" "				" "		" "	12	38	"2978"	3	3.0
2979.0	1	2				" "				" "		" "	10	48	"2979"	3	3.0
2980.0	1	2				" "				" "		" "	12	6	"2980"	3	3.0
2981.0	1	2				" "				" "		" "	8	57	"2981"	3	3.0
2982.0	1	2				" "				" "		" "	10	20	"2982"	3	3.0
2983.11	1	1	2018	3	2	" "	2	3		" "	5	" "	14	1	"2983.1.1"	3	3.0
2983.12	2					" "				" "		" "	8	44	"2983.1.2"	3	3.0
2983.2	1	2				" "				" "		" "	12	25	"2983.2"	3	3.0
2984.1	1	2				" "				" "		" "	11	25	"2984.1"	3	3.0
2984.2	2					" "				" "		" "	14	58	"2984.2"	3	3.0
2985.0	1	2				" "				" "		" "	11	15	"2985"	3	3.0
2986.0	2					" "				" "		" "	11	42	"2986"	3	3.0
2987.0	2					" "				" "		" "	17	27	"2987"	3	3.0
2988.0	1	2				" "				" "		" "	11	45	"2988"	3	3.0
2989.0	2					" "				" "		" "	11	8	"2989"	3	3.0
2990.0	1	2				" "				" "		" "	14	25	"2990"	3	3.0
2991.0	1	2				" "				" "		" "	12	57	"2991"	3	3.0
2992.1	1	2				" "				" "		" "	11	50	"2992.1"	3	3.0
2992.2	1	2				" "				" "		" "	12	42	"2992.2"	3	3.0
2993.0	1	2				" "				" "		" "	10	38	"2993"	3	3.0
2994.0	1	2				" "				" "		" "	14	1	"2994"	3	3.0
2995.0	1	2				" "				" "		" "	12	27	"2995"	3	3.0
2996.0	1	2				" "				" "		" "	11	17	"2996"	3	3.0
2997.0	1	2				" "				" "		" "	11	13	"2997"	3	3.0
2998.0	2					" "				" "		" "	10	34	"2998"	3	3.0
2999.0	1	2				" "				" "		" "	12	28	"2999"	3	3.0
3001.0	1	2				" "				" "		" "	11	38	"3001"	3	3.0
3002.1	1	2				" "				" "		" "	12	59	"3002.1"	3	3.0
3002.2	1	2				" "				" "		" "	8	25	"3002.2"	3	3.0
3003.0	1	2				" "				" "		" "	12	20	"3003"	3	3.0
3004.0	1	2				" "				" "		" "	12	35	"3004"	3	3.0
3005.0	1	2				" "				" "		" "	10	37	"3005"	3	3.0
3006.0	1	2				" "				" "		" "	14	6	"3006"	3	3.0
3007.1	1	2				" "				" "		" "	11	20	"3007.1"	3	3.0
3007.2	1	2				" "				" "		" "	10	21	"3007.2"	3	3.0
3008.0	1	2				" "				" "		" "	10	44	"3008"	3	3.0
3009.0	1	2				" "				" "		" "	12	25	"3009"	3	3.0
3010.0	1	2				" "				" "		" "	13	1	"3010"	3	3.0
3011.0	1	2				" "				" "		" "	11	13	"3011"	3	3.0
3012.0	1	2				" "				" "		" "	9	37	"3012"	3	3.0
3013.0	1	1	2017	12	2	" "	1	1		" "		" "	12	56	"3013"	3	3.0
3014.1	1	2				" "				" "		" "	11	53	"3014.1"	3	3.0
3014.2	2					" "				" "		" "	14	20	"3014.2"	3	3.0
3015.0	1	2				" "				" "		" "	11	10	"3015"	3	3.0
3016.0	2					" "				" "		" "	12	30	"3016"	3	3.0
3017.0	1	2				" "				" "		" "	12	35	"3017"	3	3.0
3018.0	1	2				" "				" "		" "	11	27	"3018"	3	3.0
3019.0	1	2				" "				" "		" "	11	28	"3019"	3	3.0
3020.0	1	2				" "				" "		" "	15	56	"3020"	3	3.0
3021.0	1	2				" "				" "		" "	16	57	"3021"	3	3.0
3022.0	1	2				" "				" "		" "	10	39	"3022"	3	3.0
3023.0	1	2				" "				" "		" "	10	20	"3023"	3	3.0
3024.0	1	1	2014	3	2	" "	2	2	3	" "		" "	13	16	"3024"	3	3.0
3025.0	1	2				" "				" "		" "	10	32	"3025"	3	3.0
3026.1	1	2				" "				" "		" "	12	57	"3026.1"	3	3.0
3026.2	1	2				" "				" "		" "	12	16	"3026.2"	3	3.0
3027.0	1	1	2016	12	2	" "	1	2	3	" "		" "	12	1	"3027"	3	3.0
3028.1	1	2				" "				" "		" "	12	20	"3028.1"	3	3.0
3028.2	1	2				" "				" "		" "	11	26	"3028.2"	3	3.0
3028.3	2					" "				" "		" "	10	35	"3028.3"	3	3.0
3029.1	1	2				" "				" "		" "	10	47	"3029.1"	3	3.0
3029.2	2					" "				" "		" "	11	0	"3029.2"	3	3.0
3030.0	1	2				" "				" "		" "	12	16	"3030"	3	3.0
3031.0	1	2				" "				" "		" "	9	10	"3031"	3	3.0
3032.0	1	2				" "				" "		" "	16	30	"3032"	3	3.0
3033.0	2					" "				" "		" "	12	5	"3033"	3	3.0
3034.0	1	2				" "				" "		" "	11	5	"3034"	3	3.0
3035.1	1	2				" "				" "		" "	12	57	"3035.1"	3	3.0
3035.2	1	2				" "				" "		" "	16	3	"3035.2"	3	3.0
3036.0	1	2				" "				" "		" "	9	28	"3036"	3	3.0
3037.0	1	2				" "				" "		" "	11	36	"3037"	3	3.0
3038.0	1	2				" "				" "		" "	12	10	"3038"	3	3.0
3039.0	1	2				" "				" "		" "	12	23	"3039"	3	3.0
3040.0	1	2				" "				" "		" "	11	59	"3040"	3	3.0
3041.0	1	2				" "				" "		" "	11	8	"3041"	3	3.0
3042.0	1	2				" "				" "		" "	12	48	"3042"	3	3.0
3043.0	1	1	2017	11	2	" "	2	1		" "		" "	13	52	"3043"	3	3.0
3044.0	1	2				" "				" "		" "	11	8	"3044"	3	3.0
3045.0	1	2				" "				" "		" "	11	0	"3045"	3	3.0
3046.0	1	2				" "				" "		" "	13	24	"3046"	3	3.0
3047.0	1	2				" "				" "		" "	11	15	"3047"	3	3.0
3048.0	1	2				" "				" "		" "	10	20	"3048"	3	3.0
3049.0	1	2				" "				" "		" "	9	45	"3049"	3	3.0
3050.0	1	2				" "				" "		" "	13	4	"3050"	3	3.0
3051.0	1	2				" "				" "		" "	13	26	"3051"	3	3.0
3052.0	1	2				" "				" "		" "	10	50	"3052"	3	3.0
3053.0	2					" "				" "		" "	10	12	"3053"	3	3.0
3054.0	1	2				" "				" "		" "	14	50	"3054"	3	3.0
3055.0	1	2				" "				" "		" "	16	25	"3055"	3	3.0
3056.0	2					" "				" "		" "	16	24	"3056"	3	3.0
3057.0	1	2				" "				" "		" "	11	59	"3057"	3	3.0
3058.0	2					" "				" "		" "	11	27	"3058"	3	3.0
3059.0	1	2				" "				" "		" "	16	52	"3059"	3	3.0
3060.0	1	2				" "				" "		" "	10	49	"3060"	3	3.0
3062.1	1	2				" "				" "		" "	14	46	"3062.1"	3	3.0
3062.2	2					" "				" "		" "	16	45	"3062.2"	3	3.0
3063.0	1	1	2018	1	2	" "	1	1		" "		" "	12	50	"3063"	3	3.0
