a01	j2a_01	j2a_02	j2a_03y	j2a_03m	j2a_04	j2a_04oth	j2a_05	j2a_06	j2a_09	j2a_09oth	j2a_10	j2a_10oth	etime_h_j	etime_m_j	hhid2	hh_type	round
1454.0	1	1	2013	12	2	" "	1	2	3	" "		" "	11	2	"1454"	3	3.0
1455.1	2					" "				" "		" "	8	42	"1455.1"	3	3.0
1455.2	1	2				" "				" "		" "	9	55	"1455.2"	3	3.0
1455.3	2					" "				" "		" "	13	25	"1455.3"	3	3.0
1456.0	1	2				" "				" "		" "	10	42	"1456"	3	3.0
1457.0	1	2				" "				" "		" "	9	5	"1457"	3	3.0
1458.0	1	2				" "				" "		" "	13	40	"1458"	3	3.0
1459.0	2					" "				" "		" "	9	42	"1459"	3	3.0
1460.0	1	2				" "				" "		" "	10	25	"1460"	3	3.0
1462.0	1	2				" "				" "		" "	9	55	"1462"	3	3.0
1463.0	1	1	2016	6	2	" "	2	2	3	" "		" "	14	55	"1463"	3	3.0
1464.0	1	2				" "				" "		" "	10	35	"1464"	3	3.0
1465.0	1	2				" "				" "		" "	10	35	"1465"	3	3.0
1466.0	2					" "				" "		" "	14	35	"1466"	3	3.0
1467.1	1	2				" "				" "		" "	10	56	"1467.1"	3	3.0
1467.2	1	2				" "				" "		" "	11	4	"1467.2"	3	3.0
1468.0	1	2				" "				" "		" "	15	15	"1468"	3	3.0
1469.0	1	2				" "				" "		" "	11	10	"1469"	3	3.0
1470.0	1	1	2015	4	10	" "	1	3		" "	5	" "	11	33	"1470"	3	3.0
1471.0	1	2				" "				" "		" "	9	40	"1471"	3	3.0
1472.0	1	2				" "				" "		" "	10	35	"1472"	3	3.0
1473.0	1	2				" "				" "		" "	9	35	"1473"	3	3.0
1474.0	2					" "				" "		" "	11	0	"1474"	3	3.0
1475.0	1	2				" "				" "		" "	9	55	"1475"	3	3.0
1476.0	1	2				" "				" "		" "	10	50	"1476"	3	3.0
1477.0	1	2				" "				" "		" "	9	35	"1477"	3	3.0
1478.0	2					" "				" "		" "	17	46	"1478"	3	3.0
1479.0	1	2				" "				" "		" "	11	10	"1479"	3	3.0
1480.0	2					" "				" "		" "	11	10	"1480"	3	3.0
1481.0	2					" "				" "		" "	10	25	"1481"	3	3.0
1482.0	2					" "				" "		" "	15	20	"1482"	3	3.0
1483.0	1	2				" "				" "		" "	10	30	"1483"	3	3.0
1485.0	2					" "				" "		" "	9	35	"1485"	3	3.0
1486.0	2					" "				" "		" "	13	25	"1486"	3	3.0
1487.0	1	2				" "				" "		" "	11	30	"1487"	3	3.0
1488.0	2					" "				" "		" "	11	10	"1488"	3	3.0
1489.0	2					" "				" "		" "	10	55	"1489"	3	3.0
1490.0	1	2				" "				" "		" "	11	5	"1490"	3	3.0
1491.0	1	2				" "				" "		" "	17	40	"1491"	3	3.0
1492.0	1	2				" "				" "		" "	11	25	"1492"	3	3.0
1493.0	1	2				" "				" "		" "	10	45	"1493"	3	3.0
1494.0	2					" "				" "		" "	13	46	"1494"	3	3.0
1495.1	1	2				" "				" "		" "	10	28	"1495.1"	3	3.0
1495.2	2					" "				" "		" "	9	50	"1495.2"	3	3.0
1495.3	2					" "				" "		" "	15	35	"1495.3"	3	3.0
1496.0	1	2				" "				" "		" "	9	48	"1496"	3	3.0
1497.0	1	2				" "				" "		" "	9	45	"1497"	3	3.0
1498.0	1	2				" "				" "		" "	10	15	"1498"	3	3.0
1499.0	1	2				" "				" "		" "	9	35	"1499"	3	3.0
1500.0	1	2				" "				" "		" "	12	40	"1500"	3	3.0
1502.0	1	2				" "				" "		" "	12	45	"1502"	3	3.0
1505.0	1	2				" "				" "		" "	13	0	"1505"	3	3.0
1506.0	1	2				" "				" "		" "	11	57	"1506"	3	3.0
1507.0	1	1	2010	6	2	" "	1	2	3	" "		" "	12	20	"1507"	3	3.0
1510.0	1	2				" "				" "		" "	12	31	"1510"	3	3.0
1511.0	1	2				" "				" "		" "	11	2	"1511"	3	3.0
1514.0	1	2				" "				" "		" "	13	12	"1514"	3	3.0
1515.0	1	2				" "				" "		" "	14	3	"1515"	3	3.0
1516.0	1	2				" "				" "		" "	14	10	"1516"	3	3.0
1519.1	1	2				" "				" "		" "	12	9	"1519.1"	3	3.0
1519.2	1	1	2016	4	2	" "	1	1		" "		" "	12	35	"1519.2"	3	3.0
1520.0	1	2				" "				" "		" "	10	44	"1520"	3	3.0
1521.1	1	2				" "				" "		" "	15	45	"1521.1"	3	3.0
1521.2	1	2				" "				" "		" "	16	16	"1521.2"	3	3.0
1522.1	2					" "				" "		" "	16	40	"1522.1"	3	3.0
1522.2	1	2				" "				" "		" "	10	23	"1522.2"	3	3.0
1523.0	1	2				" "				" "		" "	11	48	"1523"	3	3.0
1524.0	1	2				" "				" "		" "	12	20	"1524"	3	3.0
1525.1	1	2				" "				" "		" "	12	53	"1525.1"	3	3.0
1525.2	2					" "				" "		" "	16	20	"1525.2"	3	3.0
1526.0	1	2				" "				" "		" "	12	52	"1526"	3	3.0
1527.0	1	2				" "				" "		" "	14	28	"1527"	3	3.0
1528.0	1	1	2009	2	12	" "	2	2	3	" "		" "	12	48	"1528"	3	3.0
1529.0	1	1	2009	2	2	" "	2	2	3	" "		" "	12	0	"1529"	3	3.0
1530.0	1	2				" "				" "		" "	14	30	"1530"	3	3.0
1531.0	1	2				" "				" "		" "	12	49	"1531"	3	3.0
1532.0	1	2				" "				" "		" "	14	30	"1532"	3	3.0
1533.0	1	2				" "				" "		" "	11	0	"1533"	3	3.0
1534.0	1	2				" "				" "		" "	11	0	"1534"	3	3.0
1535.0	1	2				" "				" "		" "	13	5	"1535"	3	3.0
1536.0	1	2				" "				" "		" "	10	58	"1536"	3	3.0
1537.0	1	2				" "				" "		" "	11	59	"1537"	3	3.0
1538.0	1	2				" "				" "		" "	12	55	"1538"	3	3.0
1540.0	1	1	2009	3	2	" "	2	2	3	" "		" "	18	35	"1540"	3	3.0
1541.0	1	2				" "				" "		" "	10	59	"1541"	3	3.0
1542.0	1	2				" "				" "		" "	11	5	"1542"	3	3.0
1543.0	1	2				" "				" "		" "	11	50	"1543"	3	3.0
1546.0	2					" "				" "		" "	10	50	"1546"	3	3.0
1547.0	1	2				" "				" "		" "	14	26	"1547"	3	3.0
1548.0	1	1	2016	2	12	" "	1	2	3	" "		" "	14	15	"1548"	3	3.0
1549.1	1	1	2012	4	2	" "	1	2	3	" "		" "	14	23	"1549.1"	3	3.0
1549.2	1	2				" "				" "		" "	9	21	"1549.2"	3	3.0
1550.0	1	1	2014	9	2	" "	1	3		" "	5	" "	13	25	"1550"	3	3.0
1551.0	1	1	2012	6	12	" "	1	2	3	" "		" "	12	30	"1551"	3	3.0
1552.0	1	2				" "				" "		" "	11	45	"1552"	3	3.0
1553.0	1	2				" "				" "		" "	16	30	"1553"	3	3.0
1556.0	1	1	2014	8	2	" "	2	2	3	" "		" "	0		"1556"	3	3.0
1557.0	1	2				" "				" "		" "	11	32	"1557"	3	3.0
1558.0	1	2				" "				" "		" "	12	29	"1558"	3	3.0
1559.0	1	1	2009	3	12	" "	1	2	3	" "		" "	15	10	"1559"	3	3.0
1560.0	1	2				" "				" "		" "	9	52	"1560"	3	3.0
1561.0	1	2				" "				" "		" "	8	25	"1561"	3	3.0
1563.0	1	1	2003	4	2	" "	1	2	2	" "		" "	14	22	"1563"	3	3.0
1564.0	1	2				" "				" "		" "	13	42	"1564"	3	3.0
1565.0	1	2				" "				" "		" "	12	14	"1565"	3	3.0
1566.0	1	2				" "				" "		" "	13	59	"1566"	3	3.0
1568.0	1	2				" "				" "		" "	13	10	"1568"	3	3.0
1570.0	1	2				" "				" "		" "	11	58	"1570"	3	3.0
1571.0	1	1	2015	2	2	" "	1	2	1	" "		" "	11	27	"1571"	3	3.0
1573.0	1	2				" "				" "		" "	10	58	"1573"	3	3.0
1574.0	1	2				" "				" "		" "	9	58	"1574"	3	3.0
1575.0	1	2				" "				" "		" "	10	18	"1575"	3	3.0
1576.0	1	2				" "				" "		" "	10	26	"1576"	3	3.0
1577.1	1	2				" "				" "		" "	11	25	"1577.1"	3	3.0
1577.2	1	2				" "				" "		" "	14	11	"1577.2"	3	3.0
1578.0	1	2				" "				" "		" "	12	46	"1578"	3	3.0
1579.0	1	2				" "				" "		" "	17	35	"1579"	3	3.0
1580.0	1	2				" "				" "		" "	14	42	"1580"	3	3.0
1581.0	1	2				" "				" "		" "	0		"1581"	3	3.0
1582.0	1	1	2014	2	1	" "	2	2	3	" "		" "	17	5	"1582"	3	3.0
1583.0	1	1	2008	5	2	" "	2	2	3	" "		" "	14	52	"1583"	3	3.0
1584.0	1	1	2008	2	2	" "	1	2	3	" "		" "	13	2	"1584"	3	3.0
1585.0	1	1	2013	4	2	" "	2	2	3	" "		" "	15	8	"1585"	3	3.0
1586.1	1	2				" "				" "		" "	11	9	"1586.1"	3	3.0
1586.2	1	2				" "				" "		" "	15	6	"1586.2"	3	3.0
1587.0	2					" "				" "		" "	10	52	"1587"	3	3.0
1588.0	1	2				" "				" "		" "	15	47	"1588"	3	3.0
1589.0	1	2				" "				" "		" "	11	44	"1589"	3	3.0
1590.0	1	2				" "				" "		" "	11	27	"1590"	3	3.0
1591.0	1	2				" "				" "		" "	13	45	"1591"	3	3.0
1592.0	2					" "				" "		" "	10	48	"1592"	3	3.0
1595.0	1	2				" "				" "		" "	12	20	"1595"	3	3.0
1596.0	1	2				" "				" "		" "	12	50	"1596"	3	3.0
1597.0	1	2				" "				" "		" "	15	58	"1597"	3	3.0
1598.0	2					" "				" "		" "	10	32	"1598"	3	3.0
1599.0	1	2				" "				" "		" "	10	46	"1599"	3	3.0
1600.1	1	2				" "				" "		" "	11	55	"1600.1"	3	3.0
1600.21	1	2				" "				" "		" "	15	8	"1600.2.1"	3	3.0
1600.22	1	2				" "				" "		" "	12	15	"1600.2.2"	3	3.0
1601.0	2					" "				" "		" "	16	38	"1601"	3	3.0
1602.0	1	2				" "				" "		" "	9	50	"1602"	3	3.0
1603.0	1	2				" "				" "		" "	11	10	"1603"	3	3.0
1604.0	1	2				" "				" "		" "	10	56	"1604"	3	3.0
1605.0	2					" "				" "		" "	11	2	"1605"	3	3.0
1606.0	1	2				" "				" "		" "	11	13	"1606"	3	3.0
1607.0	1	2				" "				" "		" "	10	19	"1607"	3	3.0
1608.0	1	2				" "				" "		" "	11	15	"1608"	3	3.0
1609.0	1	2				" "				" "		" "	10	5	"1609"	3	3.0
1610.0	1	2				" "				" "		" "	11	20	"1610"	3	3.0
1611.0	1	2				" "				" "		" "	10	45	"1611"	3	3.0
1612.0	1	2				" "				" "		" "	10	4	"1612"	3	3.0
1613.0	1	2				" "				" "		" "	15	25	"1613"	3	3.0
1614.0	1	2				" "				" "		" "	10	4	"1614"	3	3.0
1615.0	1	2				" "				" "		" "	13	10	"1615"	3	3.0
1616.0	1	2				" "				" "		" "	9	53	"1616"	3	3.0
1617.0	1	2				" "				" "		" "	11	30	"1617"	3	3.0
1618.0	1	2				" "				" "		" "	15	14	"1618"	3	3.0
1619.0	1	2				" "				" "		" "	11	54	"1619"	3	3.0
1620.0	1	2				" "				" "		" "	11	5	"1620"	3	3.0
1621.0	1	2				" "				" "		" "	10	30	"1621"	3	3.0
1622.0	1	2				" "				" "		" "	11	8	"1622"	3	3.0
1623.0	1	2				" "				" "		" "	12	0	"1623"	3	3.0
1624.0	1	2				" "				" "		" "	16	20	"1624"	3	3.0
1625.1	1	2				" "				" "		" "	10	35	"1625.1"	3	3.0
1625.2	1	2				" "				" "		" "	9	53	"1625.2"	3	3.0
1625.3	2					" "				" "		" "	13	10	"1625.3"	3	3.0
1626.0	1	2				" "				" "		" "	14	35	"1626"	3	3.0
1627.0	1	2				" "				" "		" "	12	35	"1627"	3	3.0
1628.0	1	2				" "				" "		" "	12	3	"1628"	3	3.0
1629.0	1	2				" "				" "		" "	10	8	"1629"	3	3.0
1630.0	1	2				" "				" "		" "	11	45	"1630"	3	3.0
1631.0	1	2				" "				" "		" "	11	45	"1631"	3	3.0
1632.0	1	2				" "				" "		" "	9	35	"1632"	3	3.0
1633.0	1	2				" "				" "		" "	15	4	"1633"	3	3.0
1634.0	1	2				" "				" "		" "	11	30	"1634"	3	3.0
1635.0	1	2				" "				" "		" "	11	5	"1635"	3	3.0
1636.0	1	2				" "				" "		" "	14	10	"1636"	3	3.0
1637.0	1	2				" "				" "		" "	11	40	"1637"	3	3.0
1638.1	1	2				" "				" "		" "	11	3	"1638.1"	3	3.0
1638.2	1	2				" "				" "		" "	10	55	"1638.2"	3	3.0
1639.0	1	2				" "				" "		" "	12	18	"1639"	3	3.0
1640.1	1	2				" "				" "		" "	11	55	"1640.1"	3	3.0
1640.2	1	2				" "				" "		" "	10	30	"1640.2"	3	3.0
1641.0	1	2				" "				" "		" "	12	35	"1641"	3	3.0
1642.0	1	2				" "				" "		" "	11	50	"1642"	3	3.0
1643.0	1	2				" "				" "		" "	10	47	"1643"	3	3.0
1644.1	1	2				" "				" "		" "	11	42	"1644.1"	3	3.0
1644.2	1	2				" "				" "		" "	15	32	"1644.2"	3	3.0
1645.0	1	2				" "				" "		" "	15	55	"1645"	3	3.0
1646.0	1	2				" "				" "		" "	10	15	"1646"	3	3.0
1648.0	1	2				" "				" "		" "	11	9	"1648"	3	3.0
1649.0	1	2				" "				" "		" "	16	23	"1649"	3	3.0
1650.0	1	2				" "				" "		" "	10	5	"1650"	3	3.0
1651.0	1	2				" "				" "		" "	11	30	"1651"	3	3.0
1652.0	1	2				" "				" "		" "	11	45	"1652"	3	3.0
1653.0	1	2				" "				" "		" "	10	25	"1653"	3	3.0
1654.0	1	2				" "				" "		" "	10	34	"1654"	3	3.0
1655.0	1	2				" "				" "		" "	11	17	"1655"	3	3.0
1656.0	1	2				" "				" "		" "	15	5	"1656"	3	3.0
1657.1	1	2				" "				" "		" "	10	20	"1657.1"	3	3.0
1657.2	1	2				" "				" "		" "	15	58	"1657.2"	3	3.0
1658.0	1	2				" "				" "		" "	15	55	"1658"	3	3.0
1659.0	1	2				" "				" "		" "	10	30	"1659"	3	3.0
1660.0	1	2				" "				" "		" "	10	19	"1660"	3	3.0
1661.0	1	2				" "				" "		" "	9	57	"1661"	3	3.0
1662.0	1	2				" "				" "		" "	9	59	"1662"	3	3.0
1663.0	1	2				" "				" "		" "	11	45	"1663"	3	3.0
1664.0	1	2				" "				" "		" "	15	35	"1664"	3	3.0
1665.0	1	2				" "				" "		" "	9	35	"1665"	3	3.0
1666.0	1	2				" "				" "		" "	11	9	"1666"	3	3.0
1668.1	1	2				" "				" "		" "	11	33	"1668.1"	3	3.0
1668.2	2					" "				" "		" "	10	14	"1668.2"	3	3.0
1669.0	1	2				" "				" "		" "	10	25	"1669"	3	3.0
1670.0	1	2				" "				" "		" "	11	15	"1670"	3	3.0
1671.0	1	2				" "				" "		" "	15	54	"1671"	3	3.0
1672.0	1	2				" "				" "		" "	11	50	"1672"	3	3.0
1673.0	1	2				" "				" "		" "	10	30	"1673"	3	3.0
1674.0	1	2				" "				" "		" "	10	40	"1674"	3	3.0
1675.0	1	2				" "				" "		" "	12	5	"1675"	3	3.0
1676.0	1	2				" "				" "		" "	10	35	"1676"	3	3.0
1677.0	1	2				" "				" "		" "	9	36	"1677"	3	3.0
1678.0	1	2				" "				" "		" "	19	20	"1678"	3	3.0
1679.2	1	2				" "				" "		" "	9	45	"1679.2"	3	3.0
1680.0	1	2				" "				" "		" "	11	25	"1680"	3	3.0
1681.0	1	2				" "				" "		" "	15	10	"1681"	2	3.0
1682.0	1	2				" "				" "		" "	9	45	"1682"	2	3.0
1683.0	1	1	2014	7	1	" "	2	2	3	" "		" "	11	8	"1683"	2	3.0
1684.0	1	1	2003	8	12	" "	1	2	3	" "		" "	10	55	"1684"	2	3.0
1685.0	1	1	2013	1	2	" "	2	2	3	" "		" "	14	25	"1685"	2	3.0
1686.0	1	2				" "				" "		" "	10	25	"1686"	2	3.0
1687.0	1	2				" "				" "		" "	12	30	"1687"	2	3.0
1688.0	1	2				" "				" "		" "	10	30	"1688"	2	3.0
1689.0	1	2				" "				" "		" "	10	20	"1689"	2	3.0
1691.0	1	2				" "				" "		" "	13	0	"1691"	2	3.0
1693.0	1	1	2013	4	8	" "	1	2	3	" "		" "	10	30	"1693"	2	3.0
1694.0	1	2				" "				" "		" "	15	39	"1694"	2	3.0
1695.0	2					" "				" "		" "	13	52	"1695"	2	3.0
1696.0	1	1	2010	10	2	" "	2	2	3	" "		" "	13	59	"1696"	2	3.0
1697.0	1	2				" "				" "		" "	13	42	"1697"	2	3.0
1698.0	1	2				" "				" "		" "	12	23	"1698"	2	3.0
1699.0	1	2				" "				" "		" "	16	30	"1699"	2	3.0
1700.0	1	1	2010	2	1	" "	2	2	3	" "		" "	12	30	"1700"	2	3.0
1701.0	1	2				" "				" "		" "	14	28	"1701"	2	3.0
1702.0	1	2				" "				" "		" "	12	25	"1702"	2	3.0
1703.0	1	2				" "				" "		" "	9	12	"1703"	2	3.0
1704.0	1	2				" "				" "		" "	11	33	"1704"	2	3.0
1705.0	1	2				" "				" "		" "	12	30	"1705"	2	3.0
1706.0	1	2				" "				" "		" "	13	35	"1706"	2	3.0
1707.0	1	2				" "				" "		" "	13	32	"1707"	2	3.0
1708.1	1	1	2013	6	12	" "	1	2	3	" "		" "	16	0	"1708.1"	2	3.0
1708.2	1	2				" "				" "		" "	10	20	"1708.2"	2	3.0
1709.0	1	2				" "				" "		" "	13	5	"1709"	2	3.0
1710.0	1	2				" "				" "		" "	10	35	"1710"	2	3.0
1711.0	1	2				" "				" "		" "	10	20	"1711"	2	3.0
1712.0	1	2				" "				" "		" "	9	18	"1712"	2	3.0
1713.0	1	2				" "				" "		" "	15	22	"1713"	2	3.0
1714.0	1	1	2013	2	2	" "	2	2	4	"EI GRAM EKBAR DEA R DEA"		" "	12	25	"1714"	2	3.0
1715.0	1	2				" "				" "		" "	9	35	"1715"	2	3.0
1716.0	1	2				" "				" "		" "	12	15	"1716"	2	3.0
1717.0	1	1	2011	6	8	" "	2	2	3	" "		" "	12	5	"1717"	2	3.0
1718.0	1	2				" "				" "		" "	10	41	"1718"	2	3.0
1719.0	1	1	2001	6	2	" "	2	2	3	" "		" "	11	0	"1719"	2	3.0
1720.0	1	2				" "				" "		" "	12	20	"1720"	2	3.0
1721.0	1	1	2010	1	2	" "	2	2	3	" "		" "	13	28	"1721"	2	3.0
1722.0	1	1	2012	1	5	" "	2	2	3	" "		" "	12	30	"1722"	2	3.0
1723.0	1	1	2009	1	2	" "	2	2	3	" "		" "	14	40	"1723"	2	3.0
1724.1	1	2				" "				" "		" "	9	38	"1724.1"	2	3.0
1724.2	1	2				" "				" "		" "	15	4	"1724.2"	2	3.0
1724.3	1	2				" "				" "		" "	11	25	"1724.3"	2	3.0
1725.0	1	2				" "				" "		" "	12	0	"1725"	2	3.0
1726.0	1	2				" "				" "		" "	13	25	"1726"	2	3.0
1727.0	1	1	2016	6	2	" "	2	2	3	" "		" "	13	4	"1727"	2	3.0
1728.0	1	2				" "				" "		" "	11	13	"1728"	2	3.0
1729.1	1	2				" "				" "		" "	16	30	"1729.1"	2	3.0
1729.2	1	2				" "				" "		" "	10	23	"1729.2"	2	3.0
1730.0	1	1	2012	2	8	" "	2	2	3	" "		" "	11	25	"1730"	2	3.0
1731.0	1	2				" "				" "		" "	13	45	"1731"	2	3.0
1732.0	1	1	2012	5	2	" "	2	2	3	" "		" "	12	51	"1732"	2	3.0
1733.0	1	2				" "				" "		" "	17	10	"1733"	2	3.0
1735.0	1	2				" "				" "		" "	12	5	"1735"	2	3.0
1736.0	1	1	2010	10	2	" "	2	2	3	" "		" "	13	22	"1736"	2	3.0
1737.0	1	2				" "				" "		" "	10	25	"1737"	2	3.0
1738.0	1	1	2014	3	2	" "	2	2	3	" "		" "	13	31	"1738"	2	3.0
1739.1	1	2				" "				" "		" "	14	0	"1739.1"	2	3.0
1739.2	1	2				" "				" "		" "	12	27	"1739.2"	2	3.0
1740.0	1	2				" "				" "		" "	15	35	"1740"	2	3.0
1741.0	1	2				" "				" "		" "	13	40	"1741"	3	3.0
1742.0	1	2				" "				" "		" "	13	5	"1742"	3	3.0
1743.1	1	1	2018	4	2	" "	1	1		" "		" "	13	55	"1743.1"	3	3.0
1743.2	1	2				" "				" "		" "	11	10	"1743.2"	3	3.0
1745.0	1	2				" "				" "		" "	12	20	"1745"	3	3.0
1746.0	2					" "				" "		" "	10	52	"1746"	3	3.0
1749.1	1	2				" "				" "		" "	12	35	"1749.1"	3	3.0
1749.2	1	2				" "				" "		" "	13	10	"1749.2"	3	3.0
1750.0	1	1	2018	3	2	" "	2	1		" "		" "	12	45	"1750"	3	3.0
1751.0	1	2				" "				" "		" "	12	52	"1751"	3	3.0
1752.0	1	1	2016	6	2	" "	2	2	3	" "		" "	13	0	"1752"	3	3.0
1753.0	1	2				" "				" "		" "	12	40	"1753"	3	3.0
1754.0	1	1	2016	6	2	" "	2	2	3	" "		" "	12	24	"1754"	3	3.0
1755.0	1	2				" "				" "		" "	10	17	"1755"	3	3.0
1756.0	1	2				" "				" "		" "	11	7	"1756"	3	3.0
1757.0	1	2				" "				" "		" "	13	35	"1757"	3	3.0
1759.0	1	2				" "				" "		" "	11	32	"1759"	3	3.0
1760.0	1	1	2018	3	2	" "	1	1		" "		" "	14	5	"1760"	3	3.0
1761.0	1	2				" "				" "		" "	10	44	"1761"	3	3.0
1762.0	1	2				" "				" "		" "	13	4	"1762"	3	3.0
1763.0	1	2				" "				" "		" "	17	2	"1763"	3	3.0
1764.0	1	2				" "				" "		" "	11	20	"1764"	3	3.0
1765.0	1	2				" "				" "		" "	11	23	"1765"	3	3.0
1766.0	1	2				" "				" "		" "	12	13	"1766"	3	3.0
1767.0	1	2				" "				" "		" "	12	50	"1767"	3	3.0
1769.0	1	2				" "				" "		" "	11	11	"1769"	3	3.0
1770.0	1	2				" "				" "		" "	12	46	"1770"	3	3.0
1771.0	1	2				" "				" "		" "	10	38	"1771"	3	3.0
1772.0	1	2				" "				" "		" "	15	48	"1772"	3	3.0
1773.0	1	2				" "				" "		" "	11	4	"1773"	3	3.0
1774.0	1	2				" "				" "		" "	13	30	"1774"	3	3.0
1775.11	1	2				" "				" "		" "	16	7	"1775.1.1"	3	3.0
1775.12	1	2				" "				" "		" "	14	29	"1775.1.2"	3	3.0
1775.2	1	2				" "				" "		" "	12	58	"1775.2"	3	3.0
1775.3	1	2				" "				" "		" "	12	10	"1775.3"	3	3.0
1776.0	1	2				" "				" "		" "	10	27	"1776"	3	3.0
1777.0	1	2				" "				" "		" "	12	20	"1777"	3	3.0
1778.0	1	2				" "				" "		" "	11	50	"1778"	3	3.0
1779.0	1	2				" "				" "		" "	10	45	"1779"	3	3.0
1780.0	1	2				" "				" "		" "	11	25	"1780"	3	3.0
1781.0	1	2				" "				" "		" "	0		"1781"	3	3.0
1782.0	1	2				" "				" "		" "	0		"1782"	3	3.0
1783.0	1	2				" "				" "		" "	13	35	"1783"	3	3.0
1784.0	1	2				" "				" "		" "	0		"1784"	3	3.0
1786.0	1	2				" "				" "		" "	14	5	"1786"	3	3.0
1787.0	1	2				" "				" "		" "	16	40	"1787"	3	3.0
1788.0	1	2				" "				" "		" "	0		"1788"	3	3.0
1789.0	1	2				" "				" "		" "	11	20	"1789"	3	3.0
1790.0	1	2				" "				" "		" "	13	10	"1790"	3	3.0
1791.1	1	2				" "				" "		" "	12	47	"1791.1"	3	3.0
1791.2	1	1	2014	6	2	" "	2	2	3	" "		" "	12	23	"1791.2"	3	3.0
1791.3	1	2				" "				" "		" "	12	6	"1791.3"	3	3.0
1793.0	1	1	2014	6	2	" "	2	2	3	" "		" "	10	25	"1793"	3	3.0
1795.0	1	2				" "				" "		" "	12	50	"1795"	3	3.0
1796.0	1	2				" "				" "		" "	13	20	"1796"	3	3.0
1797.1	1	2				" "				" "		" "	15	20	"1797.1"	3	3.0
1797.2	1	2				" "				" "		" "	12	44	"1797.2"	3	3.0
1798.0	1	2				" "				" "		" "	0		"1798"	3	3.0
1799.0	1	2				" "				" "		" "	12	5	"1799"	3	3.0
1800.0	1	2				" "				" "		" "	0		"1800"	3	3.0
1801.0	1	2				" "				" "		" "	11	35	"1801"	3	3.0
1802.0	1	2				" "				" "		" "	14	5	"1802"	3	3.0
1803.1	1	2				" "				" "		" "	15	25	"1803.1"	3	3.0
1803.2	1	2				" "				" "		" "	10	5	"1803.2"	3	3.0
1804.0	1	2				" "				" "		" "	11	30	"1804"	3	3.0
1805.0	1	2				" "				" "		" "	11	35	"1805"	3	3.0
1806.0	1	2				" "				" "		" "	10	25	"1806"	3	3.0
1807.0	1	2				" "				" "		" "	10	33	"1807"	3	3.0
1808.1	1	2				" "				" "		" "	15	46	"1808.1"	3	3.0
1808.2	1	2				" "				" "		" "	10	27	"1808.2"	3	3.0
1809.0	1	2				" "				" "		" "	10	45	"1809"	3	3.0
1810.0	1	2				" "				" "		" "	14	20	"1810"	3	3.0
1811.1	1	2				" "				" "		" "	11	10	"1811.1"	3	3.0
1811.2	1	2				" "				" "		" "	15	5	"1811.2"	3	3.0
1812.0	1	2				" "				" "		" "	12	43	"1812"	3	3.0
1813.0	1	2				" "				" "		" "	16	10	"1813"	3	3.0
1814.0	1	2				" "				" "		" "	12	56	"1814"	3	3.0
1815.0	1	1	2014	6	2	" "	2	2	3	" "		" "	13	20	"1815"	3	3.0
1816.0	1	2				" "				" "		" "	16	52	"1816"	3	3.0
1817.0	1	2				" "				" "		" "	12	24	"1817"	3	3.0
1818.0	1	2				" "				" "		" "	12	13	"1818"	3	3.0
1819.0	1	2				" "				" "		" "	17	52	"1819"	3	3.0
1820.0	1	2				" "				" "		" "	10	50	"1820"	3	3.0
1821.0	1	1	2014	6	2	" "	1	2	3	" "		" "	12	48	"1821"	3	3.0
1822.0	1	2				" "				" "		" "	12	57	"1822"	3	3.0
1823.0	1	2				" "				" "		" "	13	8	"1823"	3	3.0
1824.0	1	2				" "				" "		" "	13	45	"1824"	3	3.0
1825.0	1	2				" "				" "		" "	10	22	"1825"	3	3.0
1826.0	1	2				" "				" "		" "	13	35	"1826"	3	3.0
1827.0	1	2				" "				" "		" "	13	40	"1827"	3	3.0
1828.0	1	2				" "				" "		" "	8	48	"1828"	3	3.0
1829.0	1	1	2014	6	2	" "	2	2	3	" "		" "	15	26	"1829"	3	3.0
1830.0	1	2				" "				" "		" "	13	45	"1830"	3	3.0
1832.1	1	2				" "				" "		" "	9	41	"1832.1"	3	3.0
1832.2	1	2				" "				" "		" "	16	12	"1832.2"	3	3.0
1833.0	1	2				" "				" "		" "	11	0	"1833"	3	3.0
1834.0	1	2				" "				" "		" "	13	5	"1834"	3	3.0
1835.0	1	1	2015	8	2	" "	2	2	3	" "		" "	14	1	"1835"	3	3.0
1836.0	1	2				" "				" "		" "	13	25	"1836"	3	3.0
1837.0	1	2				" "				" "		" "	11	25	"1837"	3	3.0
1838.0	1	1	2016	6	2	" "	2	2	3	" "		" "	13	30	"1838"	3	3.0
1839.0	1	1	2014	6	2	" "	1	2	3	" "		" "	12	52	"1839"	3	3.0
1840.0	1	2				" "				" "		" "	14	15	"1840"	3	3.0
1841.0	1	1	2016	6	2	" "	2	2	3	" "		" "	11	46	"1841"	3	3.0
1842.0	1	2				" "				" "		" "	13	48	"1842"	3	3.0
1843.11	1	2				" "				" "		" "	13	35	"1843.1.1"	3	3.0
1843.12	1	2				" "				" "		" "	12	5	"1843.1.2"	3	3.0
1843.2	1	2				" "				" "		" "	13	35	"1843.2"	3	3.0
1844.0	1	2				" "				" "		" "	11	25	"1844"	3	3.0
1845.0	1	1	2016	6	2	" "	2	2	3	" "		" "	13	48	"1845"	3	3.0
1846.0	1	2				" "				" "		" "	12	5	"1846"	3	3.0
