a01	stime_h_z12	stime_m_z12	res_id_z12	consent_z12	z_1	z_2	z1_01	z1_02	z1_02oth	z1_03	z1_03oth	z1_04	z1_05	z1_06	z1_06oth	z1_07	z1_08	z1_08oth	z1_09	z1_09oth	z1_10	z1_11	z1_11oth	z1_12	z1_13	z1_13oth	z1_14	z1_14oth	z1_15a	z1_15aoth	z1_15b	z1_15both	z1_15c	z1_15coth	z1_15d	z1_15doth	z1_15e	z1_15eoth	z1_16a	z1_16b	z1_16c	z1_16d	flag	hhid2	hh_type	round
5039.0	8.0	11.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	3.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"5039"	3.0	3.0
5040.0	10.0	26.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	2.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	2.0	2.0	1.0	1.0		"5040"	3.0	3.0
5041.0	13.0	12.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	3.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	2.0	2.0	2.0	2.0		"5041"	3.0	3.0
5042.0	14.0	0.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"5042"	3.0	3.0
5043.0	17.0	6.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	3.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"5043"	3.0	3.0
5044.0	14.0	40.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	2.0	1.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"5044"	3.0	3.0
5045.0	10.0	32.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	2.0	2.0	" "	1.0	3.0	" "	3.0	" "	2.0	" "	2.0	" "	2.0	" "	3.0	" "	2.0	" "	1.0	1.0	1.0	1.0		"5045"	3.0	3.0
5046.0	9.0	14.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	3.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"5046"	3.0	3.0
5047.0	15.0	16.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"5047"	3.0	3.0
5048.1	16.0	55.0	2.0	1.0	2.0	2.0	1.0		" "		" "		3.0	3.0	" "	2.0		" "	2.0	" "	2.0	3.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	2.0	2.0	2.0	2.0		"5048.1"	3.0	3.0
5048.2	12.0	43.0	7.0	1.0	7.0	2.0	2.0	3.0	" "		" "				" "			" "		" "			" "	1.0	3.0	" "	3.0	" "	1.0	" "	1.0	" "	1.0	" "	9.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"5048.2"	3.0	3.0
5049.0	15.0	13.0	2.0	1.0	2.0	2.0	1.0		" "		" "		3.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	9.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"5049"	3.0	3.0
5050.0	17.0	9.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	9.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"5050"	3.0	3.0
5051.0	17.0	43.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	2.0	3.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	9.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"5051"	3.0	3.0
5052.0	14.0	11.0	2.0	1.0	2.0	2.0	1.0		" "		" "		3.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	2.0	2.0	2.0	2.0		"5052"	3.0	3.0
5053.0	14.0	41.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	3.0	3.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"5053"	3.0	3.0
5054.0	12.0	32.0	2.0	1.0	2.0	2.0	2.0	3.0	" "		" "				" "			" "		" "			" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"5054"	3.0	3.0
5055.0	17.0	31.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	2.0	3.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	2.0	2.0	2.0	2.0		"5055"	3.0	3.0
5056.0	10.0	31.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	1.0	3.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"5056"	3.0	3.0
5057.0	13.0	6.0	5.0	1.0	5.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	2.0	3.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	9.0	" "	3.0	" "	2.0	2.0	2.0	1.0		"5057"	3.0	3.0
5058.1	13.0	12.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"5058.1"	3.0	3.0
5058.2	15.0	30.0	7.0	1.0	7.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	2.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	9.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"5058.2"	3.0	3.0
5059.0	15.0	17.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"5059"	3.0	3.0
5060.0	15.0	6.0	2.0	1.0	2.0	2.0	1.0		" "		" "		3.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"5060"	3.0	3.0
5061.0	13.0	32.0	2.0	1.0	2.0	2.0	2.0	3.0	" "		" "				" "			" "		" "			" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"5061"	3.0	3.0
5062.0	15.0	57.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"5062"	3.0	3.0
5063.0	11.0	58.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	3.0	3.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"5063"	3.0	3.0
5064.0	12.0	46.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"5064"	3.0	3.0
5065.0	12.0	19.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	3.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"5065"	3.0	3.0
5066.0	12.0	9.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	1.0	3.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	2.0	2.0	1.0	1.0		"5066"	3.0	3.0
