a01	stime_h_b2	stime_m_b2	res_id_b2	consent_b2	mid_b2	b2_01	b2_02	b2_02oth	b2_03	b2_04	b2_05	b2_05oth	b2_06a	b2_06b	b2_07	b2_08	b2_08a	b2_08b	b2_08c	b2_08d	b2_09	b2_10	b2_11	b2_12a	b2_12b	b2_13	b2_14	b2_14oth	etime_h_b2	etime_m_b2	hhid2	flag_b2	hh_type	round
41.0			1	1	5	1		" "	2008	1	1	" "	2.0	20.0	1	1	1	0	1	500	1	10	1	1		9999		" "			"41"		2	3.0
42.0	9	0	2	1	3	1		" "	2010	66	1	" "	1.0	10.0	1	1	1	0	1	1200	8	9	2	8		9999		" "	9	5	"42"		2	3.0
42.0			2	1	4	1		" "	2013	66	1	" "	1.0	10.0	1	1	1	0	1	500	5	5	2	5		9999		" "			"42"		2	3.0
42.0			2	1	6	1		" "	2016	66	1	" "	1.0	10.0	1	1	1	0	2		5	2	2	5		9999		" "			"42"		2	3.0
43.0	9	57	2	1	4	1		" "	2009	66	2	" "	0.5	10.0	1	1	2	0	1	500	1	8	2	1		9999		" "	10	3	"43"		2	3.0
43.0			2	1	5	1		" "	2014	66	1	" "	0.5	10.0	1	1	1	0	1	250	5	4	2	5		9999		" "			"43"		2	3.0
44.0	9	0	2	1	4	1		" "	2017	66	1	" "	1.0	10.0	1	1	1	0	2		5	1	2	5		9999		" "	9	5	"44"		2	3.0
45.0	10	40	1	1	99			" "				" "																" "	0		"45"		2	3.0
46.0	9	1	1	1	3	1		" "	2001	1	1	" "	1.0	10.0	2	2								1		2010	6	" "	9	10	"46"		2	3.0
46.0			1	1	5	1		" "	2000	1	1	" "	1.0	10.0	2	2								1		2007	9	" "			"46"		2	3.0
46.0			1	1	7	1		" "	2004	1	1	" "	1.0	10.0	2	2								1		2010	9	" "			"46"		2	3.0
47.0	11	0	1	1	3	1		" "	2004	1	2	" "	0.5	10.0	2	2								1		2011	9	" "	11	9	"47"		2	3.0
47.0			1	1	5	1		" "	2006	66	2	" "	1.0	15.0	1	2								8		2017	21	" "			"47"		2	3.0
48.0	9	24	1	1	7	1		" "	2014	66	1	" "	0.5	10.0	1	1	1	0	1	500	5	4	2	5		9999		" "	9	30	"48"		2	3.0
49.0	9	10	1	1	99			" "				" "																" "	9	15	"49"		2	3.0
50.0	10	0	1	1	3	1		" "	2014	66	1	" "	0.25	3.0	1	1	1	0	2		5	3	2	5		9999		" "	10	5	"50"		2	3.0
50.0			1	1	4	1		" "	2012	66	1	" "	0.25	3.0	1	1	1	0	2		1	5	2	1		9999		" "			"50"		2	3.0
51.0	9	16	1	1	2	1		" "	2004	1	1	" "	5.0	35.0	1	1	1	25	1	1000	1	13	2	1		9999		" "	10	27	"51"		2	3.0
51.0			1	1	3	1		" "	2008	1	2	" "	0.5	8.0	1	1	2	100	1	1000	1	10	1	5		9999		" "			"51"		2	3.0
51.0			1	1	4	1		" "	2013	1	2	" "	1.0	10.0	1	1	2	0	1	1500	1	6	2	5		9999		" "			"51"		2	3.0
52.0	9	40	2	1	4	1		" "	2012	66	1	" "	1.0	15.0	1	1	1	0	1	200	5	5	2	5		9999		" "	9	45	"52"		2	3.0
53.0	9	30	1	1	3	1		" "	2013	1	2	" "	0.5	10.0	1	1	2	0	1	500	1	6	2	5		9999		" "	9	40	"53"		2	3.0
53.0			1	1	4	1		" "	2017	1	1	" "	0.5	10.0	1	1	1	0	1	200	5	2	2	5		9999		" "			"53"		2	3.0
