a01	stime_h_b2	stime_m_b2	res_id_b2	consent_b2	mid_b2	b2_01	b2_02	b2_02oth	b2_03	b2_04	b2_05	b2_05oth	b2_06a	b2_06b	b2_07	b2_08	b2_08a	b2_08b	b2_08c	b2_08d	b2_09	b2_10	b2_11	b2_12a	b2_12b	b2_13	b2_14	b2_14oth	etime_h_b2	etime_m_b2	hhid2	flag_b2	hh_type	round
1126.0	9	6	6	1	2	1		" "	2005	1	2	" "	2.5	12.0	2	2								1		2011	12	" "	9	14	"1126"		3	3.0
1126.0			6	1	3	1		" "	2011	1	2	" "	2.5	12.0	1	1	2	60	2		1	6	1	1		9999		" "			"1126"		3	3.0
1126.0			6	1	4	1		" "	2007	1	2	" "	2.5	12.0	1	2								1		2017	21	" "			"1126"		3	3.0
1127.0	13	15	2	1	3	1		" "	2013	66	7	" "	1.0	10.0	1	1	2	200	1	500	1	5	2	1		9999		" "	13	19	"1127"		3	3.0
1127.0			2	1	4	1		" "	2014	66	7	" "	2.0	20.0	1	1	2	200	1	300	1	4	2	1		9999		" "			"1127"		3	3.0
1128.0	8	46	6	1	3	1		" "	2013	66	10	" "	1.0	10.0	1	1	2	0	2		1	77	2	1		9999		" "	8	51	"1128"		3	3.0
1128.0			6	1	4	1		" "	2015	66	10	" "	1.0	10.0	1	1	2	90	2		1	3	2	1		9999		" "			"1128"		3	3.0
1128.0			6	1	7	1		" "	2006	1	2	" "	1.0	10.0	2	2								1		2013	10	" "			"1128"		3	3.0
1128.0			6	1	9	1		" "	2007	1	2	" "	2.0	20.0	1	2								8		2018	7	" "			"1128"		3	3.0
1129.0	0			1	99			" "				" "																" "	0		"1129"		3	3.0
1130.0	8	41	3	1	6	1		" "	2014	66	10	" "	1.0	10.0	1	1	2	180	2		1	2	1	1		9999		" "	8	45	"1130"		3	3.0
1130.0			3	1	11	1		" "	2017	66	10	" "	1.0	10.0	1	1	2	90	2		1	1	2	1		9999		" "			"1130"		3	3.0
1131.0	11	10	1	1	3	1		" "	2006	1	1	" "	1.0	10.0	2	2								1		2012	10	" "	11	20	"1131"		3	3.0
1131.0			1	1	6	1		" "	2014	1	10	" "	0.0	0.0	1	1	2	0	2		1	77	2	5		9999		" "			"1131"		3	3.0
1132.0	7	50	1	1	3	1		" "	2005	1	1	" "	1.0	10.0	2	2								1		2008	10	" "	7	54	"1132"		3	3.0
1133.0	8	45	1	1	5	1		" "	2000	1	1	" "	0.25	2.0	2	2								1		2006	10	" "	8	54	"1133"		3	3.0
1133.0			1	1	6	1		" "	2006	1	9	" "	2.0	15.0	1	1	2	50	1	1000	1	13	2	1		9999		" "			"1133"		3	3.0
1133.0			1	1	7	1		" "	2012	66	8	" "	0.0	0.0	1	1	2	0	2		1	4	1	1		9999		" "			"1133"		3	3.0
1133.0			1	1	8	1		" "	2012	66	7	" "	2.0	20.0	1	1	2	90	1	300	1	6	2	5		9999		" "			"1133"		3	3.0
1134.0	0			1	99			" "				" "																" "	0		"1134"		3	3.0
1135.0	8	36	7	1	2	1		" "	2007	1	7	" "	2.0	10.0	2	2								1		2017	9	" "	8	48	"1135"		3	3.0
1135.0			7	1	3	1		" "	2008	1	7	" "	2.0	10.0	1	2								1		2018	9	" "			"1135"		3	3.0
1135.0			7	1	4	1		" "	2009	1	2	" "	3.0	15.0	1	1	2	150	2		1	10	1	1		9999		" "			"1135"		3	3.0
1135.0			7	1	5	1		" "	2016	1	1	" "	0.5	5.0	1	1	1	0	2		5	2	1	5		9999		" "			"1135"		3	3.0
1135.0			7	1	6	1		" "	2016	1	1	" "	0.5	5.0	1	1	1	0	2		5	3	2	5		9999		" "			"1135"		3	3.0
1136.0	13	20	1	1	2	1		" "	2015	66	12	" "	0.5	5.0	1	1	2	200	1	1000	1	3	2	1		9999		" "	13	26	"1136"		3	3.0
1136.0			1	1	4	1		" "	2018	66	12	" "	0.5	5.0	2	1	2	200	1	1000	1	66	9					" "			"1136"		3	3.0
1137.0	8	45	1	1	6	1		" "	2006	1	1	" "	33.0	50.0	1	1	1	30	1	700	1	13	2	1		9999		" "	8	59	"1137"		3	3.0
1137.0			1	1	7	1		" "	2010	1	2	" "	5.0	30.0	1	1	2	100	2		1	8	1	1		9999		" "			"1137"		3	3.0
1137.0			1	1	8	1		" "	2009	1	7	" "	2.0	10.0	1	1	2	0	2		1	10	2	1		9999		" "			"1137"		3	3.0
1137.0			1	1	9	1		" "	2016	1	10	" "	2.0	10.0	1	1	1	0	2		1	3	2	1		9999		" "			"1137"		3	3.0
1138.0	16	2	1	1	2	1		" "	2016	66	12	" "	0.5	5.0	1	1	2	120	2		1	2	2	1		9999		" "	16	7	"1138"		3	3.0
1139.0	13	35	1	1	3	1		" "	2011	66	7	" "	0.25	3.0	2	2								5		2017	10	" "	13	40	"1139"		3	3.0
1139.0			1	1	4	1		" "	2014	66	7	" "	2.0	20.0	1	1	2	0	2		1	3	1	1		9999		" "			"1139"		3	3.0
1140.0	8	42	1	1	4	1		" "	2007	1	1	" "	1.0	10.0	2	2								5		2011	9	" "	8	48	"1140"		3	3.0
1140.0			1	1	5	1		" "	2008	1	1	" "	1.0	10.0	2	2								1		2012	10	" "			"1140"		3	3.0
1140.0			1	1	6	1		" "	2010	1	2	" "	3.0	10.0	1	1	2	250	2		1	9	2	5		9999		" "			"1140"		3	3.0
1140.0			1	1	7	1		" "	2015	66	1	" "	1.0	10.0	2	2								1		2016	2	" "			"1140"		3	3.0
1141.0	8	31	1	1	5	1		" "	2008	1	9	" "	2.0	6.0	1	1	2	120	1	500	1	11	2	5		9999		" "	8	34	"1141"		3	3.0
1142.0	8	23	1	1	4	1		" "	2006	1	1	" "	5.0	20.0	1	1	1	30	2		1	13	2	1		9999		" "	8	38	"1142"		3	3.0
1142.0			1	1	5	1		" "	2008	1	2	" "	0.5	5.0	1	1	2	150	2		1	10	2	5		9999		" "			"1142"		3	3.0
1142.0			1	1	6	1		" "	2009	1	1	" "	0.5	5.0	2	2								1		2013	6	" "			"1142"		3	3.0
1143.1	8	40	1	1	4	1		" "	2002	1	2	" "	2.0	20.0	2	2								1		2009	10	" "	8	45	"1143.1"		3	3.0
1143.1			1	1	6	1		" "	2006	1	1	" "	0.5	5.0	2	2								1		2009	11	" "			"1143.1"		3	3.0
1143.1			1	1	11	1		" "	2016	77	10	" "	0.25	2.0	1	1	2	100	2		1	77	1	1		9999		" "			"1143.1"		3	3.0
1143.1			1	1	12	1		" "	2010	1	2	" "	2.0	20.0	2	2								5		2016	10	" "			"1143.1"		3	3.0
1143.2	8	40	5	1	8	1		" "	2005	1	2	" "	1.0	10.0	2	2								8		2012	10	" "	8	43	"1143.2"		3	3.0
1144.0	15	30	1	1	3	1		" "	2011	1	2	" "	0.5	5.0	1	1	2	80	1	300	1	8	2	1		9999		" "	15	39	"1144"		3	3.0
1144.0			1	1	4	1		" "	2016	66	12	" "	0.5	5.0	1	1	2	100	1	200	1	2	2	1		9999		" "			"1144"		3	3.0
1145.0	8	21	1	1	3	1		" "	2003	1	2	" "	0.5	5.0	2	2								1		2010	10	" "	8	27	"1145"		3	3.0
1145.0			1	1	5	1		" "	2009	1	2	" "	0.5	5.0	1	1	2	50	1	400	1	10	2	8		9999		" "			"1145"		3	3.0
1146.0	13	2	2	1	3	1		" "	2010	1	2	" "	0.5	6.0	1	1	2	60	1	300	1	9	2	5		9999		" "	13	13	"1146"		3	3.0
1146.0			2	1	4	1		" "	2014	1	2	" "	0.5	6.0	1	1	1	0	1	300	1	5	2	5		9999		" "			"1146"		3	3.0
1147.1	8	22	1	1	3	1		" "	2017	66	12	" "	1.0	12.0	1	1	2	120	1	220	1	1	2	1		9999		" "	8	25	"1147.1"		3	3.0
1147.2	8	28	4	1	5	1		" "	2008	66	2	" "	2.0	10.0	2	2								8		2015	21	" "	8	32	"1147.2"		3	3.0
1148.0	8	58	1	1	6	1		" "	2011	1	1	" "	0.5	5.0	2	2								1		2016	10	" "	9	4	"1148"		3	3.0
1148.0			1	1	7	1		" "	2013	1	1	" "	0.5	5.0	1	1	1	0	2		5	5	1	5		9999		" "			"1148"		3	3.0
1148.0			1	1	8	1		" "	2015	1	1	" "	0.5	5.0	1	1	1	0	2		1	4	2	1		9999		" "			"1148"		3	3.0
1149.0	8	25	1	1	4	1		" "	2008	66	2	" "	1.0	10.0	1	1	2	130	1	300	1	10	2	8		9999		" "	8	32	"1149"		3	3.0
1149.0			1	1	5	1		" "	2009	66	2	" "	1.0	10.0	1	1	2	130	1	300	1	9	2	5		9999		" "			"1149"		3	3.0
1149.0			1	1	6	1		" "	2011	66	2	" "	1.0	10.0	1	1	2	90	1	300	1	7	2	8		9999		" "			"1149"		3	3.0
1150.0	0			1	99			" "				" "																" "	0		"1150"		3	3.0
1151.0	8	45	1	1	2	1		" "	2000	1	2	" "	1.0	10.0	2	2								1		2008	21	" "	8	50	"1151"		3	3.0
1151.0			1	1	3	1		" "	2017	66	12	" "	0.5	5.0	1	1	2	120	1	1000	1	1	2	1		9999		" "			"1151"		3	3.0
1152.0	13	35	2	1	2	2	3	" "				" "																" "	13	39	"1152"		3	3.0
1153.0	8	30	2	1	2	1		" "	2002	66	1	" "	1.0	10.0	2	2								1		2006	11	" "	8	42	"1153"		3	3.0
1153.0			2	1	3	1		" "	2006	66	1	" "	1.0	10.0	2	2								5		2012	11	" "			"1153"		3	3.0
1153.0			2	1	4	1		" "	2011	66	2	" "	1.0	10.0	1	1	2	90	1	200	1	7	2	5		9999		" "			"1153"		3	3.0
1153.0			2	1	5	1		" "	2013	66	1	" "	1.0	10.0	1	1	1	0	1	200	5	5	2	5		9999		" "			"1153"		3	3.0
1154.0	12	50	1	1	2	1		" "	2015	66	1	" "	1.0	10.0	1	1	1	0	1	200	5	3	2	5		9999		" "	12	55	"1154"		3	3.0
1155.1	8	28	5	1	6	1		" "	2005	1	2	" "	1.0	10.0	2	2								8		2014	10	" "	8	30	"1155.1"		3	3.0
1155.2	0			1	99			" "				" "																" "	0		"1155.2"		3	3.0
1155.3	0			1	99			" "				" "																" "	0		"1155.3"		3	3.0
1156.0	14	34	1	1	3	1		" "	2003	66	9	" "	30.0	90.0	1	1	1	25	1	1000	1	13	1	1		9999		" "	14	44	"1156"		3	3.0
1156.0			1	1	5	1		" "	2007	66	9	" "	10.0	40.0	1	1	2	200	1	1000	1	11	2	1		9999		" "			"1156"		3	3.0
1157.0	8	39	4	1	5	1		" "	2006	1	2	" "	0.5	5.0	1	1	2	0	1	200	8	8	2	8		9999		" "	8	51	"1157"		3	3.0
1157.0			4	1	11	1		" "	2005	1	2	" "	1.0	10.0	2	2								5		2015	10	" "			"1157"		3	3.0
1157.0			4	1	13	1		" "	2003	1	9	" "	13.0	75.0	1	1	1	30	2		1	15	2	8		9999		" "			"1157"		3	3.0
1158.0	8	19	1	1	2	2	3	" "				" "																" "	8	21	"1158"		3	3.0
1159.0	8	35	1	1	3	1		" "	2011	66	2	" "	1.0	10.0	1	1	2	70	1	200	1	7	2	5		9999		" "	8	40	"1159"		3	3.0
1159.0			1	1	4	1		" "	2014	66	12	" "	1.0	10.0	1	1	2	130	1	200	1	4	2	1		9999		" "			"1159"		3	3.0
1160.0	14	35	5	1	2	1		" "	2015	66	12	" "	1.0	10.0	1	1	2	100	1	600	1	2	2	1		9999		" "	14	38	"1160"		3	3.0
1161.0	8	47	5	1	2	1		" "	2013	1	1	" "	0.5	6.0	1	2								5		2018	12	" "	8	53	"1161"		3	3.0
1161.0			5	1	3	1		" "	2014	1	1	" "	0.5	6.0	1	2								1		2017	10	" "			"1161"		3	3.0
1161.0			5	1	4	1		" "	2017	66	1	" "	0.5	6.0	1	1	1	0	2		1	1	2	1		9999		" "			"1161"		3	3.0
1162.0	14	15	1	1	2	1		" "	2009	66	10	" "	0.1	1.0	2	2								1		2016	9	" "	14	23	"1162"		3	3.0
1162.0			1	1	3	2	10	" "				" "																" "			"1162"		3	3.0
1162.0			1	1	4	1		" "	2014	66	10	" "	0.1	1.0	1	1	2	0	2		1	4	2	1		9999		" "			"1162"		3	3.0
1162.0			1	1	5	1		" "	2014	66	10	" "	0.1	1.0	1	1	2	0	2		1	4	2	1		9999		" "			"1162"		3	3.0
1162.0			1	1	6	1		" "	2015	66	10	" "	0.1	1.0	1	1	2	0	1	200	1	3	2	1		9999		" "			"1162"		3	3.0
1163.0	9	10	1	1	4	1		" "	2015	66	10	" "	0.25	2.0	1	1	2	0	2		1	3	2	1		9999		" "	9	14	"1163"		3	3.0
1165.0	9	4	1	1	3	1		" "	2010	1	1	" "	0.5	6.0	2	2								1		2014	10	" "	9	11	"1165"		3	3.0
1165.0			1	1	4	2	10	" "				" "																" "			"1165"		3	3.0
1165.0			1	1	5	2	2	" "				" "																" "			"1165"		3	3.0
1165.0			1	1	6	1		" "	2016	66	10	" "	0.1	1.0	1	1	2	0	2		1	2	2	1		9999		" "			"1165"		3	3.0
1166.0	9	28	1	1	3	1		" "	2017	66	10	" "	0.1	1.0	1	1	2	0	2		1	1	2	1		9999		" "	9	35	"1166"		3	3.0
1166.0			1	1	4	1		" "	2018	66	10	" "	0.1	1.0	2	1	2	0	2		1	66	9					" "			"1166"		3	3.0
1167.0	8	53	1	1	5	1		" "	2014	1	1	" "	0.5	6.0	1	1	1	0	1	1000	1	4	1	1		9999		" "	8	56	"1167"		3	3.0
1168.0	0			1	99			" "				" "																" "	0		"1168"		3	3.0
1169.0	13	2	1	1	2	1		" "	2014	66	10	" "	0.25	2.0	1	1	2	0	1	200	1	3	1	1		9999		" "	13	23	"1169"		3	3.0
1169.0			1	1	3	1		" "	2015	66	10	" "	0.25	2.0	1	1	2	0	1	200	1	3	2	1		9999		" "			"1169"		3	3.0
1169.0			1	1	4	1		" "	2016	66	10	" "	0.25	2.0	1	1	2	0	1	200	1	2	2	1		9999		" "			"1169"		3	3.0
1169.0			1	1	5	1		" "	2017	66	10	" "	0.25	2.0	1	1	2	0	1	200	1	1	2	1		9999		" "			"1169"		3	3.0
1170.0	9	18	1	1	5	2	3	" "				" "																" "	9	24	"1170"		3	3.0
1170.0			1	1	7	1		" "	2018	66	10	" "	0.2	2.0	2	1	2	0	2		1	66	9					" "			"1170"		3	3.0
1170.0			1	1	8	2	1	" "				" "																" "			"1170"		3	3.0
1171.0	16	11	1	1	2	1		" "	2014	66	1	" "	2.0	20.0	1	1	1	0	1	400	5	4	2	5		9999		" "	16	21	"1171"		3	3.0
1171.0			1	1	3	1		" "	2015	66	10	" "	0.5	5.0	1	1	2	0	1	400	1	2	1	1		9999		" "			"1171"		3	3.0
1172.0	8	40	1	1	5	1		" "	2001	1	1	" "	1.0	10.0	2	2								1		2006	10	" "	8	43	"1172"		3	3.0
1173.0	9	8	1	1	5	1		" "	2010	1	1	" "	0.5	5.0	2	2								1		2015	9	" "	9	18	"1173"		3	3.0
1173.0			1	1	6	1		" "	2012	1	1	" "	0.5	5.0	2	2								1		2016	9	" "			"1173"		3	3.0
1173.0			1	1	7	1		" "	2016	66	10	" "	0.25	2.0	1	1	2	0	1	200	1	2	2	1		9999		" "			"1173"		3	3.0
1173.0			1	1	9	1		" "	2006	1	1	" "	0.5	5.0	2	2								1		2011	11	" "			"1173"		3	3.0
1174.0	8	34	1	1	3	1		" "	2014	66	7	" "	1.5	15.0	1	1	2	150	2		1	4	2	1		9999		" "	8	40	"1174"		3	3.0
1174.0			1	1	4	1		" "	2017	66	10	" "	0.25	3.0	1	1	2	0	2		1	1	2	1		9999		" "			"1174"		3	3.0
1175.0	13	2	1	1	2	1		" "	2013	1	10	" "	1.0	10.0	2	2								1		2017	11	" "	13	9	"1175"		3	3.0
1175.0			1	1	3	1		" "	2014	1	10	" "	0.0	0.0	1	1	2	0	2		1	77	2	1		9999		" "			"1175"		3	3.0
1176.0	8	56	3	1	3	1		" "	2006	66	10	" "	0.5	5.0	2	2								1		2010	11	" "	9	28	"1176"		3	3.0
1176.0			3	1	4	1		" "	2008	66	10	" "	0.5	5.0	2	2								1		2011	15	" "			"1176"		3	3.0
1176.0			3	1	5	1		" "	2010	66	10	" "	0.5	5.0	2	2								1		2013	15	" "			"1176"		3	3.0
1176.0			3	1	6	1		" "	2012	66	10	" "	0.5	5.0	2	2								1		2016	15	" "			"1176"		3	3.0
1176.0			3	1	7	1		" "	2015	66	10	" "	0.0	0.0	1	1	2	0	2		1	10	2	1		9999		" "			"1176"		3	3.0
1176.0			3	1	9	2	1	" "				" "																" "			"1176"		3	3.0
1177.0	8	38	1	1	3	1		" "	2004	66	10	" "	0.0	0.0	1	1	2	0	2		1	76	2	1		9999		" "	8	44	"1177"		3	3.0
1178.0	13	20	2	1	3	1		" "	2015	66	10	" "	0.25	3.0	1	1	2	0	1	200	1	3	2	1		9999		" "	13	24	"1178"		3	3.0
1178.0			2	1	5	2	5	" "				" "																" "			"1178"		3	3.0
1179.0	8	57	1	1	3	1		" "	2010	1	1	" "	0.5	6.0	2	2								1		2015	10	" "	9	6	"1179"		3	3.0
1179.0			1	1	4	1		" "	2011	1	1	" "	2.0	20.0	1	1	1	0	1	500	1	7	2	1		9999		" "			"1179"		3	3.0
1179.0			1	1	5	1		" "	2013	1	1	" "	0.5	6.0	2	2								1		2016	5	" "			"1179"		3	3.0
1179.0			1	1	6	1		" "	2014	66	1	" "	0.5	6.0	1	1	1	0	1	200	1	2	2	1		9999		" "			"1179"		3	3.0
1179.0			1	1	7	1		" "	2015	66	1	" "	0.5	6.0	1	1	1	0	2		1	2	2	1		9999		" "			"1179"		3	3.0
1179.0			1	1	8	1		" "	2017	66	1	" "	0.5	6.0	1	1	1	0	2		1	1	2	1		9999		" "			"1179"		3	3.0
1180.0	9	14	3	1	2	1		" "	2006	66	10	" "	0.5	5.0	2	2								5		2008	11	" "	9	22	"1180"		3	3.0
1180.0			3	1	3	1		" "	2009	66	1	" "	1.0	10.0	2	2								6		2012	12	" "			"1180"		3	3.0
1181.0	9	28	2	1	3	1		" "	2010	66	2	" "	0.5	10.0	1	1	2	120	1	600	1	7	2	5		9999		" "	9	32	"1181"		3	3.0
1182.0	9	37	1	1	2	1		" "	1999	66	2	" "	0.5	10.0	2	2								5		2009	9	" "	9	48	"1182"		3	3.0
1183.1	9	17	1	1	6	1		" "	2002	66	1	" "	1.0	20.0	2	2								1		2008	12	" "	9	29	"1183.1"		3	3.0
1183.1			1	1	7	1		" "	2008	66	2	" "	1.5	30.0	2	2								1		2014	21	" "			"1183.1"		3	3.0
1183.2	15	49	4	1	5	1		" "	2015	66	1	" "	1.0	20.0	1	1	1	0	2		5	2	2	5		9999		" "	16	1	"1183.2"		3	3.0
1184.0	8	20	2	1	3	1		" "	2006	66	2	" "	1.0	10.0	1	2								5		2017	9	" "	8	30	"1184"		3	3.0
1184.0			2	1	4	1		" "	2003	66	2	" "	1.0	20.0	1	1	2	120	1	1200	1	9	2	5		9999		" "			"1184"		3	3.0
1185.0	8	20	2	1	3	1		" "	2010	66	1	" "	1.0	10.0	2	2								5		2015	9	" "	8	30	"1185"		3	3.0
1186.0	9	30	1	1	5	1		" "	2014	66	8	" "	0.0	0.0	1	1	2	200	2		1	4	2	1		9999		" "	9	34	"1186"		3	3.0
1187.0	9	6	1	1	99			" "				" "																" "	9	7	"1187"		3	3.0
1188.0	9	15	1	1	99			" "				" "																" "	9	17	"1188"		3	3.0
1189.0	8	20	2	1	3	1		" "	2015	66	1	" "	0.5	10.0	1	1	1	0	1	250	5	3	2	5		9999		" "	8	30	"1189"		3	3.0
1189.0			2	1	4	1		" "	2018	66	5	" "	0.5	10.0	2	1	2	20	2		1	66	9					" "			"1189"		3	3.0
1190.0	8	30	5	1	2	1		" "	2010	66	2	" "	0.5	10.0	1	1	2	120	1	600	1	7	2	1		9999		" "	8	40	"1190"		3	3.0
1191.0	8	15	1	1	2	1		" "	2012	1	2	" "	0.0	0.0	1	1	2	400	2		1	6	2	1		9999		" "	8	25	"1191"		3	3.0
1191.0			1	1	3	1		" "	2017	1	1	" "	5.0	10.0	1	1	1	0	2		1	2	2	1		9999		" "			"1191"		3	3.0
1192.0	10	8	2	1	7	1		" "	2010	66	2	" "	0.75	12.0	1	1	2	130	1	500	1	8	2	5		9999		" "	10	20	"1192"		3	3.0
1194.1	10	51	1	1	9	1		" "	2017	1	1	" "	0.5	10.0	1	1	1	0	1	500	1	2	2	1		9999		" "	10	53	"1194.1"		3	3.0
1194.2	10	12	4	1	6	1		" "	2016	66	1	" "	1.0	15.0	1	1	1	0	1	200	1	2	1	1		9999		" "	10	19	"1194.2"		3	3.0
1194.2			4	1	8	1		" "	2018	66	1	" "	1.0	15.0	2	1	1	0	1	100	1	66	9					" "			"1194.2"		3	3.0
1195.0	15	30	1	1	99			" "				" "																" "	15	30	"1195"		3	3.0
1196.0	8	15	1	1	99			" "				" "																" "	8	15	"1196"		3	3.0
1197.0	10	58	1	1	99			" "				" "																" "	10	58	"1197"		3	3.0
1199.0	11	26	1	1	3	1		" "	2010	66	2	" "	1.0	15.0	1	1	2	130	1	500	1	9	2	5		9999		" "	11	29	"1199"		3	3.0
1199.0			1	1	4	1		" "	2015	66	1	" "	1.0	15.0	1	1	1	0	1	200	5	3	2	5		9999		" "			"1199"		3	3.0
1200.0	17	29	1	1	3	1		" "	2011	66	2	" "	0.75	15.0	1	1	2	120	1	1500	1	7	2	5		9999		" "	17	39	"1200"		3	3.0
1200.0			1	1	4	1		" "	2017	66	2	" "	0.75	15.0	1	1	2	0	1	200	1	1	2	1		9999		" "			"1200"		3	3.0
1201.0	9	31	1	1	99			" "				" "																" "	9	31	"1201"		3	3.0
1202.0	10	25	1	1	99			" "				" "																" "	10	25	"1202"		3	3.0
1203.0	7	25	1	1	5	1		" "	2002	66	2	" "	2.0	30.0	2	2								1		2010	9	" "	7	28	"1203"		3	3.0
1204.0	9	6	1	1	99			" "				" "																" "	9	6	"1204"		3	3.0
1205.0	15	12	1	1	4	1		" "	2014	1	1	" "	1.0	18.0	1	1	1	0	2		1	4	2	1		9999		" "	15	27	"1205"		3	3.0
1205.0			1	1	5	1		" "	2018	1	1	" "	1.0	18.0	2	1	1	0	2		1	1	9					" "			"1205"		3	3.0
1206.0	8	30	1	1	4	1		" "	2011	1	2	" "	2.0	30.0	1	1	2	120	1	500	1	7	2	5		9999		" "	8	40	"1206"		3	3.0
1206.0			1	1	7	1		" "	2007	1	9	" "	5.0	60.0	1	1	2	150	2		1	11	2	8	5	9999		" "			"1206"		3	3.0
1207.0	8	20	1	1	3	1		" "	1999	1	2	" "	1.5	20.0	2	2								5		2007	9	" "	8	30	"1207"		3	3.0
1208.0	9	17	1	1	4	1		" "	2006	1	9	" "	5.0	30.0	1	1	2	0	1	500	1	12	1	1		9999		" "	9	38	"1208"		3	3.0
1208.0			1	1	5	1		" "	2015	66	1	" "	1.0	20.0	1	1	1	0	2		5	3	2	5		9999		" "			"1208"		3	3.0
1208.0			1	1	6	1		" "	2018	66	1	" "	0.5	12.0	2	1	1	0	2		1	66	9					" "			"1208"		3	3.0
1209.0	8	40	2	1	3	1		" "	2009	66	2	" "	1.5	25.0	1	1	2	120	1	200	1	9	2	5		9999		" "	8	50	"1209"		3	3.0
1209.0			2	1	4	1		" "	2016	66	1	" "	1.0	15.0	1	1	1	0	1	100	5	2	2	5		9999		" "			"1209"		3	3.0
1210.0	9	43	1	1	3	1		" "	2009	66	2	" "	2.5	35.0	1	1	2	350	1	500	1	10	2	1		9999		" "	9	59	"1210"		3	3.0
1210.0			1	1	4	1		" "	2012	1	2	" "	2.5	35.0	1	1	2	300	1	500	1	7	2	1		9999		" "			"1210"		3	3.0
1211.0	7	30	1	1	3	1		" "	2002	1	9	" "	3.0	30.0	2	2								1		2014	9	" "	7	45	"1211"		3	3.0
1211.0			1	1	4	1		" "	2010	66	2	" "	3.0	30.0	1	1	2	0	1	40	8	8	2	5	8	9999		" "			"1211"		3	3.0
1211.0			1	1	5	1		" "	2016	66	1	" "	1.0	15.0	1	1	1	0	1	500	1	2	2	5		9999		" "			"1211"		3	3.0
1212.0	8	40	4	1	3	1		" "	2012	1	2	" "	2.0	30.0	1	1	2	140	1	600	1	6	2	5		9999		" "	8	50	"1212"		3	3.0
1212.0			4	1	6	1		" "	2014	1	1	" "	0.5	10.0	1	1	1	0	1	600	5	4	2	5		9999		" "			"1212"		3	3.0
1213.0	9	57	1	1	4	1		" "	2010	66	1	" "	1.5	25.0	2	2								1		2014	3	" "	10	6	"1213"		3	3.0
1214.0	9	18	2	1	4	1		" "	2007	66	9	" "	6.0	30.0	1	1	1	300	2		1	11	2	1		9999		" "	9	26	"1214"		3	3.0
1215.0	9	38	1	1	3	1		" "	2012	66	2	" "	2.0	30.0	1	1	2	300	1	1000	1	6	2	1		9999		" "	9	47	"1215"		3	3.0
1216.0	9	18	1	1	3	1		" "	2010	66	2	" "	3.0	45.0	1	1	2	275	1	5750	1	8	2	5		9999		" "	9	49	"1216"		3	3.0
1216.0			1	1	4	1		" "	2014	66	1	" "	1.0	20.0	1	1	1	0	1	300	5	4	2	5		9999		" "			"1216"		3	3.0
1216.0			1	1	6	1		" "	2011	66	2	" "	3.0	45.0	1	1	2	250	1	500	1	7	2	1		9999		" "			"1216"		3	3.0
1216.0			1	1	7	1		" "	2018	66	5	" "	1.0	20.0	2	1	2	150	2		1	66	9					" "			"1216"		3	3.0
1217.0	9	32	1	1	3	1		" "	2015	1	12	" "	0.5	10.0	1	1	2	250	1	400	1	4	2	5		9999		" "	9	37	"1217"		3	3.0
1219.0	14	40	1	1	99			" "				" "																" "	14	40	"1219"		3	3.0
1220.0	8	40	2	1	4	1		" "	2003	66	2	" "	0.5	10.0	2	2								1		2006	9	" "	8	50	"1220"		3	3.0
1220.0			2	1	5	1		" "	2014	66	2	" "	0.5	10.0	1	1	2	250	1	300	1	1	2	1		9999		" "			"1220"		3	3.0
1221.0	9	30	1	1	4	1		" "	2010	1	2	" "	2.0	30.0	1	1	2	130	1	1200	8	9	2	8		9999		" "	9	35	"1221"		3	3.0
1221.0			1	1	5	1		" "	2015	1	1	" "	0.5	10.0	1	1	1	0	1	500	1	2	1	1		9999		" "			"1221"		3	3.0
1222.0	7	20	1	1	99			" "				" "																" "	7	20	"1222"		3	3.0
1223.0	8	35	1	1	99			" "				" "																" "	8	35	"1223"		3	3.0
1224.0	15	25	3	1	4	1		" "	2000	66	2	" "	1.0	10.0	2	2								5		2010	6	" "	13	35	"1224"		3	3.0
1225.0	8	50	1	1	99			" "				" "																" "	8	50	"1225"		3	3.0
1226.0	8	30	1	1	5	1		" "	2018	66	2	" "	1.0	15.0	2	1	2	100	2		1	66	9					" "	8	40	"1226"		3	3.0
1227.0	9	15	1	1	6	1		" "	2006	1	2	" "	1.0	20.0	2	2								1		2016	21	" "	9	24	"1227"		3	3.0
1229.0	15	29	1	1	2	1		" "	2000	66	2	" "	4.0	30.0	2	2								1		2008	3	" "	15	29	"1229"		3	3.0
1229.0			1	1	4	1		" "	2011	66	2	" "	4.0	30.0	1	1	2	130	1	1000	1	1	2	1		9999		" "			"1229"		3	3.0
1230.0	11	35	1	1	2	1		" "	2013	66	1	" "	1.5	20.0	1	1	2	0	1	500	1	5	2	1		9999		" "	11	40	"1230"		3	3.0
1232.0	9	19	1	1	99			" "				" "																" "	9	19	"1232"		3	3.0
1233.0	19	21	1	1	3	1		" "	2011	66	2	" "	1.5	20.0	1	1	2	130	1	500	1	6	1	1		9999		" "	12	25	"1233"		3	3.0
1234.0	9	41	1	1	2	1		" "	2014	66	1	" "	0.3	5.0	1	1	1	0	1	700	5	4	2	5		9999		" "	9	56	"1234"		3	3.0
1234.0			1	1	3	1		" "	2016	66	1	" "	0.3	5.0	1	1	1	0	1	500	5	2	2	5		9999		" "			"1234"		3	3.0
1235.0	8	54	1	1	99			" "				" "																" "	8	56	"1235"		3	3.0
