a01	stime_h_g	stime_m_g	res_id_g	consent_g	plotid	g01	g02_1	g02	g20	g03	g04	g05	g06	g21	g22	g23	g07	g08a	g08b	g08c	g09a	g09b	g09c	g10	g11	g12	g13a	g13b	g13c	g14	g15a	g15b	g15c	g16a	g16b	g16c	g17a	g17b	g17c	g18a	g18b	g18c	g19a	g19b	g19c	etime_h_g	etime_m_g	hhid2	flag_g	flag_1	hh_type	round
18.2			3	1	2	2	104.0	35.0	2	200	0.0	4	2					3			72			420000	3	2012	3			1	1	7		3			3			3			3					"18.2"		1	3	3.0
18.2			3	1	3	1	24.0	24.0	0	0	0.0	4	1					3			72			500000	3	2012	3			4																		"18.2"		0	3	3.0
18.2			3	1	4	2	0.0	0.0	10																																							"18.2"		0	3	3.0
18.2			3	1	5	2	100.0	100.0	0	500	3.0	4	2					3			72			1200000	3	2012	3			1	1	72		3			3			3			3					"18.2"		1	3	3.0
18.2			3	1	6	2	0.0	0.0	10																																							"18.2"		0	3	3.0
18.2			3	1	7	12	10.0	10.0	0	600	1.0	4	1					3			72			100000	3	2014	98			7																		"18.2"		0	3	3.0
18.2			3	1	8	8	0.0	0.0	10																																							"18.2"		0	3	3.0
19.0	10	45	1	1	1	1	5.0	5.0	0	0	0.0	4	1					1			1			100000	1	2004	1			4																10	50	"19"		0	3	3.0
19.0			1	1	2	2	0.0	0.0	10																																							"19"		0	3	3.0
21.0	9	36	1	1	1	1	5.0	5.0	0	0	1.0	4	1					1			74			700000	7	1996	98			4																9	40	"21"		0	2	3.0
22.0	9	43	1	1	1	1	10.0	10.0	0	0	0.0	4	1					1			74			200000	7	1985	1			4																9	45	"22"		0	2	3.0
23.0	14	10	1	1	1	1	6.0	6.0	0	0	0.0	4	1					1			1			700000	3	1985	1			4																14	15	"23"		0	2	3.0
24.0	11	38	1	1	1	1	6.0	6.0	0	0	0.0	4	1					71			71			100000	3	2001	1	3		4																11	42	"24"		0	2	3.0
26.0	9	59	1	1	1	1	6.0	6.0	0	0	0.0	5	1					1			1			800000	3	1989	1	4		4																10	2	"26"		0	2	3.0
27.0	9	46	1	1	1	1	12.0	12.0	0	0	0.0	5	1					1			72			600000	3	2007	98			4																10	5	"27"		0	2	3.0
27.0			1	1	2	2	84.0	0.0	3																																							"27"		0	2	3.0
27.0			1	1	3	2	52.0	0.0	3																																							"27"		0	2	3.0
27.0			1	1	4	2	52.0	52.0	0	400	0.0	5	4	3	2	1		72			72			170000	6	2009	1			1	1	2	72	1			1			98			98					"27"		1	2	3.0
27.0			1	1	5	2	47.0	47.0	0	400	3.0	5	4	3	2	1		72			72			1700000	6	2011	1			1	1	2	72	1			1			98			98					"27"		1	2	3.0
27.0			1	1	6	2	20.0	20.0	0	500	3.0	5	4	3	2	1		72			72			100000	6	2011	1			1	1	2	72	1			1			98			98					"27"		1	2	3.0
27.0			1	1	7	2	10.0	0.0	3																																							"27"		0	2	3.0
27.0			1	1	8	8	12.0	12.0	0	0	3.0	1	2					72			72			200000	3	2008	1			2	1	2		1			1			98			98					"27"		0	2	3.0
27.0			1	1	9	12	3.0	3.0	0	20	0.0	5	15	1	1	2		72			72			100000	6	2011	1			7																		"27"		0	2	3.0
27.0			1	1	10	2	4.0	4.0	0	100	0.0	5	2					72			72			300000	3	2016	1			1	1	2		1			1			98			98					"27"		1	2	3.0
28.0	9	29	1	1	1	1	15.0	15.0	0	0	0.0	5	1					1			1			1000000	3	1998	1			4																9	51	"28"		0	2	3.0
