a01	stime_h_g	stime_m_g	res_id_g	consent_g	plotid	g01	g02_1	g02	g20	g03	g04	g05	g06	g21	g22	g23	g07	g08a	g08b	g08c	g09a	g09b	g09c	g10	g11	g12	g13a	g13b	g13c	g14	g15a	g15b	g15c	g16a	g16b	g16c	g17a	g17b	g17c	g18a	g18b	g18c	g19a	g19b	g19c	etime_h_g	etime_m_g	hhid2	flag_g	flag_1	hh_type	round
1262.0			1	1	2	2	18.0	18.0	0	500	2.0	5	8					1			1			300000	3	1986	98			9																		"1262"		0	3	3.0
1262.0			1	1	3	2	10.0	10.0	0	500	2.0	5	8					1			1			200000	3	1986	98			9																		"1262"		0	3	3.0
1262.0			1	1	4	2	0.0	10.0	7	300	2.0	5	4	2	1	1		73			73			200000	6	2015	1			1	1	2		1			1			1			1					"1262"		1	3	3.0
1262.0			1	1	5	2	0.0	3.0	7	500	2.0	5	4	2	1	1		73			73			60000	6	2015	1			1	1	2		1			1			1			1					"1262"		1	3	3.0
1262.0			1	1	6	2	0.0	14.0	7	500	2.0	5	4	2	1	1		73			73			300000	6	2015	1			1	1	2		1			1			1			1					"1262"		1	3	3.0
1262.0			1	1	7	2	0.0	10.0	7	500	2.0	5	4	2	1	1		73			73			80000	6	2015	1			1	1	2		1			1			1			1					"1262"		1	3	3.0
1262.0			1	1	8	2	0.0	5.0	7	300	2.0	5	4	2	1	1		73			73			120000	6	2015	1			1	1	2		1			1			1			1					"1262"		1	3	3.0
1262.0			1	1	9	8	0.0	4.0	10	0	3.0	1	2					1			1			500000	3	1986	98			2	1			1			1			98			98					"1262"		0	3	3.0
1263.0	10	40	6	1	1	1	4.0	4.0	0	0	0.0	4	1					8			8			80000	1	1994	98			4																10	45	"1263"		0	3	3.0
1263.0			6	1	2	2	0.0	28.0	7	500	3.0	4	4	1	1	1		72			72			300000	6	2018	1			1	6	8		8			8			8			8					"1263"		1	3	3.0
1264.0	8	9	1	1	1	1	1.0	1.0	0	0	0.0	3	1					1			1			40000	3	2000	98			4																9	24	"1264"		0	3	3.0
1264.0			1	1	2	2	0.0	0.0	10																																							"1264"		0	3	3.0
1264.0			1	1	3	2	0.0	0.0	10																																							"1264"		0	3	3.0
1264.0			1	1	4	2	0.0	0.0	10																																							"1264"		0	3	3.0
1264.0			1	1	5	2	0.0	0.0	10																																							"1264"		0	3	3.0
1264.0			1	1	6	2	48.0	0.0	3																																							"1264"		0	3	3.0
1264.0			1	1	7	2	0.0	24.0	7	1000	0.0	4	3	3	1	1	1000.0	72			72			400000	6	2017	1			1	1	2		1			1			1			1					"1264"		1	3	3.0
1265.0	17	35	1	1	1	1	2.0	2.0	0	0	0.0	3	1					1	72		72			70000	3	2006	98			4																17	40	"1265"		0	3	3.0
1265.0			1	1	2	2	0.0	10.0	7	500	1.0	3	4	3	1	1		72			72			200000	6	2018	98			1	1			1			1			98			98					"1265"		1	3	3.0
1266.0	9	36	1	1	1	1	3.0	3.0	0	0	0.0	2	1					1			72			100000	3	2001	98			4																9	42	"1266"		0	3	3.0
1266.0			1	1	2	2	0.0	48.0	6	0	0.0	2	15	1	1	1		1			72			400000	3	2015	1			1	1	72		1			1			1			1					"1266"		1	3	3.0
1267.0	15	35	1	1	1	1	6.0	6.0	0	0	0.0	3	1					1			1			300000	3	1992	98			4																15	51	"1267"		0	3	3.0
1267.0			1	1	2	2	12.0	12.0	0	200	0.0	5	8					1			1			200000	3	1992	98			9																		"1267"		0	3	3.0
1267.0			1	1	3	2	12.0	12.0	0	200	0.0	5	2					1			1			200000	3	1992	1			1	1	5		1	5		1			1			1					"1267"		1	3	3.0
1267.0			1	1	4	2	0.0	0.0	10																																							"1267"		0	3	3.0
1267.0			1	1	5	2	96.0	0.0	3																																							"1267"		0	3	3.0
1267.0			1	1	6	2	60.0	60.0	0	50	2.0	5	13	3	1	1		72			72			1200000	6	2010	1			1	1	5	72	1			1			1			1					"1267"		1	3	3.0
1267.0			1	1	7	2	0.0	0.0	10																																							"1267"		0	3	3.0
1267.0			1	1	8	8	4.0	4.0	0	0	8.0	5	2					1			1			200000	3	1992	1			2	1	5		1			1			98			98					"1267"		0	3	3.0
1267.0			1	1	9	2	0.0	30.0	7	400	2.0	5	3	3	1	3	500.0	72			72			150000	6	2018	1			1	1	5		1			1			1			1					"1267"		1	3	3.0
1268.0	9	42	2	1	1	1	24.0	24.0	0	0	0.0	2	1					1			72			1200000	3	2001	98			4																9	55	"1268"		0	3	3.0
1268.0			2	1	2	2	48.0	48.0	0	500	0.0	5	2					1			72			1100000	3	2009	98			1	1			1			1			98			98					"1268"		1	3	3.0
1268.0			2	1	3	10	14.0	14.0	0	500	0.0	5	1					1			72			400000	3	2001	98			7																		"1268"		0	3	3.0
1268.0			2	1	4	10	14.0	14.0	0	100	0.0	4	1					1			72			300000	3	2001	98			7																		"1268"		0	3	3.0
1269.0	9	50	2	1	1	1	2.0	3.0	5	0	0.0	5	1					1	2		1	2		100000	1	2016	98			4																10	0	"1269"		0	3	3.0
1269.0			2	1	2	2	0.0	0.0	10																																							"1269"		0	3	3.0
1269.0			2	1	3	2	0.0	0.0	10																																							"1269"		0	3	3.0
1269.0			2	1	4	8	0.0	8.0	5	0	0.0	5	2					1			1			250000	1	2016	98			2	1	2	72	1			1			98			98					"1269"		0	3	3.0
1269.0			2	1	5	2	0.0	46.0	7	300	3.0	5	4	2	1	1		72			72			400000	6	2017	98			1	1	2	72	1			1			98			98					"1269"		1	3	3.0
1269.0			2	1	6	2	0.0	31.0	7	300	3.0	5	4	2	1	1		72			72			300000	6	2017	98			1	1	2	72	1			1			98			98					"1269"		1	3	3.0
1270.0	10	1	1	1	1	1	3.0	3.0	0	0	0.0	4	1					1			1			100000	3	1995	98			4																10	20	"1270"		0	3	3.0
1270.0			1	1	2	2	6.0	6.0	0	100	2.0	4	2					4			4			160000	3	2000	1			1	1	72		1			1			1			1					"1270"		1	3	3.0
1270.0			1	1	3	2	4.5	4.5	0	100	2.0	4	2					4			4			130000	3	2000	1			1	1	72		1			1			1			1					"1270"		1	3	3.0
1270.0			1	1	4	2	29.0	0.0	2																																							"1270"		0	3	3.0
1270.0			1	1	5	2	11.0	11.0	0	150	2.0	4	2					4			4			400000	3	2000	1			1	1	72		1			1			1			1					"1270"		1	3	3.0
1270.0			1	1	6	8	13.0	13.0	0	100	5.0	1	2					4			4			400000	3	2000	1			2	1	72		1	72		1	72		98			98					"1270"		0	3	3.0
1270.0			1	1	7	2	24.0	48.0	6	1000	2.0	4	2					73			73			800000	3	2009	1			1	1	72	73	1			1			1			1					"1270"		1	3	3.0
1270.0			1	1	8	2	24.0	0.0	10																																							"1270"		0	3	3.0
1270.0			1	1	9	2	0.0	24.0	7	200	2.0	4	5	1	1	1		72			72			400000	6	2016	1			1	1	72		1			1			1			1					"1270"		1	3	3.0
1270.0			1	1	10	2	0.0	24.0	7	500	2.0	4	5	1	1	1		72			72			400000	6	2016	1			1	1	72		1			1			1			1					"1270"		1	3	3.0
1271.0	9	5	1	1	1	1	5.0	5.0	0	0	0.0	5	1					1			5			250000	3	2004	98			4																9	20	"1271"		0	3	3.0
1271.0			1	1	2	2	48.0	48.0	0	1700	0.0	4	2					1			5			900000	3	2004	98			1	1	72		1			1			1			1					"1271"		1	3	3.0
1271.0			1	1	3	2	48.0	48.0	0	1700	0.0	4	4	1	2	1		72			72			900000	6	2000	98			1	1	72		1			1			1			1					"1271"		1	3	3.0
1271.0			1	1	4	2	24.0	24.0	0	500	0.0	4	4	1	2	1		72			72			500000	6	2000	98			1	1	72		1			1			1			1					"1271"		1	3	3.0
1271.0			1	1	5	2	24.0	24.0	0	2000	0.0	4	4	1	2	1		72			72			400000	6	2000	98			1	1	72		1			1			1			1					"1271"		1	3	3.0
1271.0			1	1	6	8	26.0	26.0	0	0	0.0	1	2					1			5			400000	3	2004	98			2	1			1			1			98			98					"1271"		0	3	3.0
1271.0			1	1	7	2	0.0	0.0	10																																							"1271"		0	3	3.0
1271.0			1	1	8	12	0.0	3.0	7	500	0.0	4	15	1	1	1		72			72			40000	6	2018	98			9																		"1271"		0	3	3.0
1272.0	9	45	1	1	1	1	6.0	6.0	0	0	0.0	5	1					72			72			240000	3	2005	72			4																9	50	"1272"		0	3	3.0
1273.0	9	55	1	1	1	1	3.0	0.0	1																																					10	5	"1273"		0	3	3.0
1273.0			1	1	2	2	0.0	0.0	10																																							"1273"		0	3	3.0
1273.0			1	1	3	2	0.0	0.0	10																																							"1273"		0	3	3.0
1273.0			1	1	4	1	22.0	22.0	0	0	0.0	5	1					1	2		1	2		500000	1	2001	1			4																		"1273"		0	3	3.0
1273.0			1	1	5	2	18.0	0.0	3																																							"1273"		0	3	3.0
1273.0			1	1	6	2	12.0	0.0	3																																							"1273"		0	3	3.0
1273.0			1	1	7	12	2.0	0.0	3																																							"1273"		0	3	3.0
1273.0			1	1	8	12	1.0	0.0	3																																							"1273"		0	3	3.0
1273.0			1	1	9	2	0.0	24.0	7	500	1.0	2	5	3	2	1		72			72			400000	6	2018	98			1	1	72		1	2		1	2		1	2		1	2				"1273"		1	3	3.0
1274.11	9	55	7	1	1	1	18.0	18.0	0	0	0.0	4	1					1			1			700000	3	2014	98			4																10	20	"1274.1.1"		0	3	3.0
1274.11			7	1	2	2	19.0	19.0	0	300	0.0	3	2					1			1			320000	3	2014	1			1	1	72		1			1			1			1					"1274.1.1"		1	3	3.0
1274.11			7	1	3	2	14.0	28.0	6	300	0.0	3	2					1			1			450000	3	2014	1			1	1	72		1			1			1			1					"1274.1.1"		1	3	3.0
1274.11			7	1	4	2	13.0	0.0	2																																							"1274.1.1"		0	3	3.0
1274.11			7	1	5	2	0.0	0.0	10																																							"1274.1.1"		0	3	3.0
1274.11			7	1	6	8	6.0	6.0	0	0	7.0	2	2					1			1			240000	3	2014	1			2	1			1			1			98			98					"1274.1.1"		0	3	3.0
1274.11			7	1	7	6	42.0	42.0	0	600	6.0	2	1					1			1			500000	3	2008	98			9																		"1274.1.1"		0	3	3.0
1274.11			7	1	8	2	0.0	8.0	7	300	0.0	3	5	1	1	1		72			72			150000	6	2008	1			1	1			1			1			1			1					"1274.1.1"		1	3	3.0
1274.11			7	1	9	2	0.0	10.0	7	300	0.0	3	5	1	1	1		72			72			200000	6	2018	1			1	1			1			1			1			1					"1274.1.1"		1	3	3.0
1274.11			7	1	10	12	0.0	2.5	7	100	0.0	3	15	1	1	1		72			72			100000	6	2016	1			7																		"1274.1.1"		0	3	3.0
1274.12	9	33	1	1	1	1	18.0	9.0	2	0	0.0	4	1					1			1			200000	3	2016	98			4																9	46	"1274.1.2"		0	3	3.0
1274.12			1	1	2	2	19.0	0.0	2																																							"1274.1.2"		0	3	3.0
1274.12			1	1	3	2	14.0	0.0	2																																							"1274.1.2"		0	3	3.0
1274.12			1	1	4	2	13.0	0.0	2																																							"1274.1.2"		0	3	3.0
1274.12			1	1	5	2	0.0	0.0	10																																							"1274.1.2"		0	3	3.0
1274.12			1	1	6	8	6.0	0.0	2																																							"1274.1.2"		0	3	3.0
1274.12			1	1	7	6	42.0	42.0	0	600	6.0	2	1					1			1			300000	3	2014	98			9																		"1274.1.2"		0	3	3.0
1274.12			1	1	8	2	0.0	24.0	6	500	0.0	4	2					1			1			400000	3	1990	72			1	72			72	1		98			98			98					"1274.1.2"		1	3	3.0
1274.2	10	12	3	1	1	1	18.0	18.0	0	0	0.0	4	1					1			1			600000	3	2014	98			4																10	25	"1274.2"		0	3	3.0
1274.2			3	1	2	2	19.0	19.0	0	300	0.0	3	2					1			1			250000	3	2014	1			1	1			1			1			1			1					"1274.2"		1	3	3.0
1274.2			3	1	3	2	14.0	0.0	2																																							"1274.2"		0	3	3.0
1274.2			3	1	4	2	13.0	26.0	6	500	0.0	3	2					1			1			300000	3	2014	1			1	1	72		1			1			1			1					"1274.2"		1	3	3.0
1274.2			3	1	5	2	0.0	0.0	10																																							"1274.2"		0	3	3.0
1274.2			3	1	6	8	6.0	6.0	0	0	7.0	1	2					1			1			150000	3	2014	1			2	1			1			98			98			98					"1274.2"		0	3	3.0
1275.0	9	55	2	1	1	1	7.0	7.0	0	0	0.0	5	1					1			1			300000	3	2004	1			4																10	5	"1275"		0	3	3.0
1275.0			2	1	2	2	2.0	2.0	0	500	0.0	5	2					1			1			120000	3	2004	98			1	2			1			1			98			98					"1275"		1	3	3.0
1275.0			2	1	3	2	0.0	0.0	10																																							"1275"		0	3	3.0
1275.0			2	1	4	8	0.0	1.0	6	50	0.0	5	2					1			1			20000	3	2016	98			2	1	72		1	72		1	72		98			98					"1275"		0	3	3.0
1276.1	16	57	3	1	1	1	2.0	0.0	2																																					17	3	"1276.1"		0	3	3.0
1276.1			3	1	2	5	4.0	0.0	2																																							"1276.1"		0	3	3.0
1276.1			3	1	3	8	12.0	12.0	0	100	6.0	4	2					1			1			360000	3	2000	98			2	1			1			1			98			98					"1276.1"		0	3	3.0
1276.1			3	1	4	2	6.0	0.0	2																																							"1276.1"		0	3	3.0
1276.1			3	1	5	1	7.0	7.0	0	0	0.0	4	1					1			1			210000	3	2003	1			4																		"1276.1"		0	3	3.0
1276.2	16	50	4	1	1	1	1.0	3.0	10	0	0.0	5	1					1			1			60000	3	2014	98			4																16	55	"1276.2"		0	3	3.0
1276.2			4	1	2	2	0.0	0.0	10																																							"1276.2"		0	3	3.0
1276.2			4	1	3	8	0.0	0.0	10																																							"1276.2"		0	3	3.0
1277.0	10	3	1	1	1	1	5.0	2.0	1	0	0.0	5	1					1			1			80000	1	1990	98			4																10	10	"1277"		0	3	3.0
1278.0	10	15	1	1	1	1	2.0	2.0	0	0	0.0	4	1					1			72			90000	3	2003	98			4																10	30	"1278"		0	3	3.0
1278.0			1	1	2	2	24.0	24.0	0	500	2.0	4	2					1			2			250000	3	2003	1			1	1	72		1			1			1			1					"1278"		1	3	3.0
1278.0			1	1	3	2	12.0	12.0	0	600	2.0	4	2					1			2			150000	3	2003	1			1	1	72		1			1			1			1					"1278"		1	3	3.0
1278.0			1	1	4	2	12.0	12.0	0	400	2.0	4	2					1			2			120000	3	2003	1			1	1	72		1			1			1			1					"1278"		1	3	3.0
1278.0			1	1	5	2	12.0	12.0	0	1000	2.0	4	2					1			2			100000	3	2003	1			1	1	72		1			1			1			1					"1278"		1	3	3.0
1278.0			1	1	6	2	0.0	0.0	10																																							"1278"		0	3	3.0
1278.0			1	1	7	2	0.0	0.0	10																																							"1278"		0	3	3.0
1278.0			1	1	8	2	0.0	0.0	10																																							"1278"		0	3	3.0
1278.0			1	1	9	2	0.0	26.0	7	500	2.0	4	5	3	1	2		72			72			400000	6	2018	1			1	1	72		1			1			1			1					"1278"		1	3	3.0
1278.0			1	1	10	7	0.0	1.0	7	3000	0.0	4	3	3	2	1	500.0	72			72			100000	6	2018	98			6																		"1278"		0	3	3.0
1279.0	10	15	1	1	1	1	3.0	3.0	0	0	0.0	4	1					1			1			120000	3	2007	1			4																10	35	"1279"		0	3	3.0
1279.0			1	1	2	2	30.0	30.0	0	500	1.0	4	2					1			1			600000	3	2007	1			1	1	72		1			1			1			1					"1279"		1	3	3.0
1279.0			1	1	3	2	20.0	20.0	0	250	1.0	4	2					1			1			400000	3	2007	1			1	1			1			1			1			1					"1279"		1	3	3.0
1279.0			1	1	4	2	10.0	10.0	0	1000	1.0	4	2					1			1			200000	3	2007	1			1	1			1			1			1			1					"1279"		1	3	3.0
1279.0			1	1	5	2	5.0	5.0	0	400	1.0	4	2					1			1			100000	1	2010	1			1	1			1			1			1			1					"1279"		1	3	3.0
1279.0			1	1	6	2	12.0	0.0	2																																							"1279"		0	3	3.0
1279.0			1	1	7	9	12.0	12.0	0	20	4.0	1	1					1	72		1	72		200000	3	2007	1			7																		"1279"		0	3	3.0
1279.0			1	1	8	12	0.0	2.0	7	200	1.0	4	15	1	1	1		72			72			50000	5	2014	98			7																		"1279"		0	3	3.0
1280.0	11	25	1	1	1	1	0.0	10.0	10	0	0.0	4	1					1			1			300000	1	2013	98			4																11	50	"1280"		0	3	3.0
1280.0			1	1	2	2	0.0	0.0	10																																							"1280"		0	3	3.0
1280.0			1	1	3	2	36.0	0.0	3																																							"1280"		0	3	3.0
1280.0			1	1	4	2	44.0	0.0	3																																							"1280"		0	3	3.0
1280.0			1	1	5	2	52.0	0.0	3																																							"1280"		0	3	3.0
1280.0			1	1	6	2	18.0	18.0	0	500	2.0	5	3	1	3	1	500.0	72			72			400000	6	2013	1			1	1	72	73	1			1			1			1					"1280"		1	3	3.0
1280.0			1	1	7	2	18.0	0.0	3																																							"1280"		0	3	3.0
1280.0			1	1	8	2	10.0	0.0	3																																							"1280"		0	3	3.0
1280.0			1	1	9	2	0.0	36.0	7	2000	2.0	5	3	1	3	1	1000.0	72			72			600000	6	2016	1			1	1	72	73	1			1			1			1					"1280"		1	3	3.0
1280.0			1	1	10	2	0.0	36.0	7	1000	2.0	5	3	1	3	1	1000.0	72			72			600000	6	2016	1			1	1	72	73	1			1			1			1					"1280"		1	3	3.0
1280.0			1	1	11	2	0.0	24.0	7	2000	2.0	4	3	1	3	1	660.0	72			72			200000	6	2016	1			1	1	72		1			1			1			1					"1280"		1	3	3.0
1280.0			1	1	12	2	0.0	10.0	7	2000	2.0	4	3	1	3	1	280.0	72			72			150000	6	2016	1			1	1	72	73	1			1			1			1					"1280"		1	3	3.0
1280.0			1	1	13	2	0.0	36.0	5	2000	2.0	4	2					1			1			300000	1	2018	1			9																		"1280"	1	0	3	3.0
1281.0	9	56	1	1	1	1	4.0	16.0	6	0	0.0	4	1					1			1			480000	3	2010	98			4																10	15	"1281"		0	3	3.0
1281.0			1	1	2	2	48.0	48.0	0	500	1.0	4	6				1166.0	1			1			1000000	3	2010	98			9																		"1281"		0	3	3.0
1281.0			1	1	3	2	30.0	30.0	0	500	1.0	4	6				730.0	1			1			600000	3	2010	98			9																		"1281"		0	3	3.0
1281.0			1	1	4	2	0.0	0.0	10																																							"1281"		0	3	3.0
1281.0			1	1	5	2	48.0	0.0	3																																							"1281"		0	3	3.0
1281.0			1	1	6	10	5.0	5.0	0	800	1.0	4	2					1			1	72		100000	3	2010	98			1	1	72		1	72		1	72		98			98					"1281"		1	3	3.0
1281.0			1	1	7	2	0.0	24.0	6	500	1.0	4	6				580.0	1			1			4000000	3	2010	98			9																		"1281"		0	3	3.0
1281.0			1	1	8	10	0.0	25.5	5	0	1.0	4	1					1			1			800000	1	2017	98			5																		"1281"		0	3	3.0
1281.0			1	1	9	8	0.0	4.0	6	0	1.0	1	2					1			1			150000	3	2010	98			2	1			1			1			98			98					"1281"		0	3	3.0
1282.0	8	2	1	1	1	1	2.75	6.0	5	0	0.0	4	1					1			1			180000	3	2005	1			4																8	25	"1282"		0	3	3.0
1282.0			1	1	2	2	24.0	24.0	0	500	0.0	4	2					1			1			300000	3	2005	1			1	1	72		1			1			1			1					"1282"		1	3	3.0
1282.0			1	1	3	2	0.0	0.0	10																																							"1282"		0	3	3.0
1282.0			1	1	4	2	12.0	12.0	0	250	0.0	4	5	3	1	1		72			72			150000	6	2008	1			1	1	72		1			1			1			1					"1282"		1	3	3.0
1282.0			1	1	5	8	85.0	0.0	3																																							"1282"		0	3	3.0
1282.0			1	1	6	2	24.0	24.0	0	500	0.0	4	5	3	1	1		72			72			300000	6	2013	1			1	1	72		1			1			1			1					"1282"		1	3	3.0
1282.0			1	1	7	2	0.0	36.0	7	250	0.0	4	5	3	1	1		72			72			400000	6	2017	1			1	1	72		1			1			1			1					"1282"		1	3	3.0
1282.0			1	1	8	2	0.0	48.0	7	250	0.0	4	3	3	1	1	1333.0	72			72			600000	6	2016	1			1	1	72		1			1			1			1					"1282"		1	3	3.0
1282.0			1	1	9	8	0.0	100.0	7	3000	5.0	1	3	3	1	1	3750.0	72			72			1000000	6	2016	1			2	1	72		1			1			1			1					"1282"		0	3	3.0
1283.0	11	15	3	1	1	1	4.0	4.0	0	0	0.0	4	1					2			2			80000	1	2011	98			4																11	20	"1283"		0	3	3.0
1284.0	8	48	1	1	1	1	12.0	12.0	0	0	0.0	4	1					1			1			400000	3	1997	98			4																9	5	"1284"		0	3	3.0
1284.0			1	1	2	2	240.0	105.0	2	100	0.0	4	2					1			1			1500000	3	1997	1			1	1	72		1			1			1			1					"1284"		1	3	3.0
1284.0			1	1	3	2	100.0	100.0	0	700	1.0	4	2					1			1			1500000	1	2005	1			1	1	72		1			1			1			1					"1284"		1	3	3.0
1284.0			1	1	4	2	72.0	72.0	0	100	0.0	4	2					1			1			1000000	1	2004	1			1	1	72		1			1			1			1					"1284"		1	3	3.0
1284.0			1	1	5	2	50.0	50.0	0	5000	0.0	4	7					2			2			600000	2	2003	98			9																		"1284"		0	3	3.0
1284.0			1	1	6	10	72.0	72.0	0	100	0.0	4	2					1			1			1000000	1	2004	98			1	1	72		1			1			1			1					"1284"		1	3	3.0
1284.0			1	1	7	8	37.0	37.0	0	100	4.0	1	2					1			1			500000	3	1997	1			2	1	3		1			1			1			1					"1284"		0	3	3.0
1284.0			1	1	8	10	12.0	12.0	0	0	0.0	4	1					1			1			200000	3	1997	98			7																		"1284"		0	3	3.0
1284.0			1	1	9	8	2.0	0.0	2																																							"1284"		0	3	3.0
1284.0			1	1	10	8	28.0	28.0	0	200	7.0	1	2					1			1			300000	3	2015	1			2	1	3		1			1			1			1					"1284"		0	3	3.0
1284.0			1	1	11	8	23.0	0.0	2																																							"1284"		0	3	3.0
1285.0	9	46	1	1	1	1	15.0	15.0	0	0	0.0	4	1					1			1			300000	3	1996	98			4																10	6	"1285"		0	3	3.0
1285.0			1	1	2	2	144.0	24.0	2	300	2.0	4	8					1			1			400000	3	1996	98			9																		"1285"		0	3	3.0
1285.0			1	1	3	2	48.0	48.0	0	300	2.0	4	2					1			1			1000000	3	1996	1			1	1	72	73	1			1			1			1					"1285"		1	3	3.0
1285.0			1	1	4	2	12.0	12.0	0	300	2.0	4	2					1			1			250000	3	1998	1			1	1	72		1			1			1			1					"1285"		1	3	3.0
1285.0			1	1	5	2	12.0	12.0	0	300	2.0	4	2					1			1			250000	3	1996	1			1	1	72		1			1			1			1					"1285"		1	3	3.0
1285.0			1	1	6	8	8.0	8.0	0	100	2.0	1	2					1			1			100000	3	1996	1			2	1			1			1			1			1					"1285"		0	3	3.0
1285.0			1	1	7	2	0.0	15.0	6	300	2.0	4	2					1			1			300000	3	2015	1			1	1	72		1			1			1			1					"1285"		1	3	3.0
1285.0			1	1	8	2	0.0	36.0	6	300	2.0	4	2					1			1			700000	3	2015	1			1	1	72		1			1			1			1					"1285"		1	3	3.0
1285.0			1	1	9	2	0.0	28.0	6	300	2.0	4	2					1			1			600000	3	2016	1			1	1	72		1			1			1			1					"1285"		1	3	3.0
1285.0			1	1	10	10	0.0	19.0	10	400	0.0	4	1					1			1			400000	3	1996	98			7																		"1285"		0	3	3.0
1286.0	9	20	1	1	1	1	22.0	22.0	0	0	0.0	2	1					1	72		1	72		400000	1	1995	1			4																9	30	"1286"		0	3	3.0
1286.0			1	1	2	2	24.0	0.0	3																																							"1286"		0	3	3.0
1286.0			1	1	3	2	0.0	48.0	7	1000	2.0	2	5	3	2	1		1	72		72			500000	6	2018	1			1	1	2	72	1			1			1			1					"1286"		1	3	3.0
1287.0	9	37	1	1	1	1	8.0	17.0	6	0	0.0	5	1					1			1			200000	3	2017	98			4																9	48	"1287"		0	3	3.0
1287.0			1	1	2	2	32.0	32.0	0	500	0.0	5	2					1			1			600000	1	2003	1			1	1	72	3	1			1			1			1					"1287"		1	3	3.0
1287.0			1	1	3	2	12.0	12.0	0	500	2.0	5	2					1			1			200000	1	2008	1			1	1	72	3	1			1			1			1					"1287"		1	3	3.0
1287.0			1	1	4	2	12.0	12.0	0	500	2.0	5	2					1			1			200000	1	2004	1			1	1	72	3	1			1			1			1					"1287"		1	3	3.0
1287.0			1	1	5	2	12.0	12.0	0	100	2.0	5	2					2			2			200000	1	2007	1			1	1	72	3	1			1			1			1					"1287"		1	3	3.0
1287.0			1	1	6	2	11.0	0.0	2																																							"1287"		0	3	3.0
1287.0			1	1	7	2	5.0	5.0	0	50	2.0	5	8					2			2			100000	1	2003	1			9																		"1287"		0	3	3.0
1287.0			1	1	8	2	0.0	60.0	7	200	2.0	5	3	3	1	1	1667.0	72			72			1200000	6	2015	1			1	1	72	3	1			1			1			1					"1287"		1	3	3.0
1287.0			1	1	9	9	5.0	5.0	0	0	5.0	1	1					1			1			100000	1	2010	98			7																		"1287"		0	3	3.0
1287.0			1	1	10	2	0.0	14.0	7	250	2.0	5	3	3	1	1	350.0	72			72			300000	6	2015	1			1	1	72	3	1			1			1			1					"1287"		1	3	3.0
1288.0	9	1	1	1	1	1	6.0	6.0	0	0	0.0	5	1					1			1			200000	3	2004	98			4																9	15	"1288"		0	3	3.0
1288.0			1	1	2	2	72.0	72.0	0	100	1.0	5	2					1			1			1200000	3	2004	1			1	1	72	3	1			1			1			1					"1288"		1	3	3.0
1288.0			1	1	3	2	72.0	72.0	0	100	1.0	5	2					1			1			1200000	3	2004	1			1	1	72	3	1			1			1			1					"1288"		1	3	3.0
1288.0			1	1	4	2	48.0	48.0	0	1000	1.0	5	2					1			1			600000	3	2004	1			1	1	72	3	1			1			1			1					"1288"		1	3	3.0
1288.0			1	1	5	8	14.0	4.0	2	50	7.0	2	2					1			1			80000	3	2004	1			2	1			1			98			98			98					"1288"		0	3	3.0
1288.0			1	1	6	2	6.0	6.0	0	100	0.0	2	2					1			1			120000	1	2004	1			1	1	3		1			1			1			1					"1288"		1	3	3.0
1289.0	10	5	1	1	1	1	6.0	6.0	0	0	0.0	5	1					1			1			450000	3	2000	98			4																10	20	"1289"		0	3	3.0
1289.0			1	1	2	2	60.0	60.0	0	1000	5.0	5	2					1			1			1000000	1	1995	1			1	1	2	72	1			1			1			1					"1289"		1	3	3.0
1289.0			1	1	3	2	35.0	35.0	0	500	5.0	5	2					1			1			500000	3	2000	1			1	1	2	72	1			1			1			1					"1289"		1	3	3.0
1289.0			1	1	4	2	23.0	23.0	0	500	3.0	5	2					1			1			300000	3	2000	1			1	1	2	72	1			1			1			1					"1289"		1	3	3.0
1289.0			1	1	5	2	5.0	0.0	1																																							"1289"		0	3	3.0
1289.0			1	1	6	9	6.0	6.0	0	50	2.0	5	1					1			1			300000	3	2000	98			7																		"1289"		0	3	3.0
1290.0	9	49	3	1	1	1	8.0	8.0	0	0	0.0	4	1					1			1			120000	1	1990	1			4																10	15	"1290"		0	3	3.0
1290.0			3	1	2	2	24.0	24.0	0	100	2.0	4	2					1			1			250000	1	1990	1			1	1	3	72	1			1			1			1					"1290"		1	3	3.0
1290.0			3	1	3	2	12.0	12.0	0	100	2.0	4	2					1			1			130000	1	1990	1			1	1	3	72	1			1			1			1					"1290"		1	3	3.0
1290.0			3	1	4	2	24.0	0.0	3																																							"1290"		0	3	3.0
1290.0			3	1	5	2	0.0	48.0	7	1000	2.0	4	5	1	2	2		72			72			100000	6	2015	1			1	1	3	72	1			1			1			1					"1290"		1	3	3.0
1291.0	9	56	1	1	1	1	6.0	6.0	0	0	0.0	4	1					1			1			200000	3	1990	98			4																10	15	"1291"		0	3	3.0
1291.0			1	1	2	2	28.0	43.0	10	1000	2.0	4	2					1			1			500000	3	1990	1			1	1	2	72	1			1			1			1					"1291"		1	3	3.0
1291.0			1	1	3	2	30.0	21.0	10	1000	2.0	4	2					1			1			250000	3	1990	1			1	1	2	72	1			1			1			1					"1291"		1	3	3.0
1291.0			1	1	4	8	15.0	15.0	0	200	4.0	1	2					1			1			200000	1	1990	1			2	1	2		1			1			98			98					"1291"		0	3	3.0
1291.0			1	1	5	2	0.0	6.0	10	300	1.0	4	2					1			1			130000	3	1990	1			1	1			1			1			98			98					"1291"		1	3	3.0
