a01	hh_type	m2_01	m2_02	m2_03	m2_04	m2_05	m2_06	m2_07	m2_08	m2_09	m2_10	m2_11	m2_12	m2_13	m2_14	m2_15	m2_16	m2_17	m2_18	m2_19	m2_20	m2_21
14	3	1	6	10	10	6	2	3	1	200	400	1	1		2		1	0	0	1	0.5	2
14	3	2	7	2	2	1	1	3	30	8000	8000	1	1		2		1	0	0	1	0.1	2
14	3	3	27	11	2	2	10	2		50	500	1	1		2		6	0.5	3	3	1	2
14	3	4	10	11	2	2	80	2		150	12000	1	1		2		6	1	5	3	1	2
14	3	5	11	11	2	2	40	2		800	32000	1	1		2		6	1	5	3	1	2
14	3	6	27	11	10	7	2	1	40	40	80	1	1		2		2	0.25	0.2	1	1	2
15	3	1	27	12	1	2	2	2		30	60	1	0	10	2		1	0	0	1	0.3	2
15	3	2	27	10	2	1	3	2		266	800	1	1		2		3	30	4	3	1	2
15	3	3	27	11	1	6	2	3	65	9	18	1	1		2		1	0	0	1	0.05	2
15	3	4	11	11	2	1	20	2		700	14000	1	1		1	2	3	1	18	3	1.5	2
15	3	5	10	11	2	1	45	2		150	6750	1	1		1	2	3	1	18	3	1	2
16.1	3	1	27	11	2	2	30	2		100	3000	1	1		2		2	0.5	3	3	1	2
16.1	3	2	10	7	2	2	40	2		920	36800	1	1		2		6	1	7	3	1	2
16.1	3	3	11	7	2	2	35	2		800	28000	1	1		2		6	1	7	3	1	2
16.1	3	4	7	6	2	1	1	3	125	25000	25000	1	1		2		2	0.5	3	1	2	2
16.1	3	5	27	11	1	1	1	3	0.05	10	10	1	1		2		1	0	0	1	0.02	2
16.2	3	1	27	11	2	2	45	2		100	4500	1	1		2		2	0.5	3	3	2	2
16.2	3	2	11	7	2	2	70	2		875	61250	1	1		2		3	1	7	3	1	2
16.2	3	3	10	8	2	2	120	2		175	21000	1	1		2		3	1	7	3	1	2
16.2	3	4	27	10	1	3	1	2		40	40	1	1		2		1	0.1	0	1	0.1	2
17	3	1	27	11	1	1	2	3	0.7	15	30	1	1		2		1	0	0	1	0.1	2
18.1	3	1	27	11	2	2	10	2		60	600	1	1		2		1	0	0	1	1	2
