a01	hh_type	q_01	q_02	q_03	q_04	q_05	q_06	q_07	q_08	q_09	q_10	q_11	q_12	q_13	q_14	q_15	q_16	q_17	q_18	q_19	q_19a	q_19b	q_19c	q_20	q_20a	q_20a_2	q_20b	q_20b_2	q_20c	q_20c_2	q_20d_1	q_20d_2	q_20d_3	q_21
162	2	1	500		150	0	2	2	2	4	1	3	324	1	2	110	5	800	1		3			2	1	1	1	2	2		6			200
163	2	1	100		9999	0	4	3	2	4	2	2	405	1	2	200	5	700	1		3			0	2		2		2		7			0
164	2	1	200		9999	2	2	2	2	4	1	2	450	1	2	110	5	0	1		3			1	1	1	2		2		6			100
165	2	1	100		9999	1	3	2	2	4	1	1	366	1	2	200	5	0	1		3			1	1	4	2		2		6			150
166	2	1	400		21	4	2	2	2	4	4	3	270	1	3	175	5	350	1		3			2	1	1	1	3	2		6			120
167	2	1	200		30	2	2	2	2	4	2	2	276	1	2	140	5	0	1		3			1	1	1	2		2		6			130
168	2	1	300		55	10	1	2	2	1	1	3	459	1	2	200	5	0	1		3			1	1	1	2		2		6			130
169	2	1	200		9	0	1	1	1	1	1	4	600	1	2	300	5	0	1		3			2	1	1	1	4	2		6			200
170	2	1	200		6	4	2	2	2	4	3	2	420	1	2	220	5	0	1		3			1	1	1	2		2		6			200
171	2	1	150		15	1	4	5	2	4	1	2	320	1	2	150	5	0	1		3			1	1	1	2		2		6			200
172	2	1	1000		9	0	2	2	2	4	3	2	405	1	2	360	5	500	1		3			2	1	1	1	2	2		6			400
173	2	1	100		9999	0	4	2	2	4	1	2	300	1	5	105	9	0	1		3			0	2		2		2		7			0
174	2	1	200		27	0	3	2	2	4	4	3	300	1	5	108	5	441	1		3			1	1	1	2		2		6			60
175	2	1	400		25	1	3	2	2	4	2	4	1000	1	4	120	6	0	1		3			1	1	1	2		2		6			60
176	2	1	500		41	0	3	2	2	4	2	2	189	1	2	280	5	1000	1		3			2	1	1	1	4	2		6			100
177	2	1	250		20	0	3	2	2	4	1	4	270	1	2	350	4	0	1		3			2	1	1	1	3	2		6			180
178	2	1	1000		9999	0	1	1	1	4	2	2	567	1	2	260	5	700	1		3			2	1	3	1	4	1	3	6			400
179	2	1	300		9999	2	3	2	2	4	4	3	360	1	2	250	5	400	1		3			1	1	2	2		2		6			150
180	2	1	300		2	3	2	2	2	4	1	2	320	2			5	0	4	140	3			1	1	3	2		2		6			200
181	2	1	3000		9999	0	1	1	2	1	1	6	1156	1	2	352	5	0	1		3			1	1	1	1	1	2		6			700
182	2	1	600		9999	0	4	2	2	4	1	3	810	1	2	105	5	0	1		3			2	1	1	1	4	2		1			600
183	2	1	2000		12	0	1	2	2	4	1	3	371	1	2	140	5	300	1		3			2	1	1	1	3	2		6			100
184	2	1	2000		94	0	4	2	2	4	1	3	189	2			5	400	4	525	3			3	1	1	1	6	1	2	6			320
185	2	1	300		7	0	3	2	2	4	4	3	363	2			5	300	3	140	3			3	1	1	1	3	1	4	6			150
186	2	1	300		62	0	2	2	2	4	1	3	405	1	2	500	5	350	1		3			2	1	1	1	7	2		6			140
187	2	1	1500		200	0	2	2	2	4	1	3	607	1	2	185	9	0	1		3			1	1	1	2		2		6			60
188	2	1	2000		120	0	1	2	2	4	1	3	459	1	2	300	5	400	1		3			2	1	1	1	2	2		1			120
189	2	1	2000		23	0	2	1	2	1	1	3	1000	1	2	300	9	0	1		3			2	1	1	1	2	1	2	6			200
190	2	1	2000		9999	0	1	1	1	1	1	4	810	1	2	180	9	0	1		3			1	2		1	3	2		6			50
191	2	1	1000		8	0	2	2	2	4	1	3	344	2			5	700	4	600	3			2	2		1	8	2		6			70
192	2	1	1000		9999	1	2	2	2	4	1	4	612	1	2	540	5	700	1		3			4	1	1	1	2	1	5	6			300
193	2	1	1000		9999	1	2	2	2	4	1	2	405	1	2	506	5	0	1		3			4	1	1	1	1	1	2	6			400
194	2	1	1000		6	0	2	2	2	4	1	2	432	1	2	198	9	200	1		3			2	1	1	1	2	2		6			200
195	2	1	500		9999	0	3	2	2	4	1	3	504	1	2	175	5	500	1		3			3	1	7	1	2	1	2	6			350
196	2	1	1500		83	0	3	2	2	4	1	3	324	1	2	280	5	350	1		3			2	1	1	1	5	2		6			1100
197	2	1	4000		10	0	1	1	1	1	1	2	1200	1	2	480	5	400	1		3			2	1	1	1	2	2		5			220
198	2	1	500		100	2	2	2	2	4	1	2	405	1	2	200	5	0	1		3			1	1	1	1	1	2		6			500
199	2	1	3000		9999	0	1	1	2	4	1	4	1033	1	2	341	5	0	1		3			2	1	1	1	4	2		6			100
200	2	1	500		100	2	2	2	2	4	1	4	742	1	2	280	5	250	1		3			1	1	3	2		2		6			100
201	3	1	300		8	1	2	2	2	4	1	2	225	1	3	80	9	100	1		3			0	2		2		2		7			0
202	3	1	1000		100	0	2	1	2	1	1	4	891	1	3	468	5	600	1		3			3	1	4	1	5	1	1	1	4		500
203	3	1	150		7	0	4	2	2	4	1	3	315	2			9	0	4	72	3			1	1	5	2		2		6			600
