a01	hh_type	q_01	q_02	q_03	q_04	q_05	q_06	q_07	q_08	q_09	q_10	q_11	q_12	q_13	q_14	q_15	q_16	q_17	q_18	q_19	q_19a	q_19b	q_19c	q_20	q_20a	q_20a_2	q_20b	q_20b_2	q_20c	q_20c_2	q_20d_1	q_20d_2	q_20d_3	q_21
1414	2	1	1000		80	0	2	2	2	4	2	4	1235	2			5	0	3	0	3			4	1	2	1	7	1	6	6			500
1415	2	1	300		5	2	3	2	2	4	1	1	220	2			9	0	3	650	3			1	1	1	2		2		6			200
1416	2	1	300		50	3	3	1	2	4	1	1	135	2			10	0	3	0	3			1	2		1	2	2		6			140
1417.1	2	1	300		25	3	2	2	2	4	1	1	148	2			9	0	3	0	3			1	1	3	2		2		6			250
1417.2	2	1	1500		25	3	1	1	2	4	1	3	405	2			9	0	3	0	3			1	1	6	2		2		6			50
1418	2	1	1000		80	0	3	2	2	4	2	5	598	2			5	0	3	0	3			4	2		1	2	1	4	6			300
1419	2	1	500		45	2	5	6	2	4	2	3	372	2			6	0	3	0	3			2	2		1	3	1	3	6			400
1420	2	1	1000		20	0	2	1	1	4	1	3	486	2			9	0	3	0	3			1	1	1	2		2		6			200
1421	2	1	400		15	0	1	2	2	4	1	1	276	2			6	0	3	0	3			1	1	1	2		2		6			50
1423	2	1	600		15	0	5	6	2	4	2	3	720	2			5	0	3	0	3			1	2		1	3	2		6			300
1424	2	1	1000		18	1	3	2	2	4	1	1	412	2			5	0	3	0	3			1	2		1	3	2		6			300
1425	2	1	1000		15	4	2	2	2	4	1	3	720	2			5	0	3	0	3			1	2		1	3	2		6			300
1426	2	1	1000		20	0	2	2	2	4	1	3	306	2			9	0	3	0	3			3	2		1	1	1	3	6			300
1427	2	1	1000		27	0	3	2	2	4	2	5	1020	2			5	0	3	0	3			4	2		1	6	1	6	1			500
1428	2	1	700		40	0	3	2	2	4	3	5	612	2			6	0	3	0	3			3	2		1	3	1	5	6			350
1429	2	1	700		12	0	2	2	2	4	1	2	252	2			9	0	3	0	3			1	1	1	2		2		6			700
1430	2	1	500		23	2	2	6	2	4	2	2	228	2			9	0	3	0	3			3	1	1	1	2	1	3	6			300
1431	2	1	400		40	2	2	2	2	4	1	1	210	2			9	0	3	0	3			1	1	1	2		2		6			200
1432	2	1	100		60	3	4	6	2	4	1	1	189	2			9	0	3	0	3			0	2		2		2		7			0
1433	2	1	1000		24	3	3	2	2	4	1	2	270	2			6	0	3	0	3			2	1	1	1	3	2		6			80
1434	2	1	500		30	0	3	2	2	4	1	2	189	2			9	0	4	105	3			1	1	1	2		2		6			100
1435	2	1	800		15	0	2	2	2	4	2	3	432	2			9	0	3	0	3			1	1	1	2		2		6			90
1436	2	1	800		7	0	2	2	2	4	1	1	189	2			6	0	3	0	3			1	1	1	1	1	2		6			150
1437	2	1	800		30	0	2	2	2	4	2	4	675	2			6	0	3	0	3			1	1	1	2		2		6			300
1438	2	1	500		3	0	3	2	2	4	1	3	430	2			5	0	3	0	3			1	1	1	2		2		6			60
1439	2	1	2000		10	0	1	2	2	4	2	4	598.5	2			5	0	3	0	3			7	1	1	1	5	1	3	6			1200
1440	2	1	1000		7	0	2	2	2	4	2	2	364.5	2			6	0	3	0	3			1	1	1	2		2		6			100
1441	3	1	5000		10	3	1	1	1	1	1	5	520	1	2	594	5	0	1		3			1	1	1	2		2		6			200
1442	3	1	400		25	0	4	6	2	4	1	2	216	1	3	105	9	0	1		3			1	2		2		2		6			50
1443	3	1	700		60	1	2	2	2	4	1	2	192	1	3	196	5	300	1		3			1	1	6	1	2	1	4	6			300
1444	3	1	2000		12	0	1	1	1	1	1	3	1008	1	3	700	5	500	1		3			1	1	1	2		2		6			100
1445	3	1	400		30	3	4	2	2	4	1	2	180	1	3	120	5	0	1		3			1	1	1	2		2		6			50
1446	3	1	1000		60	1	2	2	2	1	1	3	441	1	3	200	6	0	1		3			2	1	1	1	2	2		6			500
1447	3	1	15000		3	0	1	1	1	1	1	3	1120	1	3	494	5	0	1		3			6	1	1	1	4	1	5	6			500
1448	3	1	2000		2	0	2	1	2	1	1	2	540	1	3	350	5	0	1		3			1	1	1	1	2	2		6			300
1449	3	1	7000		17	1	1	1	1	1	1	5	1900	1	3	1220	5	0	1		3			6	1	5	1	1	1	2	1	3		500
1450.1	3	1	3600		16	2	2	1	1	4	1	3	324	1	3	320	5	0	1		3			1	1	5	1	1	2		6			400
1450.2	3	1	3600		16	2	2	1	2	4	1	3	324	1	3	220	5	200	1		3			1	1	2	2		2		6			250
1451	3	1	2000		19	1	3	1	2	1	1	3	336	1	3	535	5	0	1		3			1	1	1	2		2		6			90
1452	3	1	12000		11	0	1	1	1	1	1	5	1575	1	3	936	5	0	1		3			2	1	1	1	2	2		6			200
1453	3	1	2000		20	0	2	1	2	1	1	3	504	1	3	500	1		1		3			1	1	1	1	2	1	3	6			1000
1454	3	1	2000		45	1	1	1	1	1	1	6	1092	1	3	642	5	0	1		3			1	1	1	1	3	2		6			1000
1455	3	1	4000		20	0	1	2	2	1	1	4	480	1	3	350	5	0	1		3			1	1	1	1	3	2		6			100
1456	3	1	8000		43	1	1	1	1	1	1	6	810	1	3	900	5	0	1		3			1	1	1	2		2		6			200
1457	3	1	5000		30	3	1	1	1	1	1	1	716	1	3	582	5	0	1		3			1	1	1	1	2	2		6			35
1458	3	1	1000		30	5	2	2	2	1	1	2	405	1	3	329	5	0	1		3			1	1	1	1	1	2		6			300
1459	3	1	1500		15	2	1	2	2	1	1	2	330	1	3	400	5	430	1		3			1	1	1	2		2		6			60
1460	3	1	8000		6	0	1	1	1	1	1	3	360	1	2	675	5	0	1		3			2	1	1	1	2	2		6			250
1462	3	1	3000		50	3	2	2	2	4	1	4	544.5	1	3	350	5	0	1		3			2	1	1	1	5	2		6			250
1463	3	1	2000		18	1	2	2	2	4	1	3	567	1	2	400	5	0	1		3			3	1	1	1	2	1	4	6			500
1464	3	1	3000		100	3	2	2	2	4	1	1	396	1	3	105	6	0	1		3			2	1	1	1	2	2		6			1200
1465	3	1	1000		20	4	1	1	1	1	1	4	588	1	3	728	5	700	1		3			2	1	1	1	3	2		6			500
1466	3	1	2000		40	5	2	2	2	4	1	4	607	1	2	280	6	200	1		3			2	1	1	1	2	2		6			500
1467	3	1	1000		80	0	4	2	2	4	1	4	530	1	3	270	5	0	1		3			2	2		1	2	1	3	6			300
1468	3	1	300		5	1	5	6	2	4	1	2	130	1	3	120	5	0	1		3			1	1	1	2		2		6			400
1469	3	1	2000		20	3	3	2	2	1	1	1	486	1	2	257	3	450	1		3			2	1	1	1	2	2		6			200
1470	3	1	1500		200	6	2	2	2	4	1	2	445	2			6	0	4	140	3			1	1	2	2		2		6			400
1471	3	1	1000		20	0	3	1	2	1	1	4	365	1	3	280	5	0	1		3			0	2		2		2		7			0
1472	3	1	1000		50	4	3	2	2	4	1	4	432	1	3	300	6	0	1		3			2	1	1	1	6	2		6			500
1473	3	1	6000		5	0	1	1	1	1	1	6	864	1	3	500	6	0	1		3			2	1	1	1	5	2		6			500
1474	3	1	2000		100	4	2	2	2	4	1	3	702	1	3	216	5	0	1		3			2	1	1	1	5	2		6			50
1475	3	1	500		100	0	3	6	2	4	1	4	445	1	3	480	5	0	1		3			3	2		1	1	1	3	6			300
1476	3	1	1000		140	3	2	2	2	4	1	3	432	1	3	200	9	0	1		3			4	1	1	1	2	1	3	1			1000
1477	3	1	2000		15	0	3	2	2	4	2	4	834	2			5	0	4	160	3			2	2		1	3	1	2	6			200
1478	3	2	2000		30	0	2	2	2	1	1	2	544	1	3	420	5	600	1		3			2	1	5	1	1	2		6			500
1479	3	1	1000		70	4	2	2	2	4	1	3	272	1	3	120	9	0	1		3			1	1	3	1	4	2		1			300
1480	3	1	2000		60	2	2	1	2	1	1	4	464	1	3	409	5	0	1		3			3	1	3	1	3	1	2	6			400
1481	3	1	1000		16	2	3	2	2	4	1	1	410	2			6	0	4	140	3			1	2		1	2	2		6			50
1482	3	1	4000		15	2	2	2	2	4	1	5	576	1	3	300	5	0	1		3			2	1	1	1	3	2		6			350
1483	3	1	5000		200	2	1	1	1	1	1	3	1120	1	3	350	5	200	1		3			2	2		1	2	1	5	6			400
1485	3	1	1000		40	4	2	2	2	4	1	2	288	1	3	117	9	0	1		3			1	1	1	2		2		6			50
1486	3	1	1500		80	4	3	5	2	4	1	4	363	2			5	0	3	0	3			1	2		1	2	2		6			300
1487	3	1	1000		60	0	2	2	2	4	1	2	344	2			9	0	3	0	3			1	2		1	2	2		6			300
1488	3	1	1000		50	2	3	2	2	1	1	4	412	1	3	210	5	0	1		3			2	1	2	1	7	2		6			300
1489	3	1	4000		40	0	2	2	2	4	1	3	693	1	3	105	9	0	1		3			1	1	2	1	4	2		6			1200
1490	3	1	5000		35	0	1	1	1	1	1	5	600	1	2	600	5	200	1		3			3	2		1	2	1	4	6			1000
1491	3	1	150		30	3	5	2	2	4	1	1	132	2			5	0	4	132	3			1	1	1	2		2		6			200
1492	3	1	1000		20	4	4	5	2	4	1	3	320	1	3	150	5	0	1		3			1	2		1	1	2		6			100
1493	3	1	600		17	3	3	5	3	4	1	1	297	1	3	300	5	150	1		3			2	1	1	1	1	2		6			200
1494	3	1	2000		80	2	3	2	2	4	1	2	324	1	3	700	5	325	1		3			1	1	1	2		2		6			600
1495	3	1	9000		70	0	1	1	1	1	2	6	4833	1	3	920	6	0	1		3			3	1	5	1	6	1	2	6			1200
1496	3	1	5000		30	4	2	1	2	1	1	3	720	1	2	383	5	450	1		3			2	1	1	1	2	2		6			150
1497	3	1	3000		10	1	1	1	2	1	1	5	1176	1	3	700	5	0	1		3			3	1	1	1	2	1	3	1			600
1498	3	1	5000		50	3	1	1	1	1	1	2	300	1	2	300	5	0	1		3			1	1	1	2		2		6			200
1499	3	1	100		80	1	5	2	2	4	1	2	320	2			5	0	4	80	3			1	1	1	2		2		6			20
1501	3	1	300		2	0	3	2	2	4	2	2	216	1	3	180	9	0	1		3			2	1	1	1	2	2		6			50
1502	3	1	1000		4	0	3	2	2	4	2	2	441	2			9	0	4	140	3			1	2		1	3	2		6			250
1503	3	1	1000		5	0	3	10	2	4	1	1	252	2			9	0	4	88	3			1	1	1	2		2		6			40
1504	3	1	300		4	0	3	2	2	4	1	1	380	2			9	0	4	40	3			0	2		2		2		7			0
1505	3	1	1000		6	0	3	2	2	4	2	2	612	2			9	0	3	0	3			1	1	1	2		2		6			200
1506	3	1	200		1	4	4	6	2	4	1	1	180	2			9	0	3	0	3			1	1	1	2		2		6			50
1507	3	1	600		5	0	3	2	2	4	2	2	441	2			9	0	4	105	3			1	1	5	2		2		6			30
1508	3	1	200		6	0	3	2	2	4	1	1	360	2			9	0	3	0	3			1	1	1	2		2		6			20
1510	3	1	600		7	2	4	2	2	4	2	2	378	2			9	0	4	45	3			2	2		2		2		7			0
1511	3	1	400		4	0	3	2	2	4	1	1	351	2			9	0	3	0	3			1	1	2	2		2		6			20
1513	3	2	300		4	1	4	6	10	4	1	1	220	2			9	0	4	70	3			1	1	1	2		2		6			80
1514	3	1	400		4	0	3	2	2	4	2	3	560	2			9	0	3	0	3			6	1	1	1	3	1	9	6			500
1515	3	1	150		2	0	3	2	2	4	2	2	220	2			9	0	4	70	3			1	1	1	2		2		6			400
1516	3	2	400		5	0	3	2	2	4	1	1	340	2			9	0	4	100	3			1	1	1	2		2		6			60
1517	3	1	100		4	2	4	10	2	4	1	1	216	2			9	0	3	0	3			0	2		2		2		7			0
1518	3	1	400		6	1	3	2	2	4	2	2	430	2			9	0	3	0	3			0	2		2		2		7			0
1519	3	1	200		4	0	3	2	2	4	2	2	360	2			9	0	3	0	3			1	1	1	2		2		6			100
1520	3	1	100		3	3	4	10	2	4	1	1	157	2			9	0	4	70	3			1	1	1	2		2		6			20
1521.1	3	1	1000		9999	0	3	2	2	4	1	1	324	1	3	50	9	0	1		3			0	2		2		2		7			0
1521.2	3	1	1000		4	1	2	1	2	1	1	1	675	1	3	250	5	120	1		3			6	1	1	1	2	2		6			500
1522	3	1	150		2	3	3	2	2	4	1	2	480	1	3	350	9	0	1		3			1	2		1	3	2		6			300
1523	3	1	300		3	0	4	5	2	4	1	1	240	1	3	100	9	0	1		3			1	1	1	2		2		6			80
1524	3	1	150		15	3	4	5	2	4	1	1	216	1	3	500	9	0	1		3			1	1	1	2		2		6			60
1525	3	1	1200		40	0	3	2	2	4	2	3	270	2			9	0	4	210	3			2	1	1	1	5	2		6			300
1526	3	1	1000		169	0	3	2	2	4	2	2	517	1	2	100	9	0	1		3			1	2		1	3	1	2	6			200
1527	3	1	200		15	1	3	2	2	4	1	1	220	1	2	50	9	0	1		3			0	2		2		2		7			0
1528	3	1	1000		3	1	2	2	2	4	1	2	480	1	2	350	9	0	1		3			1	1	1	2		2		6			150
1529	3	1	1000		8	0	3	2	2	4	1	2	440	1	2	200	9	0	1		3			1	1	1	2		2		6			200
1530	3	1	500		111	1	2	1	2	4	1	1	540	1	2	130	9	0	1		3			1	1	1	2		2		6			100
1531	3	1	100		7	0	3	2	2	4	1	1	112	2			9	0	4	70	3			1	1	1	2		2		6			300
1532	3	1	1500		10	0	3	2	2	4	1	2	560	1	2	90	6	0	1		3			1	1	1	1	5	2		6			300
1533	3	1	1000		40	0	3	2	2	4	2	2	558	1	3	100	9	0	1		3			2	1	2	1	3	2		6			200
1534	3	1	500		3	2	3	2	2	4	1	1	200	1	2	350	6	0	1		3			1	1	1	2		2		6			200
1535	3	1	2000		50	0	2	1	2	4	1	3	675	1	3	200	9	0	1		3			1	2		1	3	2		6			200
1536	3	1	500		40	3	2	2	1	1	1	2	342	2			6	105	4	0	3			1	1	1	2		2		6			100
1537	3	1	200		6	1	3	2	2	4	2	2	180	2			9	0	4	70	3			0	2		2		2		7			0
1538	3	1	150		6	0	3	2	2	4	1	1	270	1	3	75	9	0	1		3			0	2		2		2		7			0
1540	3	1	1000		30	0	3	2	2	4	1	2	608	1	3	85	9	0	1		3			1	2		1	3	2		6			100
1541	3	1	1000		3	0	2	1	2	4	1	3	840	1	2	105	9	0	1		3			1	1	1	2		2		6			100
1542	3	1	600		8	0	3	2	2	4	1	1	288	2			9	0	4	35	3			0	2		2		2		7			40
1543	3	1	1000		9999	0	3	2	2	4	1	2	324	1	3	360	9	0	1		3			2	1	1	1	2	2		6			130
1544	3	1	300		4	1	3	2	2	4	1	1	378	1	2	100	9	0	1		3			1	1	1	2		2		6			40
1546	3	1	100		10	1	5	2	2	4	1	2	162	2			9	0	4	70	3			0	2		2		2		7			0
1547	3	1	500		9	0	3	2	2	4	1	1	252	2			9	0	4	140	3			0	2		2		2		7			0
1548	3	1	800		40	0	2	2	2	4	1	2	486	2			9	0	4	240	3			0	2		2		2		7			0
1549	3	1	2000		50	0	2	1	2	4	1	4	900	1	2	250	9	0	1		3			3	1	2	1	3	1	5	6			800
1550	3	1	200		3	3	3	2	2	4	1	1	175	1	3	141	9	0	1		3			1	1	1	1	1	2		6			30
1551	3	1	600		13	4	3	2	2	4	1	2	648	1	2	222	9	0	1		3			3	1	1	1	3	1	4	6			300
1552	3	1	500		25	5	3	2	2	4	1	1	360	1	2	136	9	0	1		3			1	1	1	2		2		6			300
1553	3	1	500		12	3	3	2	2	4	1	2	540	2			9	0	4	100	3			1	2		1	5	2		6			60
1554	3	1	300		12	0	4	2	2	4	1	2	425	1	2	50	9	0	1		3			1	1	2	2		2		6			40
1555	3	1	1000		16	2	3	1	2	4	1	2	520	2			9	0	4	100	3			0	2		2		2		7			0
1556	3	1	600		13	0	3	2	2	4	1	2	360	2			9	0	4	80	3			1	1	1	2		2		6			120
1557	3	1	2000		8	1	1	1	2	1	1	2	680	1	2	250	9	0	1		3			1	1	4	2		2		6			200
1558	3	1	1000		30	0	2	2	2	4	2	2	576	1	2	150	9	0	1		3			1	1	1	2		2		6			100
1559	3	1	1000		9999	3	2	1	2	1	1	1	344	1	2	500	5	540	1		3			1	1	1	2		2		6			80
1560	3	1	500		3	1	2	1	2	4	1	1	440	1	2	160	9	0	1		3			1	1	1	2		2		6			30
1561	3	1	500		12	0	3	2	2	4	1	1	324	2			9	0	4	80	3			1	1	1	2		2		6			90
1563	3	1	1000		9	0	3	2	2	4	1	2	567	1	2	120	5	450	1		3			2	1	1	1	2	2		1	4		60
1564	3	1	300		41	3	3	2	2	4	1	1	148	1	3	160	9	0	1		3			1	1	1	1	1	2		6			160
1565	3	1	500		16	0	3	2	2	4	2	2	384	2			9	0	4	70	3			1	1	5	2		2		6			40
1566	3	1	1000		12	0	3	2	2	4	2	3	567	2			9	0	4	120	3			1	1	1	2		2		6			150
1569	3	1	500		16	1	3	2	2	4	2	2	480	2			9	0	4	110	3			1	1	1	2		2		6			40
1570	3	1	300		3	0	3	2	2	4	1	1	378	2			9	0	4	150	3			0	2		2		2		7			0
1571	3	1	500		15	2	3	2	2	4	1	1	340	2			9	0	4	60	3			0	2		2		2		7			0
1572	3	1	400		10	0	3	2	2	4	1	1	320	2			9	0	4	210	3			0	2		2		2		7			0
1573	3	1	2000		11	0	2	1	2	4	1	2	630	1	2	120	9	0	1		3			2	1	1	1	2	2		6			700
1574	3	1	100		40	3	4	2	2	4	1	1	120	2			9	0	4	40	3			0	2		2		2		7			0
1575	3	1	300		20	2	3	2	2	4	1	1	260	2			9	0	4	90	3			0	2		2		2		7			0
1576	3	1	600		22	0	3	2	2	4	1	2	288	1	2	250	9	0	1		3			1	1	1	2		2		6			150
1577	3	1	1000		20	0	3	2	2	4	2	2	368	2			9	0	4	100	3			0	2		2		2		7			0
1578	3	1	1000		3	0	2	2	2	4	2	3	693	1	4	300	9	0	1		3			3	1	1	1	3	1	4	1			60
1579	3	1	500		9	0	3	2	2	4	1	2	504	1	3	200	9	0	1		3			1	2		1	2	2		6			30
1580	3	1	300		70	2	3	1	2	1	1	2	234	1	3	100	9	0	1		3			1	1	1	2		2		6			80
1581	3	1	100		3	0	4	2	2	4	1	1	162	2			9	0	4	35	3			1	1	1	2		2		6			30
1582	3	1	500		25	0	3	2	2	4	2	2	460	2			9	0	4	140	3			1	1	1	2		2		6			200
1583	3	1	500		7	0	3	2	2	4	1	1	264	2			9	0	4	140	3			1	2		1	1	2		6			100
1584	3	1	800		12	0	3	2	2	4	2	2	576	2			9	0	3	0	3			1	1	1	2		2		6			200
1585	3	1	500		30	0	2	2	2	4	1	2	378	2			9	0	4	140	3			0	2		2		2		7			0
1586	3	1	500		7	0	3	6	2	4	2	1	308	2			9	0	4	100	3			2	1	1	1	4	2		6			100
1587	3	1	500		4	0	2	2	2	4	1	2	360	1	3	80	2	0	1		3			1	1	2	2		2		6			20
1588	3	1	600		8	0	3	2	2	4	2	2	380	2			9	0	3	0	3			1	1	2	2		2		6			100
1589	3	1	400		7	0	2	2	2	4	1	1	218	2			9	0	4	70	3			1	1	1	2		2		6			100
1590	3	1	200		10	0	4	6	2	4	2	1	200	2			9	0	4	18	3			1	1	1	2		2		6			200
1591	3	1	600		25	0	2	2	2	4	1	2	396	2			9	0	4	120	3			1	2		1	4	2		6			300
1592	3	1	100		10	0	4	6	2	4	1	1	120	2			9	0	4	70	3			2	1	1	1	2	2		6			150
1595	3	1	400		5	2	2	2	2	4	1	1	280	2			9	0	4	70	3			1	1	2	2		2		6			60
1596	3	1	300		12	0	3	2	2	4	1	1	288	2			9	0	4	105	3			1	2		1	1	2		6			50
1597	3	1	150		3	0	2	2	2	4	1	1	220	2			9	0	4	30	3			0	2		2		2		7			0
1598	3	1	150		100	0	3	6	2	4	1	1	200	2			9	0	4	35	3			0	2		2		2		7			0
1599	3	1	300		11	0	3	6	2	4	1	1	180	2			9	0	4	35	3			0	2		2		2		7			0
1600.1	3	1	500		10	0	3	2	2	4	2	2	320	2			9	0	3	0	3			1	1	1	2		2		6			300
1600.2	3	1	1500		12	0	3	2	2	4	1	3	450	2			9	0	3	0	3			2	1	5	1	2	2		6			200
1601	3	1	1500		50	0	3	1	1	1	1	3	720	1	2	177	6	0	1		3			1	1	1	2		2		6			50
1602	3	1	500		32	0	3	2	2	1	1	2	220.5	1	2	360	5	600	1		3			2	1	1	1	2	2		6			100
1603	3	2	500		5	0	4	2	2	4	1	1	220.5	1	2	80	5	0	1		3			1	1	1	2		2		6			100
1604	3	1	3000		6	0	3	1	2	1	1	2	360	1	2	280	5	840	1		3			2	1	1	1	2	2		6			100
1605	3	3		7500	3	0	1	1	1	1	1	3	600	1	2	550	2	450	1		3			2	1	5	1	7	1	10	1	4		3000
1606	3	1	500		15	0	4	2	2	1	1	1	108	1	3	250	3	600	1		3			2	1	1	1	3	2		6			300
1607	3	1	1000		12	0	3	2	2	1	1	1	63	1	2	100	5	500	1		3			2	1	1	1	2	2		6			500
1608	3	1	2000		10	0	2	2	2	4	1	2	445.5	1	2	550	6	0	1		3			1	2		1	3	2		6			300
1609	3	1	1000		19	0	2	1	2	4	1	2	360	1	3	350	6	0	1		3			2	1	1	1	2	2		6			500
1610	3	1	1000		44	0	3	2	2	1	1	3	630	1	2	400	5	0	1		3			3	1	1	1	3	1	2	6			300
1611	3	1	2000		30	0	2	2	2	1	1	2	180	1	2	200	5	600	1		3			2	1	1	1	3	2		6			35
1612	3	1	500		4	0	2	2	2	1	1	3	220.5	1	3	450	5	1200	1		3			2	1	1	1	4	2		6			600
1613	3	1	2000		12	1	1	1	2	1	1	3	540	1	2	150	4	1300	1		3			3	1	1	1	2	1	7	1			750
1615	3	1	500		35	0	3	2	2	1	1	1	126	1	3	311	5	550	1		3			1	2		1	2	2		6			100
1616	3	1	500		20	0	4	2	2	4	1	2	220.5	1	2	143	5	700	1		3			1	1	1	2		2		6			100
1617	3	1	2000		8	0	1	1	2	1	2	3	414	1	2	500	5	0	1		3			3	1	2	1	5	1	1	6			400
1618	3	1	1500		15	0	2	2	2	1	2	2	742.5	1	3	600	5	1100	1		3			1	1	2	2		2		6			200
1619	3	1	2000		17	0	2	2	2	4	2	2	481.5	1	3	170	6	700	1		3			2	1	1	1	3	2		6			250
1620	3	1	2000		9	0	1	1	2	1	2	1	450	1	2	300	3	600	1		3			3	1	1	1	1	1	2	1			1000
1621	3	1	400		17	0	3	4	2	4	1	1	270	1	4	100	5	300	1		3			1	1	1	2		2		6			30
1622	3	1	1000		25	0	1	4	2	4	1	2	535.5	1	3	512	9	0	1		3			3	1	1	1	3	1	5	6			200
1623	3	1	500		25	0	2	4	2	4	2	2	499.5	1	3	200	5	0	1		3			0	2		2		2		7			0
1624	3	1	3000		3	0	2	1	2	1	1	3	810	1	3	120	5	0	1		3			1	1	1	2		2		6			200
1625	3	1	1000		25	0	2	4	2	4	2	3	607.5	1	3	151	9	0	1		3			2	1	1	1	3	2		6			450
1626	3	1	1000		10	0	3	4	2	4	1	1	270	1	5	219	5	0	1		3			2	1	1	1	2	2		6			1000
1627	3	1	1000		15	0	3	4	2	4	1	2	288	1	4	300	5	0	1		3			2	1	1	1	3	2		6			200
1628	3	1	500		20	0	2	4	2	4	2	3	688.5	2			9	0	4	200	3			1	1	1	2		2		6			50
1629	3	1	400		30	0	3	4	2	4	1	2	220.5	1	4	100	5	0	1		3			2	1	3	1	1	2		6			100
1630	3	1	2000		10	0	2	4	2	4	1	2	346.5	1	3	684	5	0	1		3			2	1	2	1	1	2		6			400
1631	3	1	500		15	0	1	4	2	4	1	2	396	1	2	105	9	0	1		3			1	1	1	2		2		6			300
1632	3	1	500		15	0	3	4	2	4	1	1	180	1	2	70	5	0	1		3			2	1	1	1	2	2		6			80
1633	3	1	500		3	0	1	4	2	4	2	3	684	1	3	367	9	0	1		3			1	1	1	2		2		6			100
1634	3	1	1500		20	0	2	4	2	4	1	2	396	1	5	247	5	0	1		3			3	1	2	1	1	1	3	6			300
1635	3	1	500		20	0	2	4	2	4	1	2	540	1	3	200	5	0	1		3			2	1	1	1	2	2		6			200
1636	3	1	2000		2	0	3	4	2	4	2	2	648	2			5	0	4	140	3			1	1	1	2		2		6			200
1637	3	1	500		15	0	2	4	2	4	2	2	488.25	1	3	200	9	0	1		3			2	1	1	1	2	2		6			100
1638	3	1	2000		20	0	2	4	2	4	2	3	855	1	3	245	5	0	1		3			2	1	1	1	3	2		6			300
1639	3	1	500		25	0	3	4	2	4	2	2	864	1	3	200	5	0	1		3			1	1	1	2		2		6			100
1640	3	1	3000		3	0	1	4	2	4	2	3	1242	1	3	250	9	0	1		3			2	1	1	1	3	2		6			300
1641	3	1	1000		1	2	3	4	2	4	1	2	486	1	2	700	5	0	1		3			2	1	1	1	2	2		6			200
1642	3	1	2000		20	0	1	4	2	4	1	2	360	1	3	300	5	0	1		3			1	1	1	2		2		6			250
1643	3	1	2000		10	0	2	1	2	1	1	2	396	1	3	450	10	0	1		3			2	1	1	1	2	2		6			320
1644	3	1	300		12	0	4	2	2	4	1	1	252	1	3	300	5	0	1		3			2	1	1	1	3	2		1			500
1645	3	1	1000		3	0	2	1	2	1	2	2	283.5	2			5	0	4	70	3			1	1	2	2		2		6			100
1646	3	1	1000		12	0	2	4	2	4	1	1	252	1	3	209	9	0	1		3			2	1	1	1	2	2		6			200
1647	3	1	300		25	2	3	4	2	4	1	1	202.5	1	2	350	5	0	1		3			0	2		2		2		7			0
1648	3	1	2000		7	0	3	1	1	1	1	4	648	1	2	472	5	0	1		3			4	1	1	1	2	1	3	6			1000
1649	3	1	1500		25	0	3	4	2	4	3	4	1188	1	3	670	5	0	1		3			2	1	1	1	2	2		6			180
1650	3	1	2000		16	0	1	4	2	4	2	2	459	1	2	800	5	0	1		3			2	1	1	1	2	2		6			150
1651	3	1	1000		10	0	3	4	2	4	1	3	576	1	2	600	5	2000	1		3			3	1	1	1	6	1	9	6			1200
1652	3	1	10000		6	1	2	1	2	1	2	3	1422	1	3	900	5	0	1		3			4	1	1	1	3	1	6	6			1000
1653	3	1	500		10	0	2	2	2	4	1	1	189	1	3	300	5	600	1		3			2	1	1	1	2	2		2			300
1654	3	1	1000		40	0	1	4	2	4	2	3	702	1	3	300	9	0	1		3			2	1	1	1	2	2		6			500
1655	3	1	1000		25	2	4	4	2	4	2	2	441	1	2	280	5	0	1		3			1	1	3	2		2		6			200
1656	3	1	200		15	0	4	4	2	4	1	1	162	2			5	0	4	35	3			0	2		2		2		6			0
1657	3	1	4000		5	0	1	1	2	1	1	3	540	1	2	250	5	0	1		3			3	1	1	1	5	1	6	6			100
1658	3	1	500		10	1	3	4	2	4	1	1	288	2			5	0	4	200	3			1	2		1	2	2		6			150
1659	3	1	500		25	0	1	4	2	4	1	2	540	1	3	250	5	0	1		3			4	1	1	1	2	1	4	6			300
1660	3	1	2000		3	0	2	4	2	4	2	2	310.5	1	3	380	5	1200	1		3			1	1	7	1	1	2		2			500
1661	3	1	500		20	0	3	4	2	4	1	2	252	1	2	200	6	400	1		3			0	2		2		2		7			0
1662	3	1	2000		12	0	1	1	2	1	3	3	1035	1	2	275	9	0	1		3			1	1	1	2		2		6			150
1663	3	1	5000		6	0	1	1	1	1	1	5	1080	1	3	1200	5	0	1		3			5	1	1	1	3	1	6	1			3000
1664	3	1	1000		15	0	1	4	2	1	2	3	738	1	2	675	5	0	1		3			2	2		1	2	1	3	6			150
1665	3	1	300		20	0	3	4	2	4	1	2	396	1	3	50	5	0	1		3			1	1	1	2		2		6			50
1666	3	1	4000		12	0	1	4	2	1	3	6	1746	1	2	1500	5	800	1		3			5	1	1	1	2	2		1	4		3000
1667	3	1	300		3	0	4	2	2	4	1	1	121.5	1	3	350	5	700	1		3			1	1	2	2		2		6			0
1668	3	1	5000		17	1	2	2	1	4	1	1	675	1	2	1500	5	400	1		3			4	1	3	1	4	2		1	4		500
1669	3	1	500		15	0	4	4	2	4	1	2	324	1	2	400	5	0	1		3			1	1	1	2		2		6			500
