a01	hh_type	plotid	g01	g02_1	g02	g20	g03	g04	g05	g06	g07	g08a	g08b	g08c	g09a	g09b	g09c	g10	g11	g12	g13a	g13b	g13c	g14	g15a	g15b	g15c	g16a	g16b	g16c	g17a	g17b	g17c	g18a	g18b	g18c	g19a	g19b	g19c	flag_g
14	3	3	2	5	5	0	400	0	4	2		1			1			50000	1	1985	1			1	1			1			1			1			1			0
14	3	4	4	10	10	0	0	0	4	1		1			1			100000	3	1987	1			5																4
14	3	5	4	52	52	0	400	0	4	1		1			1			500000	3	1987	1			5																4
14	3	6	4	12	12	0	500	0	4	1		1			1			100000	3	1987	1			5																4
14	3	7	2	52	52	0	500	3	4	2		1			1			400000	3	1987	1			1	1			1			1			1			1			0
14	3	8	2	104	104	0	550	3	4	2		1			1			800000	1	1995	1			1	1			1			1			1			1			0
14	3	9	2	55	55	0	600	3	4	2		1			1			450000	1	2002	1			1	1			1			1			1			1			0
14	3	10	2	20	20	0	700	3	4	2		1			1			200000	3	1987	1			1	1			1			1			1			1			0
14	3	11	2	104	104	0	750	3	4	3	3250	72			72			800000	6	2009	1			1	1			1			1			1			1			0
14	3	12	2	26	26	0	800	3	4	3	830	72			72			200000	6	2010	1			1	1			1			1			1			1			0
14	3	13	12	5	5	0	700	0	4	2		1			1			50000	3	1987	1			1	1			1			1			1			1			1
14	3	14	12	10	10	0	800	0	4	2		1			1			100000	3	1987	1			1	1			1			1			1			1			1
14	3	15	9	6	6	0	0	1	4	1		1			1			30000	3	1987	1			7																4
14	3	16	9	7	7	0	10	1	4	1		1			1			400000	3	1987	1			7																4
14	3	17	8	0	104	7	700	3	4	3	3250	72			72			800000	6	2010	1			2	1			1			1			1			1			1
15	3	1	1	5	5	0	0	0	4	1		1			1			80000	3	1990	1			4																4
15	3	2	4	32	32	0	0	2	4	1		1			1			425000	3	1990	1			5																4
15	3	3	2	65	65	0	1000	3	4	2		1			1			700000	3	1990	1			1	1			1			1			1			1			0
15	3	4	2	0	90	7	2000	3	4	4		72			72			1200000	6	2013	1			1	1			1			1			1			1			0
15	3	5	2	0	78	7	500	2	4	4		72			72			1200000	6	2013	1			1	1			1			1			1			1			0
16.1	3	1	1	25	12.5	2	0	0	4	1		1			1			300000	3	2014	1			4																4
16.1	3	2	2	52	26	2	10	0	4	2		1			1			300000	3	2014	1			1	1			1			1			1			1			0
16.1	3	3	2	312	0	2																																		3
16.1	3	4	2	156	78	2	2500	0	4	6	3125	1			1			900000	3	2014	72			9																4
16.1	3	5	2	104	52	2	1500	0	4	6	1667	1			1			600000	3	2014	72			9																4
16.1	3	6	2	52	26	2	3000	0	4	6	834	1			1			300000	3	2014	72			9																4
16.1	3	7	5	13	6.5	2	0	0	4	1		1			1			150000	3	2014	1			6																4
16.1	3	8	7	3	1.5	2	2500	0	4	6	3500	1			1			1500000	3	2014	72			9																4
16.1	3	9	2	30	15	2	3000	0	4	6	250	1			1			110000	3	2014	72			9																4
16.1	3	10	2	52	52	0	300	0	4	2		1			1			500000	3	2014	72			1	1			1			1			1			1			0
16.1	3	11	12	12	12	0	2000	0	4	3	833	72			72			150000	6	2010	1			1	1			1			1			1			1			1
16.2	3	1	1	25	12.5	2	0	0	4	1		4			4			600000	3	2014	4			4																4
16.2	3	2	2	52	26	2	0	0	4	2		4			4			20000	3	2014	4			1	4			4			4			4			4			0
16.2	3	3	8	312	312	0	1500	0	4	2		4			4			2000000	3	2014	4			2	4			4			4			4			4			1
