a01	hh_type	plotid	g01	g02_1	g02	g20	g03	g04	g05	g06	g07	g08a	g08b	g08c	g09a	g09b	g09c	g10	g11	g12	g13a	g13b	g13c	g14	g15a	g15b	g15c	g16a	g16b	g16c	g17a	g17b	g17c	g18a	g18b	g18c	g19a	g19b	g19c	flag_g
1731	2	9	5	5	5	0	500	10	2	1		1			1			40000	3	1969	98			7																
1731	2	10	5	3	3	0	1000	0	2	1		1			1			500000	3	1969	98			7																
1731	2	11	5	2.5	2.5	0	200	0	2	1		1			1			180000	3	1969	98			7																
1731	2	12	5	2	2	0	1000	0	2	1		1			1			30000	3	1969	98			7																
1731	2	13	9	5	5	0	0	2	2	1		1			1			40000	3	1969	98			7																
1731	2	14	2	0	17	10	500	2	2	2		1			1			140000	3	1969	1			1	1	72		1			1			1			1			
1731	2	15	2	0	60	7	500	2	2	4		72			72			500000	6	2014	72	1		1	1	72		1			1			1			1			
1731	2	16	2	0	35	7	1000	2	2	4		72			72			300000	6	2014	72	1		1	1	72		1			1			1			1			
1731	2	17	2	0	10	7	1000	2	2	4		72			72			100000	6	2014	72	1		1	1	72		1			1			1			1			
1731	2	18	2	0	20	7	1000	2	2	4		72			72			80000	6	2014	72	1		1	1	72		1			1			1			1			
1731	2	19	10	0	20	10	1000	2	2	1		1			1			180000	3	1969	98			7																
1731	2	20	5	0	2	10	1000	2	2	1		1			1			20000	3	1969	98			7																
1732	2	1	1	16	16	0	0	0	5	1		1			1			1600000	3	1991	98			4																
1732	2	2	2	64	64	0	100	3	4	7		1			1			768000	3	1991	98			9																
1732	2	3	2	16	16	0	100	3	4	7		1			1			192000	3	1991	98			9																
1732	2	4	2	50	50	0	30	2	4	7		1			1			600000	3	1991	98			9																
1732	2	5	2	34	34	0	300	4	4	7		1			1			408000	3	1991	98			9																
1732	2	6	2	26	26	0	50	3	2	7		1			1			312000	3	1991	98			9																
1732	2	7	2	15	15	0	500	6	4	7		1			1			180000	3	1991	98			9																
1732	2	8	8	15	20	10	20	7	4	6	333	1			1			800000	1	2011	98			9																
1733	2	1	1	52	52	0	0	0	5	1		72			72			1300000	1	2004	98			4																
1733	2	2	2	32	32	0	100	2	4	7		72			72			384000	1	1987	72			9																
1733	2	3	2	30	30	0	500	2	4	7		72			72			300000	1	1994	72			9																
1733	2	4	2	17.5	17.5	0	100	4	3	7		72			72			250000	1	1996	72			9																
1733	2	5	2	19.5	12.5	0	150	4	4	7		72			72			125000	1	1987	72			9																
1733	2	6	2	12.5	12.5	0	800	5	4	7		72			72			125000	1	1986	72			9																
1734	2	1	1	2.5	2.5	0	0	0	4	1		1			98			75000	3	1988	98			4																
1734	2	2	2	20	0	3																																		
1734	2	3	2	7	0	3																																		
1735	2	1	1	1	1	0	0	0	4	1		1			72			30000	3	2010	98			4																
1735	2	2	2	26	0	3																																		
1735	2	3	2	40	0	3																																		
1736	2	1	1	7	7	0	0	0	2	1		1			1			150000	3	2002	1			4																
1736	2	2	2	20	20	0	500	6	2	2		1			1			130000	3	2002	1			1	1	72		1			1			1			1			
1736	2	3	2	18	18	0	100	3	2	2		1			1			200000	3	2002	1			1	1	72		1			1			1			1			
1736	2	4	2	7	7	0	100	3	2	2		1			1			80000	3	2002	1			1	1	72		1			1			1			1			
1736	2	5	2	5	5	0	50	3	2	2		1			1			60000	3	2002	1			1	1	72		1			1			1			1			
1736	2	6	2	4	4	0	0	3	2	2		1			1			50000	3	2002	1			1	1	72		1			1			1			1			
1736	2	7	2	3	3	0	100	3	2	2		1			1			40000	3	2002	1			1	1	72		1			1			1			1			
1736	2	8	5	2	2	0	50	0	2	2		1			1			30000	3	2002	98			7																
1736	2	9	2	22	22	0	500	7	2	4		72			72			140000	6	2009	1	72		1	7	72		1			1			1			1			
1736	2	10	2	20	20	0	500	6	2	4		72			72			170000	6	2006	1	72		1	1	72		1			1			1			1			
1736	2	11	2	0	17	7	1000	1	4	4		72			72			170000	6	2013	1	72		1	1	72		1			1			1			1			
1737	2	1	1	4	4	0	0	0	2	1		72			72			50000	1	2000	98			4																
1738	2	1	1	3	5	10	0	0	4	1		1			1			120000	3	1990	98			4																
1738	2	2	2	50	60	10	2000	3	4	3	833	72			72			560000	6	2009	1			1	1	72	3	1	72		1	72		1			1			
1738	2	3	2	40	40	0	500	3	2	3	583	72			72			620000	6	2007	1			1	1	72	3	1	72		1	72		1			1			
1738	2	4	2	25	25	0	200	4	4	3	416	72			72			280000	6	2008	1			1	1	72	3	1	72		1	72		1			1			
1739.1	2	1	1	3	3	0	0	0	4	1		1			1			90000	3	2004	98			4																
1739.1	2	2	2	0	26	7	1000	1	4	4		72			72			390000	6	2014	1			1	1	72		1			1			98			1			
1739.2	2	1	1	0	10	10	0	0	4	1		72			72			30000	6	2012	98			4																
1740	2	1	1	13	13	0	0	0	2	1		1			1			22000	1	1985	98			4																
1740	2	2	2	40	0	10																																		
1740	2	3	2	13	0	10																																		
1740	2	4	2	10	10	0	50	1	2	7		1			1			120000	1	1991	72			1	72			72			72			98			1			
1740	2	5	2	10	0	10																																		
1740	2	6	2	3	3	0	50	1	2	7		1			1			40000	1	1992	72			1	72			72			72			98			1			
1740	2	7	2	3	0	10																																		
1740	2	8	2	2.5	0	10																																		
1740	2	9	9	7	7	0	0	1	2	1		1			1			80000	1	1985	1			7																
1741	3	1	1	3	7	10	0	0	4	1		1			74			49000	7	1995	1			4																4
1742	3	1	1	4	4	0	0	0	4	1		1			74			40000	7	2007	1			4																4
1743	3	1	1	6	6	0	0	0	4	1		1			74			90000	7	1991	1			4																4
1743	3	2	2	0	56	7	1000	4	3	5		1			72			160000	6	2014	1			1	1	72		1			1			1			1			0
1743	3	3	2	0	42	7	2000	4	3	5		1			72			150000	6	2014	1			1	1	72		1			1			1			1			0
1743	3	4	2	0	42	7	300	4	3	5		1			72			150000	6	2014	1			1	1	72		1			1			1			1			0
1743	3	5	12	0	8	7	100	3	3	3	166	1			72			24000	6	2014	1			1	1			1			1			1			1			1
1744	3	1	1	3	3	0	0	0	5	1		1			74			45000	7	2005	1			4																4
1747	3	1	1	2	2	0	0	0	4	1		1			74			20000	7	2001	1			4																4
1748	3	1	1	2	2	0	0	0	4	1		1			74			12000	7	2007	1			4																4
1749	3	1	1	7	7	0	0	0	4	1		1			74			28000	7	1995	98			4																4
1750	3	1	1	3	3	0	0	0	4	1		1			74			33000	7	1980	1			4																4
1752	3	1	1	10	10	0	0	0	4	1		1			74			60000	1	2004	98			4																4
1752	3	2	2	112	112	0	400	5	4	2		1			1			5600000	1	2001	1			1	1	72		1			1			1			1			0
1752	3	3	2	50	50	0	300	5	4	2		1			4			300000	1	2011	1			1	1	72		1			1			1			1			0
1752	3	4	2	50	0	3																																		3
1752	3	5	2	140	50	1	400	7	4	2		1			1			30000	1	2004	1			1	1	72		1			1			1			1			0
1752	3	6	2	20	0	3																																		3
1752	3	7	12	0	20	10	400	7	4	2		1			72			120000	7	1980	1			1	1	72		1			1			1			1			1
1753	3	1	1	4	4	0	0	0	4	1		1			74			48000	7	2005	1			4																4
1754	3	1	1	5	5	0	0	0	4	1		1			74			60000	7	2002	1			4																4
1754	3	2	2	84	84	0	200	5	4	2		1			1			252000	1	2007	1	2		1	2	72		1			1	2		1			1			0
1754	3	3	2	90	90	0	800	6	4	2		1			1			270000	1	2008	1	2		1	2	72		1			1	2		1			1			0
1754	3	4	2	56	56	0	700	6	4	13		1			72			168000	6	2001	1	2		1	2	72		1			1	2		1			1			0
1754	3	5	2	42	0	3																																		3
1754	3	6	2	0	168	7	3000	5	4	13		1			72			504000	6	2013	1	2		1	2	72		1			1	2		1			1			0
1754	3	7	2	0	56	7	200	6	4	13		1			72			168000	6	2013	1	2		1	2	72		1			1	2		1			1			0
1754	3	8	2	0	28	7	800	6	4	13		1			72			84000	6	2013	1	2		1	2	72		1			1	2		1			1			0
1754	3	9	2	0	112	7	700	6	4	13		1			72			33600	6	2013	1	2		1	2	72		1			1	2		1			1			0
1755	3	1	1	8	8	0	0	0	5	1		1			74			48000	7	1992	1			4																4
1755	3	2	9	6	6	0	0	10	1	1		1			74			24000	7	1992	98			7																4
1757	3	1	1	6	6	0	0	0	4	1		1			74			24000	7	2006	1			4																4
1757	3	2	9	8	8	0	15	10	1	1		1			74			24000	7	2006	98			7																4
1757	3	3	2	0	56	7	1500	4	4	13		1			74			168000	6	2014	1			1	1	72		1			1			1			1			0
1757	3	4	2	0	42	7	1500	4	4	13		1			74			126000	6	2014	1			1	1	72		1			1			1			1			0
1757	3	5	12	0	7	7	200	4	4	3	350	1			74			14000	6	2014	1			1	1	72		1			1			1			1			1
1758	3	1	1	6	6	0	0	0	5	1		1			74			30000	7	2002	1			4																4
1759	3	1	1	8	8	0	0	0	4	1		1			74			40000	4	2001	98			4																4
1759	3	2	9	6	6	0	20	10	4	1		1			74			18000	4	2001	98			7																4
1760	3	1	1	6	6	0	0	0	5	1		1			74			45000	7	1998	98			4																4
1760	3	2	2	24	0	3																																		3
1760	3	3	12	2	0	3																																		3
1760	3	4	2	0	28	7	1500	5	4	13		1			74			84000	6	2013	1			1	1	72		1			1			1			1			0
1760	3	5	2	0	28	7	1500	5	4	13		1			74			84000	6	2013	1			1	1	72		1			1			1			1			0
1760	3	6	2	0	56	7	1500	5	4	13		1			74			168000	6	2013	1			1	1	72		1			1			1			1			0
1760	3	7	12	0	10	7	200	4	4	6	600	1			74			30000	6	2013	1			1	1	72		1			1			1			1			4
1761	3	1	1	3	3	0	0	0	4	1		1			1			75000	1	1990	98			4																4
1761	3	2	2	180	0	3																																		3
1762	3	1	1	20	20	0	0	0	4	1		1			1			300000	3	2003	1			4																4
1762	3	2	2	20	20	0	200	0	4	5		1			72			300000	6	2006	1			1	1	72		1			1			1			1			0
1762	3	3	2	13	13	0	200	0	4	5		1			72			140000	6	1969	1			1	1	72		1			1			1			1			0
1762	3	4	2	25	25	0	500	0	4	2		1			1			220000	3	2003	1			1	1	72		1			1			1			1			0
1762	3	5	2	24	24	0	6000	0	4	6	333	72			1			280000	1	2003	72			9																4
1763	3	1	1	2	2	0	0	0	5	1		1			1			50000	3	2010	98			4																4
1764	3	1	1	20	20	0	0	0	2	1		1			1			600000	3	2004	98			4																4
1764	3	2	2	16	16	0	500	0	5	2		1			1			240000	3	2004	1	72		1	1	72		1			1			1			1			0
1764	3	3	2	90	45	10	3000	12	1	4		1			72			900000	6	2008	1	72		1	1	72		1			1			1			1			0
1764	3	4	2	4	4	0	500	10	3	2		1			72			80000	6	2010	1	72		1	1	72		1			1			1			1			0
1764	3	5	2	0	25	6	1000	0	5	2		1			1			1200000	6	2004	1	72		1	1	72		1			1			1			1			0
1764	3	6	2	0	8	6	500	0	5	2		1			1			64000	6	2004	1			1	1	72		1			1			1			1			0
1764	3	7	12	0	10	7	3000	12	1	3	66	1			72			200000	6	2008	1			1	1			1			1			1			1			1
1765	3	1	1	5	5	0	0	0	5	1		1			1	72		100000	1	2007	98			4																4
1765	3	2	10	16	16	0	500	0	5	1		1			72			240000	2	2007	1			5																4
1765	3	3	8	2	2	0	0	0	5	2		1			72			30000	2	2007	1			2	1			1			1			1			1			1
1766	3	1	1	2	2	0	0	0	4	1		72			72			40000	5	2010	98			4																4
1767	3	1	1	2	2	0	0	0	4	1		1			72			40000	5	2010	98			4																4
1768	3	1	1	4	4	0	0	0	4	1		71			72			80000	3	2015	98			4																4
1768	3	2	2	18	0	1																																		3
1768	3	3	2	17	17	0	1100	0	4	1		71			72			255000	3	2015	98			7																4
1768	3	4	4	8	8	0	100	0	4	1		71			72			120000	3	2015	98			5																4
1769	3	1	1	3	3	0	0	0	4	1		1			1			90000	1	2000	98			4																4
1770	3	1	1	5	5	0	0	0	4	1		1			1			100000	3	2004	98			4																4
1770	3	2	2	16	16	0	200	0	4	2		1			1			220000	3	2004	1	3		1	1	72		1			1			1			1			0
1770	3	3	8	6	6	0	0	5	1	2		1			1			110000	3	2004	1	3		1	1	3		1	3		1	3		1	3		1	3		1
1771	3	1	1	2	2	0	0	0	5	1		1			72	73		80000	7	2007	98			4																4
1772	3	1	1	16	16	0	0	0	5	1		1			1			260000	3	1985	98			4																4
1773	3	1	1	20	20	0	0	0	4	1		1			1			500000	3	2007	1			4																4
1773	3	2	2	65	65	0	1000	4	4	7		72			1			650000	3	1990	72			9																4
1773	3	3	2	18	18	0	8000	4	4	7		72			1			180000	3	1993	72			9																4
1773	3	4	2	40	40	0	8000	4	4	7		72			1			400000	3	1993	72			9																4
1773	3	5	8	5	5	0	0	5	4	2		1			1			80000	3	2007	1			2	1			1			1			1			1			1
1774	3	1	1	8	8	0	0	0	5	1		1			1			160000	3	1981	98			4																4
1774	3	2	2	40	0	1																																		3
1774	3	3	2	40	0	2																																		3
1774	3	4	2	30	0	3																																		3
1774	3	5	2	35	0	3																																		3
1774	3	6	2	20	0	3																																		3
1774	3	7	2	18	0	3																																		3
1774	3	8	2	15	0	3																																		3
1774	3	9	2	0	80	7	1000	3	2	4		1			72			400000	6	2013	1			1	1	72		1			1			1			1			0
1774	3	10	2	0	100	7	1000	3	2	4		1			72			100000	6	2013	1			1	1	72		1			1			1			1			0
1775.1	3	1	1	30	30	0	0	0	5	1		1			1			450000	3	1980	1			4																4
1775.1	3	2	2	95	0	3																																		3
1775.1	3	3	2	22	10	2	500	0	2	2		18			1			150000	1	2009	18			1	18			18			18			18			18			0
1775.1	3	4	2	245	98	2	1000	6	1	8		72			1			1470000	1	2007	72			9																4
1775.1	3	5	2	132	528	6	1000	2	1	8		72			1			780000	1	2006	72			9																4
1775.1	3	6	4	30	12	2	0	0	5	1		18			1			216000	3	1980	18			5																4
1775.1	3	7	8	25	10	2	0	6	1	1		18			1			160000	3	1980	18			2	18			18			18			18			18			4
1775.1	3	8	2	15	6	2	100	0	2	2		18			1			90000	3	1980	18			1	18			18			18			18			18			0
1775.1	3	9	2	30	12	2	100	0	2	2		18			1			180000	3	1980	18			1	18			18			18			18			18			0
1775.2	3	1	1	30	6	2	0	0	5	1		1			1			180000	3	2013	1			4																4
1775.2	3	2	2	95	0	3																																		3
1775.2	3	3	2	22	5	2	1000	0	2	2		3			1			110000	3	2013	3			1	3			3			3			3			3			0
1775.2	3	4	2	245	49	2	1000	6	1	8		3			1			1078000	3	2013	72			9																4
1775.2	3	5	2	132	26.4	2	1000	2	1	8		3			1			396000	3	2013	72			9																4
1775.2	3	6	4	30	6	2	0	0	5	1		3			1			90000	3	2013	3			5																4
1775.2	3	7	8	25	5	2	0	6	1	1		3			1			75000	3	2013	3			2	3			3			3			3			3			4
1775.2	3	8	2	15	3	2	100	0	2	2		3			1			42000	3	2013	3			1	3			3			3			3			3			0
1775.2	3	9	2	30	6	2	100	0	2	2		3			1			90000	3	2013	3			1	3			3			3			3			3			0
1775.3	3	1	1	30	6	2	0	0	5	1		1			1			1800000	3	2013	1			4																4
1775.3	3	2	2	95	0	3																																		3
1775.3	3	3	2	22	5	2	1000	0	2	2		18			1			110000	3	2013	18			1	18			18			18			18			18			0
1775.3	3	4	2	245	49	2	1000	6	1	8		72			1			1078000	3	2013	72			9																4
1775.3	3	5	2	132	26.4	2	1000	2	1	8		72			1			396000	3	2013	72			9																4
1775.3	3	6	4	30	6	2	0	0	5	1		18			1			90000	3	2013	18			5																4
1775.3	3	7	8	25	5	2	0	6	1	1		18			1			75000	3	2013	18			2	18			18			18			18			18			4
1775.3	3	8	2	15	3	2	100	0	2	2		18			1			42000	3	2013	18			1	18			18			18			18			18			0
1775.3	3	9	2	30	6	2	100	0	2	2		18			1			90000	3	2013	18			1	18			18			18			18			18			0
1776	3	1	1	4	4	0	0	0	5	1		1			72			100000	3	1995	98			4																4
1777	3	1	1	5	5	0	0	0	5	1		1			72			125000	3	2003	98			4																4
1777	3	2	2	35	35	0	1000	3	5	2		1			72			525000	3	2003	1			1	1	72		1			1			1			1			0
1777	3	3	2	17	17	0	200	0	5	2		1			72			59500	3	2008	1			1	1	72		1			1			1			1			0
1777	3	4	2	12	12	0	100	0	5	2		1			72			36000	3	2008	1			1	1	72		1			1			1			1			0
1777	3	5	2	10	10	0	100	0	5	2		1			72			36000	3	2008	1			1	1	72		1			1			1			1			0
1778	3	1	1	14	14	0	0	0	4	1		1			1			350000	3	2009	98			4																4
1779	3	1	1	2	2	0	0	0	4	1		1			1			30000	2	2003	98			4																4
1780	3	1	1	1	1	0	0	0	4	1		72			72			16000	7	2001	98			4																4
1781	3	1	1	5	5	0	0	0	4	1		1			72			250000	3	1985	98			4																4
1781	3	2	2	222	222	0	500	6	2	2		1			1			888000	3	1985	1			1	1	72		1			1			1			1			0
1781	3	3	2	56	56	0	500	6	2	2		1			2			224000	1	2000	1			1	1	72		1			1			1			1			0
1781	3	4	2	112	112	0	1000	8	2	2		1			2			448000	1	2000	1			1	1	72		1			1			1			1			0
1781	3	5	2	49	49	0	1000	8	2	2		1			2			196000	1	2009	1			1	1	72		1			1			1			1			0
1781	3	6	2	168	168	0	1000	8	2	2		1			3			672000	1	2000	1			1	1	72		1			1			1			1			0
1781	3	7	2	168	168	0	1000	8	2	2		1			72			672000	1	2000	1			1	1	72		1			1			1			1			0
1781	3	8	8	14	14	0	20	12	1	1		1			1	72		56000	3	1985	1			7																4
1781	3	9	8	28	28	0	15	12	1	1		1			1	72		112000	3	1985	1			7																4
1781	3	10	5	14	14	0	10	4	4	1		1			1			56000	3	1985	1			7																4
1781	3	11	2	84	84	0	200	8	4	2		1			1			336000	3	1985	1			1	1	72		1			1			1			1			0
1781	3	12	5	7	7	0	10	6	4	1		1			1			28000	3	1985	1			7																4
1781	3	13	8	28	28	0	10	12	4	1		1			1	72		112000	3	1985	1			7																4
1781	3	14	2	21	21	0	500	8	2	2		1			1			84000	3	1985	1			1	1	72		1			1			1			1			0
1782	3	1	1	4	4	0	0	0	4	1		1			72			100000	5	2007	1	4		4																4
1782	3	2	2	0	504	7	500	7	2	13		1			72			1764000	6	2013	1	5		1	71	72		71			71			71			71			0
1782	3	3	2	0	56	7	400	7	2	13		1			72			196000	6	2013	1	5		1	71	72		71			71			71			71			0
1782	3	4	2	0	28	7	400	7	2	13		1			72			98000	6	2013	1	5		1	71	72		71			71			71			71			0
1782	3	5	2	0	56	7	400	7	2	13		1			72			196000	6	2013	1	5		1	71	72		71			71			71			71			0
1782	3	6	8	0	1400	10	100	10	2	12		1	72		72			4900000	6	2013	1	5		2	1	72		1	72		1	72		1	72		1	72		1
1782	3	7	8	0	81	7	100	0	2	12		1	72		72			283500	6	2013	1	5		2	1	72		1	72		1	72		1	72		1	72		1
1783	3	1	1	4	4	0	0	0	4	1		1			1			80000	3	2000	98			4																4
1783	3	2	2	30	30	0	1500	8	4	6	400	72			1			150000	3	2000	72			9																4
1783	3	3	2	5	5	0	1000	7	4	6	100	72			1			25000	3	2000	72			9																4
1784	3	1	1	3	3	0	0	0	4	1		1			1			51000	3	1981	98			4																4
1784	3	2	2	56	0	3																																		3
1784	3	3	2	2	0	3																																		3
1785	3	1	1	5	5	0	0	0	4	1		2			72			100000	3	1990	98			4																4
1785	3	2	2	56	0	1																																		3
1785	3	3	2	42	0	1																																		3
1785	3	4	12	3	0	3																																		3
1786	3	1	1	3	3	0	0	0	4	1		1			1			90000	3	1976	1			4																4
1786	3	2	2	0	90	7	1000	5	2	4		1			72			180000	6	2013	1			1	1	72	4	1			1			1			1			0
1786	3	3	2	0	45	7	1000	5	2	4		1			72			90000	6	2013	1			1	1	72	4	1			1			1			1			0
1786	3	4	2	0	45	7	500	4	2	4		1			72			90000	6	2013	1			1	1	72	4	1			1			1			1			0
1786	3	5	12	0	4	7	500	3	2	3	500	1			72			15000	6	2014	1			1	1	72	4	1			1			1			1			1
1787	3	1	1	2	2	0	0	0	4	1		1			1			60000	3	1983	1			4																4
1787	3	2	2	64	64	0	1000	10	2	2		1			1			200000	1	1995	1			1	1	72		1			1			1			1			0
1787	3	3	2	35	35	0	1000	10	2	2		1			1			150000	1	1995	1			1	1	72		1			1			1			1			0
1787	3	4	12	3	3	0	600	7	2	3	250	1			72			15000	6	2010	1			1	1	72		1			1			1			1			1
1788	3	1	1	2	2	0	0	0	4	1		72			72			40000	5	2010	98			4																4
1789	3	1	1	6	7.5	5	0	0	4	1		1	2		1	2		225000	3	1995	1			4																4
1789	3	2	2	154	98	10	1000	8	2	8		1			1			490000	3	1993	98			9																4
1789	3	3	8	37	37	0	0	10	1	1		1	72		1	72		555000	3	1993	98			7																4
1789	3	4	8	27	27	0	0	10	1	12		1	72		1	72		405000	3	1993	98			9																1
1790	3	1	1	2	20	5	0	0	4	1		1			74			7200	1	2015	1			4																4
1790	3	2	9	8	0	1																																		3
1790	3	3	2	0	30	7	500	6	4	13		1			72			90000	6	2014	1			1	1	72		1			1			72			1			0
1790	3	4	2	0	40	7	800	6	4	13		1			72			120000	6	2014	1			1	1	72		1			1			72			1			0
1790	3	5	12	0	2	7	100	3	4	3	42	1			72			10000	6	2014	1			1	1			1			1			98			1			1
1791.1	3	1	1	6	2	2	0	0	2	1		1			72			60000	3	2012	98			4																4
1791.1	3	2	2	90	0	3																																		3
1791.1	3	3	2	60	0	3																																		3
1791.1	3	4	2	150	0	3																																		3
1791.1	3	5	2	84	0	3																																		3
1791.1	3	6	2	14	0	3																																		3
1791.1	3	7	2	0	56	7	3000	8	4	5		1			72			168000	6	2013	1			1	1	72		1			1			1			1			0
1791.1	3	8	2	0	56	7	3000	8	4	5		1			72			168000	6	2013	1			1	1	72		1			1			1			1			0
1791.1	3	9	12	0	5	7	100	5	4	3	33	1			72			150000	6	2013	1			1	1	72		1			1			1			1			1
1791.2	3	1	1	6	2	2	0	0	4	1		1			72			60000	3	1978	98			4																4
1791.2	3	2	2	90	0	3																																		3
1791.2	3	3	2	60	0	3																																		3
1791.2	3	4	2	150	0	3																																		3
1791.2	3	5	2	84	0	3																																		3
1791.2	3	6	2	14	0	3																																		3
1791.2	3	7	2	0	84	7	3000	9	4	3	1666	1			72			252000	6	2014	1			1	1			1	72		1			1			1			0
1791.2	3	8	2	0	140	7	3000	9	4	3	3333	1			72			420000	6	2014	1			1	1			1	72		1			1			1			0
1791.2	3	9	12	0	4	6	500	5	4	15		1			72			40000	3	2014	1			1	1			1			1			1			1			1
1791.3	3	1	1	6	2	2	0	0	2	1		1			72			60000	3	2012	98			4																4
1791.3	3	2	2	90	0	3																																		3
1791.3	3	3	2	60	0	3																																		3
1791.3	3	4	2	150	0	3																																		3
1791.3	3	5	2	84	0	3																																		3
1791.3	3	6	2	14	0	3																																		3
1791.3	3	7	2	0	56	7	3000	8	4	5		1			72			168000	6	2013	1			1	1			1			1			98			1			0
1791.3	3	8	2	0	56	7	3000	8	4	5		1			72			168000	6	2013	1			1	1			1			1			98			1			0
1791.3	3	9	12	0	5	7	100	5	4	3	33	1			72			15000	6	2013	1			1	1			1			1			98			1			1
1792	3	1	1	5	10	8	0	0	4	1		1	2		1	2		240000	3	1971	2			4																4
1792	3	2	2	0	56	8	500	5	4	2		2			2			196000	1	2012	2	4		1	2	4	72	2	4		2	4		2	4		2	4		0
1792	3	3	2	0	112	8	1000	7	4	2		2			2			280000	1	2012	2	4		1	2	4	72	2	4		2	4		2	4		2	4		0
1792	3	4	2	0	168	7	500	7	4	5		2			72			420000	6	2011	2	4		1	2	4	72	2	4		2	4		2	4		2	4		0
1792	3	5	12	0	5	3	100	4	4	3	200	2			72			150000	6	2014	2	4		1	4	2		98			2	4		98			98			1
1793	3	1	1	7	5	1	0	0	2	1		1			72			210000	3	2005	1			4																4
1794	3	1	1	9	3	2	0	0	4	1		1			72			45000	2	2000	98			4																4
1795	3	1	1	3	3	0	0	0	4	1		1			1			60000	3	1982	1			4																4
1795	3	2	2	56	56	0	200	7	4	5		1			72			160000	6	2011	1			1	1	3	72	1			1			1			1			0
1795	3	3	2	0	28	7	250	7	4	3	250	1			72			140000	6	2014	1			1	1	3		1			1			1			1			0
1795	3	4	2	0	14	7	200	7	4	5		1			72			70000	6	2013	1			1	1	3		1			1			1			1			0
1795	3	5	12	0	5	7	100	7	4	3	200	1			72			2500	6	2014	1			1	1	3		1			1			98			98			1
1796	3	1	1	2	2	0	0	0	4	1		1			1			40000	5	1999	1			4																4
1796	3	2	2	50	50	0	250	6	4	2		1			1			400000	7	2005	1			1	1	72		1			1			1			1			0
1796	3	3	2	168	168	0	1000	8	4	4		1			72			504000	6	2011	1			1	1	72		1			1			1			1			0
1796	3	4	2	10	10	0	300	7	4	4		1			72			50000	6	2011	1			1	1	72		1			1			1			1			0
1796	3	5	2	0	48	7	500	6	4	4		1			72			240000	6	2013	1			1	1	72		1			1			1			1			0
1796	3	6	12	0	14	7	500	5	4	3	250	1			72			70000	6	2014	1			1	1	72		1			1			1			1			1
1797.1	3	1	1	3	0	2																																		3
1797.1	3	2	2	60	0	3																																		3
1797.1	3	3	2	2	0	3																																		3
1797.1	3	4	1	0	3.5	5	0	0	4	1		1			1			14000	3	2005	98			4																4
1797.2	3	1	1	3	3.5	6	0	0	4	1		1			72			14000	3	2005	98			4																4
1797.2	3	2	2	60	0	3																																		3
1797.2	3	3	2	2	0	3																																		3
1798	3	1	1	5	5	0	0	0	4	1		1			1			150000	3	2001	1			4																4
1798	3	2	2	98	0	3																																		3
1798	3	3	2	98	84	10	1000	12	2	3	833	1			72			360000	6	2009	1			1	1	72		1			1			98			1			0
1798	3	4	2	28	0	3																																		3
1798	3	5	2	10	0	3																																		3
1799	3	1	1	2	2	0	0	0	4	1		1			72			60000	5	2002	1			4																4
1800	3	1	1	11	11	0	0	0	4	1		7			7			220000	3	1993	7			4																4
1800	3	2	2	252	154	10	3500	8	2	13		7			7			560000	3	1993	7			1	7	72		7			7			7			7			0
1800	3	3	2	112	56	1	2000	8	2	13		7			7			224000	3	1993	7			1	7	72		7			7			7			7			0
1800	3	4	2	33	0	1																																		3
1800	3	5	7	1	1	0	500	0	2	6	900	72			7			90000	1	2003	72			6																4
1800	3	6	7	1.5	1.5	0	500	5	2	1		7			7			45000	1	2003	98			7																4
1800	3	7	8	70	19	10	100	12	1	12		7	72		7	72		76000	3	1993	98			7																1
1800	3	8	8	28	14	10	50	12	1	12		7	72		7	72		56000	3	1993	98			7																1
1800	3	9	2	0	21	6	350	8	2	2		7			7			84000	3	2012	7			1	7	72		7			7			7			7			0
1800	3	10	12	0	12	10	50	5	2	2		7			7			60000	3	1993	7			1	7			7			7			98			98			1
1801	3	1	1	45	45	0	0	0	4	1		1			1			4500000	1	1997	98			4																4
1801	3	2	2	15	0	1																																		3
1802	3	1	1	30	30	0	0	0	4	1		72			72			3000000	1	2001	98			4																4
1802	3	2	2	60	60	0	500	2	4	7		1			1			1600000	3	1973	98			9																4
1802	3	3	2	56	56	0	600	2	4	7		72			72			1600000	1	2001	98			9																4
1802	3	4	9	30	30	0	0	6	4	1		72			72			200000	1	2001	98			7																4
1803	3	1	1	15	19	10	0	0	4	1		1			1			950000	3	1971	98			4																4
1803	3	2	8	0	10	10	0	0	4	2		1			1			500000	3	1971	98			2	1			1			1			98			98			1
1804	3	1	1	0.5	0.5	0	0	0	4	1		1			1			20000	3	2004	98			4																4
1805	3	1	1	3	3	0	0	0	4	1		1			1			250000	3	2005	98			4																4
1805	3	2	2	36	36	0	100	2	4	4		72			72			1200000	6	2000	1			1	1	72		1			1			98			1			0
1805	3	3	2	25	0	3																																		3
1805	3	4	2	32	32	0	100	0	4	4		72			72			1000000	6	2001	1			1	1	72		1			1			98			1			0
1805	3	5	2	1	0	3																																		3
1805	3	6	12	0	8	7	150	0	4	3	43	72			72			350000	6	2014	1			7																1
1805	3	7	2	0	33	7	50	0	4	4		72			72			1500000	6	2012	1			1	1	2		1			1			1			1			0
1806	3	1	1	10	10	0	0	0	4	1		1	72		1	72		500000	3	2001	98			4																4
