a01	hh_type	mid	b2_01	b2_02	b2_03	b2_04	b2_05	b2_06a	b2_06b	b2_07	b2_08	b2_08a	b2_08b	b2_08c	b2_08d	b2_09	b2_10	b2_11	b2_12a	b2_12b	b2_13	b2_14	flag_b2
36	2	5	1		2010	66	1	1	10	1	1	1	0	1	300	5	5	2	5		9999		
36	2	3	1		2002	66	1	1	10	2	2								1		2007	6	
37	2	3	1		2011	66	1	0.5	20	1	1	1	0	2		5	2	1	5		9999		
37	2	4	1		2012	66	12	0.5	20	1	1	2	175	1	350	1	2	2	1		9999		
38	2	6	1		2002	1	1	1	15	2	2								5		2007	10	
38	2	4	1		2008	66	2	1	20	1	1	2	0	1	300	1	7	2	5		9999		
38	2	3	1		1998	66	2	1	20	2	2								1		2005	6	
39	2	2	1		1999	1	2	1	20	2	2								5	8	2009	21	
41	2	4	1		2005	66	2	1	15	1	1	2	0	2		1	6	2	1		9999		
41	2	5	1		2007	66	2	1	15	1	1	2	0	1	500	1	8	2	5		9999		
42	2	3	1		2010	1	2	1	20	1	1	2	0	1	500	5	6	2	5	6	9999		
42	2	4	1		2013	66	1	1	20	1	1	1	0	1	200	5	2	2	5	6	9999		
43	2	4	1		2009	1	7	1	15	1	1	2	0	2		1	6	2	1		9999		
43	2	3	1		2006	1	7	1	15	1	1	2	0	1	600	8	10	2	8		9999		
43	2	5	1		2014	1	1	0.5	10	1	1	1	0	2		5	2	2	5	6	9999		
44	2	99																					
45	2	99																					
46	2	3	1		2001	1	1	0.5	10	2	2								1		2011	6	
46	2	6	1		2003	1	1	0.5	10	2	2								5		2014	5	
46	2	4	1		2007	1	1	0.5	10	1	1	1	0	1	600	1	9	2	5		9999		
46	2	5	1		2000	1	1	0.5	10	2	2								1		2005	6	
47	2	3	1		2008	66	1	1	20	2	2								1		2012	2	
47	2	4	1		2009	66	2	1	20	1	1	2	0	2		1	6	2	5	6	9999		
48	2	7	1		2014	66	1	0.5	10	1	1	1	0	2		6	1	2	6		9999		
48	2	5	1		2011	66	1	0.5	10	1	1	1	0	1	500	6	4	2	6		9999		
49	2	5	1		2015	66	12	0.25	5	2	1	2	150	2		1	66	9					
50	2	3	1		2015	66	1	0.05	2	2	1	1	0	2		6	66	9					
50	2	4	1		2013	66	1	0.05	2	2	1	1	0	2		6	2	2	6		9999		
50	2	2	1		2011	66	1	0.05	2	1	1	1	0	2		5	4	2	5	6	9999		
51	2	4	1		2012	66	1	0.2	5	1	1	1	0	1	500	5	3	2	5	6	9999		
51	2	3	1		2007	66	2	0.2	5	1	1	2	0	1	600	1	8	2	6		9999		
51	2	5	1		2005	66	2	0.2	5	1	1	2	0	2		1	9	2	6		9999		
51	2	2	1		2005	66	2	0.2	5	1	1	2	0	2		1	22	2	6		9999		
52	2	4	1		2013	66	1	1.5	30	1	1	1	0	2		5	2	2	5	6	9999		
53	2	3	1		2012	66	1	0.1	3	1	1	1	0	1	400	5	3	2	5	6	9999		
54	2	5	1		2015	66	1	0.5	10	1	1	1	0	1	200	1	66	9					
54	2	4	1		2000	66	9	10	120	1	1	2	20	1	400	1	14	2	9		9999		
56	2	3	1		1997	66	2	0.25	5	2	2								8	5	2006		
56	2	6	1		2001	66	7	1	20	2	2								1		2007		
56	2	7	1		2012	66	1	0.25	5	1	1	1	0	1	250	5	3	2	5	2	9999		
58	2	3	1		2004	1	9	5	30	1	1	2	0	2		1	11	2	1		9999		
58	2	4	1		2006	1	2	1	30	1	1	2	0	1	300	8	10	2	8	5	9999		
59	2	5	1		2015	66	12	0.5	10	2	1	2	100	2		1	66	9					
59	2	3	1		2007	1	1	0.5	10	2	2								5		2012	2	
60	2	4	1		1999	66	2	0.25	5	2	2								8		2010		
61	3	5	1		2007	1	1	2	20	2	2								5	7	2011	11	
61	3	3	1		2010	1	1	2	20	1	1	1	0	1	500	1	6	2	5	7	9999		
61	3	4	1		2014	1	1	2	20	1	1	1	0	1	200	5	2	2	5	7	9999		
62	3	3	2	9																			
63	3	3	1		2006	1	1	1.5	20	2	2								1		2010	9	
63	3	4	1		2014	1	1	1.5	20	1	1	1	0	1	300	1	1	2	1		9999		
66	3	4	1		2009	1	8	400	600	1	1	2	0	2		1	5	2	1		9999		
66	3	6	1		2014	2	1	0.5	10	1	1	1	0	1	300	1	3	2	1		9999		
67	3	3	1		2010	1	1	1	10	1	1	1	25	1	500	1	6	2	1		9999		
68	3	5	1		2013	66	3	1.5	20	1	1	2	300	2		1	2	2	1		9999		
68	3	4	1		1999	1	3	1	10	2	2								1		2007	21	
69	3	7	1		2014	66	1	1	15	1	1	1	0	2		1	1	2	1		9999		
69	3	4	1		1999	1	1	1	15	2	2								1		2004	21	
70	3	3	1		2015	1	12	1.5	20	2	1	2	200	1	200	1	1	9					
71	3	4	1		1996	1	2	1	30	2	2								1		2001	21	
72	3	4	1		1998	1	2	1	15	2	2								9		2008	21	
