a01	hh_type	mid	b2_01	b2_02	b2_03	b2_04	b2_05	b2_06a	b2_06b	b2_07	b2_08	b2_08a	b2_08b	b2_08c	b2_08d	b2_09	b2_10	b2_11	b2_12a	b2_12b	b2_13	b2_14	flag_b2
1707	2	3	1		2010	1	2	3	45	1	1	2	60	1	600	1	6	2	5		9999		
1708.1	2	99																					
1708.2	2	4	1		1998	66	2	1	15	2	2								1		2005	21	
1709	2	1	1		1997	1	5	0.15	2	2	2								1		2000	10	
1710	2	3	1		1998	66	1	0.1	10	2	2								1		2003	6	
1711	2	5	1		2014	66	2	1	12	1	1	2	130	1	100	1	2	2	1		9999		
1711	2	6	1		1995	1	2	4	20	2	2								1		2004	11	
1712	2	2	1		2015	1	1	0	2	2	1	1	0	2		1	1	9					
1713	2	3	1		2011	1	1	0	2	1	1	1	0	1	500	5	5	2	5	6	9999		
1713	2	4	1		2015	1	1	0	2	2	1	1	0	2		6	1	9					
1714	2	3	1		2007	66	2	1	20	1	1	2	0	1	600	8	8	2	8		9999		
1714	2	4	1		2011	66	2	1	20	1	1	2	120	1	300	1	4	2	1		9999		
1715	2	3	1		2007	66	2	0.1	20	1	1	2	120	1	600	8	8	2	8		9999		
1715	2	4	1		2012	1	2	0.5	15	1	1	2	120	1	300	1	4	2	1		9999		
1716	2	3	1		2010	1	2	3	20	1	1	2	25	2		1	6	2	5	6	9999		
1716	2	6	1		2007	1	2	1	12	1	1	2	110	1	600	1	8	2	5	6	9999		
1716	2	4	1		2010	1	2	3	20	1	1	2	25	2		1	6	2	6		9999		
1717	2	5	1		1998	1	1	2	20	2	2								1		2003	9	
1717	2	4	1		2011	1	1	0.1	2	1	1	1	0	1	400	6	5	2	5	6	9999		
1717	2	6	1		1998	1	1	0.1	2	2	2								1		2003	9	
1718	2	2	1		2007	66	2	1	40	2	2								1		2013	6	
1718	2	3	1		2011	66	2	1	40	1	1	2	120	1	300	1	2	2	1		9999		
1719	2	99																					
1720	2	3	1		2003	1	2	8	60	1	1	2	50	1	400	1	7	2	6		9999		
1721	2	3	1		2008	1	2	1	15	2	1	2	75	1	400	1	8	2	1		9999		
1721	2	4	1		2011	1	1	0.1	3	2	1	1	0	1	500	5	5	2	5		9999		
1722	2	3	1		2009	1	2	1	15	1	1	2	70	1	400	1	7	2	1		9999		
1722	2	4	1		2012	1	1	0.5	10	1	1	1	0	2		1	4	1	1		9999		
1723	2	2	1		2009	1	1	0.5	12	1	1	1	0	2		1	2	1	5		9999		
1723	2	4	1		2014	66	1	0.5	12	1	1	1	0	2		5	1	2	1		9999		
1724	2	4	1		2007	1	1	1.5	20	2	2								1		2010	9	
1724	2	5	1		2008	1	2	1	15	1	1	2	25	2		5	6	2	1		9999		
1724	2	3	1		1999	1	1	1.5	20	2	2								1		2003	9	
1725	2	2	1		2001	1	1	3	40	2	2								5		2005	21	
1726	2	3	1		2014	1	1	1	20	1	1	1	0	2		1	2	2	1		9999		
1727	2	3	1		2011	1	7	2	30	1	1	2	50	2		1	4	1	5		9999		
1728	2	5	1		2014	1	1	1	10	1	1	1	0	1	150	1	2	2	1		9999		
1728	2	4	1		2002	1	1	70	120	1	1	1	25	1	800	1	14	2	9		9999		
1729	2	3	1		2013	1	1	1	15	1	1	1	0	2		5	3	2	1		9999		
1729	2	2	1		1997	1	1	1	12	2	2								1		2001	6	
1730	2	3	1		2007	1	2	0.5	10	1	1	2	110	1	300	1	9	2	5		9999		
1730	2	4	1		2008	1	2	5	10	1	1	2	110	1	200	1	8	2	5		9999		
1731	2	4	1		2001	1	1	6	25	2	2								1		2008	21	
1732	2	3	1		2000	1	2	0.25	5	2	2								1		2011	11	
1733	2	2	1		2005	1	2	7	65	1	1	2	100	1	400	1	11	2	5		9999		
1733	2	3	1		2008	66	2	0.5	10	1	1	2	110	1	300	1	7	2	5		9999		
1734	2	2	1		2006	1	1	1	15	2	2								1		2010	9	
1735	2	3	1		2013	66	1	1.5	20	1	1	1	0	1	100	5	2	2	5		9999		
1735	2	2	1		2000	1	1	2	30	2	2								4		2002	21	
1736	2	3	1		2005	66	1	1	30	1	1	2	100	2		1	8	2	1		9999		
1736	2	4	1		2010	66	1	5	10	1	1	1	0	2		1	4	2	1		9999		
1737	2	2	1		2008	1	2	1	15	1	1	2	60	2		8	8	2	5		9999		
1737	2	3	1		2010	1	2	1	15	1	1	2	40	2		1	6	2	1		9999		
1737	2	4	1		2013	1	1	1	15	1	1	1	0	2		5	3	2	5		9999		
1738	2	6	1		2013	66	1	1	15	1	1	1	0	1	100	1	1	2	1		9999		
1738	2	5	1		2013	1	1	1	15	1	1	1	0	1	100	1	1	1	1		9999		
1738	2	3	2	7																			
1739.1	2	2	1		1999	1	2	1.5	20	2	2								8		2005	9	
1739.2	2	99																					
1740	2	99																					
1741	3	3	2	9																			
1741	3	6	1		2015	1	1	0.5	10	2	1	1	0	1	100	1	1	9					
1742	3	4	1		2012	1	1	0.5	10	1	1	1	0	1	100	5	3	2	5		9999		
1743	3	6	1		1997	1	1	0.5	8	2	2								1		1999	22	
1743	3	4	1		2003	1	1	0.5	8	2	2								1		2006	9	
1743	3	5	1		2012	1	1	0.5	8	1	1	1	0	1	200	5	4	2	5		9999		
1743	3	7	2	3																			
1744	3	2	2	9																			
1744	3	3	1		2015	66	1	0.5	5	2	1	1	0	2		1	66	9					
1747	3	4	1		2015	66	1	0.5	10	2	1	1	0	2		1	66	9					
1747	3	3	1		2014	1	1	0.5	10	1	1	1	0	2		5	2	2	5		9999		
1748	3	99																					
1749	3	3	1		2009	1	1	0.5	4	2	2								5		2010	9	
1749	3	2	1		1999	1	1	0.5	4	2	2								5		2001	9	
1750	3	99																					
1752	3	4	1		2012	1	1	0.5	6	2	2								1		2013	2	
1752	3	3	1		2006	1	2	3	30	1	1	2	60	2		1	10	2	5		9999		
1753	3	3	1		2012	1	1	0.5	6	1	1	1	0	1	200	1	3	1	5		9999		
1753	3	2	1		2008	1	1	0.5	6	2	2								1		2009	9	
1753	3	4	1		2015	66	1	0.5	6	2	1	1	0	2		1	66	9					
1754	3	2	1		2004	1	2	2	20	2	2								1		2014	11	
1755	3	2	1		1997	1	1	1	10	2	2								1		2002	9	
1757	3	4	1		2013	1	1	0.25	5	1	1	1	0	2		5	3	2	1		9999		
1757	3	5	1		2014	66	1	0.25	5	1	1	1	0	2		1	1	2	1		9999		
1757	3	3	1		2011	1	1	0.25	5	1	1	1	0	2		1	5	2	5		9999		
1758	3	2	2	9																			
1758	3	3	1		2011	1	1	0.25	5	1	1	1	0	2		5	4	2	1		9999		
1759	3	2	2	1																			
1760	3	4	1		2011	1	1	0.25	5	1	1	1	0	2		1	5	2	5		9999		
1761	3	2	1		1998	1	1	1	10	2	2								5		2002	3	
1761	3	3	1		2013	1	1	1	15	1	1	1	0	2		5	2	2	5		9999		
1762	3	4	1		2015	66	2	1	12	2	1	2	0	2		1	66	9					
1762	3	3	1		2012	66	2	1	12	1	1	2	150	2		1	3	2	1		9999		
1763	3	99																					
1764	3	6	1		2009	1	2	6	25	1	1	2	60	1	800	1	7	2	5		9999		
1764	3	5	1		2006	1	2	2	25	1	1	2	80	1	300	1	10	2	1		9999		
1764	3	4	1		2005	77	2	6	25	1	1	2	70	2		1	10	2	1		9999		
1765	3	4	1		2015	66	2	0.5	10	2	1	2	0	2		1	66	9					
1765	3	3	1		2014	1	1	1	15	1	1	1	0	2		1	1	2	1		9999		
1766	3	2	1		2013	1	6	1	15	1	1	2	0	1	100	1	3	2	1		9999		
1766	3	3	1		2015	66	2	0.1	2	2	1	2	0	2		1	66	9					
1767	3	3	1		2013	1	1	0.5	8	1	1	1	0	2		1	3	2	1		9999		
1767	3	2	1		1995	1	1	0.5	8	2	2								1		1997	9	
1768	3	5	1		2008	1	2	3	20	1	1	2	70	2		1	7	2	5		9999		
1768	3	3	1		1996	1	1	1.5	20	2	2								1		1999	9	
1768	3	4	1		2001	1	2	8	60	2	2								1		2011	9	
1769	3	2	1		2003	1	2	0.31	10	2	2								5		2011	9	
1770	3	2	1		2003	1	2	11	35	2	2								1		2013	12	
1770	3	3	1		2004	1	2	11	35	1	1	2	100	2		1	12	2	1		9999		
1771	3	3	1		2007	1	2	0.1	2	1	1	2	0	2		1	77	2	1		9999		
1771	3	5	1		2015	66	2	0.25	5	2	1	2	0	2		1	66	9					
1771	3	4	1		2014	1	2	0.1	2	1	1	2	0	2		1	77	2	1		9999		
1772	3	3	1		2010	1	2	2	30	1	1	2	0	2		1	6	2	1		9999		
1773	3	6	1		2013	1	2	0.5	10	1	1	2	200	2		1	3	2	1		9999		
1773	3	3	1		2004	1	2	18	60	1	1	2	60	1	500	1	12	2	1		9999		
1773	3	5	1		2008	1	2	0.1	2	1	1	2	0	2		1	77	2	1		9999		
1773	3	4	1		2006	1	2	11	40	1	1	2	75	1	500	1	10	2	1		9999		
1773	3	7	1		2015	66	2	0.5	10	2	1	2	100	2		1	66	9					
1774	3	5	1		2011	1	2	1.5	20	1	1	2	0	2		1	5	2	1		9999		
1774	3	4	1		2010	1	2	1.5	20	1	1	2	0	2		1	6	2	1		9999		
1774	3	7	1		1998	1	2	2	20	2	2								1		2007	11	
1774	3	3	1		2005	1	2	2	25	2	2								1		2014	6	
1775.1	3	99																					
1775.2	3	5	1		2009	66	1	1	15	1	1	1	0	2		5	4	2	5		9999		
1775.2	3	18	1		2008	66	2	1	15	1	1	2	200	2		1	8	2	1		9999		
1775.2	3	6	1		2015	66	2	0.5	7	2	1	2	0	2		1	66	9					
1775.3	3	12	1		2015	66	2	0.5	4	2	1	2	0	2		1	66	9					
1775.3	3	10	1		2012	66	2	0.5	4	1	1	2	120	2		1	3	2	1		9999		
1775.3	3	11	1		2013	1	1	1	12	1	1	1	0	2		5	3	2	5		9999		
1776	3	2	1		1999	1	1	1.5	25	2	2								1		2002	9	
1777	3	3	1		2010	66	1	0.25	8	1	1	1	0	1	200	1	4	2	1		9999		
1778	3	3	2	9																			
1778	3	1	2	9																			
1778	3	4	1		2010	1	2	1.5	20	2	2								5		2013	9	
1778	3	2	1		2008	1	1	1.5	20	2	2								5		2012	9	
1779	3	3	1		2012	1	1	1.5	20	1	1	1	0	2		1	4	2	1		9999		
1779	3	2	1		2010	1	1	1.5	20	2	2								1		2013	9	
1780	3	2	1		2011	1	1	1	12	1	1	1	0	2		1	4	2	5		9999		
1781	3	4	1		2014	1	1	0.25	5	1	1	1	0	1	300	5	2	2	1		9999		
1782	3	6	1		1998	1	2	1	15	2	2								1		2004	9	
1783	3	3	1		2002	1	2	20	80	1	1	2	0	2		1	14	2	5		9999		
1783	3	4	1		2004	1	2	7	35	1	1	2	0	2		1	33	2	5		9999		
1783	3	5	1		2010	1	1	0.25	4	1	1	1	0	1	500	1	5	2	1		9999		
1783	3	6	1		2011	1	1	0.25	4	1	1	1	0	2		5	5	2	5		9999		
1784	3	4	1		2011	66	5	0.1	3	1	1	2	0	2		1	4	2	1		9999		
1784	3	3	1		2011	1	1	0.25	5	1	1	1	0	1	200	5	5	2	5		9999		
1785	3	2	1		2008	1	2	1.5	25	2	2								5		2007	5	
1786	3	8	1		2012	1	2	0.1	3	1	1	2	0	2		1	4	2	1		9999		
1786	3	9	1		2014	1	1	0.25	5	1	1	1	0	2		1	2	2	1		9999		
1786	3	5	1		2006	1	2	0.5	10	1	1	2	0	1	300	1	10	2	5		9999		
1786	3	4	2	9																			
1786	3	10	1		2014	1	1	0.25	5	1	1	1	0	2		5	2	2	1		9999		
1786	3	7	1		2010	1	1	0.25	5	1	1	1	0	2		1	6	2	5		9999		
1786	3	6	1		2009	1	2	0.5	10	1	1	2	0	2		1	7	2	5		9999		
1786	3	3	1		2002	1	1	25	80	1	1	1	15	2		1	14	2	5		9999		
1787	3	99																					
1788	3	2	2	9																			
1788	3	3	1		2014	1	1	1	4	1	1	1	0	2		5	2	2	5		9999		
1789	3	3	1		2015	1	1	0.05	1	2	1	1	0	2		1	1	9					
1789	3	6	2	9																			
1790	3	5	1		2012	1	8	1	15	1	1	2	0	2		1	77	2	1		9999		
1790	3	3	1		2005	1	8	0.1	2	1	2								1		2015	9	
1790	3	4	1		2011	77	8	0.1	2	1	1	2	0	2		1	77	2	1		9999		
1790	3	6	1		2013	1	5	1	15	1	1	2	0	2		1	3	2	1		9999		
1791.1	3	3	1		2006	1	2	0.5	5	1	1	2	70	1	300	1	10	2	1		9999		
1791.2	3	6	1		2013	1	1	0.5	10	1	1	1	0	1	200	5	3	2	5		9999		
1791.3	3	10	1		2003	1	2	1	15	2	2								1		2011	9	
1792	3	6	1		2012	66	1	0.5	6	1	1	1	0	2		5	3	2	5		9999		
1792	3	5	1		1998	1	1	0.5	6	2	2								1		2003	6	
1793	3	99																					
1794	3	3	1		2015	66	5	0.25	4	2	1	2	0	2		1	66	9					
1795	3	6	1		2012	1	1	0.5	7	1	1	1	0	2		5	4	2	5		9999		
1795	3	7	1		2015	66	1	0.5	7	2	1	1	0	2		1	66	9					
1795	3	4	1		2009	1	2	0.5	7	1	1	2	55	1	250	1	7	2	1		9999		
1795	3	3	1		2007	1	1	0.5	7	2	2								1		2010	9	
1795	3	5	1		2010	1	1	0.5	7	2	2								1		2013	9	
1796	3	5	1		2010	1	1	0.2	4	1	2								1		2015	6	
1796	3	6	1		2012	1	2	0.1	2	1	1	2	0	2		1	4	2	1		9999		
1797.1	3	5	1		2006	66	1	0.5	6	2	2								5		2012	9	
1797.2	3	5	1		1998	1	1	0.5	7	2	2								1		2002	9	
1798	3	7	1		2007	1	2	0.3	5	1	1	2	50	1	550	1	8	2	5		9999		
1798	3	6	1		2003	1	1	0.5	8	2	2								1		2007	11	
1798	3	4	1		2000	1	2	1	15	2	2								5		2006	21	
1798	3	8	1		2007	1	1	0.5	8	2	2								5		2013	22	
1799	3	3	1		2013	1	1	0.25	5	1	1	1	0	1	250	1	3	1	1		9999		
1799	3	2	1		2007	1	2	0.1	3	1	1	2	0	1	300	8	9	2	5		9999		
1800	3	4	1		2003	1	1	18	80	1	1	1	26	2		1	13	2	1		9999		
1800	3	3	1		2002	1	1	18	80	1	1	1	26	2		1	14	2	5		9999		
1800	3	6	1		2008	1	2	0.5	7	1	1	2	0	2		8	8	2	5		9999		
1801	3	4	1		2015	66	1	0.25	3	2	1	1	0	2		1	66	9					
1801	3	3	1		2014	66	1	0.25	3	1	1	1	0	2		1	1	2	1		9999		
1802	3	99																					
1803	3	6	1		1999	1	1	0.25	3	2	2								1		2004	9	
1803	3	7	1		2014	66	1	0.25	3	1	1	1	0	2		1	1	2	1		9999		
1803	3	4	1		2009	1	1	0.25	3	2	2								1		2006	9	
1803	3	3	1		2002	1	1	0.25	3	2	2								1		2006	9	
1804	3	3	1		2012	66	1	0.25	3	1	1	1	0	2		1	1	1	5		9999		
1805	3	4	1		2005	1	11	5	25	1	1	1	0	2		1	9	2	1		9999		
1805	3	6	1		2011	1	1	0.25	3	1	1	1	0	2		5	5	2	5		9999		
1805	3	7	1		2011	1	5	0.25	5	1	1	2	0	1	100	1	4	2	1		9999		
1805	3	5	1		2006	1	7	1	20	1	1	2	0	2		1	8	2	5		9999		
1806	3	2	1		2001	1	1	0.25	5	2	2								5		2004	22	
1807	3	3	1		2009	1	1	0	1	1	1	1	0	2		1	5	2	5		9999		
1807	3	2	1		2005	1	1	0	1	2	2								1		2011	9	
1808	3	5	2	9																			
1808	3	4	1		2012	66	1	0.25	5	1	1	1	0	2		1	3	2	1		9999		
1808	3	3	1		2001	1	1	0.25	5	2	2								1		2004	9	
1809	3	3	1		2011	1	2	0.25	3	1	1	2	210	2		1	5	2	1		9999		
1809	3	5	1		2015	66	2	0.25	3	2	1	2	140	2		1	66	9					
1809	3	4	1		2013	1	2	0.25	3	1	1	2	140	2		1	3	2	1		9999		
1809	3	6	1		1999	1	1	3	40	2	2								1		2011	11	
1810	3	4	1		2012	1	1	0.25	3	1	1	1	0	2		5	4	2	5		9999		
1810	3	7	1		2001	1	7	1.5	25	1	1	2	0	1	300	1	10	2	1		9999		
1810	3	3	1		2010	1	2	0.5	10	1	1	2	20	1	300	1	6	2	5		9999		
1810	3	5	1		2014	66	1	0.25	3	1	1	1	0	2		1	1	2	1		9999		
1811	3	4	1		2000	1	1	0.25	5	2	2								1		2005	9	
1812	3	5	1		1998	1	1	0.5	10	2	2								1		2002	11	
1812	3	7	1		2002	1	1	0.25	5	2	2								1		2009	10	
1812	3	6	1		2003	1	1	0.5	10	2	2								1		2007	10	
1813	3	7	1		2014	1	1	0.25	3	1	1	1	0	2		1	1	2	1		9999		
1813	3	6	1		2012	1	1	0.25	3	2	1	1	0	2		5	4	2	5		9999		
1813	3	5	1		2009	1	1	0.25	3	2	2								1		2012	9	
1813	3	4	1		2009	1	2	0.25	3	1	1	2	50	2		8	7	2	5		9999		
1814	3	2	1		1998	1	1	0.25	5	2	2								1		2002	10	
1814	3	3	1		2001	1	1	20	70	1	1	1	30	2		1	14	2	1		9999		
1815	3	4	1		2014	1	1	0.25	3	1	1	1	0	2		5	2	2	1		9999		
1815	3	3	1		2010	1	7	2	15	1	1	1	0	2		1	6	2	1		9999		
1816	3	3	1		2007	66	6	0.25	5	1	1	2	20	1	100	1	5	1	5		9999		
1816	3	4	1		2012	66	1	0.25	5	2	1	1	0	1	100	1	3	2	1		9999		
1817	3	3	1		2014	1	1	0.25	3	1	1	1	0	1	100	5	2	2	5		9999		
1818	3	7	1		2008	1	1	0.25	3	2	2								1		2010	9	
1818	3	6	1		2006	1	1	0.25	3	2	2								1		2008	9	
1818	3	2	1		2000	1	1	0.25	3	2	2								1		2004	9	
1820	3	5	1		2008	66	2	1	20	1	1	2	220	2		1	77	2	1		9999		
1820	3	4	1		2006	66	2	0.5	10	1	1	2	50	1	300	1	9	2	1		9999		
1820	3	3	1		2006	1	2	0.5	10	1	1	2	60	2		1	10	2	1		9999		
1820	3	2	1		2000	1	2	10	35	1	1	2	150	2		1	14	2	9		9999		
1821	3	5	1		2002	1	1	0.5	10	1	1	1	0	2		1	13	2	5	8	9999		
1821	3	9	1		1996	1	1	0.5	10	1	1	1	0	2		1	17	2	8		9999		
1821	3	4	1		2000	1	2	1.5	20	2	2								1		2013	6	
1822	3	3	1		2012	66	1	0.25	5	1	1	1	0	2		1	3	2	1		9999		
1823	3	4	1		2012	66	1	0.2	3	1	1	1	0	2		1	3	2	1		9999		
1823	3	3	1		2009	66	7	0.5	10	1	1	2	30	2		1	6	2	5		9999		
1823	3	5	1		2014	66	1	0.2	3	1	1	1	0	2		5	1	2	5		9999		
1824	3	4	1		2014	1	1	0.25	3	1	1	1	0	1	100	1	2	2	1		9999		
1824	3	3	1		2010	66	1	0.25	3	1	1	1	0	1	200	5	5	2	5		9999		
1825	3	1	1		1996	1	1	0.25	5	2	2								5		2000	9	
1825	3	2	1		2015	66	1	0.25	5	2	1	1	0	2		1	66	9					
1826	3	2	1		1998	66	2	2	30	2	2								5		2006	9	
1827	3	99																					
1828	3	3	1		2006	66	2	2	50	1	1	2	50	1	400	1	9	2	5		9999		
1828	3	4	1		2010	66	12	0.25	5	1	1	2	150	2		1	5	2	1		9999		
1829	3	5	1		2012	1	1	0.25	5	1	1	1	0	1	200	5	4	2	5		9999		
1829	3	6	1		2014	1	1	0.25	5	1	1	1	0	1	100	1	2	2	1		9999		
1830	3	4	1		2009	66	1	0.25	5	1	1	1	50	1	300	1	6	2	1		9999		
1832	3	7	1		2006	1	2	1	15	1	1	2	70	2		1	10	2	8		9999		
1832	3	6	1		2009	66	2	1.5	25	1	1	2	50	2		1	6	2	5		9999		
1832	3	2	1		1996	1	2	1.5	25	2	2								8		2004	10	
1832	3	5	1		2008	66	2	0.5	10	1	1	2	130	2		8	7	2	8	5	9999		
1833	3	6	1		2008	66	2	1.5	25	1	1	2	60	2		1	7	2	5		9999		
1833	3	5	1		2007	66	10	30	90	1	1	2	0	2		1	76	2	5		9999		
1833	3	4	1		2004	66	2	1.5	25	1	1	2	30	2		1	10	2	8	5	9999		
1833	3	7	1		2012	1	1	0.5	10	1	1	1	0	2		1	4	2	5		9999		
1833	3	3	1		2002	1	2	3	20	1	1	2	120	2		1	12	2	8		9999		
1834	3	4	1		2008	1	2	1.5	25	1	1	1	40	2		8	8	2	5	8	9999		
1834	3	5	1		2010	1	2	1.5	25	1	1	1	50	2		1	6	2	5		9999		
1834	3	6	1		2014	66	1	0.25	5	1	1	1	0	2		5	1	2	1		9999		
1834	3	3	1		2003	1	2	1.5	25	2	2								8		2010	6	
1835	3	9	1		1999	1	2	0.5	10	2	2								1		2006	9	
1835	3	7	1		2011	1	1	0.25	3	1	1	1	0	2		5	5	2	5		9999		
1835	3	4	1		2004	1	2	1	20	2	2								1		2011	22	
1835	3	10	1		2003	1	1	2	20	2	2								1		2008	9	
1835	3	6	1		2006	1	2	0.5	10	1	1	2	40	2		1	9	2	1		9999		
1836	3	3	1		2003	1	2	3	60	1	1	2	120	2		1	76	2	5		9999		
1836	3	5	1		2010	1	2	2	40	1	1	2	50	2		1	6	2	1		9999		
1836	3	4	1		2004	1	2	3	60	1	1	2	120	2		1	76	2	1		9999		
1837	3	2	1		2013	1	1	0.25	3	1	1	2	0	2		5	3	2	5		9999		
1837	3	3	1		2014	66	1	0.25	3	1	1	2	0	2		1	1	2	1		9999		
1838	3	11	1		2003	66	2	1	15	1	1	2	50	1	300	1	7	2	1		9999		
1838	3	3	1		2000	1	2	5	20	1	1	2	100	1	250	1	14	1	1		9999		
1838	3	5	1		2005	66	2	2	30	1	1	2	60	1	500	1	10	2	5		9999		
1838	3	9	1		2015	66	1	0.25	2	2	1	1	0	2		1	66	9					
1838	3	6	1		2006	66	2	2	30	1	1	2	50	1	350	1	9	2	5		9999		
1838	3	4	1		2002	1	2	5	20	1	1	2	80	2		1	13	2	1		9999		
1839	3	5	1		2002	1	10	3	30	2	2								1		2012	9	
1839	3	4	1		2004	1	2	2	20	1	2								1		2014	10	
1839	3	3	1		2000	1	2	2	20	2	2								1		2010	9	
1840	3	5	1		2012	66	1	0.5	10	1	1	1	0	2		1	3	2	1		9999		
1840	3	4	1		2005	66	1	3	45	2	2								1		2013	9	
1840	3	3	1		2005	66	1	3	45	1	1	1	0	2		8	10	2	8	5	9999		
1841	3	2	1		2002	1	2	1	15	2	2								1		2006	9	
1841	3	1	1		1999	1	2	0.25	5	2	2								1		2004	9	
1842	3	7	1		2010	66	1	0	7	1	1	1	0	2		1	5	2	1		9999		
1842	3	5	1		2009	66	1	0	7	2	2								1		2011	6	
1842	3	3	1		2004	66	2	3	30	1	1	2	35	2		1	10	2	5		9999		
1843.1	3	3	1		2014	66	1	0.25	10	1	1	1	0	2		1	1	2	1		9999		
1843.1	3	2	1		2002	1	2	1	20	2	2								1		2007	21	
1843.2	3	10	1		2006	66	1	0.5	15	2	2								5		2008	9	
1843.2	3	9	1		2012	66	1	0.25	10	1	1	1	0	2		5	3	2	5		9999		
1843.2	3	8	1		2009	1	1	0.25	10	2	2								1		2013	12	
1845	3	6	1		2012	66	1	0	5	1	1	2	0	2		1	3	2	1		9999		
1845	3	3	1		2002	66	1	4	20	1	1	1	0	2		1	12	1	5		9999		
1845	3	4	1		2004	66	2	3	18	1	1	2	0	2		1	10	1	5		9999		
1845	3	5	1		2007	66	3	0	7	1	1	2	300	2		1	8	2	1		9999		
1845	3	7	1		2013	66	1	0	5	1	1	2	0	2		5	2	2	5		9999		
1846	3	6	1		2011	66	1	0.5	5	1	1	1	0	2		1	4	2	1		9999		
1846	3	4	1		2006	1	1	5	25	1	1	1	0	1	1500	8	10	2	5		9999		
1846	3	8	1		1997	1	1	1.5	15	2	2								5		2002	6	
1846	3	3	1		2004	1	9	4	25	1	1	1	0	1	200	1	11	2	1		9999		
1846	3	5	1		2009	66	2	3	20	1	1	2	130	2		1	6	2	5		9999		
1847	3	3	2	22																			
1847	3	4	1		2010	1	1	0.5	10	2	2								5		2013	9	
1848	3	99																					
1849	3	1	1		1999	66	1	0.25	10	2	2								1		2001	12	
1849	3	3	1		2007	66	1	0.25	10	2	2								5		2015	21	
1850	3	4	1		2011	66	1	0	10	1	1	1	0	2		5	4	2	5		9999		
1850	3	3	1		2009	66	1	0	10	2	2								1		2013	9	
1850	3	5	1		2013	66	1	0	10	1	1	1	0	2		1	2	2	1		9999		
1851	3	4	1		2006	66	1	0.25	5	2	2								5		2012	9	
1851	3	7	1		2015	66	2	0.25	6	1	1	2	0	2		1	1	9					
1851	3	5	1		2011	66	1	0.25	5	1	1	1	0	2		1	1	2	2	1	9999		
1851	3	6	1		2014	66	1	0.25	5	1	1	1	0	2		1	1	1	2	1	9999		
1851	3	3	1		2003	66	1	0.25	5	2	2								5		2007	9	
1852	3	5	1		2011	66	1	0.25	5	1	1	1	0	2		1	4	2	1		9999		
1852	3	4	1		2009	66	1	0.25	5	1	2								5		2015	9	
1853	3	4	1		2012	66	12	0.25	5	1	1	1	0	2		1	3	2	1		9999		
1853	3	5	1		2014	66	1	0.25	5	1	1	1	0	2		1	1	2	1		9999		
1853	3	3	1		2008	1	1	0.25	5	2	2								1		2013	22	
1854	3	1	1		2000	66	2	4	20	2	2								5		2006	9	
1855	3	4	1		2005	1	2	2	20	1	1	2	0	1	500	1	10	2	5		9999		
1855	3	3	1		2003	1	2	2	20	2	2								1		2008	9	
1855	3	5	1		2010	1	2	2	20	1	1	2	160	2		1	6	2	5		9999		
1855	3	6	1		2013	1	1	0.25	5	1	1	1	0	2		5	3	2	5		9999		
1855	3	7	1		2015	66	2	0.25	5	2	1	2	0	2		1	66	9					
1856	3	5	1		2014	1	1	0.25	7	1	1	1	0	2		1	2	2	1		9999		
1856	3	8	1		2014	1	1	0.25	7	1	1	1	0	1	200	1	2	2	1		9999		
1857	3	3	1		2015	66	1	0.5	15	2	1	1	0	2		1	66	9					
1858	3	4	1		2015	66	5	0.25	5	2	1	2	0	2		1	66	9					
1859	3	5	1		2002	66	2	2	20	2	2								1		2010	9	
1859	3	3	1		2007	66	2	0	10	1	1	2	300	2		1	7	2	5		9999		
1860	3	99																					
1861	3	7	1		2010	1	1	0.25	4	1	1	1	0	2		1	4	2	5		9999		
1861	3	6	1		2007	1	2	1.5	15	1	1	2	100	2		1	7	2	1		9999		
1861	3	5	1		2004	1	2	20	50	1	1	1	0	2		1	22	2	1		9999		
1861	3	4	1		2003	1	2	20	50	1	1	2	25	2		1	11	2	1		9999		
1862	3	99																					
1863	3	3	1		2014	77	2	0.1	2	1	1	2	0	2		1	77	2	1		9999		
1863	3	2	1		2013	77	2	0.1	2	1	1	2	0	2		1	77	2	1		9999		
1864	3	4	1		2011	1	1	0.5	10	1	1	1	0	2		5	5	2	5		9999		
1865	3	6	1		2000	1	1	1	15	2	2								5		2006	21	
1865	3	5	2	9																			
1866	3	6	1		2009	1	2	1	15	1	1	2	70	1	1000	1	7	2	1		9999		
1866	3	3	1		2004	1	2	1.5	20	2	2								1		2009	9	
1866	3	5	1		2005	1	2	1	15	1	1	2	76	1	400	1	11	2	1		9999		
1867	3	4	1		2003	1	2	1	20	2	2								1		2009	9	
1867	3	5	1		2010	1	2	1	20	1	1	2	150	2		1	6	2	1		9999		
1868	3	3	1		2002	1	1	22	60	1	1	1	0	2		1	1	2	2	1	9999		
1868	3	2	1		1999	1	1	22	60	1	1	1	25	2		1	14	2	1		9999		
1869	3	2	1		1999	1	1	1	20	2	2								1		2004	9	
1870	3	4	1		2000	1	2	0	0	2	2								1		2006	22	
1871	3	7	1		2009	1	2	3	30	1	1	2	0	2		1	7	2	1		9999		
1871	3	5	1		2013	1	1	1	12	1	1	1	0	2		5	3	2	5		9999		
1871	3	6	1		2015	66	2	1	12	2	1	2	0	2		1	66	9					
1872	3	4	1		2014	1	2	0.25	4	2	1	2	0	2		1	1	1	1		9999		
