a01	hh_type	j1	j1_01	j1_02a	j1_02b	j1_02c	j1_03a	j1_03b	j1_03c	j1_03d	j1_03e	j1_03f	j1_03g	j1_03h	j1_03i	j1_03j	j1_03k	j1_03l	j1_03m	j1_03n	j1_03o	j1_03p	j1_04	j1_4a_1	j1_4a_2	j1_4a_3	j1_5a	j1_5b	j1_5c	j1_06a	j1_06b	j1_06c	j1_06d	j1_06e	j1_06f	j1_06g	j1_06h	j1_06i	j1_06j	j1_06k	j1_06l	j1_06m	j1_06n	j1_06o	j1_06p	j1_07
303	2	1	2																				2																							1
304	2	1	2																				2																							4
305	2	2																																												
307	2	2																																												
308	2	2																																												
309	2	1	2																				2																							1
310	2	1	2																				2																							4
311	2	1	2																				2																							1
313	2	2																																												
314	2	2																																												
315	2	1	2																				2																							1
316.1	2	1	2																				2																							1
316.2	2	1	2																				2																							1
316.3	2	1	2																				2																							1
317	2	2																																												
318	2	2																																												
319	2	2																																												
320	2	1	2																				2																							4
321	2	1	2																				2																							1
322	2	1	2																				2																							2
323	2	2																																												
324	2	1	2																				2																							1
325	2	1	2																				2																							2
326	2	2																																												
327	2	2																																												
328	2	2																																												
329.1	2	1	2																				2																							1
329.2	2	2																																												
330	2	2																																												
331	2	2																																												
332	2	2																																												
333	2	2																																												
334	2	1	2																				2																							1
335	2	2																																												
337	2	1	2																				2																							1
338	2	2																																												
339	2	2																																												
340	2	2																																												
341	3	2																																												
342	3	2																																												
343	3	1	2																				2																							2
345	3	2																																												
346	3	1	2																				2																							1
347	3	1	2																				2																							2
348	3	1	2																				2																							1
349	3	1	1	0	2	0	1	2	1	2	1	2	1	2	2		2		2		2		2																							
350	3	1	2																				2																							1
351	3	1	2																				2																							1
352	3	1	2																				2																							2
353	3	1	2																				2																							1
354	3	1	2																				2																							2
355	3	2																																												
356	3	2																																												
357	3	1	2																				2																							1
358	3	1	2																				2																							2
359	3	2																																												
360	3	1	2																				2																							1
361	3	2																																												
362	3	2																																												
363	3	1	2																				2																							1
364	3	2																																												
365	3	2																																												
366	3	2																																												
367	3	2																																												
368	3	1	2																				2																							1
369	3	2																																												
370	3	2																																												
371	3	1	2																				2																							1
372	3	2																																												
373	3	1	2																				2																							1
374	3	1	2																				2																							1
375	3	2																																												
376	3	1	2																				2																							1
377	3	1	2																				2																							1
378	3	1	2																				2																							1
379	3	1	2																				2																							1
380	3	1	2																				2																							1
381	3	1	2																				2																							1
382	3	2																																												
383	3	1	2																				2																							1
384	3	1	2																				2																							1
385	3	2																																												
386	3	1	2																				2																							1
387	3	1	2																				2																							1
388	3	2																																												
389	3	1	2																				2																							1
390	3	2																																												
391	3	2																																												
392	3	2																																												
393	3	1	2																				2																							1
394	3	1	2																				2																							1
395	3	2																																												
396	3	2																																												
397	3	1	2																				2																							1
398	3	1	2																				2																							1
399	3	2																																												
400	3	1	1	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2		2																							
401	3	2																																												
402	3	1	2																				2																							1
403	3	1	2																				2																							1
404	3	1	2																				2																							1
405	3	1	2																				2																							1
406	3	2																																												
407	3	2																																												
408	3	1	2																				2																							1
409	3	1	2																				2																							1
410	3	1	2																				2																							1
411	3	1	2																				2																							1
412	3	1	2																				2																							1
413	3	1	2																				2																							1
414	3	1	1	7	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2		2																							
415	3	1	2																				2																							1
416	3	2																																												
417	3	1	2																				2																							1
418	3	2																																												
419	3	2																																												
420	3	1	2																				2																							1
421	3	2																																												
422	3	2																																												
423	3	1	2																				2																							1
424	3	1	2																				2																							1
