a01	hh_type	j1	j1_01	j1_02a	j1_02b	j1_02c	j1_03a	j1_03b	j1_03c	j1_03d	j1_03e	j1_03f	j1_03g	j1_03h	j1_03i	j1_03j	j1_03k	j1_03l	j1_03m	j1_03n	j1_03o	j1_03p	j1_04	j1_4a_1	j1_4a_2	j1_4a_3	j1_5a	j1_5b	j1_5c	j1_06a	j1_06b	j1_06c	j1_06d	j1_06e	j1_06f	j1_06g	j1_06h	j1_06i	j1_06j	j1_06k	j1_06l	j1_06m	j1_06n	j1_06o	j1_06p	j1_07
3340	3	1	2																				2																							1
3341	3	1	2																				2																							1
3342	3	2																																												
3343	3	2																																												
3344	3	2																																												
3346	3	2																																												
3347	3	2																																												
3348	3	1	2																				2																							1
3349	3	2																																												
3350	3	1	2																				2																							1
3351	3	1	1	3	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2		2																							
3353	3	2																																												
3354	3	1	2																				2																							1
3355	3	1	2																				2																							1
3356	3	2																																												
3357	3	1	2																				2																							1
3358	3	2																																												
3359	3	1	2																				2																							1
3360	3	1	2																				2																							1
3361	3	1	2																				2																							1
3362	3	1	2																				2																							1
3363	3	1	2																				2																							1
3365	3	2																																												
3366	3	1	2																				2																							1
3367	3	1	2																				2																							1
3368	3	1	2																				2																							1
3369	3	1	2																				2																							1
3370	3	1	2																				2																							2
3371	3	2																																												
3372	3	1	2																				2																							1
3373	3	1	2																				2																							1
3374	3	1	2																				2																							1
3376	3	1	1	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2		2																							
3378	3	2																																												
3379	3	1	2																				2																							1
3380	3	2																																												
3381	3	1	2																				2																							1
3382	3	2																																												
3383	3	2																																												
3384	3	2																																												
3385	3	2																																												
3386	3	2																																												
3388	3	1	2																				2																							1
3389	3	1	1	3	0	0	1	2	1	2	1	2	1	2	1	2	1	2	2		2		1	1			4	0	0	1	2	1	2	1	2	1	2	1	2	1	2	2		2		
3391	3	1	2																				2																							1
3392	3	2																																												
3393	3	1	2																				2																							1
3394	3	1	1	3	0	0	1	2	1	2	1	2	1	2	1	2	2		2		2		2																							
3395	3	2																																												
3396	3	2																																												
3397	3	2																																												
3398.1	3	1	1	3	0	0	1	2	1	2	1	2	1	2	1	2	2		2		2		2																							
3398.2	3	1	1	3	0	0	1	2	1	2	1	2	1	1	1	2	2		2		2		2																							
3399	3	1	1	3	0	0	1	2	1	2	1	2	1	2	1	2	2		1	2	2		2																							
3400	3	1	2																				2																							1
3401	3	1	2																				2																							1
3402	3	1	2																				2																							1
3403	3	1	2																				2																							1
3404	3	1	2																				2																							1
3405	3	2																																												
3406	3	2																																												
3407	3	1	2																				2																							1
3408	3	1	1	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2		2																							
3409	3	1	2																				2																							1
3410	3	1	2																				2																							1
3412	3	1	2																				2																							1
3413	3	1	2																				2																							1
3414	3	1	2																				2																							1
3415	3	1	2																				2																							1
3416	3	1	2																				2																							1
3417	3	1	1	1	0	0	1	2	1	2	1	2	1	2	1	2	1	2	2		2		2																							
3418	3	1	2																				2																							1
3419	3	1	2																				2																							1
3420	3	1	2																				2																							1
3421	3	2																																												
3423	3	1	2																				2																							1
3424	3	2																																												
3426	3	2																																												
3427	3	2																																												
3428	3	1	2																				2																							1
3429	3	1	2																				2																							1
3430	3	1	2																				2																							1
3431	3	2																																												
3432	3	1	2																				2																							1
3433	3	2																																												
3434	3	1	1	2	0	0	1	2	1	2	1	2	1	2	1	2	1	2	1	2	2		2																							
3435	3	2																																												
3436	3	2																																												
3437	3	1	2																				2																							1
3438	3	2																																												
3439	3	2																																												
3440	3	1	2																				2																							1
3441	3	1	2																				2																							1
3442	3	2																																												
3443	3	1	2																				2																							1
3444	3	1	2																				2																							1
3445	3	1	2																				2																							1
3446	3	1	2																				2																							1
3447	3	1	2																				2																							1
3448	3	1	2																				2																							1
3449	3	1	2																				2																							1
3450	3	1	2																				2																							1
3451	3	2																																												
3452	3	1	2																				2																							1
3453	3	1	2																				2																							1
3454	3	2																																												
3455	3	2																																												
3456	3	1	2																				2																							1
3457	3	1	2																				2																							1
3458	3	2																																												
3459	3	1	2																				2																							1
3460	3	2																																												
3461	3	1	2																				2																							1
3462	3	1	2																				2																							1
3463	3	1	2																				2																							1
3464	3	1	2																				2																							1
3465	3	1	2																				2																							1
3466	3	1	2																				2																							1
3467	3	1	2																				2																							1
3468	3	2																																												
3469	3	2																																												
3470	3	1	2																				2																							1
3471	3	1	2																				2																							1
3472	3	1	2																				2																							1
3473	3	1	2																				2																							1
3474.1	3	1	2																				2																							1
3474.2	3	1	2																				2																							1
3475	3	1	2																				2																							1
3476	3	1	2																				2																							1
3477	3	1	1	0	0	1	1	2	2		2		2		2		2		2		2		2																							
3478	3	1	2																				1	1			2	0	0	1	1	2		2		1	1	1	1	1	1	2		2		
3479	3	1	2																				2																							1
3480	3	1	2																				2																							1
3481	3	1	2																				2																							1
3482	3	1	1	3	0	0	1	1	1	1	2		1	1	1	1	1	1	2		2		2																							
3483	3	1	2																				2																							1
3484	3	1	2																				2																							1
3485	3	1	2																				2																							1
3486	3	1	2																				2																							5
3487	3	2																																												
3488	3	1	1	0	0	1	2		2		2		1	1	1	1	2		2		2		2																							
3489	3	1	1	1	0	0	2		1	1	2		2		2		2		2		2		2																							
3490	3	1	1	3	0	0	2		1	1	1	1	1	1	1	1	2		2		2		2																							
3491	3	1	2																				2																							1
3492	3	1	2																				2																							1
3493	3	1	2																				2																							1
3494	3	1	2																				2																							1
3495	3	1	1	12	0	0	1	1	2		2		1	1	1	1	2		2		2		2																							
3496	3	1	2																				2																							2
3497	3	1	1	0	0	2	2		2		2		1	1	1	1	1	1	2		1	1	2																							
3498	3	1	2																				2																							5
3499	3	1	2																				2																							1
3501	3	1	2																				1	1			2	0	0	2		2		2		1	1	1	1	1	1	2		2		
3502	3	2																																												
3503	3	1	2																				2																							2
3504	3	1	1	4	0	0	1	1	1	2	1	1	1	1	1	1	1	1	2		2		2																							
3505	3	2																																												
3506	3	1	2																				2																							1
3507	3	1	1	4	0	1	1	2	1	2	1	1	1	1	1	1	1	1	2		2		2																							
3508	3	2																																												
3510	3	2																																												
3511	3	1	2																				2																							1
3512	3	2																																												
3513.1	3	1	2																				2																							1
3513.2	3	2																																												
3514	3	2																																												
3515	3	2																																												
3516	3	2																																												
3517.1	3	2																																												
3517.2	3	2																																												
3517.3	3	2																																												
3517.4	3	2																																												
3518	3	2																																												
3519	3	2																																												
3520	3	1	2																				2																							1
3521	3	1	2																				2																							2
3522	3	1	2																				2																							1
3523	3	1	2																				2																							1
3524	3	1	2																				2																							1
3525	3	1	2																				2																							1
3526	3	2																																												
3527	3	1	2																				1	1			0	0	1	2		2		2		1	2	2		2		2		2		
3528	3	1	1	0	0	2	2		2		2		1	1	1	1	2		2		2		2																							
3529	3	1	2																				2																							1
3530	3	1	2																				2																							1
3531	3	2																																												
3532.1	3	1	2																				2																							1
3532.2	3	1	2																				2																							1
3533	3	2																																												
3534	3	2																																												
3535	3	1	2																				2																							1
3536	3	1	2																				2																							1
3537	3	1	2																				2																							1
3538	3	1	2																				2																							1
3539	3	1	2																				2																							1
3540	3	1	2																				2																							1
3541	3	1	2																				2																							1
3542	3	1	1	5	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2		1	1			2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2		
3543	3	2																																												
3544	3	2																																												
3545	3	1	2																				1	1			5	0	0	1	1	2		2		1	1	1	1	2		2		2		
3546	3	1	2																				2																							1
3547	3	2																																												
3548	3	1	2																				2																							1
3549	3	1	2																				2																							1
3550	3	1	2																				1	1			1	0	0	2		2		2		1	1	1	1	1	1	2		2		
3551	3	1	2																				2																							1
3553	3	1	2																				2																							1
3554	3	2																																												
3555	3	1	2																				2																							1
3556	3	1	1	6	0	0	1	1	1	1	1	1	1	1	1	1	2		2		2		2																							
3557	3	1	2																				2																							1
3558	3	2																																												
3559	3	2																																												
3560	3	1	1	3	0	0	1	1	2		2		1	1	1	1	1	1	2		2		2																							
3562	2	2																																												
3563	2	2																																												
3564	2	2																																												
3565	2	2																																												
3566	2	2																																												
3567	2	1	2																				2																							1
3568	2	1	2																				2																							1
3569	2	1	2																				2																							1
3570	2	2																																												
3571	2	2																																												
3572	2	1	2																				2																							1
3573	2	1	2																				2																							1
3574	2	1	2																				2																							1
3575	2	2																																												
3576	2	1	2																				2																							1
3577	2	2																																												
3578	2	2																																												
3579	2	1	2																				2																							1
3580	2	2																																												
3581	2	1	2																				2																							1
3582	2	2																																												
3583	2	1	2																				2																							1
3584	2	2																																												
3585	2	1	2																				2																							1
3586	2	1	2																				2																							1
3587	2	1	2																				2																							1
3588	2	1	2																				2																							1
3589	2	2																																												
3590	2	1	2																				2																							2
3591	2	2																																												
3592	2	1	2																				2																							1
3593	2	2																																												
3594	2	1	2																				2																							1
3595	2	1	2																				2																							1
3596	2	1	2																				2																							1
3597	2	1	2																				2																							1
3598	2	1	1	2	0	0	1	1	2		2		2		2		2		2		2		2																							
3599	2	2																																												
3600	2	2																																												
3601	3	2																																												
3602	3	2																																												
3603	3	2																																												
3604	3	1	2																				2																							4
3605	3	2																																												
3606	3	2																																												
3608	3	1	2																				2																							1
3609.1	3	2																																												
3609.2	3	2																																												
3610	3	2																																												
3611	3	2																																												
3612	3	2																																												
3613.1	3	2																																												
3613.2	3	2																																												
3614	3	1	2																				2																							1
3615	3	2																																												
3616	3	2																																												
3617	3	2																																												
3618	3	1	2																				2																							1
3619	3	2																																												
3620.1	3	1	2																				2																							1
3620.2	3	2																																												
3621	3	2																																												
3622	3	2																																												
3623	3	2																																												
3624	3	1	2																				2																							1
3625	3	2																																												
3626	3	1	2																				2																							1
3627	3	2																																												
3628	3	1	2																				2																							1
3629	3	2																																												
3630	3	2																																												
3631	3	2																																												
3632.1	3	2																																												
3632.2	3	1	2																				2																							5
3633.1	3	2																																												
3633.2	3	2																																												
3634	3	1	2																				2																							1
3635	3	2																																												
3636	3	2																																												
3637	3	2																																												
3638	3	2																																												
3639	3	2																																												
3640	3	1	2																				2																							1
3641	3	1	2																				2																							1
3642	3	2																																												
3643	3	1	2																				2																							1
3644	3	1	2																				2																							1
3646	3	2																																												
3647.1	3	2																																												
3647.2	3	1	2																				2																							1
3648	3	2																																												
3649	3	2																																												
3650	3	2																																												
3651	3	2																																												
3652	3	2																																												
3654	3	1	2																				2																							1
3655	3	1	2																				2																							1
3656	3	2																																												
3657	3	2																																												
3658	3	2																																												
3659	3	2																																												
3660	3	2																																												
3661	3	1	2																				2																							1
3662	3	1	2																				2																							1
3663	3	2																																												
3664	3	2																																												
3665	3	1	2																				2																							1
3666	3	1	2																				2																							1
3667	3	1	2																				2																							1
3668	3	1	2																				2																							1
3669	3	1	2																				2																							1
3670	3	1	2																				2																							1
3671	3	1	2																				2																							1
3672	3	1	2																				2																							1
3674	3	2																																												
3675	3	1	2																				2																							1
3676	3	1	2																				2																							1
3677	3	1	2																				2																							1
3678	3	2																																												
3679	3	2																																												
3681	3	2																																												
3682	3	1	2																				2																							1
3683	3	1	2																				2																							1
3684	3	2																																												
3685	3	1	2																				2																							1
3686	3	2																																												
3687	3	2																																												
3688	3	1	2																				2																							1
3689	3	1	2																				2																							1
3690	3	1	2																				2																							1
3691	3	2																																												
3692	3	1	2																				2																							1
3693	3	1	2																				2																							1
3694	3	2																																												
3695	3	1	2																				2																							1
3696	3	1	2																				2																							1
3697	3	1	2																				2																							1
3698	3	1	2																				2																							1
3699	3	1	2																				2																							1
3700	3	1	2																				2																							1
3701	3	2																																												
3702	3	2																																												
3703	3	2																																												
3704	3	2																																												
3705	3	2																																												
3706	3	2																																												
3707	3	2																																												
3708	3	2																																												
3709	3	2																																												
3710	3	1	2																				2																							1
3711	3	1	2																				2																							1
3712	3	2																																												
3713	3	2																																												
3714	3	1	2																				2																							1
3715	3	2																																												
3716	3	2																																												
3717	3	2																																												
3718	3	2																																												
3719	3	2																																												
3720	3	2																																												
3721	3	2																																												
3722	3	2																																												
3723	3	2																																												
3724	3	2																																												
3725	3	2																																												
3726	3	2																																												
3727	3	2																																												
3728	3	1	2																				2																							1
3729	3	2																																												
3730	3	1	2																				2																							1
3731	3	1	2																				2																							1
3732	3	2																																												
3733	3	2																																												
3734	3	1	2																				2																							1
3735	3	2																																												
3736	3	2																																												
3737	3	2																																												
3738	3	1	2																				2																							1
3739	3	2																																												
3740	3	2																																												
3741	3	2																																												
3742	3	1	2																				2																							1
3743	3	1	2																				2																							1
3744	3	2																																												
3745	3	2																																												
3746	3	1	2																				2																							1
3747	3	2																																												
3748	3	2																																												
3749	3	1	2																				2																							1
3750	3	2																																												
3751	3	1	2																				2																							1
3752	3	1	2																				2																							1
3753	3	2																																												
3754	3	2																																												
3755	3	2																																												
3756	3	1	2																				2																							1
3757	3	1	2																				2																							1
3758	3	2																																												
3759	3	1	2																				2																							1
3760	3	2																																												
3761	3	1	2																				2																							1
3762	3	1	2																				2																							1
3763	3	2																																												
3764	3	1	2																				2																							1
3765	3	1	2																				2																							1
3766	3	2																																												
3767	3	1	2																				2																							1
3768	3	2																																												
3769	3	1	2																				2																							1
3771	3	1	2																				2																							1
3772	3	1	2																				2																							1
3773	3	1	2																				2																							1
3774	3	1	1	2	0	0	2		1	1	2		1	1	1	1	2		2		2		2																							
3775	3	2																																												
3776	3	2																																												
3777	3	1	2																				2																							1
3778	3	1	2																				2																							1
3779	3	1	2																				2																							1
3780	3	1	2																				2																							1
3781	3	1	2																				2																							1
3782	3	1	2																				2																							1
3783	3	1	2																				2																							1
3784	3	1	2																				2																							1
3785	3	1	2																				2																							1
3786.1	3	1	2																				2																							1
3786.2	3	1	2																				2																							1
3787	3	1	2																				2																							1
3788	3	1	2																				2																							1
3789.1	3	1	2																				2																							1
3789.2	3	1	2																				2																							1
3790	3	1	2																				2																							1
3791	3	1	2																				2																							1
3792	3	2																																												
3793	3	2																																												
3794	3	1	2																				2																							1
3795	3	2																																												
3796	3	1	2																				2																							1
3797	3	1	2																				2																							1
3798	3	1	2																				2																							1
3799	3	1	2																				2																							1
3800	3	2																																												
3801	3	2																																												
3802	3	2																																												
3803	3	1	2																				2																							1
3804.1	3	2																																												
3804.2	3	2																																												
3805	3	2																																												
3806	3	1	1	1	0	0	2		2		2		2		2		1	1	2		2		2																							
3807	3	1	2																				2																							1
3808	3	2																																												
3809	3	1	2																				2																							1
3810	3	2																																												
3811	3	2																																												
3813	3	2																																												
3814	3	1	2																				2																							1
3815	3	1	1	1	0	0	2		1	2	2		1	1	2		2		2		2		2																							
3816	3	2																																												
3817	3	1	2																				2																							3
3818	3	1	2																				2																							1
3819	3	2																																												
3820	3	1	2																				2																							1
3821	3	2																																												
3823	3	1	2																				2																							1
3824	3	2																																												
3825	3	1	2																				2																							1
3826.1	3	2																																												
3826.2	3	1	2																				2																							1
3827	3	1	2																				2																							1
3828	3	1	2																				2																							1
3829	3	1	2																				2																							1
3830	3	1	2																				2																							2
3831	3	2																																												
3833.1	3	1	2																				2																							1
3833.2	3	2																																												
3834	3	1	2																				2																							1
3835	3	2																																												
3836	3	2																																												
3837	3	1	2																				2																							1
3838	3	1	2																				2																							1
3839	3	1	2																				2																							1
3840	3	2																																												
3841	3	1	2																				2																							2
3842	3	1	2																				2																							4
3843	3	1	2																				2																							1
3844	3	1	2																				2																							2
3845	3	1	2																				2																							2
3846	3	2																																												
3847	3	1	2																				2																							4
3848	3	2																																												
3849	3	1	2																				2																							1
3850	3	1	2																				2																							1
3851	3	1	2																				2																							1
3852	3	1	1	0	4	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2		1	1			0	3	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2		
3853	3	1	2																				1	1			3	0	0	1	2	2		2		1	1	1	1	1	2	1	2	2		
3854	3	2																																												
3855	3	2																																												
3856	3	1	2																				2																							1
3857	3	2																																												
3858	3	1	2																				2																							1
3859	3	2																																												
3860	3	2																																												
3861	3	1	2																				2																							2
3862	3	1	2																				2																							1
3863	3	2																																												
3864	3	2																																												
3865	3	1	2																				2																							1
3866	3	2																																												
3867	3	2																																												
3868	3	2																																												
3869	3	2																																												
3870	3	1	2																				2																							2
3871	3	2																																												
3872	3	2																																												
3873	3	2																																												
3874	3	1	2																				2																							1
3875	3	2																																												
3876	3	2																																												
3877	3	2																																												
3878	3	2																																												
3879	3	2																																												
3880	3	1	2																				2																							2
3882	3	1	2																				2																							1
3883	3	2																																												
3885	3	1	2																				2																							1
3886	3	1	2																				2																							1
3887	3	2																																												
3888	3	1	2																				2																							1
3889	3	1	2																				2																							1
3890	3	2																																												
3891	3	1	2																				2																							1
3892	3	2																																												
3894	3	1	2																				2																							1
3895	3	2																																												
3896	3	2																																												
3897	3	2																																												
3898	3	1	2																				2																							1
3899	3	2																																												
3900	3	1	2																				2																							1
3901	3	1	2																				2																							1
3902	3	1	2																				2																							1
3903	3	1	2																				2																							1
3904	3	2																																												
3905	3	1	2																				2																							1
3907	3	1	2																				2																							1
3908	3	1	2																				2																							1
3909	3	1	2																				2																							1
3910	3	2																																												
3911	3	1	2																				2																							1
3912	3	1	2																				2																							1
3913	3	1	2																				2																							1
3914	3	2																																												
3915	3	1	2																				2																							1
3916	3	2																																												
3917	3	1	2																				2																							1
3918	3	2																																												
3919	3	2																																												
3920	3	2																																												
3921	3	1	2																				2																							1
3922	3	1	2																				2																							1
3923	3	2																																												
3924	3	1	2																				2																							1
3925	3	1	2																				2																							1
3926	3	1	2																				2																							1
3927	3	2																																												
3928	3	1	2																				2																							1
3929	3	1	2																				2																							1
3930	3	1	2																				2																							1
3931	3	1	2																				2																							1
3933	3	2																																												
3934	3	1	2																				2																							1
3935.1	3	1	2																				2																							1
3935.2	3	1	2																				2																							1
3936	3	2																																												
3937	3	1	2																				2																							1
3938	3	1	2																				2																							1
3939	3	1	2																				2																							1
3940	3	1	2																				2																							1
3941	3	2																																												
3942	3	2																																												
3943	3	1	2																				2																							1
3944	3	2																																												
3945	3	2																																												
3946	3	2																																												
3947	3	1	2																				2																							1
3948.1	3	1	2																				2																							1
3948.2	3	1	2																				2																							1
3949	3	2																																												
3950	3	2																																												
3951	3	1	2																				2																							1
3952	3	2																																												
3953	3	2																																												
3954	3	2																																												
3955	3	1	2																				2																							1
3956	3	2																																												
3957	3	2																																												
3958	3	1	2																				2																							1
3959	3	1	2																				2																							1
3960	3	1	2																				2																							1
3961	3	2																																												
3962	3	2																																												
3963	3	1	2																				2																							1
3964	3	1	2																				2																							1
3965	3	1	2																				2																							1
3966	3	2																																												
3967	3	1	2																				2																							1
3968	3	1	2																				2																							1
3969	3	2																																												
3971	3	2																																												
3972	3	2																																												
3973	3	2																																												
3974	3	1	2																				2																							1
3975	3	2																																												
3976	3	2																																												
3977	3	1	2																				2																							1
3978	3	1	2																				2																							1
3979	3	2																																												
3980	3	2																																												
3981	3	1	2																				2																							1
3982	3	2																																												
3983	3	1	2																				2																							1
3984	3	1	2																				2																							1
3985	3	1	2																				2																							1
3986	3	1	2																				2																							1
3987	3	2																																												
3988	3	2																																												
3989	3	2																																												
3990	3	2																																												
3991	3	1	2																				2																							1
3992	3	2																																												
3993	3	1	2																				2																							1
3994	3	1	2																				2																							1
3995	3	1	2																				2																							1
3996	3	1	2																				2																							1
3997	3	1	2																				2																							1
3998	3	1	2																				2																							1
3999	3	2																																												
4000	3	1	2																				2																							2
4001	3	2																																												
4002	3	1	2																				1	1			2	0	0	2		2		2		2		2		2		2		2		
4003	3	1	2																				2																							1
4004	3	1	2																				2																							4
4005	3	1	1	0	1	0	1	2	1	2	1	2	1	2	1	2	1	2	1	2	2		1	1			1	0	0	1	2	1	2	1	2	1	2	1	2	1	2	1	2	2		
4006	3	1	2																				2																							1
4007	3	2																																												
4008	3	2																																												
4009	3	1	2																				2																							1
4010	3	2																																												
4011	3	1	2																				2																							6
4012	3	1	2																				2																							1
4013	3	1	2																				2																							1
4014	3	1	2																				2																							1
4015	3	1	2																				2																							2
4016	3	1	2																				2																							1
4017	3	1	2																				2																							1
4018	3	2																																												
4019	3	1	2																				2																							1
4020	3	1	2																				2																							2
4021	3	1	2																				2																							1
4022	3	2																																												
4023	3	1	1	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2		1	3	2																							
4024	3	1	2																				2																							1
4025.1	3	2																																												
4025.2	3	1	2																				2																							1
4026	3	1	2																				2																							1
4027	3	1	1	2	1	0	1	1	1	2	1	1	2		1	1	2		1	2	2		2																							
4028	3	1	2																				2																							2
4029	3	1	2																				2																							1
4030	3	2																																												
4031	3	2																																												
4032	3	2																																												
4033	3	1	2																				2																							1
4034	3	1	2																				2																							1
4035	3	1	2																				2																							1
4036	3	2																																												
4037.1	3	2																																												
4037.2	3	2																																												
4038	3	2																																												
4039	3	1	2																				2																							5
4040	3	2																																												
4041	3	1	2																				2																							2
4042	3	2																																												
4043.1	3	2																																												
4043.2	3	1	1	1	0	0	1	1	2		2		1	1	2		2		2		2		2																							
4044	3	1	2																				2																							2
4045	3	1	2																				2																							1
4046	3	2																																												
4047	3	1	2																				2																							1
4048	3	1	2																				2																							1
4049	3	1	1	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2																							
4050	3	1	2																				1	1			1	0	0	1	2	1	2	1	2	1	2	1	2	2		1	3	2		
4051	3	1	2																				2																							1
4052	3	2																																												
4053	3	1	2																				2																							1
4054	3	2																																												
4055	3	2																																												
4056	3	1	2																				2																							1
4057	3	1	2																				2																							1
4058	3	2																																												
4059	3	1	2																				1	1			4	2	0	1	2	1	2	1	2	1	2	1	2	1	2	1	2	2		
4060	3	1	2																				2																							1
4061	3	2																																												
4063	3	2																																												
4064	3	1	1	3	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2		2																							
4065	3	2																																												
4066	3	1	2																				2																							1
4067	3	2																																												
4068	3	2																																												
4069	3	2																																												
4071	3	2																																												
4072	3	2																																												
4073	3	2																																												
4074	3	2																																												
4076	3	2																																												
4077	3	2																																												
4078	3	2																																												
4079	3	2																																												
4081	3	2																																												
4082	3	2																																												
4083	3	2																																												
4084	3	1	2																				2																							2
4085	3	2																																												
4086	3	2																																												
4087	3	2																																												
4088	3	2																																												
4089	3	2																																												
4090	3	2																																												
4091	3	2																																												
4092	3	2																																												
4093	3	1	2																				2																							2
4094	3	2																																												
4095	3	2																																												
4096	3	2																																												
4097	3	2																																												
4098	3	2																																												
4099	3	2																																												
4100	3	2																																												
4101	3	1	2																				2																							1
4102	3	2																																												
4103	3	1	2																				2																							1
4104	3	2																																												
4105	3	1	2																				2																							1
4106	3	2																																												
4107	3	1	2																				2																							1
4109	3	2																																												
4110	3	2																																												
4111	3	1	2																				2																							1
4112	3	2																																												
4113	3	2																																												
4114	3	2																																												
4115	3	1	2																				2																							1
4116	3	1	2																				2																							1
4117	3	2																																												
4118	3	2																																												
4119	3	2																																												
4120	3	2																																												
4121	3	2																																												
4122	3	2																																												
4123	3	2																																												
4124	3	2																																												
4125	3	1	2																				2																							1
4126	3	2																																												
4127	3	2																																												
4128	3	2																																												
4129	3	1	2																				2																							2
4130	3	2																																												
4131	3	2																																												
4132	3	2																																												
4133	3	2																																												
4134	3	2																																												
4135	3	1	2																				2																							1
4136	3	2																																												
4137	3	2																																												
4138	3	2																																												
4139	3	2																																												
4140	3	1	2																				2																							1
4142	3	2																																												
4143	3	1	2																				2																							1
4145	3	1	2																				2																							1
4146	3	1	2																				2																							1
4147	3	2																																												
4148	3	1	1	2	0	0	1	1	2		2		2		2		2		2		2		2																							
4149	3	2																																												
4150	3	1	2																				2																							1
4151	3	1	2																				2																							1
4152	3	2																																												
4153	3	1	2																				2																							1
4154	3	2																																												
4155	3	2																																												
4156	3	2																																												
4157	3	1	2																				2																							1
4158	3	2																																												
4159	3	1	1	3	0	0	1	1	1	1	2		2		2		2		2		2		2																							
4160	3	2																																												
4161	3	2																																												
4162.1	3	2																																												
