a01	hh_type	v1_01	pid	mid	v1_02	v1_03	v1_04	v1_05	v1_06	v1_07	v1_08	v1_09	v1_10	v1_11	v1_15	v1_16	v1_12	v1_13	v1_14	Flag_v1
1588	3	2																		
1589	3	2																		
1590	3	2																		
1591	3	2																		
1592	3	2																		
1595	3	2																		
1596	3	2																		
1597	3	2																		
1598	3	2																		
1599	3	2																		
1600.1	3	2																		
1600.2	3	2																		
1601	3	2																		
1602	3	2																		
1603	3	2																		
1604	3	2																		
1605	3	2																		
1606	3	2																		
1607	3	2																		
1608	3	2																		
1609	3	2																		
1610	3	2																		
1611	3	2																		
1612	3	2																		
1613	3	2																		
1615	3	2																		
1616	3	2																		
1617	3	2																		
1618	3	1	81	1	2	1	3	30	1	9	11	2		20	2	1	1	7	1	
1619	3	2																		
1620	3	2																		
1621	3	2																		
1622	3	2																		
1623	3	1	81	3	3	0	5	33	1	9	82	1	1		1		1	1	1	
1623	3	1	82	4	4	0	4	28	2	10	13	1	1		1		9	1	2	
1624	3	2																		
1625	3	2																		
1626	3	2																		
1627	3	2																		
1628	3	2																		
1629	3	2																		
1630	3	2																		
1631	3	2																		
1632	3	2																		
1633	3	2																		
1634	3	2																		
1635	3	2																		
1636	3	2																		
1637	3	2																		
1638	3	2																		
1639	3	2																		
1640	3	2																		
1641	3	2																		
1642	3	2																		
1643	3	2																		
1644	3	2																		
1645	3	2																		
1646	3	2																		
1647	3	2																		
1648	3	2																		
1649	3	1	81	3	3	1	3	31	1	10	13	1	1		1		1	1	1	
1649	3	1	82	4	4	1	3	23	2	10	13	1	1		1		1	1	1	
1650	3	2																		
1651	3	2																		
1652	3	2																		
1653	3	2																		
1654	3	2																		
1655	3	2																		
1656	3	2																		
1657	3	2																		
1658	3	1	81	3	5	0	9	12	1	6	81	1	2		1		2	3	2	
1659	3	2																		
1660	3	2																		
1661	3	2																		
1662	3	2																		
1663	3	2																		
1664	3	2																		
1665	3	2																		
1666	3	2																		
1667	3	1	81	1	2	3	1	25	1	5	22	1	1		1		8	1	1	
1668	3	2																		
1669	3	2																		
1670	3	2																		
1671	3	2																		
1672	3	2																		
1673	3	2																		
1674	3	2																		
1675	3	2																		
1676	3	2																		
1677	3	2																		
1678	3	2																		
1679.1	3	2																		
1679.2	3	2																		
1680	3	1	81	1	2	4	3	39	1	5	51	1	1		1		8	1	1	
1681	2	2																		
1682	2	2																		
1683	2	2																		
1684	2	2																		
1685	2	2																		
1686	2	2																		
1687	2	2																		
1688	2	2																		
1689	2	2																		
1690	2	2																		
1691	2	2																		
1693	2	2																		
1694	2	2																		
1695	2	2																		
1696	2	2																		
1697	2	2																		
1698	2	2																		
1699	2	2																		
1700	2	2																		
1701	2	2																		
1702	2	2																		
1703	2	2																		
1704	2	2																		
1705	2	2																		
1706	2	2																		
1707	2	2																		
1708.1	2	2																		
1708.2	2	1	81	3	3	0	11	30	1	4	50	1	59		4		8	1	1	
1709	2	2																		
1710	2	2																		
1711	2	2																		
1712	2	2																		
1713	2	2																		
1714	2	2																		
1715	2	1	81	1	2	1	4	43	1	2	24	2		24	1		8	4	1	
1716	2	2																		
1717	2	2																		
1718	2	2																		
1719	2	2																		
1720	2	2																		
1721	2	2																		
1722	2	2																		
1723	2	2																		
1724	2	2																		
1725	2	2																		
1726	2	2																		
1727	2	2																		
1728	2	2																		
1729	2	2																		
1730	2	2																		
1731	2	2																		
1732	2	2																		
1733	2	2																		
1734	2	2																		
1735	2	2																		
1736	2	2																		
1737	2	2																		
1738	2	2																		
1739.1	2	2																		
1739.2	2	2																		
1740	2	2																		
1741	3	2																		
1742	3	2																		
1743	3	2																		
1744	3	2																		
1747	3	2																		
1748	3	2																		
1749	3	2																		
1750	3	2																		
1752	3	2																		
1753	3	2																		
1754	3	1	81	3	3	0	1	17	1	3	13	1	25		1		1	10	1	
1755	3	2																		
1757	3	2																		
1758	3	2																		
1759	3	2																		
1760	3	2																		
1761	3	2																		
1762	3	2																		
1763	3	2																		
1764	3	2																		
1765	3	2																		
1766	3	2																		
1767	3	2																		
1768	3	2																		
1769	3	2																		
1770	3	2																		
1771	3	2																		
1772	3	2																		
1773	3	2																		
1774	3	2																		
1775.1	3	2																		
1775.2	3	2																		
1775.3	3	2																		
1776	3	2																		
1777	3	2																		
1778	3	2																		
1779	3	2																		
1780	3	2																		
1781	3	2																		
1782	3	2																		
1783	3	2																		
1784	3	2																		
1785	3	1	81	1	2	2	6	40	1	6	21	2		24	2	1	1	1	1	
1786	3	2																		
1787	3	2																		
1788	3	2																		
1789	3	2																		
1790	3	2																		
1791.1	3	2																		
1791.2	3	2																		
1791.3	3	2																		
1792	3	2																		
1793	3	2																		
1794	3	2																		
1795	3	2																		
1796	3	1	81	4	3	1	9	18	1	1	11	1	56		4		7	1	2	
1797.1	3	1	81	3	2	0	5	23	1	3	36	1	56		1		9	1	1	
1797.2	3	2																		
1798	3	1	81	5	3	3	2	26	1	5	7	1	18		1		1	1	1	
1799	3	2																		
1800	3	1	81	5	3	1	8	16	1	9	13	2		11	1		1	8	1	
1801	3	2																		
1802	3	2																		
1803	3	2																		
1804	3	2																		
1805	3	2																		
1806	3	2																		
1807	3	2																		
1808	3	2																		
1809	3	2																		
1810	3	2																		
1811	3	2																		
1812	3	1	81	3	3	2	3	33	1	5	13	1	11		4		1	1	2	
1812	3	1	82	4	4	2	3	21	2	5	82	1	11		4		9	1	2	
1813	3	2																		
1814	3	2																		
1815	3	2																		
1816	3	2																		
1817	3	2																		
1818	3	2																		
1820	3	2																		
1821	3	2																		
1822	3	2																		
1823	3	2																		
1824	3	2																		
1825	3	2																		
1826	3	2																		
1827	3	2																		
1828	3	2																		
1829	3	2																		
1830	3	2																		
1832	3	1	81	1	11	2	8	27	1	6	37	2		24	4		8	4	1	
1833	3	2																		
1834	3	2																		
1835	3	2																		
1836	3	2																		
1837	3	1	81	1	2	0	4	30	2	5	13	2		38	1		1	4	2	
1838	3	2																		
1839	3	2																		
1840	3	2																		
1841	3	2																		
1842	3	1	81	4	3	0	9	14	1	5	35	1	56		1		1	1	1	
1843.1	3	2																		
1843.2	3	2																		
1845	3	2																		
1846	3	2																		
1847	3	2																		
1848	3	2																		
1849	3	2																		
1850	3	2																		
1851	3	2																		
1852	3	2																		
1853	3	2																		
1854	3	2																		
1855	3	2																		
1856	3	2																		
1857	3	2																		
1858	3	2																		
1859	3	2																		
1860	3	2																		
1861	3	2																		
1862	3	2																		
1863	3	2																		
1864	3	2																		
1865	3	2																		
1866	3	2																		
1867	3	2																		
1868	3	2																		
1869	3	2																		
1870	3	2																		
1871	3	2																		
1872	3	2																		
1873	3	2																		
1874	3	2																		
1875	3	2																		
1876	3	2																		
1877	3	2																		
1878	3	2																		
1879	3	2																		
1880	3	2																		
1881	3	2																		
1882	3	2																		
1883	3	2																		
1884	3	2																		
1885	3	1	81	3	3	1	2	21	1	15	81	1	55		1		2	1	2	
1887	3	2																		
1888	3	2																		
1889	3	2																		
1890	3	2																		
1891	3	2																		
1892	3	2																		
1893	3	2																		
1894	3	2																		
1895	3	2																		
1896	3	2																		
1898	3	2																		
1899	3	2																		
1900	3	2																		
1901	3	2																		
1902	3	2																		
1903	3	2																		
1904	3	1	81	1	6	1	8	68	1	2	21	1	18		1		9	1	2	
1904	3	1	82	2	6	1	8	52	2	3	82	1	18		1		9	1	2	
1904	3	1	83	4	7	1	8	16	2	7	81	1	18		1		9	1	2	
1905	3	2																		
1906	3	2																		
1907	3	1	81	7	3	0	4	13	1	2	31	1	56		1		9	5	2	
1908	3	2																		
1909	3	2																		
1910	3	2																		
1911	3	2																		
1914	3	2																		
1915	3	2																		
1916	3	2																		
1917	3	2																		
1919	3	1	81	9	3	1	10	21	1	99	13	2		24	1		1	5	1	
1920	3	2																		
1921	3	2																		
1922	3	2																		
1923	3	2																		
1924	3	2																		
1926	3	2																		
1927	3	2																		
1928	3	2																		
1929	3	2																		
1930	3	2																		
1931	3	1	81	3	3	2	12	20	1	12	21	1	1		1		1	3	2	
1932	3	2																		
1933	3	2																		
1934	3	2																		
1935	3	2																		
1936	3	2																		
1937	3	2																		
1938	3	2																		
1939	3	1	81	1	2	0	8	33	1	5	7	2		27	1		1	5	1	
1940	3	1	81	3	3	2	8	28	1	10	21	2		20	1		1	4	1	
1941	3	2																		
1942	3	1	81	2	3	1	2	29	1	9	13	2		20	1		9	2	1	
1943	3	2																		
1944	3	2																		
1945	3	2																		
1946	3	1	81	5	7	1	0	22	1	12	21	1	45		1		1	2	2	
1947	3	1	81	3	3	2	2	25	2	12	72	1	45		1		3	3	2	
1948	3	2																		
1949	3	2																		
1950	3	2																		
1951	3	2																		
1952	3	1	81	3	3	0	7	18	1	9	13	2		20	2	3	1	3	1	
1953	3	2																		
1954	3	2																		
1955	3	2																		
1956	3	2																		
1957	3	2																		
1958	3	2																		
1959	3	2																		
1960	3	1	81	3	3	1	2	28	1	14	7	2		20	1		1	3	1	
1961	3	2																		
1962	3	2																		
1963	3	2																		
1964	3	2																		
1965	3	2																		
1966	3	2																		
1967	3	2																		
1968	3	2																		
1969	3	2																		
1970	3	2																		
1971	3	2																		
1973	3	2																		
1974	3	2																		
1976	3	2																		
1977	3	2																		
1978	3	2																		
1979	3	2																		
1980	3	2																		
1981	3	2																		
1982	3	2																		
1983	3	2																		
1984	3	2																		
1985	3	2																		
1986	3	2																		
1987	3	2																		
1988	3	2																		
1989	3	2																		
1991	3	2																		
1994	3	2																		
1995	3	2																		
1996	3	2																		
1997	3	2																		
1998	3	2																		
1999	3	2																		
2000	3	2																		
2001	3	2																		
2002	3	2																		
2003	3	2																		
2004	3	2																		
2005	3	2																		
2006	3	2																		
2007	3	2																		
2009	3	2																		
2010	3	2																		
2011	3	2																		
2012	3	2																		
2013	3	2																		
2014	3	2																		
2015	3	2																		
2016	3	2																		
2017	3	2																		
2018	3	2																		
2019	3	2																		
2020	3	2																		
2022	3	2																		
2023	3	2																		
2024	3	2																		
2025	3	2																		
2026	3	2																		
2027	3	2																		
2028	3	2																		
2029	3	2																		
2030	3	2																		
2031	3	2																		
2033	3	2																		
2034	3	2																		
2035	3	2																		
2036	3	2																		
2037	3	2																		
2038	3	2																		
2039	3	2																		
2040	3	2																		
2041	3	2																		
2042	3	2																		
2043	3	2																		
2044	3	2																		
2045	3	2																		
2046	3	2																		
2047	3	2																		
2048	3	2																		
2049	3	2																		
2051	3	2																		
2052	3	2																		
2053	3	2																		
2054	3	2																		
2055	3	2																		
2056	3	2																		
2057	3	2																		
2058	3	2																		
2059	3	2																		
2060	3	2																		
2061	3	2																		
2062	3	2																		
2063	3	2																		
2064	3	2																		
2066	3	2																		
2067	3	2																		
2068	3	2																		
2070	3	2																		
2071	3	2																		
2072	3	2																		
2073	3	2																		
2074	3	2																		
2075	3	2																		
2076	3	2																		
2077	3	2																		
2078	3	2																		
2079	3	2																		
2080	3	2																		
2081.1	2	2																		
2081.2	2	2																		
2082	2	2																		
2083	2	2																		
2085	2	2																		
2086	2	1	81	3	3	2	5	29	1	16	13	1	25		1		1	1	1	
2087	2	2																		
2088	2	2																		
2089	2	2																		
2090	2	2																		
2091	2	2																		
2092	2	2																		
2093	2	2																		
2094	2	2																		
2095.1	2	2																		
2095.2	2	2																		
2096	2	2																		
2097	2	2																		
2098	2	2																		
2099	2	2																		
2100	2	2																		
2101	2	2																		
2102	2	2																		
2103	2	2																		
2104	2	2																		
2105	2	2																		
2106	2	2																		
2107	2	2																		
2108	2	2																		
2109	2	2																		
2110	2	2																		
2111	2	2																		
2112	2	1	81	1	2	2	4	32	1	4	13	1	29		1		1	1	1	
2113	2	2																		
2114	2	2																		
2115	2	2																		
2116	2	2																		
2117	2	2																		
2118	2	2																		
2119	2	2																		
2120	2	2																		
2121	2	2																		
2122	2	2																		
2123	2	2																		
2124	2	2																		
2125	2	2																		
2126	2	2																		
2127	2	2																		
2128	2	2																		
2129	2	2																		
2130	2	2																		
2131	2	2																		
2132	2	2																		
2133	2	2																		
2134	2	2																		
2135	2	2																		
2136	2	2																		
2137	2	2																		
2138	2	2																		
2139	2	2																		
2140.1	2	2																		
2140.2	2	2																		
2141	2	2																		
2142	2	2																		
2143	2	2																		
2144	2	2																		
2145	2	2																		
2146	2	2																		
2147	2	1	81	1	1	1	3	32	1	5	11	1	30		1		8	5	1	
2147	2	1	82	2	2	1	3	24	2	8	82	1	30		1		8	5	1	
2148	2	2																		
2149	2	2																		
2150	2	2																		
2151	2	2																		
2152	2	2																		
2153	2	2																		
2154	2	2																		
2155	2	2																		
2157	2	2																		
2158	2	2																		
2159	2	2																		
2160	2	2																		
2161	2	2																		
2162	2	2																		
2163	2	1	81	2	2	1	0	39	2	12	82	1	1		1		5	3	2	
2163	2	1	82	3	3	1	0	17	1	9	81	1	1		1		5	3	2	
2164	2	2																		
2165	2	2																		
2166	2	2																		
2167	2	2																		
2168	2	1	81	2	3	1	3	16	1	8	13	1	2		1		1	1	1	
2169	2	2																		
2170	2	2																		
2171	2	2																		
2172	2	1	81	1	2	0	9	33	1	9	13	1	1		1		1	1	2	
2173	2	2																		
2174	2	2																		
2175	2	2																		
2176.1	2	2																		
2176.2	2	2																		
2177	2	2																		
2178.1	2	2																		
2178.2	2	2																		
2178.3	2	2																		
2179	2	2																		
2180	2	2																		
2181	2	1	81	1	2	2	1	31	1	7	7	1	1		1		1	1	1	
2182	2	2																		
2183	2	2																		
2184	2	2																		
2185	2	1	81	2	3	2	1	18	1	6	13	1	1		1		1	1	1	
2185	2	1	82	3	3	0	7	12	1	2	7	1	1		1		1	1	1	
2186	2	2																		
2187	2	2																		
2188	2	1	81	3	3	3	1	21	1	3	13	1	1		1		1	1	1	
2189	2	2																		
2190	2	2																		
2191	2	1	81	3	3	0	2	16	1	8	13	1	1		1		1	4	1	
2192	2	2																		
2193	2	2																		
2194	2	1	81	1	2	0	5	31	1	4	22	1	1		1		8	1	1	
2195	2	2																		
2196	2	2																		
2197	2	2																		
2198	2	1	81	1	2	2	3	66	1	9	2	1	61		1		1	1	1	
2199	2	2																		
2200	2	2																		
2201	2	2																		
2202	2	2																		
2203	2	2																		
2204	2	2																		
2205	2	2																		
2206	2	2																		
2207	2	2																		
2208	2	2																		
2209	2	2																		
2210	2	2																		
2211	2	2																		
2212	2	2																		
2213	2	2																		
2214	2	2																		
2215	2	2																		
2216	2	2																		
2217	2	2																		
2218	2	2																		
2219	2	2																		
2220.1	2	2																		
2220.2	2	2																		
2221	2	2																		
2222	2	2																		
2223	2	2																		
2224	2	2																		
2225	2	2																		
2226	2	2																		
2227	2	2																		
2228	2	2																		
2229	2	2																		
2230	2	2																		
2231.1	2	2																		
2231.2	2	2																		
2231.3	2	2																		
2232	2	2																		
2233	2	2																		
2234	2	2																		
2235.1	2	2																		
2235.2	2	2																		
2236	2	2																		
2237	2	2																		
2238	2	2																		
2239	2	2																		
2240	2	2																		
2241	2	2																		
2242	2	2																		
2243	2	2																		
2244	2	2																		
2245	2	2																		
2246	2	2																		
2247	2	2																		
2248	2	2																		
2249	2	2																		
2250	2	2																		
2251	2	2																		
2252	2	2																		
2253	2	2																		
2254	2	2																		
2255	2	2																		
2256	2	2																		
2258	2	2																		
2259	2	2																		
2260	2	2																		
2261	3	2																		
2262	3	2																		
2264	3	2																		
2265	3	2																		
2266	3	2																		
2267	3	2																		
2268	3	2																		
2269	3	2																		
2270	3	2																		
2271	3	2																		
2272	3	2																		
2273	3	2																		
2275	3	2																		
2276	3	2																		
2277	3	2																		
2278	3	2																		
2279	3	2																		
2280	3	2																		
2281	2	2																		
2282	2	2																		
2283	2	2																		
2284	2	2																		
2285	2	2																		
2286	2	1	81	2	2	1	2	26	2	8	7	2		41	1		8	3	1	
2287	2	2																		
2288	2	2																		
2289	2	2																		
2290	2	2																		
2291	2	2																		
2292	2	2																		
2293	2	2																		
2294	2	2																		
2295	2	2																		
2296	2	1	81	2	3	0	11	33	1	8	82	1	29		1		9	1	2	
2296	2	1	82	3	4	0	11	28	2	99	11	1	29		1		9	1	2	
2297	2	2																		
2298	2	2																		
2299	2	2																		
2300	2	2																		
2301	2	2																		
2302	2	2																		
2303	2	2																		
2304	2	2																		
2305	2	2																		
2306	2	1	81	3	3	1	2	29	1	7	21	1	29		1		1	1	1	
2307	2	2																		
2308	2	2																		
2309	2	2																		
2310	2	1	81	3	3	0	9	18	2	12	72	1	29		1		2	1	2	
2311.1	2	2																		
2311.2	2	2																		
2312	2	2																		
2313	2	1	81	3	3	2	2	22	1	12	13	1	1		4		1	1	2	
2313	2	1	82	4	3	0	8	15	2	5	82	1	29		1		3	2	2	
2314	2	1	81	3	3	1	1	18	1	74	10	1	35		1		2	1	2	
2315	2	2																		
2316	2	2																		
2317	2	2																		
2318	2	2																		
2319	2	2																		
2320	2	2																		
2321	2	2																		
2322	2	2																		
2323	2	1	82	3	3	2	10	25	2	14	72	1	29		1		3	2	2	
2323	2	1	81	5	3	1	11	18	1	12	72	1	30		1		2	2	2	
2324	2	2																		
2325	2	2																		
2327	2	1	81	4	4	2	0	25	2	12	72	1	29		1		9	1	2	
2327	2	1	82	6	5	2	0	16	2	3	72	1	29		4		9	1	2	
2328	2	2																		
2329	2	2																		
2330	2	2																		
2331	2	2																		
2332	2	2																		
2333	2	2																		
2334	2	2																		
2335	2	2																		
2336	2	2																		
2337	2	2																		
2338	2	2																		
2339	2	1	81	4	7	1	8	18	2	99	69	1	29		1		3	3	2	
2340	2	2																		
2341	3	2																		
2342	3	1	81	3	3	0	5	30	1	9	52	1	2		1		8	1	2	
2343	3	2																		
2344	3	2																		
2345	3	2																		
2346	3	2																		
2347	3	1	81	3	6	3	4	53	2	99	15	1	18		1		1	1	1	
2349	3	2																		
2350	3	2																		
2351	3	2																		
2352	3	2																		
2353	3	2																		
2354	3	2																		
2355	3	2																		
2356	3	2																		
2357	3	2																		
2358	3	1	81	3	5	2	4	15	1	99	7	1	55		1		1	2	1	
2359	3	2																		
2360	3	2																		
2361	3	2																		
2362	3	1	81	1	3	2	6	29	1	5	11	1	1		1		8	1	1	
2363	3	2																		
2364	3	1	81	1	2	3	4	30	1	7	11	1	1		1		8	1	1	
2365	3	2																		
2366	3	2																		
2367	3	1	81	2	3	2	8	17	1	5	13	1	20		1		1	1	1	
2368	3	2																		
2369	3	2																		
2370	3	1	81	1	2	2	2	29	1	99	22	1	1		1		8	1	1	
2371	3	2																		
2372	3	2																		
2373	3	1	81	1	2	2	8	31	1	99	52	1	1		1		8	1	1	
2374	3	1	81	1	2	2	9	33	1	3	11	1	1		1		1	1	1	
2374	3	1	82	3	3	1	1	13	1	5	11	1	1		1		1	2	2	
2375	3	1	81	1	2	1	8	42	1	4	11	1	1		1		8	1	1	
2376	3	2																		
2377	3	1	81	1	2	2	4	43	2	99	50	1	1		1		8	1	1	
2377	3	1	82	3	3	2	8	15	2	3	50	1	1		1		8	2	1	
2378	3	2																		
2379	3	2																		
2380	3	1	81	1	2	3	12	30	1	6	11	1	1		1		1	1	1	
2381	3	2																		
2382.1	3	2																		
2382.2	3	2																		
2383	3	2																		
2384	3	2																		
2386	3	2																		
2387	3	2																		
2388	3	2																		
2389	3	2																		
2390	3	1	81	2	7	0	7	22	1	7	7	1	55		1		1	1	1	
2391	3	2																		
2392	3	1	81	3	3	1	3	19	1	99	9	1	16		1		9	2	1	
2393	3	2																		
2394	3	2																		
2395	3	2																		
2396	3	2																		
2397	3	2																		
2398	3	2																		
2399	3	2																		
2400	3	2																		
2401	3	2																		
2402	3	2																		
2403.1	3	2																		
2403.2	3	2																		
2404	3	2																		
2405	3	2																		
2406	3	2																		
2408	3	2																		
2409	3	1	81	1	2	3	4	29	1	8	51	1	1		1		8	1	1	
2410	3	1	81	1	2	3	1	40	1	99	50	1	1		1		8	1	1	
2411	3	2																		
2412	3	2																		
2413	3	1	81	1	2	3	12	59	1	4	1	1	14		1		8	1	1	
2414	3	2																		
2416	3	2																		
2417.1	3	2																		
2417.2	3	2																		
2417.3	3	1	81	6	2	2	9	27	1	2	13	1	1		1		1	1	1	
2418	3	2																		
2419	3	2																		
2420	3	2																		
2421	3	2																		
2422	3	2																		
2423	3	2																		
2424	3	2																		
2427	3	2																		
2428	3	2																		
2429	3	2																		
2430	3	2																		
2432	3	2																		
2433	3	2																		
2434	3	1	81	3	3	3	2	8	1	1	5	1	23		1		2	2	2	
2435	3	1	81	1	2	3	3	43	1	4	52	1	1		1		8	1	1	
2436	3	2																		
2437	3	2																		
2438	3	1	81	3	5	2	6	14	2	6	21	1	1		1		1	2	1	
2439	3	2																		
2440	3	2																		
2441	3	2																		
2442	3	2																		
2443	3	2																		
2444	3	2																		
2445	3	2																		
2446	3	2																		
2448	3	2																		
2449	3	2																		
2450	3	2																		
2451	3	2																		
2452	3	2																		
2453	3	2																		
2454	3	1	81	4	3	0	6	10	2	2	72	1	6		1		1	3	1	
2454	3	1	82	5	3	0	4	8	2	1	72	1	14		1		1	1	2	
2455	3	2																		
2456	3	2																		
2457	3	2																		
2458	3	2																		
2459	3	2																		
2460	3	2																		
2461	3	2																		
2462	3	1	81	2	3	1	3	15	2	3	15	1	55		1		1	3	1	
2463	3	2																		
2464	3	2																		
2465	3	2																		
2466	3	2																		
2467	3	2																		
2468	3	1	81	1	2	1	10	45	1	10	21	1	2		1		1	1	1	
2469	3	1	81	1	2	1	2	51	1	9	33	1	1		1		8	1	1	
2470	3	2																		
2471	3	2																		
2472	3	2																		
2473	3	2																		
2474	3	2																		
2475	3	2																		
2476	3	2																		
2477	3	2																		
2478	3	1	81	6	7	0	7	23	1	9	9	1	1		1		9	3	2	
2479	3	2																		
2480	3	2																		
2481	3	1	81	4	3	0	6	15	1	2	21	1	1		1		1	1	1	
2482	3	2																		
2483	3	2																		
2485	3	2																		
2486	3	2																		
2487	3	2																		
2488	3	2																		
2489	3	2																		
2490	3	2																		
2491	3	2																		
2492	3	2																		
2493	3	2																		
2494	3	2																		
2495	3	2																		
2496	3	2																		
2497	3	2																		
2498	3	2																		
2499	3	2																		
2500	3	2																		
2501	3	2																		
2502	3	2																		
2504	3	2																		
2505	3	2																		
2506	3	2																		
2507	3	2																		
2508	3	2																		
2509	3	2																		
2510	3	2																		
2511	3	2																		
2512	3	2																		
2513	3	2																		
2514	3	2																		
2515	3	2																		
2516	3	2																		
2519	3	2																		
2521	3	2																		
2522	3	2																		
2523	3	2																		
2524	3	2																		
2525	3	2																		
2526	3	2																		
2527	3	2																		
2528	3	2																		
2529	3	2																		
2530	3	2																		
2531	3	2																		
2532	3	2																		
2533	3	1	81	1	2	0	9	33	1	99	1	1	1		1		9	1	1	
2534	3	2																		
2535	3	2																		
2536	3	2																		
2537	3	2																		
2538	3	1	81	3	3	2	3	15	1	5	37	1	1		1		9	4	1	
2539	3	2																		
2540	3	2																		
2541	3	2																		
2542	3	2																		
2543	3	2																		
2544	3	2																		
2546.1	3	2																		
2546.2	3	2																		
2547	3	1	81	1	2	2	3	41	1	99	57	1	17		1		1	1	1	
2548	3	2																		
2549	3	2																		
2550	3	2																		
2551.1	3	2																		
2551.2	3	2																		
2552	3	2																		
2553	3	2																		
2554	3	2																		
2555	3	2																		
2556	3	2																		
2557	3	2																		
2558	3	2																		
2560	3	2																		
2561	3	2																		
2562	3	1	81	1	2	1	8	53	1	5	21	1	1		1		1	1	1	
2562	3	1	82	3	3	1	8	23	1	9	21	1	1		1		1	1	1	
2563	3	2																		
2564	3	2																		
2565	3	2																		
2566	3	2																		
2567.1	3	2																		
2567.2	3	2																		
2568	3	2																		
2569	3	1	81	3	3	2	6	25	1	5	21	1	1		1		1	1	1	
2570	3	2																		
2572	3	2																		
2573	3	2																		
2574	3	1	81	1	2	0	5	28	1	99	13	1	25		1		1	1	1	
2575	3	2																		
2576	3	2																		
2578	3	2																		
2579	3	1	81	1	2	2	3	53	1	99	21	1	1		1		1	1	1	
2580	3	1	81	1	2	2	9	48	1	5	11	1	2		1		1	1	1	
2581	3	2																		
2582	3	2																		
2583	3	2																		
2584	3	2																		
2585	3	2																		
2586	3	2																		
2587	3	2																		
2588	3	2																		
2589	3	2																		
2590	3	2																		
2591	3	2																		
2592	3	2																		
2593	3	2																		
2594	3	2																		
2595	3	1	81	3	3	3	1	23	1	8	13	2		24	1		6	8	1	
2596	3	2																		
2597	3	2																		
2598	3	2																		
2599	3	1	81	3	3	2	6	26	1	5	12	2		38	2	1	1	10	1	
2600	3	2																		
2601	3	2																		
2602	3	2																		
2603	3	2																		
2604	3	2																		
2605	3	2																		
2606	3	2																		
2608	3	2																		
2609	3	2																		
2610	3	2																		
2611	3	2																		
2612	3	2																		
2613	3	2																		
2614	3	2																		
2615	3	2																		
2616	3	1	81	3	3	0	2	18	2	12	1	1	1		1		1	3	1	
2617	3	2																		
2618	3	2																		
2619	3	2																		
2620	3	2																		
2621	3	2																		
2622.1	3	2																		
2622.2	3	2																		
2623	3	2																		
2624	3	2																		
2625	3	2																		
2626	3	2																		
2627	3	2																		
2628	3	2																		
2629	3	2																		
2630	3	2																		
2631	3	2																		
2632	3	2																		
2633.1	3	2																		
2633.2	3	2																		
2634.1	3	2																		
2634.2	3	2																		
2635	3	2																		
2636	3	2																		
2637	3	2																		
2638	3	2																		
2639	3	2																		
2640	3	2																		
2641	3	2																		
2642	3	2																		
2643	3	2																		
2644	3	2																		
2645	3	2																		
2646	3	2																		
2648	3	2																		
2649	3	2																		
2650	3	2																		
2651	3	2																		
2652	3	2																		
2653	3	2																		
2654	3	2																		
2655	3	2																		
2656	3	2																		
2657	3	2																		
2658	3	2																		
2659	3	1	81	3	3	2	2	11	1	2	21	1	1		1		1	1	1	
2660	3	2																		
2661	3	2																		
2662	3	1	81	3	3	1	9	21	1	7	7	2		24	1		1	8	1	
2663	3	2																		
2664	3	2																		
2665	3	2																		
2666	3	2																		
2667	3	2																		
2668	3	2																		
2669	3	2																		
2670	3	2																		
2671	3	2																		
2672	3	1	81	4	3	2	1	14	1	4	1	1	1		1		1	1	1	
2673	3	2																		
2674	3	2																		
2675	3	2																		
2676	3	2																		
2678	3	2																		
2679	3	1	81	1	2	2	8	38	1	9	13	2		24	1		1	4	1	
2680	3	2																		
2681	3	2																		
2682	3	2																		
2683	3	2																		
2684	3	2																		
2685	3	2																		
2686	3	2																		
2687	3	2																		
2688	3	2																		
2689	3	2																		
2690	3	2																		
2691	3	2																		
2692	3	2																		
2694	3	2																		
2695	3	2																		
2696	3	2																		
2699	3	2																		
2700	3	2																		
2701	3	2																		
2702	3	2																		
2703	3	2																		
2704	3	2																		
2705	3	2																		
2706	3	2																		
2707	3	2																		
2708	3	2																		
2709	3	1	81	3	3	2	1	28	1	12	13	1	2		1		1	1	1	
2710	3	1	81	3	3	2	3	19	1	12	13	1	18		1		1	1	2	
2711	3	2																		
2712	3	2																		
2713	3	2																		
2714	3	2																		
2715	3	2																		
2716	3	2																		
2717	3	2																		
2718	3	2																		
2719	3	2																		
2720	3	2																		
2721	3	2																		
2722	3	2																		
2723	3	2																		
2724	3	2																		
2725	3	1	81	3	3	0	8	19	1	4	36	1	1		1		1	1	1	
2726	3	2																		
2727	3	1	81	1	6	2	6	48	1	9	13	1	18		1		1	1	1	
2728	3	2																		
2729	3	2																		
2730	3	2																		
2731	3	2																		
2732	3	2																		
2733	3	2																		
2734	3	2																		
2735	3	2																		
2736	3	2																		
2737	3	2																		
2740	3	2																		
2741	3	2																		
2742	3	2																		
2743	3	2																		
2744	3	2																		
2745.1	3	2																		
2745.2	3	2																		
2745.3	3	2																		
2745.4	3	2																		
2746.1	3	2																		
2746.2	3	2																		
2747.1	3	2																		
2747.2	3	2																		
2748	3	2																		
2749	3	2																		
2750	3	2																		
2751	3	2																		
2752	3	2																		
2753	3	2																		
2755	3	2																		
2756.1	3	2																		
2756.2	3	2																		
2757	3	2																		
2758	3	2																		
