a01	hh_type	v1_01	pid	mid	v1_02	v1_03	v1_04	v1_05	v1_06	v1_07	v1_08	v1_09	v1_10	v1_11	v1_15	v1_16	v1_12	v1_13	v1_14	Flag_v1
396	3	2																		
397	3	2																		
398	3	2																		
399	3	2																		
400	3	2																		
401	3	2																		
402	3	2																		
403	3	2																		
404	3	2																		
405	3	2																		
406	3	2																		
407	3	1	81	1	2	0	6	33	1	8	13	2		20	1		1	7	1	
408	3	2																		
409	3	2																		
410	3	2																		
411	3	2																		
412	3	2																		
413	3	2																		
414	3	2																		
415	3	2																		
416	3	2																		
417	3	2																		
418	3	2																		
419	3	2																		
420	3	2																		
421	3	2																		
422	3	2																		
423	3	2																		
424	3	2																		
425	3	2																		
426	3	2																		
427	3	2																		
428	3	2																		
429	3	2																		
430	3	2																		
431	3	2																		
432	3	2																		
433	3	2																		
434	3	2																		
435	3	2																		
436	3	2																		
437.1	3	2																		
437.2	3	2																		
438	3	2																		
439	3	2																		
440	3	1	81	1	14	0	1	48	1	99	13	2		20	1		1	4	2	
441	3	2																		
442	3	2																		
443	3	2																		
444	3	2																		
445	3	2																		
446	3	2																		
447	3	2																		
448	3	1	81	3	3	1	4	17	1	6	13	1	45		1		1	1	1	
449	3	2																		
450	3	2																		
451	3	2																		
452	3	2																		
453	3	2																		
454	3	2																		
455	3	2																		
456	3	2																		
457	3	2																		
458	3	2																		
459	3	2																		
460	3	2																		
461	3	2																		
462	3	2																		
463	3	1	81	3	3	3	4	20	1	10	13	2		29	2	3	1	7	1	
464	3	2																		
465	3	2																		
466	3	2																		
467	3	2																		
468	3	1	81	1	1	0	9	49	1	0	13	2		27	2	3	1	8	1	
469	3	2																		
470	3	2																		
471	3	2																		
472	3	1	81	1	2	2	0	45	1	2	22	1	1		1		8	1	1	
473	3	2																		
474.1	3	2																		
474.2	3	2																		
475	3	1	81	3	3	2	7	31	1	16	13	1	1		1		1	1	2	
476	3	2																		
477	3	2																		
478	3	2																		
479	3	2																		
480	3	2																		
481	3	2																		
482	3	2																		
483	3	2																		
484	3	2																		
485	3	2																		
486	3	2																		
487	3	2																		
488	3	2																		
489	3	2																		
490	3	2																		
491	3	2																		
492	3	2																		
493	3	2																		
494	3	2																		
495	3	2																		
496	3	2																		
497	3	2																		
498	3	2																		
499	3	2																		
500	3	2																		
501	3	2																		
502	3	2																		
503	3	2																		
504	3	2																		
505	3	2																		
506	3	2																		
507	3	2																		
508	3	2																		
509	3	2																		
510	3	2																		
511	3	2																		
512	3	2																		
513	3	2																		
514	3	2																		
515	3	2																		
516	3	2																		
517	3	2																		
518	3	2																		
519	3	2																		
520	3	2																		
521	3	2																		
522	3	2																		
523.1	3	2																		
523.2	3	1	81	4	2	2	3	18	1	99	11	1	23		1		9	3	1	
524	3	2																		
525	3	2																		
526	3	2																		
527	3	1	81	3	3	1	8	28	1	12	1	2		38	1		1	1	1	
528	3	1	81	2	3	1	0	33	1	6	3	1	56		1		8	1	1	
529	3	2																		
530	3	2																		
531	3	2																		
532	3	2																		
533	3	2																		
534	3	2																		
535	3	2																		
536	3	2																		
537	3	2																		
538	3	1	81	1	2	2	1	27	1	99	7	2		24	2	2	1	2	1	
539	3	2																		
540	3	1	81	3	3	2	4	25	1	99	7	2		38	2	2	1	2	1	
541	3	2																		
542	3	1	81	1	7	2	10	43	1	10	13	1	1		1		1	2	1	
542	3	1	82	2	11	2	10	35	2	8	82	1	1		1		9	2	2	
542	3	1	83	3	8	2	10	11	1	5	81	1	1		1		9	2	2	
542	3	1	84	4	8	2	10	4	1	3	81	1	1		1		9	2	2	
543	3	1	81	1	2	2	10	43	1	12	7	2		2	2	1	1	4	1	
544	3	2																		
545	3	2																		
547	3	1	81	1	2	2	8	43	1	12	13	1	23		1		1	1	1	
548	3	2																		
549	3	2																		
551	3	2																		
552	3	2																		
553	3	1	81	7	3	2	8	28	1	99	50	1	18		1		8	2	1	
554	3	2																		
555	3	2																		
556	3	2																		
557	3	1	81	4	3	2	1	10	2	2	81	1	25		1		9	3	2	
558	3	1	81	3	3	2	6	13	1	99	28	1	18		1		1	1	1	
559	3	2																		
560	3	2																		
562	3	2																		
563	3	1	81	3	3	0	6	20	1	4	8	1	1		1		1	2	1	
564	3	2																		
565	3	2																		
566	3	1	81	2	2	1	8	43	2	99	13	1	23		1		1	1	1	
566	3	1	82	5	3	1	8	18	2	99	13	1	23		1		1	1	2	
566	3	1	83	6	3	1	8	13	1	1	13	1	23		1		1	1	2	
566	3	1	84	7	3	1	8	8	2	99	10	1	23		1		1	3	2	
567	3	1	81	5	7	4	0	33	1	5	21	1	23		1		1	2	1	
569	3	2																		
