a01	rid	n01	bid	n02	n03a	n03b	n03c	n04a	n04b	n04c	n05	n06a	n06b	n07	n08a	n08b	n08c	n09a	n09b	n09c	n10a	n10b	n10c	n11a	n11b	n11c	n12a	n12b	n12c	n13	n14	n15	n16	n17a	n17b	n18	n19	n20a	n20b	n21	n22a	n22b	sample_type
1580	1	1	1	29	1			1			30000	12	4	1							1			1			1			2	12.0	100.0	100.0	1		2	3	2		0	1		3
1581	1	2																																									3
1582	1	2																																									3
1583	1	2																																									3
1584	1	1	1	30	1			1			84000	5	0	2	1			1			1			1			1			2	12.0	100.0	100.0	1		3	3	2	8	0	2	5	3
1585	1	2																																									3
1586	1	2																																									3
1587	1	2																																									3
1588	1	1	1	30	1			1			8000	2	5	1							1			1			1			1	4.0	100.0	100.0	1		3	2	2		0	2		3
1589	1	2																																									3
1590	1	2																																									3
1591	1	2																																									3
1592	1	1	1	22	1			1			30000	15	3	1							1			1			1			3	4.0	100.0	100.0	1		3	3	3		0	2		3
1593	1	2																																									3
1594	1	2																																									3
1595	1	2																																									3
1596	1	2																																									3
1597	1	2																																									3
1598	1	2																																									3
1599	1	2																																									3
1600	1	1	1	30	1	2		71			3500	2	3	1							71			71			71			3	12.0	100.0	100.0	1		1	2	1		0	2	8	3
1600	1	1	2	30	1	2		71			10000	1	5	1							71			71			71			1	12.0	100.0	100.0	1		1	2	1		0	2	8	3
1601	1	2																																									3
1602	1	2	1	29	1			1			4000	20	2	1							1			1			1			2	12.0	100.0	100.0	1		4	2	3		0	2		3
1603	1	2																																									3
1604	1	1	1	30	1			1			15000	5	1	1							1			1			1			2	12.0	100.0	100.0	1		3	1	9		1	1		3
1605	1	1	1	29	1			1			15000	10	2	1							1	2		1	2		1			2	12.0	100.0	100.0	1		3	2	2		0	1		3
1606	1	2																																									3
1607	1	2																																									3
1608	1	1	1	30	3			3			24000	1	2	1							3			3			3			2	6.0	100.0	100.0	1		2	2	2		0	1		3
1609	1	1	1	29	1			1			150000	16	4	1							1			1			1			2	12.0	100.0	100.0	1		4	2	2		1	1		3
1610	1	2																																									3
1611	1	2																																									3
1612	1	1	1	29	1			1			120000	1	10	1							1			1			1			2	10.0	100.0	100.0	1		4	2	2		2	1		3
1613	1	1	1	29	1			1	5		120000	15	2	1							1	5		1	5		1			2	12.0	100.0	100.0	1		4	2	2	6	3	1		3
1614	1	1	1	29	1			1			100000	18	6	1							1	3		1	3		1			2	12.0	100.0	100.0	1		4	1	2	3	2	1		3
1615	1	2																																									3
1616	1	1	1	29	1			1			60000	4	3	1							1			1			1			2	12.0	100.0	100.0	1		3	2	2		0	2		3
1617	1	2																																									3
1618	1	2	1	29	1			1			70000	2	3	1							1			1			1			2	12.0	100.0	100.0	1		4	2	2		1	1		3
1619	1	2																																									3
1620	1	2																																									3
1621	1	2																																									3
1622	1	1	1	28	1			1			60000	1	6	2	1			1			1			1			1			1	6.0	100.0	100.0	4		4	2	2		0	1		3
1623	1	2																																									3
1624	1	2																																									3
1625	1	2																																									3
1626	1	1	1	30	1			1			18000	2	8	1							1			1			1			2	1.0	100.0	100.0	1		3	2	2		0	1		3
1627	1	2																																									3
1628	1	1	1	30	1			1			18000	3	10	1							1			1			1			2	10.0	100.0	100.0	1		3	2	1	3	0	1		3
1629	1	2																																									3
1630	1	2																																									3
1631	1	2																																									3
1632	1	2																																									3
1633	1	2																																									3
1634	1	2																																									3
1635	1	2																																									3
1636	1	2																																									3
1637	1	2																																									3
1638	1	2																																									3
1639	1	1	1	29	1			1			20000	8	4	1							1			1			1			2	12.0	100.0	100.0	4		3	2	2		0	2		3
1639	1	1	2	30	1			1			20000	10	2	1							1			1			1			2	12.0	100.0	100.0	4		3	2	2		0	2		3
1639	1	1	3	39	1			1			10000	10	2	2	1			1			1			1			1			2	6.0	100.0	100.0	4		1	2	2		0	1		3
1640	1	2																																									3
1641	1	2																																									3
1642	1	2																																									3
1643	1	1	1	21	1			1			84000	4	8	1							1			1			1			3	8.0	100.0	100.0	1		3	2	2	8	0	1		3
1644	1	2																																									3
1645	1	2																																									3
1646	1	2																																									3
1647	1	2																																									3
1648	1	2																																									3
1649	1	1	1	29	1			1			40000	10	8	1							1	3		1	3		1			2	12.0	100.0	100.0	1		3	2	2		0	1		3
1650	1	1	1	28	1			1			100000	1	8	1							1			1			1			1	12.0	100.0	100.0	3		1	2	9		0	1		3
1651	1	1	1	29	1			1			100000	0	6	1							1			1	3		1	3		2	6.0	100.0	100.0	1		4	2	2		0	1		3
1652	1	2																																									3
1653	1	2																																									3
1654	1	2																																									3
1655	1	2																																									3
1656	1	2																																									3
1657	1	2																																									3
1658	1	2																																									3
1659	1	2																																									3
1660	1	2																																									3
1661	1	2																																									3
1662	1	2																																									3
1663	1	1	1	29	5			5			60000	10	2	2	5			5			5			5			5			2	12.0	100.0	100.0	1		4	2	2		0	1		3
1664	1	2																																									3
1665	1	2																																									3
1666	1	1	1	30	1			1			200000	15	3	1							1			1			1			2	12.0	100.0	100.0	1	3	4	1	2	3	2	1		3
1667	1	2																																									3
1668	1	1	1	4	1	3		1			20000	2	6	1							1	72		1	72		1			1	12.0	100.0	100.0	3		1	2	2		2	1		3
1669	1	2																																									3
1670	1	2																																									3
1671	1	2																																									3
1672	1	2																																									3
1673	5	1	1	29	5			5			60000	2	2	1							5			5			5			2	12.0	100.0	100.0	1		2	2	1		0	1		3
1674	1	1	1	10	1			1			48000	5	1	1							1			1			1			3	12.0	0.0	100.0	1		3	2	12		0	1		3
1675	1	2																																									3
1676	1	2																																									3
1677	1	1	1	30	1			1			800000	4	5	1							1			1			1			3	12.0	100.0	100.0	1		3	2	2		0	1		3
1678	1	2																																									3
1679	1	2																																									3
1680	1	1	1	28	1			1			60000	1	6	2	1			1			1			1			1			2	6.0	100.0	100.0	4		4	2	2		0	14		3
1681	1	2																																									2
1682	1	2																																									2
1683	1	2																																									2
1684	1	2																																									2
1685	1	2																																									2
1686	1	2																																									2
1687	1	1	1	30	1			1			60000	7	1	1							1			1			1			3	2.0	100.0	100.0	1		2	3	4		1	8		2
1688	1	2																																									2
1689	1	1	1	28	1			1			600000	30	0	1							1			1	3		1			2	12.0	100.0	100.0	1	3	3	1	3		2	15		2
1689	1	1	2	30	1			1			60000	2	0	1							1			3			1			1	6.0	100.0	100.0	1	3	1	2	8		1	15		2
1690	1	2																																									2
1691	1	1	1	29	1			1			54000	10	7	1							1			1			1			2	12.0	100.0	100.0	1		3	2	2		0	2		2
1691	1	1	2	22	3			3			60000	7	6	1							3			3			3			2	12.0	100.0	100.0	1		3	2	8		2	1		2
1692	1	1	1	30	1			1			57600	0	6	1							1			1			1			3	6.0	100.0	100.0	1		3	2	2		0	1		2
1692	1	1	2	39	4			4			12000	4	1	1							4			4			4			2	6.0	100.0	100.0	1		2	2	2		0	1		2
1693	1	2																																									2
1694	1	2																																									2
1695	1	2																																									2
1696	1	2																																									2
1697	1	2																																									2
1698	1	1	1	39	1			1			40000	12	0	1							1			1			1			3	12.0	100.0	100.0	1		2	3	2		0	1		2
1699	1	1	1	39	1			1			80000	8	0	1							1			1			1			3	12.0	100.0	100.0	1		2	3	2		0	1		2
1700	1	2																																									2
1701	1	2																																									2
1702	1	1	1	30	1			1			60000	15	0	1							1			1			1			3	12.0	100.0	100.0	1		2	2	2		0	1		2
1702	1	1	2	30	3			3			72000	2	8	1							3			3			3			3	12.0	100.0	100.0	1		2	2	2		0	1		2
1703	1	2																																									2
1704	1	1	1	23	1			1			72000	9	6	1							1			1			1			3	12.0	100.0	100.0	4		5	3	2		1	1		2
1705	4	1	1	29	4			4			48000	30	6	1							4			4	5		4			2	12.0	100.0	100.0	1		2	2	2		0	1		2
1706	1	1	1	29	1			1			10000	1	2	1							1			1			1			2	4.0	100.0	100.0	1		2	3	2		0	1		2
1706	1	1	2	23	1			1			56000	6	6	1							1			1			1			3	12.0	100.0	100.0	1		2	3	2		0	1		2
1707	1	2																																									2
1708	1	1	1	2	1			1			100000	3	6	1							1			1			1			2	12.0	100.0	100.0	1		4	3	2		0	1		2
1708	1	1	2	29	3			3			144000	9	4	1							1			1			3			3	12.0	100.0	100.0	1		5	3	2		0	1		2
1709	1	2																																									2
1710	1	2																																									2
1711	3	1	1	30	3			3			150000	1	2	1							3			3			3			2	12.0	100.0	100.0	1		4	2	11		1	1		2
1712	1	2																																									2
1713	1	2																																									2
1714	1	1	1	30	1			1			120000	13	7	1							1			1			1			2	12.0	100.0	100.0	1		4	1	2	3	0	1		2
1715	1	1	1	22	1			1			96000	10	3	1							1			1			1			2	12.0	100.0	100.0	1		4	2	2		1	1		2
1716	1	1	1	30	1			1			30000	5	6	1							1			1			1			2	12.0	100.0	100.0	1		4	3	11		0	1		2
1717	1	2																																									2
1718	1	2																																									2
1719	1	2																																									2
1720	1	1	1	23	1			1			30000	20	0	1							1			1			1			3	6.0	100.0	100.0	1		5	3	1		0	1		2
1721	1	1	1	30	1			1			12000	0	3	2	1			1			1			1			1			2	3.0	100.0	100.0	1		2	2	8		0	2		2
1722	1	2																																									2
1723	1	2																																									2
1724	1	2																																									2
1725	1	2																																									2
1726	1	2																																									2
1727	1	1	1	31	1			1			36000	6	0	1							1			1			1			3	12.0	100.0	100.0	1		3	2	8		0	1		2
1728	1	1	1	30	1			1			3000	0	3	1							1			1			1			1	3.0	100.0	100.0	1		1	2	2		0	1		2
1729	1	1	1	30	1			1			36000	5	6	1							1			1			1			3	6.0	100.0	100.0	1		2	3	2		0	1		2
1730	1	2																																									2
1731	1	1	1	30	1			1			49200	4	0	1							1			1	3		1			2	9.0	100.0	100.0	1		2	2	3		0	5		2
1732	1	1	1	29	1			1			6000	2	10	1							1			1			1			2	10.0	100.0	100.0	1		2	2	2		0	2		2
1733	1	2																																									2
1734	1	2																																									2
1735	1	1	1	38	1			1			45000	15	0	1							1			1			1			3	12.0	100.0	100.0	1		3	3	2		0	1		2
1736	1	2																																									2
1737	1	1	1	30	1			1			5000	5	4	1							1			1			1			1	12.0	100.0	100.0	1		1	3	2		0	1		2
1738	1	2																																									2
1739	1	2																																									2
1740	1	2																																									2
1741	1	2																																									3
1742	1	2																																									3
1743	1	1	1	29	1			1			60000	20	0	1							1	4		1	4		1			2	12.0	100.0	100.0	1		2	2	2		0	1		3
1744	1	2																																									3
1745	1	1	1	2	1			1			3800	6	0	1							1			1			1			3	3.0	100.0	100.0	1		1	2	2		0	1		3
1746	1	2																																									3
1747	1	1	1	2	1			1			2800	7	0	1							1			1			1			3	2.0	100.0	100.0	1		1	2	2		0	1		3
1748	1	2																																									3
1749	1	2																																									3
1750	1	2																																									3
1751	1	2																																									3
1752	1	2																																									3
1753	1	2																																									3
1754	1	1	1	29	1			1			18000	20	0	1							1	4		1	4		1			1	12.0	100.0	100.0	1		1	2	2		0	1		3
1755	1	1	1	30	1			1			5000	4	0	1							1			1			1			3	6.0	0.0	100.0	1		5	2	1	2	0	2		3
1756	1	2																																									3
1757	1	1	1	2	1			1			12000	10	0	1							1			1			1			2	5.0	100.0	100.0	1		1	2	2		0	2		3
1758	1	2																																									3
1759	1	2																																									3
1760	1	1	1	31	1			72			48000	15	0	1							1			1			1			3	12.0	0.0	100.0	1		5	2	12		0	1		3
1761	1	2																																									3
1762	1	2																																									3
1763	1	1	1	4	72			72			5000	10	0	1							1			1			1	72		1	7.0	0.0	50.0	1	2	1	2	12		0	1		3
1764	1	1	1	30	1			1			30000	12	6	1							1			1			1			3	7.0	100.0	100.0	1	3	1	2	2	3	0	2		3
1765	1	1	1	30	1			1			36000	0	2	2	1			1			1			1			1			3	6.0	100.0	100.0	1		4	2	2	3	0	2		3
1765	1	1	2	30	1			1			10000	0	2	1							1			1			1			3	2.0	100.0	100.0	1		1	2	2		0	1		3
1766	1	2																																									3
1767	1	2																																									3
1768	1	1	1	15	1			1			36000	25	0	1							1			1			1			3	12.0	100.0	100.0	1		2	2	1		0	2		3
1768	1	1	2	15	3			3			54000	3	0	1							3			3			3			2	12.0	100.0	100.0	1		2	2	6		0	2		3
1769	1	2																																									3
1770	1	2																																									3
1771	1	1	1	29	1	2		1			60000	8	2	1							1			1			1			3	12.0	100.0	100.0	1		3	2	10		0	2		3
1771	1	1	2	23	2	1		1	2		4000	3	4	1							2	1		2	1		1			2	2.0	100.0	100.0	1		3	2	2		0	2		3
1772	1	2																																									3
1773	1	1	1	29	1			1			96000	8	0	1							1			1			1			2	12.0	100.0	100.0	1		3	2	2		0	1		3
1774	1	2																																									3
1775	1	2																																									3
1776	1	2																																									3
1777	1	2																																									3
1778	1	2																																									3
1779	1	1	1	25	1			1			15600	2	0	1							1			1			1			2	12.0	100.0	100.0	1		3	2	2		0	1		3
1780	1	2																																									3
1781	1	2																																									3
1782	1	1	1	2	1			1			100000	4	2	1							1			72			1			3	4.0	100.0	100.0	1		4	2	1		0	1		3
1782	1	1	2	30	1			1			60000	5	0	1							1			1	6		1			2	12.0	100.0	100.0	1		2	1	1	3	1	1		3
1783	1	1	1	13	1			1			48000	10	0	1							1			1			1			2	12.0	100.0	100.0	1		3	2	12		0	1		3
1784	1	2																																									3
1785	1	1	1	7	1			1			900000	5	0	1							1			1			1			2	12.0	100.0	100.0	1		2	2	10	2	1	1		3
1786	1	2																																									3
1787	1	2																																									3
1788	1	2																																									3
1789	1	1	1	30	1			1			144000	13	6	1							1	6	7	1	6	7	1			2	12.0	100.0	100.0	2		2	1	1		2	1		3
1790	1	2																																									3
1791	1	2																																									3
1792	1	2																																									3
1793	1	1	1	39	1			1			30000	20	0	1							1			1	72		1			3	6.0	100.0	100.0	1		1	3	2		0	1		3
1794	1	1	1	30	1			1			84000	10	0	1							1			1			1			3	12.0	100.0	100.0	1		3	2	2	10	0	2		3
1795	1	2																																									3
1796	1	2																																									3
1797	1	1	1	30	3			3			40000	1	0	1							3			3			3	2	1	3	10.0	100.0	100.0	1		2	2	2		0	1		3
1798	1	1	1	30	1			1			48000	1	6	1							1	72		1	72		1			2	12.0	100.0	100.0	1	3	2	2	3	2	0	2		3
1798	1	1	2	30	3			3			60000	5	0	1							3			3			3	1		3	12.0	100.0	100.0	1		4	2	2		0	2		3
1799	1	2																																									3
1800	1	2																																									3
1801	1	1	1	31	1			1			84000	4	0	1							1	72		1	72		1			3	12.0	100.0	100.0	1	3	3	1	2		0	11		3
1802	1	2																																									3
1803	1	2																																									3
1804	1	1	1	31	1			1			54000	12	0	1							1			1			1			3	12.0	0.0	80.0	1		3	1	12		0	1		3
1805	1	1	1	30	1			1			60000	20	1	1							1			1			1			2	12.0	100.0	100.0	1		3	2	2	3	0	2		3
1806	1	1	1	29	1			1			84000	11	0	1							1	4		1	4		1			2	12.0	100.0	100.0	1		3	2	2	3	1	2		3
1807	1	2																																									3
1808	1	1	1	31	1			1			72000	20	0	1							1			1			1			3	12.0	100.0	100.0	1		3	1	2	7	0	14		3
1809	1	1	1	31	1			1			144000	10	0	1							1			1			1			3	12.0	100.0	100.0	1		3	1	1		3	1		3
1810	1	2																																									3
1811	1	1	1	29	1			1			72000	6	0	1							1			1			1			2	12.0	100.0	100.0	1		3	2	2		0	1		3
1812	1	1	1	29	2			2			6000	10	0	1							2			2			2			1	12.0	100.0	100.0	1		1	2	2		0	1		3
1813	1	1	1	29	2			2			6000	3	0	1							2			2			2			1	12.0	100.0	100.0	1		1	2	2		0	1		3
1814	1	2																																									3
1815	1	1	1	26	1			1			18000	12	0	1							1	72		1	72		1	72		2	5.0	50.0	50.0	1		1	2	2		0	2		3
1815	1	1	2	22	2			2			6000	10	0	1							2			2			1	2		1	12.0	100.0	100.0	1		1	2	2		0	2		3
1816	1	1	1	30	1			1			3000	15	0	1							1			1			1			3	1.0	100.0	100.0	1		2	2	2		0	1		3
1817	1	1	1	26	1			1			75000	2	6	1							1			1	72		1			2	8.0	100.0	100.0	1		1	2	2		0	1		3
1817	1	1	2	30	1			1			10000	1	3	1							1			1			1			2	2.0	100.0	100.0	1		3	2	2		0	1		3
1818	1	2																																									3
1819	1	1	1	29	1			1			1500	0	9	2	1			1			1			1			1			3	3.0	100.0	100.0	1		2	2	8		0	2		3
1820	1	2																																									3
1821	1	2																																									3
1822	1	1	1	29	1			1			120000	11	6	1							1			1			1			2	12.0	100.0	100.0	1		3	1	1	2	0	1		3
1822	1	1	2	30	4			4			72000	5	0	1							4			4			4			3	12.0	100.0	100.0	1		5	2	1	2	0	1		3
1823	1	1	1	29	1			1			36000	3	0	1							1			1			1			2	12.0	100.0	100.0	1		2	2	2		0	1		3
1824	1	1	1	29	1			1			36000	11	0	1							1			1			1			2	12.0	100.0	100.0	1		2	2	2		0	1		3
1825	1	2																																									3
1826	1	1	1	31	1			1			72000	8	0	1							1			1			1			3	12.0	100.0	100.0	1		5	2	2		0	1		3
1827	1	2																																									3
1828	1	1	1	29	1			1			48000	6	0	1							1			1			1			3	12.0	100.0	100.0	1		5	2	2	8	0	2	15	3
1829	1	2																																									3
1830	1	2																																									3
1831	1	2																																									3
1832	1	1	1	6	1			1			75000	5	6	1							1			1			1	4		3	10.0	100.0	100.0	1	3	5	2	2		0	1		3
1833	1	1	1	30	1			1			108000	3	0	1							1			1	72		1			2	12.0	100.0	100.0	1	3	5	2	2	3	0	1		3
1834	1	1	1	31	1			1			24000	9	0	1							1			1			1	2		3	8.0	100.0	100.0	1		5	1	2		0	1		3
1835	1	1	1	30	1	72		1	72		72000	10	0	1							1	72		1	72		1	72		3	6.0	50.0	50.0	1		3	2	1		0	2		3
1836	1	2																																									3
1837	1	2																																									3
1838	1	1	1	30	1	72		1	72		120000	5	4	1							1	72		1	72		1	72		3	12.0	25.0	25.0	1		5	2	8	2	0	1		3
1839	1	1	1	4	1			1			36000	1	6	1							1	4		1	4		1			3	12.0	100.0	100.0	1		1	2	8	2	0	1		3
1839	1	1	2	4	1			1			18000	4	0	1							1			1	4		1			3	12.0	100.0	100.0	1		1	2	2		0	1		3
1839	1	1	3	4	1			1			36000	3	4	1							1			1	4		1			3	12.0	100.0	100.0	1		1	2	2		0	1		3
1840	1	2																																									3
1841	1	2																																									3
1842	1	1	1	31	1			1			60000	20	0	1							1			1			1			3	12.0	0.0	100.0	1		5	1	12		0	1		3
1843	1	2																																									3
1844	1	2																																									3
1845	1	2																																									3
1846	2	1	1	4	2			2	72		24000	12	0	2	98			98			2			2			2			1	12.0	100.0	100.0	1		1	2	2		0	1		3
1847	1	2																																									3
1848	1	2																																									3
1849	1	2																																									3
1850	1	1	1	29	1			1			36000	5	0	1							1			1			1			2	6.0	100.0	100.0	1		3	2	2	6	0	1		3
1851	1	2																																									3
1852	1	1	1	29	1	2		1			18000	0	6	1							1	2		1	2		1	2		1	6.0	100.0	100.0	1		1	2	8		0	2		3
1853	1	2																																									3
1854	1	2																																									3
1855	1	2																																									3
1856	1	2																																									3
1857	1	2																																									3
1858	1	2																																									3
1859	1	1	1	30	1	2		1	2		30000	4	0	2	1	2		1	2		1			1			1	2		2	3.0	33.0	33.0	1		5	2	2		0	1		3
1859	1	1	2	30	1	2		1	2		14000	4	0	2	1	2		1	2		1			1			1	2		3	4.0	17.0	17.0	1		5	2	2		0	1		3
1860	1	1	1	31	5			5			30000	0	6	1							5			5			5	1		3	6.0	100.0	100.0	1		5	2	2		0	1		3
1861	1	1	1	30	1			1			9000	3	0	1							1			1			1			1	9.0	100.0	100.0	1		2	2	2		0	1		3
1862	1	1	1	30	72			72			12000	1	0	2	72			72			72			72			72			3	2.0	100.0	100.0	1	2	3	2	2		0	1		3
1863	1	2																																									3
1864	1	2																																									3
1865	1	1	1	31	5			5			60000	6	0	1							5			5			5			3	12.0	100.0	100.0	1		2	2	12		0	1		3
1866	1	2																																									3
1867	1	1	1	29	1			1			72000	4	0	1							1			1			1			3	10.0	100.0	100.0	1		5	2	2	7	0	1		3
1868	1	2																																									3
1869	1	2																																									3
1870	1	1	1	30	1			1			3000	5	0	1							1			1			1			3	2.0	100.0	100.0	3		4	2	2		0	1		3
1871	1	2																																									3
1872	1	1	1	29	1			1			84000	7	0	1							1			1			1			2	12.0	100.0	100.0	1		3	2	2	6	0	2		3
1873	1	1	1	30	1			1			180000	9	0	1							1			1			1			3	12.0	100.0	100.0	1	2	1	1	1	2	0	1		3
1873	1	1	2	29	6			6			120000	6	0	1							6			6			6			2	12.0	100.0	100.0	1		3	2	1		0	1		3
1874	1	1	1	30	3			3	72		120000	7	0	1							3	72		3	72		3			3	12.0	15.0	15.0	2	3	4	1	2		0	2		3
1874	1	1	2	29	1			1			120000	30	0	1							1			1			1			2	12.0	100.0	100.0	1		2	1	2		2	2		3
1875	1	2																																									3
1876	1	1	1	29	1			1			6000	2	2	2	1			1			1			1			1			1	6.0	100.0	100.0	1		1	2	1		0	11		3
1877	1	2																																									3
1878	1	2																																									3
1879	1	2																																									3
1880	1	2																																									3
1881	1	1	1	23	1	2		1	2		180000	1	8	1							1			1	72		1	2		2	12.0	100.0	100.0	1		3	1	5	8	7	1		3
1882	1	2																																									3
1883	1	1	1	29	1	5		1			7500	0	3	1							5			5			1	5		2	3.0	100.0	100.0	1		3	1	1	6	0	2		3
1883	1	1	2	29	1	6		1	6		180000	4	2	1							1	6		1	6		1			2	12.0	100.0	100.0	1		3	1	1		0	2		3
1884	1	1	1	30	1			1			54000	5	0	1							1			1			1			1	12.0	100.0	100.0	1		1	2	2	3	0	11		3
1885	1	2																																									3
1886	1	2																																									3
1887	1	2																																									3
1888	1	2																																									3
1889	1	2																																									3
1890	1	1	1	30	1	72		1	72		96000	2	0	1							1	72		1	72		1	72		2	12.0	12.5	12.5	1	2	5	1	2	7	0	5	11	3
1891	1	1	1	29	1			1			96000	19	0	1							1	72		1	72		1			2	12.0	100.0	100.0	1	3	3	1	2	3	1	2		3
1891	1	1	2	22	1			1			84000	22	0	1							1	72		1	72		1			2	12.0	100.0	100.0	1	3	3	1	2	6	0	11		3
1891	1	1	3	29	1	72		1	72		160000	6	5	1							72			72			1	72		2	12.0	25.0	25.0	1	3	4	1	2	3	4	1		3
1892	1	1	1	22	2			2			24000	10	0	1							2			2			2	1		1	12.0	100.0	100.0	1		1	2	2		0	1		3
1893	1	1	1	29	1			1			60000	4	0	1							1			1			1			3	1.0	100.0	100.0	1		3	2	2	7	0	1		3
1894	1	1	1	31	1			1			3000	0	1	1							1			1			1			3	1.0	100.0	100.0	1	2	5	1	8		0	1		3
1895	1	1	1	30	1			1			120000	10	6	1							1			1			1			3	12.0	100.0	100.0	1	2	3	2	2		0	1		3
1896	1	1	1	29	1			1			48000	10	6	1							1			1			1			2	12.0	100.0	100.0	1		3	2	2		0	1		3
1896	1	1	2	30	1			1			24000	3	0	1							1			1			1			2	12.0	100.0	100.0	1		3	2	12		0	1		3
1896	1	1	3	30	3			3			9600	4	0	1							3			3			3			1	12.0	100.0	100.0	1		3	2	1		0	1		3
1896	1	1	4	22	4			4			16800	3	0	1							4			4			4			1	12.0	100.0	100.0	1		3	2	1		0	1		3
1897	1	1	1	29	3			3			120000	3	4	1							3			3			3			2	12.0	100.0	100.0	1		3	2	1		0	1		3
1898	1	1	1	29	1			1			72000	4	8	1							1			1			1			2	12.0	100.0	100.0	1		3	2	8		0	1		3
1899	1	1	1	23	1			1			60000	7	0	1							1			1			1			2	12.0	100.0	100.0	1		3	2	2		0	1		3
1900	1	1	1	30	1			1			180000	9	0	1							1	72		1	72		1			2	12.0	100.0	100.0	1	3	3	1	2	7	2	5		3
1900	1	1	2	30	3	4		1	3	4	192000	10	6	1							3	4		3	4		3	1		2	12.0	100.0	100.0	1	2	3	1	2	3	0	7	8	3
1901	1	1	1	30	1			1			48000	3	0	1							1			1			1			3	12.0	100.0	100.0	1		4	2	2	10	0	1		3
1901	1	1	2	26	1			1			2500	4	0	1							1			1			1			2	2.0	100.0	100.0	1		3	2	2		0	1		3
1902	1	2																																									3
1903	1	1	1	2	1			1			42000	12	0	1							1			1			1			3	9.0	100.0	100.0	1		3	2	2	10	0	1		3
1904	1	1	1	2	1	3		1	3		22000	10	0	1							1	3		1	3		1	3		3	6.0	100.0	100.0	1		3	2	2		0	1		3
1905	1	1	1	2	1			1			8000	18	0	1							1			1			1			1	5.0	100.0	100.0	1		1	2	2		0	1		3
1906	1	1	1	4	1	3		1	3		15000	10	0	1							1	3		1	3		1	3		1	3.0	100.0	100.0	1		1	2	2		0	1		3
1907	1	1	1	2	1			1			25500	3	0	1							1			1	5		1			2	3.0	100.0	100.0	3		3	2	2	3	0	1		3
1907	1	1	2	4	1			1			15000	10	0	1							1			1			1			1	3.0	100.0	100.0	1		3	2	2		0	1		3
1908	1	1	1	2	1			1			15000	5	0	1							1			1	4		1			3	2.0	100.0	100.0	3		3	2	2		0	1		3
1909	1	1	1	2	72			2	72		74700	4	6	1							2			2	72		1	72	2	3	9.0	100.0	100.0	1		3	2	2	3	0	1		3
1910	1	2																																									3
1911	1	1	1	2	1			1			8000	15	0	1							1			1			1			3	3.0	100.0	100.0	1		1	2	2		1	1		3
1912	1	1	1	2	6	7		6	7		30000	10	0	1							6	7		6	7		1			3	3.0	100.0	100.0	1		1	2	2		0	1		3
1913	1	1	1	2	1			1			12000	30	0	1							1			1			1			2	3.0	100.0	100.0	1		4	2	2		0	1		3
1914	1	1	1	4	1			1			24000	4	2	1							1			2			1			1	6.0	100.0	100.0	1		1	2	5		0	2		3
1915	1	1	1	2	1			1	3	4	50000	12	0	1							1	3	4	1	3	4	1			3	8.0	100.0	100.0	1		1	2	2		0	1		3
1916	1	1	1	30	1			1			80000	10	0	1							1			1			1			3	10.0	100.0	100.0	1		3	2	2		0	1		3
1916	1	1	2	9	1			1			30000	2	0	1							1			1			1			3	10.0	100.0	100.0	1		1	2	2		2	1		3
1917	1	1	1	1	2	1		1			6000	30	0	1							1			1			1			3	3.0	100.0	100.0	1		3	2	2		0	1		3
1918	1	1	1	2	1			1			13550	10	0	1							1			1			1			3	3.0	100.0	100.0	1		4	2	2		0	1		3
1919	1	1	1	31	3			3			9000	0	1	1							3			3			1			3	1.0	100.0	100.0	1		3	2	10		0	1		3
1919	1	1	2	2	3	8		3	8		11000	10	0	1							3	8		3	8		1			3	3.0	100.0	100.0	1		1	2	2		0	1		3
1920	1	1	1	26	1			1			17300	0	9	1							1			1	72		1			1	9.0	100.0	100.0	1	2	1	2	8	2	0	2		3
1920	1	1	2	31	1			1			10000	0	7	1							1			1			1			1	3.0	100.0	100.0	1		3	1	2		0	2		3
1921	1	2																																									3
1922	1	1	1	29	1	2		1			15000	40	0	1							1			1			1	2		2	12.0	100.0	100.0	1		2	2	7	8	0	1		3
1923	1	1	1	21	1			1			80000	16	0	1							1	2		1	2		1			2	12.0	100.0	100.0	1		2	2	8		0	2		3
1924	1	1	1	30	1			1			9000	40	0	1							1	2		1	2		1			1	12.0	100.0	100.0	1		1	2	1		0	1		3
1925	1	1	1	29	1	3		1			60000	6	0	1							1	3		1	3		1			2	12.0	100.0	100.0	1		2	1	7		1	1		3
1925	1	1	2	30	1			1			80000	40	0	1							1	2		1	2		1			2	12.0	100.0	100.0	1		2	1	1		0	1		3
1925	1	1	3	30	1			1			7000	40	0	1							1			1			1			1	12.0	100.0	100.0	1		1	2	1		0	1		3
1926	1	1	1	13	1			1			36000	22	6	1							1			1			1			1	12.0	100.0	100.0	1		1	3	3		0	1		3
1927	1	2																																									3
1928	3	1	1	30	3			3			30000	10	2	1							3			3			1			3	4.0	100.0	100.0	1		2	2	2		0	1		3
1929	1	1	1	26	1			1			4500	2	0	1							1			1			1			1	12.0	100.0	100.0	1		2	2	1		0	1		3
1930	1	1	1	30	1	2		1			30000	25	0	1							1	2	3	1	3		1	2		2	12.0	100.0	100.0	1		2	3	2		0	1		3
1931	1	1	1	31	1			1			80000	5	0	1							1			1			1			3	12.0	100.0	100.0	1		3	2	2		0	1		3
1932	1	2																																									3
