a01	rid	n01	bid	n02	n03a	n03b	n03c	n04a	n04b	n04c	n05	n06a	n06b	n07	n08a	n08b	n08c	n09a	n09b	n09c	n10a	n10b	n10c	n11a	n11b	n11c	n12a	n12b	n12c	n13	n14	n15	n16	n17a	n17b	n18	n19	n20a	n20b	n21	n22a	n22b	sample_type
110	1	1	1	38	1			1			48000	10	4	1							1			1			1			2	12.0	100.0	100.0	1		5	2	12		0	1		2
111	1	2																																									2
112	1	2																																									2
113	3	1	1	38	3			3			65000	4	5	1							3			3			3			3	12.0	100.0	100.0	1		5	1	2		0	1		2
114	1	2																																									2
115	1	2																																									2
116	1	2																																									2
117	1	2																																									2
118	1	1	1	30	1			1			90000	24	11	1							1			1			1			2	12.0	100.0	100.0	1		2	2	1		0	1		2
119	1	1	1	38	1			1			75000	3	6	1							1			1			1			2	12.0	20.0	20.0	3		4	2	2		0	15		2
120	1	1	1	38	1			1			65000	4	3	1							1			1			71			3	12.0	100.0	100.0	3		4	1	12		0	1		2
120	1	1	2	22	2	1		2			12000	2	1	1							2			2			71			1	12.0	100.0	100.0	1		1	2	2		0	1		2
121	4	1	1	30	1			1			24000	6	0	1							1			1			1			2	12.0	100.0	100.0	1		3	2	2		0	1		2
122	1	2																																									2
123	1	2																																									2
124	1	2																																									2
125	1	2																																									2
126	1	2																																									2
127	1	2																																									2
128	1	1	1	29	1			1			15000	0	8	1							1			1	2	3	1			1	8.0	100.0	100.0	1		1	2	8		0	2		2
129	1	1	1	29	1			1			36000	20	6	1							1			1			1			1	12.0	100.0	100.0	1		1	2	1	2	0	1		2
129	1	1	2	38	1			1			14000	10	8	1							1			1			1			1	12.0	100.0	100.0	1		1	2	2		0	1		2
130	1	2																																									2
131	1	2																																									2
132	1	1	1	38	1			1			24000	0	6	1							1			1			1			2	6.0	100.0	100.0	1		4	2	12		0	1		2
133	1	2																																									2
134	1	2																																									2
135	1	2																																									2
136	1	1	1	38	1			1			40000	10	7	1							1			1			1			3	12.0	100.0	100.0	1		4	2	2		0	1		2
137	1	2																																									2
138	1	2																																									2
139	1	2																																									2
140	1	1	1	30	1			1			120000	14	0	1							1			1			1			2	12.0	10.0	100.0	1		3	2	3		0	1		2
141	1	1	1	39	1			1			60000	30	5	1							1	2	5	1	2	5	1			1	12.0	100.0	100.0	1	3	3	2	2	3	0	1		3
142	1	1	1	38	1			1			13000	3	6	1							1			1			1			3	6.0	100.0	100.0	1		1	2	2		0	1		3
143	1	2																																									3
144	1	1	1	2	1			1			5000	4	3	1							1			1			1			3	3.0	100.0	100.0	1		3	2	3		0	1		3
145	1	2																																									3
146	1	2																																									3
147	1	1	1	29	4			4			12000	7	2	1							4			4			4			2	12.0	100.0	100.0	1	4	2	2	2		0	1		3
148	1	2																																									3
149	2	1	1	22	2			2			12000	4	6	1							2			2			1	2		1	12.0	100.0	100.0	1		1	2	2		0	1		3
150	1	2																																									3
151	1	2																																									3
152	1	2																																									3
153	1	2																																									3
154	1	1	1	30	1			1			36000	12	10	1							1			1			1			1	6.0	100.0	100.0	1	4	2	2	2		0	1		3
155	1	2																																									3
156	1	1	1	38	1			1			48000	3	7	1							1			1			1			3	12.0	100.0	100.0	1	4	3	2	2		0	9		3
157	1	1	1	8	1			1			60000	4	5	1							1			1			1			2	4.0	100.0	100.0	1		2	2	2		0	1		3
158	1	1	1	29	1			1			72000	20	2	1							1			1			1			2	12.0	100.0	100.0	1		2	2	2		0	1		3
159	1	2																																									3
160	1	2																																									3
161	1	2																																									2
162	1	2																																									2
163	1	2																																									2
164	1	2																																									2
165	1	2																																									2
166	1	1	1	31	71			3			90000	1	0	1							3			3			71			3	12.0	100.0	100.0	1		3	2	5	6	0	1		2
167	1	1	1	29	1			1			35000	7	5	2	1			1			1			1			1			3	10.0	100.0	100.0	1	4	3	2	2		0	1		2
168	1	2																																									2
169	1	2																																									2
170	1	2																																									2
171	1	2																																									2
172	1	2																																									2
173	1	2																																									2
174	1	2																																									2
175	1	2																																									2
176	1	2																																									2
177	1	2																																									2
178	1	2																																									2
179	1	1	1	38	1			1			48000	8	0	1							1			1			1			3	8.0	100.0	100.0	1	3	2	2	3		0	1		2
180	1	1	1	29	3			3			24000	3	0	1							3			3			71			2	12.0	100.0	100.0	1		2	2	2		0	1		2
181	1	2																																									2
182	1	2																																									2
183	1	2																																									2
184	1	2																																									2
185	1	1	1	29	1			1			80000	40	0	1							1			1			1			2	12.0	100.0	100.0	1		3	2	3		0	1		2
185	1	1	2	29	3			3			40000	5	0	1							3			3			3			2	12.0	100.0	100.0	1		3	2	2	3	0	1		2
185	1	1	3	30	1			1			28000	10	0	1							1			1			1			2	3.0	100.0	100.0	1		3	2	2		0	1		2
186	1	2																																									2
187	1	2																																									2
188	1	2																																									2
189	1	1	1	38	1			1			36000	10	0	1							1			1			1			2	12.0	100.0	100.0	1		3	2	2		0	1		2
190	1	2																																									2
191	1	1	1	26	1			1			80000	30	7	1							1			1	72		1			3	12.0	100.0	100.0	1		4	2	2	3	2	2		2
191	1	1	2	29	8	7		8	7		140000	2	4	1							8	7		8	7		8	7		2	12.0	100.0	100.0	1		4	2	2	3	0	1		2
192	1	1	1	29	1			1			144000	30	7	1							1			1			1			3	12.0	100.0	100.0	1		3	2	2		0	1		2
192	1	1	2	29	2	5		2	5		36000	9	6	1							2	5		2	5		2	5		2	12.0	100.0	100.0	1		3	1	2	1	0	1		2
193	1	1	1	26	1			1			60000	5	6	1							1			1			1			2	12.0	100.0	100.0	1		2	2	2		0	1		2
