a01	q_01	q_02	q_03	q_04	q_05	q_06	q_07	q_08	q_09	q_10	q_11	q_12	q_13	q_14	q_15	q_16	q_17	q_18	q_19	q_20	q_21	sample_type	flag
5131	2	1000		10	0	2	1	2	4	1	3	495.0	2			6	0	4	180.0	1	200	3	
5132	2	1000		3	0	2	2	2	4	1	1	125.0	2			9	0	4	140.0	0		3	
5133	2	4000		16	0	2	1	2	1	1	3	900.0	1	2	700	9	0	1		4	1000	3	
5134	1	1000		30	0	2	1	2	4	1	3	562.0	1	2	120	5	0	1		1	150	3	
5135	1	1000		15	0	2	5	2	4	1	2	432.0	1	2	210	6	0	1		1	200	3	
5136	2	1500		30	0	1	1	2	1	1	2	756.0	1	2	450	5	400	1		1	400	3	
5137	1	3000		20	0	1	1	1	1	1	2	1800.0	1	2	320	9	0	1		1	50	3	
5138	1	4000		30	0	1	1	1	1	1	4	3600.0	1	2	540	9	0	1		2	150	3	
5139	1	1000		11	0	1	1	1	4	1	3	1953.0	1	2	130	5	700	1		1	30	3	
5140	2	5000		50	0	1	1	2	1	1	1	730.0	1	2	300	5	600	1		2	300	3	
5141	1	400		1	0	2	5	2	4	1	2	225.0	2			5	300	4	180.0	0		3	
5142	1	500		50	4	2	5	2	4	1	1	108.0	2			5	240	4	120.0	0		3	
5143	1	400		10	3	3	10	2	4	1	1	157.5	2			5	0	4	180.0	0		3	
5144	1	500		7	1	2	5	2	4	1	1	270.0	2			5	360	4	180.0	1	300	3	
5145	1	500		65	0	2	10	2	4	1	2	324.0	2			5	0	4	240.0	1	100	3	
5146	2	1000		15	0	2	5	2	4	1	1	180.0	2			9	0	4	240.0	1	50	3	
5147	1	2000		90	2	2	5	2	4	1	3	236.0	2			5	300	4	180.0	2	500	3	
5148	1	500		40	2	3	2	2	4	1	2	325.5	1	2	250	5	480	1		1	150	3	
5149	1	200		22	1	3	5	2	4	1	2	150.0	2			9	0	4	120.0	1	50	3	
5150	1	1000		32	0	3	5	2	4	1	1	252.0	1	2	200	5	100	1		1	200	3	
5151	1	1000		13	0	2	1	2	4	1	2	264.0	1	2	100	5	0	1		1	30	3	
5152	1	1000		20	0	3	2	2	4	1	1	252.0	1	2	100	5	360	1		1	400	3	
5153	1	500		20	1	3	2	2	4	1	1	162.0	1	2	61	5	200	1		1	300	3	
5154	2	500		10	0	3	10	2	4	1	2	468.0	1	2	382	5	300	1		1	300	3	
5155	1	60		1	0	4	2	2	4	1	1	157.5	2			5	200	4	120.0	1	300	3	
5156	1	200		12	2	3	4	2	4	1	1	90.0	2			5	240	4	90.0	0		3	
5157	1	400		40	1	3	3	2	4	1	2	270.0	2			5	480	4	240.0	1	100	3	
5158	1	500		2	1	2	1	2	1	2	3	375.0	1	2	292	5	400	1		3	600	3	
5159	1	800		35	0	3	4	2	4	2	4	756.0	2			5	0	4	360.0	1	120	3	
5160	1	300		10	1	3	6	2	4	1	2	216.0	1	2	122	9	360	1		1	100	3	
5161	1	500		40	0	3	2	2	1	1	2	360.0	1	2	215	5	700	1		2	500	3	
5162	1	300		9	0	4	5	2	4	1	2	220.5	1	2	110	9	0	1		1	200	3	
5163	1	500		8	2	2	1	2	1	1	3	648.0	1	2	174	9	0	1		1	300	3	
5164	1	1000		2	0	1	1	2	1	1	1	324.0	1	2	133	5	0	1		1	100	3	
5165	1	500		22	2	2	1	1	1	1	3	396.0	1	2	369	5	700	1		3	500	3	
5166	1	800		7	1	2	1	2	1	2	5	990.0	1	3	365	1		1		1	300	3	
5167	1	1000		2	0	1	1	2	4	1	3	765.0	1	3	180	5	700	1		1	500	3	
5168	1	500		29	0	3	5	2	4	1	2	480.0	1	2	280	5	400	1		1	200	3	
5169	1	1000		30	3	2	1	2	1	1	3	505.0	1	2	200	5	200	1		2	300	3	
5170	1	500		40	0	2	1	2	1	1	3	1368.0	1	2	300	1		1		2	500	3	
5171	1	1000		15	0	1	1	2	1	1	1	270.0	1	2	100	5	300	1		1	250	3	
5172	1	1000		6	1	1	1	1	1	1	2	594.0	1	2	130	9	0	1		2	300	3	
5173	1	200		23	1	3	6	2	4	1	2	288.0	1	3	160	9	0	1		1	100	3	
5174	1	500		25	1	2	1	2	1	1	4	720.0	1	3	388	9	0	1		2	100	3	
5175	1	500		10	1	1	1	2	1	1	2	405.0	2			9	0	4	360.0	2	200	3	
5176	1	800		30	1	1	1	1	1	1	4	385.0	1	3	360	9	0	1		1	150	3	
5177	1	2000		30	0	1	1	2	1	1	2	729.0	1	2	340	5	700	1		1	300	3	
5178	1	200		15	0	3	5	2	4	1	2	202.0	2			9	0	4	132.0	1	100	3	
5179	1	1500		39	0	2	1	2	4	1	3	552.0	2			6	0	4	260.0	1	100	3	
5180	1	2000		12	0	2	2	2	4	1	4	1080.0	1	2	200	5	0	1		2	300	3	
5181	1	1000		3	0	2	2	2	4	2	3	360.0	1	3	100	5	0	1		2	250	3	
5182	1	500		15	0	2	5	2	4	1	2	450.0	2			5	0	4	260.0	0		3	
5183	1	1000		12	0	1	1	2	1	1	3	675.0	1	3	300	10	0	1		2	300	3	
5184	2	200		2	0	2	5	2	4	1	1	121.0	2			5	0	4	130.0	1	200	3	
5185	1	400		2	0	3	11	2	4	1	1	216.0	2			5	0	4	195.0	1	200	3	
5186	1	300		8	0	2	5	2	4	1	2	396.0	1	2	105	10	0	1		0		3	
5187	1	1000		8	0	2	5	2	4	1	2	216.0	2			10	0	4	170.0	1	60	3	
5188	1	1500		2	0	1	1	2	1	1	4	1410.0	1	2	187	9	0	1		2	300	3	
5189	1	300		16	1	3	1	2	4	1	2	202.5	2			9	0	4	186.0	2	150	3	
5190	1	200		4	1	3	5	2	4	1	2	270.0	2			9	0	4	256.0	1	50	3	
5191	1	500		19	2	3	1	2	4	1	2	720.0	1	2	100	9	0	1		1	100	3	
5192	1	1000		18	0	3	5	2	4	1	3	256.9	1	3	160	5	700	1		2	300	3	
5193	1	500		8	0	3	5	2	4	1	2	324.0	2			9	0	4	130.0	0		3	
5194	1	300		12	1	3	6	2	4	1	2	252.0	1	2	105	10	0	1		0		3	
5195	1	100		2	1	3	6	2	4	1	1	135.0	2			9	0	4	64.0	0		3	
5196	1	1500		0	0	1	1	2	1	1	3	675.0	1	3	268	9	0	1		2	300	3	
5197	1	200		2	1	3	6	2	4	1	2	162.0	1	3	130	10	0	1		2	150	3	
5198	1	500		2	0	4	5	2	4	1	1	171.0	2			9	0	4	132.0	1	600	3	
5199	1	500		10	0	4	5	2	4	1	2	216.0	2			9	0	4	132.0	0		3	
5200	1	500		3	0	3	5	2	4	1	2	300.0	1	2	265	5	300	1		0		3	
5201	1	200		2	0	3	5	10	4	1	2	220.0	2			10	0	4	140.0	0		3	
5202	1	300		14	0	2	11	2	4	1	2	267.7	2			10	0	4	140.0	0		3	
5203	1	1000		10	0	1	1	2	4	1	3	478.5	1	2	150	5	0	1		3	750	3	
5204	2	600		2	0	1	5	2	4	1	2	450.0	1	2	200	5	0	1		1	300	3	
5205	1	1000		14	0	2	5	2	4	1	3	486.0	1	2	110	5	600	1		2	400	3	
5206	1	500		5	0	1	1	1	4	1	2	324.0	2			10	0	4	320.0	0		3	
5207	1	1000		15	0	2	1	2	4	1	2	450.0	2			5	300	4	490.0	2	80	3	
5208	1	2000		37	1	1	1	2	1	1	5	1361.25	1	4	320	10	0	1		3	1000	3	
5209	2	500		15	0	3	11	2	4	1	2	288.0	1	2	100	9	0	1		1	200	3	
5210	1	1000		10	0	3	5	2	4	1	3	288.0	2			9	0	4	162.0	1	50	3	
5211	1	500		5	4	2	4	2	1	1	2	216.0	1	2	120	5	600	1		1	300	3	
5212	1	1000		18	0	3	4	2	4	1	2	648.0	2			10	0	4	130.0	0		3	
5213	1	500		10	0	2	5	2	4	1	4	693.0	2			9	0	4	256.0	3	500	3	
5214	1	300		8	1	3	2	2	4	1	3	506.0	1	3	250	9	0	1		3	350	3	
5215	1	300		7	1	3	5	2	4	1	2	216.0	1	3	100	5	600	1		2	400	3	
5216	1	300		6	1	3	5	2	4	1	2	360.0	2			6	0	4	192.0	0		3	
5217	1	200		2	1	3	5	2	4	1	2	324.0	2			9	300	4	192.0	0		3	
5218	1	400		7	1	3	2	2	4	1	2	360.0	1	3	100	9	0	1		2	130	3	
5219	1	500		8	2	3	5	2	4	1	2	360.0	1	3	180	9	0	1		2	400	3	
5220	2	400		21	0	4	4	2	4	1	2	171.0	2			9	0	4	65.0	0		3	
5221	1	600		10	0	2	5	2	4	1	2	288.0	2			9	0	4	90.0	1	200	3	
5222	1	4000		27	0	1	1	1	1	1	8	1620.0	1	2	260	5	0	1		2	500	3	
5223	1	1000		22	0	1	1	2	4	1	4	720.0	1	2	280	5	0	1		2	400	3	
5224	1	500		30	0	3	3	2	4	1	4	396.0	1	2	254	5	0	1		2	300	3	
5225	1	500		10	0	2	5	10	4	1	2	405.0	2			5	0	4	240.0	0		3	
5226	1	1000		7	0	2	1	2	4	1	2	390.0	1	2	133	9	0	1		2	400	3	
5227	1	300		10	0	3	5	2	4	1	2	288.0	1	2	134	5	400	1		1	120	3	
5228	1	1000		7	1	3	2	2	4	1	2	472.0	2			5	500	4	126.0	1	200	3	
5229	1	1000		25	0	3	5	10	4	1	2	216.0	2			5	400	4	94.0	0		3	
5230	1	2000		3	0	2	1	2	4	1	3	600.0	1	2	98	9	0	1		2	300	3	
5231	1	200		5	1	3	5	2	4	1	1	220.5	1	2	100	5	300	1		0		3	
5232	1	1000		8	0	3	1	2	1	1	3	405.0	1	2	98	9	0	1		1	200	3	
5233	1	600		2	1	2	5	2	4	1	3	506.0	1	3	166	9	0	1		2	200	3	
5234	1	300		22	1	3	5	2	4	1	2	405.0	2			9	0	4	192.0	1	50	3	
5235	1	200		2	1	3	4	2	4	1	2	450.0	2			9	0	4	192.0	0		3	
5236	1	1000		5	0	3	5	2	4	1	3	972.0	1	2	110	5	500	1		1	300	3	
5237	1	200		2	1	3	5	2	4	1	1	162.0	2			5	900	4	160.0	0		3	
5238	1	100		4	1	4	6	10	4	1	1	157.5	2			5	300	4	150.0	1	50	3	
5239	1	200		2	1	3	5	2	4	1	2	255.0	2			5	500	4	189.0	1	100	3	
5240	1	300		12	1	3	5	2	4	1	2	382.0	1	3	160	5	800	1		1	100	3	
5241	1	1000		16	0	3	2	2	4	1	2	360.0	1	2	250	5	500	1		2	1000	3	
5242	1	2000		22	0	3	4	2	4	1	5	432.0	1	2	169	5	300	1		4	600	3	
5243	2	800		3	0	3	11	2	4	1	1	144.0	1	2	200	5	450	1		1	300	3	
5244	1	1000		12	0	3	2	2	1	1	1	180.0	2			5	0	4	100.0	0		3	
5245	1	400		15	3	1	1	2	1	1	3	445.5	1	2	240	9	0	1		1	50	3	
5246	1	800		3	0	2	1	2	1	1	3	675.0	1	3	434	5	300	1		1	30	3	
5247	1	1000		3	4	2	1	2	1	1	3	1080.0	1	2	210	9	0	1		2	800	3	
5248	1	1000		10	0	1	1	2	1	1	4	432.0	1	2	420	9	0	1		2	200	3	
5249	1	3000		20	0	2	1	2	1	1	5	900.0	1	2	730	8	300	1		4	600	3	
5250	1	500		3	0	2	10	2	4	1	1	180.0	2			9	0	4	70.0	1	200	3	
5251	1	500		60	2	2	4	2	4	1	2	375.0	1	2	100	5	150	1		1	200	3	
5252	1	500		60	2	2	4	2	4	1	2	450.0	1	2	100	5	170	1		1	150	3	
5253	1	800		7	0	2	1	2	4	1	2	1350.0	1	2	150	5	0	1		2	120	3	
5254	1	600		30	1	2	4	2	4	1	3	540.0	1	3	250	9	0	1		2	100	3	
5255	1	1000		0	3	2	1	2	1	2	4	2676.0	1	3	111	9	0	1		1	400	3	
5256	1	500		15	2	2	4	2	4	1	2	405.0	1	2	100	5	0	1		0		3	
5257	2	300		1	0	3	4	2	4	1	1	175.5	2			9	200	4	100.0	0		3	
5258	1	4000		21	0	3	11	2	4	1	3	360.0	1	2	180	5	400	1		2	300	3	
5259	2	1500		2	0	2	6	2	4	1	2	363.0	1	2	375	5	450	1		1	250	3	
5260	1	5000		8	0	2	1	2	1	1	4	648.0	1	2	200	5	400	1		2	400	3	
5261	2	2000		38	0	2	1	2	1	1	3	252.0	1	2	280	9	0	1		1	60	3	
5262	2	300		9	0	2	10	10	4	1	2	110.25	1	2	150	9	0	1		0		3	
5263	2	4000		38	1	2	1	2	1	1	2	675.0	1	2	200	9	0	1		2	150	3	
5264	2	3000		10	0	1	1	2	1	1	4	280.0	1	2	142	5	100	1		1	100	3	
5265	2	2000		40	0	3	1	2	4	1	2	168.0	2			5	0	4	400.0	0		3	
5266	2	1500		25	0	2	1	2	4	1	2	216.0	2			5	0	4	300.0	1	600	3	
5267	2	800		1	0	3	2	2	4	1	1	108.0	1	2	150	9	0	1		1	50	3	
5268	2	300		6	1	3	4	2	4	1	1	157.5	2			9	0	4	90.0	0		3	
5269	2	600		28	2	3	4	2	4	1	1	180.0	1	2	120	9	0	1		1	50	3	
5270	2	500		20	0	3	1	2	4	1	2	216.0	2			5	100	4	120.0	1	50	3	
5271	2	500		26	2	3	1	2	4	1	2	180.0	2			5	120	4	120.0	0		3	
5272	2	300		13	1	4	5	2	4	1	2	164.0	2			5	200	4	120.0	1	100	3	
5273	2	800		13	0	4	6	10	4	1	1	180.0	1	2	100	6	100	1		1	150	3	
5274	2	600		26	0	3	1	2	4	1	3	288.0	2			5	100	4	120.0	0		3	
5275	2	5000		20	0	2	1	2	1	1	2	506.0	1	2	150	9	0	1		1	125	3	
