a01	mid	b2_01	b2_02	b2_03	b2_04	b2_05	b2_06	b2_07	b2_08	b2_09	b2_10	b2_11	b2_12a	b2_12b	b2_13	b2_14	sample_type
129	3	1		2005	66	2	1.0	1	1	7	6	2	1		9999		2
129	4	1		2011	66	6	0.1	2	1	1	66	9					2
131	3	1		2006	66	1	1.0	1	1	5	5	2	5	6	9999		2
132	3	1		2010	66	1	0.5	1	1	5	1	2	1		9999		2
134	4	1		2000	1	2	2.0	2	2				1		2009	9	2
135	3	1		2009	66	2	0.5	1	1	5	2	2	5	6	9999		2
136	3	1		2003	66	2	1.0	1	1	1	8	2	5		9999		2
136	4	1		2010	66	2	0.5	1	1	6	1	2	1		9999		2
137	3	1		2005	1	2	1.0	1	2				1		2010	6	2
138	2	1		2011	66	1	0.25	2	1	1	66	9					2
140	3	1		2000	66	2	3.5	1	1	1	22	2	1		9999		2
140	4	1		2010	66	1	0.5	1	1	5	1	2	5	6	9999		2
141	3	1		2009	66	2	1.0	1	1	5	2	2	5		9999		3
141	4	1		2010	66	2	1.0	2	1	1	1	2	1		9999		3
143	3	1		2005	66	2	1.0	1	1	1	6	2	1		9999		3
143	4	1		2010	66	1	0.5	1	1	5	1	2	5		9999		3
146	3	1		2006	66	2	0.5	1	1	1	4	1	5		9999		3
146	4	1		2009	66	2	0.5	1	1	5	2	2	5		9999		3
147	5	1		2001	66	2	1.0	1	1	1	10	2	1		9999		3
149	3	1		2007	66	2	0.5	1	1	5	4	2	5		9999		3
151	5	1		2008	66	2	1.0	1	1	5	2	1	1		9999		3
152	2	1		2003	66	2	1.0	1	1	1	8	2	1		9999		3
153	4	1		2003	1	7	2.0	1	1	1	8	2	1		9999		3
154	3	1		2003	66	2	0.5	1	1	7	8	2	7	5	9999		3
154	4	1		2009	66	1	0.5	1	1	5	2	2	5		9999		3
155	3	1		2008	66	1	0.5	1	1	5	3	2	5		9999		3
157	3	1		2008	66	1	0.25	1	1	5	3	2	5		9999		3
158	4	1		1999	1	9	2.0	1	1	1	13	2	8		9999		3
158	5	1		2002	1	2	1.0	1	1	7	9	2	7		9999		3
161	2	1		2009	66	1	0.25	1	1	5	2	2	5		9999		2
162	4	1		2009	66	1	0.25	1	1	5	2	2	5		9999		2
165	2	1		2009	1	2	0.25	1	1	5	3	2	5		9999		2
165	3	1		2011	1	2	0.25	2	1	2	1	9					2
166	4	1		2003	1	2	0.25	1	1	1	9	2	1		9999		2
166	5	1		2008	1	3	0.25	1	1	1	4	2	1		9999		2
166	6	2	1														2
167	3	1		2003	66	1	0.25	2	2				1		2007	3	2
167	4	1		2007	66	1	0.25	1	1	5	4	2	1		9999		2
168	4	1		2003	66	2	0.5	1	1	1	9	2	1		9999		2
