a01	v1_01	pid	v1_02	v1_03	v1_04	v1_05	v1_06	v1_07	v1_08	v1_09	v1_10	v1_11	v1_12	v1_13	v1_14	sample_type
106	1	81	2	4	5	38	1	2	13	1	1		1	1	1	2
106	1	82	3	2	3	16	1	4	5	1	1		1	1	1	2
107	2															2
108	2															2
109	2															2
110	2															2
111	2															2
112	1	81	2	0	8	35	1	99	22	1	1		8	1	1	2
113	2															2
114	1	81	2	4	0	40	1	99	9	1	59		1	1	1	2
115	2															2
116	2															2
117	2															2
118	2															2
119	2															2
120	2															2
121	2															2
122	2															2
123	2															2
124	1	81	2	0	3	25	1	99	11	1	59		1	1	1	2
125	2															2
126	2															2
127	2															2
128	2															2
129	2															2
130	2															2
131	2															2
132	2															2
133	1	81	2	0	1	28	1	9	11	1	1		1	1	2	2
134	2															2
135	2															2
136	2															2
137	2															2
138	1	81	2	8	2	34	1	5	67	1	64		8	1	2	2
139	2															2
140	2															2
141	2															3
142	2															3
143	2															3
144	2															3
145	1	81	2	0	1	40	1	9	21	1	1		1	1	2	3
146	2															3
147	2															3
148	2															3
149	2															3
150	2															3
151	2															3
152	1	81	3	2	2	21	1	8	14	1	59		2	10	2	3
153	2															3
154	2															3
155	2															3
156	2															3
157	2															3
158	2															3
159	2															3
160	1	81	3	0	7	24	1	4	37	1	1		8	1	1	3
161	2															2
162	1	81	3	4	3	25	1	8	21	1	1		1	1	1	2
163	2															2
164	1	81	3	4	6	18	1	6	21	1	1		1	1	1	2
164	1	82	3	0	7	22	2	5	82	1	59		3	4	2	2
165	1	81	3	0	10	14	1	7	13	1	1		1	1	2	2
166	2															2
167	2															2
168	2															2
169	1	81	3	4	2	26	1	12	21	2		38	1	1	1	2
170	2															2
171	2															2
172	2															2
173	1	81	3	0	2	15	1	5	13	1	1		1	3	2	2
173	1	82	3	2	0	20	1	5	13	1	1		1	3	1	2
174	2															2
175	2															2
176	2															2
177	2															2
178	2															2
179	2															2
180	2															2
181	1	81	3	2	3	13	1	7	81	1	59		2	1	2	2
182	2															2
183	1	81	2	0	4	42	1	9	13	1	1		1	1	1	2
184	1	81	2	0	5	45	1	99	11	1	59		1	1	1	2
184	1	82	3	0	1	17	1	5	11	1	59		1	1	1	2
185	2															2
186	1	81	2	0	3	40	1	5	35	1	1		1	1	1	2
186	1	82	11	0	3	30	1	10	11	1	1		1	1	1	2
187	1	81	7	2	2	27	2	9	82	1	61		3	2	2	2
188	2															2
189	2															2
190	2															2
191	2															2
192	1	81	3	1	10	25	2	10	82	1	59		3	2	2	2
193	2															2
194	2															2
195	1	81	2	0	8	62	1	8	13	1	18		1	1	1	2
196	2															2
197	1	81	3	1	2	24	2	12	82	1	1		3	2	2	2
198	2															2
199	2															2
200	2															2
201	2															3
202	1	81	3	0	2	20	1	9	13	2		38	1	4	2	3
202	1	82	3	0	10	22	1	12	81	1	1		2	1	2	3
203	2															3
204	2															3
205	1	81	3	3	0	22	2	10	82	1	59		3	2	2	3
205	1	82	3	2	0	20	1	12	81	1	59		2	2	2	3
206	2															3
207	2															3
208	2															3
209	2															3
210	2															3
211	2															3
212	1	81	3	1	3	20	1	5	21	1	1		1	1	1	3
212	1	82	3	1	2	10	1	4	81	1	1		2	1	2	3
213	1	81	3	3	0	24	1	9	1	2		24	1	2	2	3
213	1	82	3	0	8	25	1	9	1	2		24	1	2	2	3
214	2															3
215	2															3
216	1	81	3	2	5	15	1	5	11	1	1		8	2	1	3
217	1	81	3	0	4	16	2	4	21	1	1		8	2	2	3
217	1	82	3	0	4	14	2	3	21	1	1		8	2	2	3
218	2															3
219	2															3
220	2															3
221	2															2
222	2															2
223	2															2
224	2															2
225	1	81	2	1	5	40	1	6	13	1	59		1	1	1	2
225	1	82	3	1	0	18	1	9	13	1	59		1	1	1	2
225	1	83	3	0	4	16	1	4	13	1	1		1	1	2	2
226	2															2
227	2															2
228	1	81	3	5	4	24	1	8	11	1	1		1	1	1	2
229	2															2
230	2															2
231	2															2
232	2															2
233	2															2
234	1	81	3	0	3	19	1	7	35	1	1		1	2	2	2
235	2															2
236	2															2
237	2															2
238	2															2
239	1	81	3	4	2	33	1	2	11	1	1		1	1	1	2
240	2															2
241	2															2
242	2															2
243	2															2
244	2															2
245	2															2
