a01	v1_01	pid	v1_02	v1_03	v1_04	v1_05	v1_06	v1_07	v1_08	v1_09	v1_10	v1_11	v1_12	v1_13	v1_14	sample_type
1510	2															3
1511	2															3
1512	2															3
1513	2															3
1514	2															3
1515	2															3
1516	2															3
1517	2															3
1518	2															3
1519	2															3
1520	2															3
1521	2															3
1522	1	81	3	1	9	21	2	3	72	1	47		3	2	2	3
1522	1	82	3	0	7	18	1	3	21	1	17		1	2	2	3
1523	2															3
1524	2															3
1525	1	81	3	0	6	16	2	10	81	1	47		3	2	2	3
1526	2															3
1527	2															3
1528	2															3
1529	2															3
1530	2															3
1531	1	81	2	4	6	45	1	8	7	1	1		1	1	1	3
1532	2															3
1533	2															3
1534	2															3
1535	2															3
1536	2															3
1537	2															3
1538	2															3
1539	1	81	2	2	2	40	1	7	37	1	30		3	1	2	3
1540	2															3
1541	2															3
1542	2															3
1543	2															3
1544	2															3
1545	2															3
1546	2															3
1547	2															3
1548	2															3
1549	1	81	3	3	5	30	1	11	13	1	1		1	1	1	3
1549	1	82	3	6	3	24	1	8	13	1	1		1	1	1	3
1550	2															3
1551	2															3
1552	2															3
1553	1	81	3	11	7	19	1	6	13	1	1		1	1	1	3
1554	2															3
1555	2															3
1556	2															3
1557	2															3
1558	2															3
1559	2															3
1560	2															3
1561	1	81	3	1	11	16	2	5	8	1	47		3	8	2	3
1562	2															3
1563	2															3
1564	2															3
1565	2															3
1566	1	81	7	7	2	21	1	8	13	1	1		1	1	1	3
1567	2															3
1568	2															3
1569	2															3
1570	2															3
1571	2															3
1572	2															3
1573	1	81	3	2	9	10	2	3	81	1	47		2	1	2	3
1574	2															3
1575	2															3
1576	2															3
1577	2															3
1578	2															3
1579	1	81	2	2	2	35	1	7	22	1	1		7	1	1	3
1580	2															3
1581	1	81	3	2	2	14	1	99	24	1	1		1	1	2	3
1582	1	81	3	3	1	22	1	4	13	1	1		1	1	2	3
1582	1	82	3	2	3	18	1	6	13	1	1		1	1	2	3
1583	2															3
1584	2															3
1585	2															3
1586	1	81	3	0	6	20	2	7	8	1	48		3	8	2	3
1587	2															3
1588	2															3
1589	2															3
1590	2															3
1591	2															3
1592	2															3
1593	2															3
1594	2															3
1595	2															3
1596	2															3
1597	2															3
1598	2															3
1599	2															3
1600	2															3
1601	2															3
1602	2															3
1603	2															3
1604	2															3
1605	2															3
1606	2															3
1607	2															3
1608	2															3
1609	2															3
1610	2															3
1611	1	81	2	4	3	45	1	5	13	1	15		1	1	1	3
1612	2															3
1613	2															3
1614	2															3
1615	2															3
1616	2															3
1617	1	81	3	4	6	32	1	14	14	1	1		1	1	1	3
1618	2															3
1619	2															3
1620	2															3
1621	2															3
1622	2															3
1623	2															3
1624	1	81	2	4	5	40	1	7	13	2		29	1	4	2	3
1625	2															3
1626	2															3
1627	1	81	2	4	2	36	1	14	8	2		20	1	4	1	3
1628	2															3
1629	1	81	3	3	2	22	1	8	35	2		45	1	4	1	3
1630	2															3
1631	1	81	2	4	6	45	1	5	13	2		20	1	1	1	3
1632	2															3
1633	1	81	3	5	2	24	1	7	72	2		20	1	4	1	3
1634	2															3
1635	2															3
1636	2															3
1637	2															3
1638	1	81	3	5	3	26	1	6	13	2		29	1	4	1	3
1639	2															3
1640	2															3
1641	2															3
1642	2															3
1643	2															3
1644	2															3
1645	2															3
1646	2															3
1647	2															3
1648	2															3
1649	1	81	3	2	2	24	1	10	13	2		30	1	4	1	3
1649	1	82	3	1	2	20	1	12	13	2		30	1	4	1	3
1650	2															3
1651	2															3
1652	1	81	3	12	2	27	1	9	11	2		29	1	4	1	3
1652	1	82	3	4	3	25	1	10	11	2		29	1	4	1	3
1653	2															3
1654	2															3
1655	2															3
1656	2															3
1657	2															3
1658	1	81	3	0	8	26	1	5	13	2		41	1	4	1	3
1659	1	81	2	9	8	42	1	9	12	1	1		1	1	1	3
1660	1	81	2	1	2	45	1	12	51	1	2		8	1	1	3
1661	2															3
1662	1	81	3	15	8	55	1	14	13	1	1		1	1	1	3
1663	2															3
1664	1	81	3	8	6	40	1	10	52	1	1		8	1	1	3
1665	2															3
1666	2															3
1667	2															3
1668	1	81	3	6	8	40	1	6	51	1	1		8	1	1	3
1669	2															3
1670	1	81	2	4	3	42	1	7	11	1	1		1	1	1	3
1671	2															3
1672	2															3
1673	2															3
1674	2															3
1675	2															3
1676	2															3
1677	2															3
1678	2															3
1679	2															3
1680	2															3
1681	1	81	2	2	6	40	1	99	7	2		20	1	4	1	2
1681	1	82	3	1	6	12	1	5	81	1	8		2	2	2	2
1682	1	81	3	0	1	25	1	10	13	2		10	1	2	2	2
1682	1	82	3	0	7	22	1	10	11	2		29	1	4	1	2
1683	2															2
1684	2															2
1685	2															2
1686	2															2
1687	2															2
1688	1	81	3	0	8	25	2	3	13	2		41	1	4	1	2
1689	1	81	3	1	1	20	2	10	12	1	1		1	2	2	2
1690	2															2
1691	2															2
1692	1	81	6	0	2	65	1	9	83	2		10	8	2	2	2
1692	1	82	6	0	2	50	2	8	82	2		10	3	2	2	2
1692	1	83	7	3	11	21	1	12	81	2		10	2	2	2	2
1692	1	84	7	2	0	21	1	12	81	2		10	2	2	2	2
1693	1	81	3	1	1	14	1	6	81	2		10	2	2	2	2
1694	2															2
1695	2															2
1696	1	81	3	1	10	18	1	10	81	1	8		2	2	2	2
1697	2															2
1698	2															2
1699	2															2
1700	1	81	3	3	9	21	1	9	23	1	1		1	2	1	2
1701	2															2
1702	1	81	3	1	7	20	2	10	82	1	34		3	2	2	2
1703	2															2
1704	1	81	3	4	9	22	1	12	81	1	1		2	2	2	2
1705	2															2
1706	2															2
1707	2															2
1708	2															2
1709	1	81	2	0	8	28	1	5	8	1	1		1	1	1	2
1710	1	81	3	0	6	17	1	10	81	1	8		2	2	2	2
1711	1	81	3	4	6	28	1	8	13	2		30	1	4	1	2
1712	2															2
1713	2															2
1714	2															2
1715	2															2
1716	2															2
1717	1	81	3	1	3	25	1	5	13	1	1		1	8	1	2
1718	1	81	3	1	9	19	2	12	82	1	59		3	2	2	2
1719	2															2
1720	2															2
1721	2															2
1722	2															2
1723	1	81	2	0	8	50	1	5	13	1	30		1	1	1	2
1723	1	82	3	0	1	15	1	4	13	1	30		1	2	2	2
1724	2															2
1725	2															2
1726	1	81	2	4	0	28	1	4	13	1	1		1	1	1	2
1727	2															2
1728	1	81	7	0	11	20	2	12	82	1	8		3	2	2	2
1729	2															2
1730	1	81	3	0	5	16	2	4	8	1	1		1	2	2	2
1731	2															2
1732	2															2
1733	2															2
1734	2															2
1735	2															2
1736	1	81	3	3	0	10	1	76	81	1	8		2	2	2	2
1737	1	81	3	0	6	15	1	4	10	1	1		1	2	2	2
1737	1	82	3	1	2	18	2	3	82	1	8		3	2	2	2
1738	1	81	3	3	2	21	2	2	82	1	8		3	2	2	2
1738	1	82	3	1	0	14	1	5	13	1	1		1	2	1	2
1738	1	83	3	0	2	16	2	2	8	1	7		1	2	1	2
1739	2															2
1740	2															2
1741	2															3
1742	2															3
1743	2															3
1744	2															3
1745	2															3
1746	2															3
1747	2															3
1748	2															3
1749	2															3
1750	2															3
1751	2															3
1752	2															3
1753	2															3
1754	2															3
1755	2															3
1756	1	81	1	0	6	38	1	99	11	1	55		1	1	1	3
1756	1	82	3	0	6	11	1	99	21	1	55		1	2	2	3
1757	2															3
1758	1	81	3	1	0	20	2	5	21	1	18		1	2	1	3
1759	2															3
1760	2															3
1761	2															3
1762	2															3
1763	1	81	2	1	6	46	1	99	7	1	18		1	1	1	3
1764	2															3
1765	2															3
1766	2															3
1767	2															3
1768	2															3
1769	2															3
1770	2															3
1771	2															3
1772	2															3
1773	2															3
1774	2															3
1775	1	81	3	0	5	27	1	99	15	2		24	1	8	1	3
1775	1	82	3	0	8	25	1	5	15	2		24	1	8	1	3
1776	2															3
1777	2															3
1778	2															3
1779	2															3
1780	2															3
1781	2															3
1782	1	81	14	30	0	60	2	5	82	2		39	8	2	2	3
1783	2															3
1784	2															3
1785	2															3
1786	2															3
1787	2															3
1788	2															3
1789	2															3
1790	2															3
1791	2															3
1792	2															3
1793	2															3
1794	2															3
1795	2															3
1796	2															3
1797	2															3
1798	2															3
1799	2															3
1800	1	81	2	4	11	45	1	5	32	2		16	1	1	1	3
1801	2															3
1802	2															3
1803	2															3
1804	2															3
1805	2															3
1806	2															3
1807	2															3
1808	2															3
1809	2															3
1810	2															3
1811	2															3
1812	1	81	3	1	6	23	1	5	7	2		38	1	8	1	3
1813	2															3
1814	2															3
1815	1	81	7	0	10	24	1	7	4	2		38	1	2	1	3
1816	1	81	3	0	7	12	1	2	21	1	55		1	2	1	3
1817	2															3
1818	2															3
1819	2															3
1820	1	81	2	8	2	45	1	10	8	2		38	1	1	1	3
1821	2															3
1822	2															3
1823	2															3
1824	2															3
1825	1	81	1	1	0	23	1	2	22	1	57		1	1	1	3
1826	2															3
1827	1	81	3	1	2	15	2	6	15	1	56		1	3	1	3
1828	2															3
1829	2															3
1830	2															3
1831	2															3
1832	1	81	7	3	6	28	1	5	54	1	18		8	1	1	3
1833	2															3
1834	2															3
1835	1	81	3	1	4	17	1	7	21	2		38	1	8	2	3
1836	2															3
1837	2															3
1838	2															3
1839	2															3
1840	2															3
1841	2															3
1842	2															3
1843	2															3
1844	2															3
1845	2															3
1846	2															3
1847	2															3
1848	2															3
1849	2															3
1850	2															3
1851	2															3
1852	2															3
1853	2															3
1854	2															3
1855	2															3
1856	2															3
1857	2															3
1858	2															3
1859	2															3
1860	2															3
1861	1	81	3	4	6	33	1	12	21	2		38	1	7	1	3
1862	2															3
1863	2															3
1864	2															3
1865	2															3
1866	2															3
1867	2															3
1868	1	81	3	2	2	23	1	9	21	2		21	1	9	1	3
1869	2															3
1870	2															3
1871	2															3
1872	2															3
1873	2															3
1874	2															3
1875	2															3
1876	2															3
1877	2															3
1878	1	81	3	1	4	16	1	8	21	1	1		1	2	1	3
1879	2															3
1880	1	81	3	10	0	35	1	5	22	1	56		1	1	1	3
1881	1	81	3	3	1	23	1	12	14	1	23		1	2	1	3
1881	1	82	3	2	6	21	1	10	12	1	55		1	2	1	3
1882	1	81	3	7	2	26	1	12	1	1	56		1	2	2	3
1883	2															3
1884	2															3
1885	2															3
1886	2															3
1887	2															3
1888	2															3
1889	2															3
1890	2															3
1891	2															3
1892	2															3
1893	2															3
1894	2															3
1895	1	81	3	4	5	25	1	5	21	2		20	1	4	1	3
1896	1	81	3	1	6	21	1	5	35	2		38	1	8	1	3
1897	2															3
1898	2															3
1899	2															3
1900	2															3
1901	2															3
1902	2															3
1903	2															3
1904	2															3
1905	2															3
1906	2															3
1907	2															3
1908	2															3
1909	2															3
1910	1	81	3	2	6	28	1	7	72	2		38	1	2	1	3
1910	1	82	3	3	3	25	1	7	24	2		38	1	7	1	3
1911	2															3
1912	2															3
1913	2															3
1914	2															3
1915	2															3
1916	2															3
1917	2															3
1918	2															3
1919	2															3
1920	2															3
1921	1	81	4	3	6	32	1	8	1	2		38	1	8	1	3
1922	2															3
1923	2															3
1924	2															3
1925	2															3
1926	1	81	3	2	9	20	1	12	46	1	1		2	10	1	3
1927	2															3
1928	1	81	3	3	0	22	1	8	1	2		38	1	7	1	3
1929	2															3
1930	1	81	3	0	7	19	2	5	82	1	46		3	1	2	3
1931	2															3
1932	1	81	2	2	3	38	1	10	13	1	1		1	1	1	3
1933	2															3
1934	2															3
1935	2															3
1936	2															3
1937	1	81	7	3	4	45	1	9	1	2		20	1	2	1	3
1938	2															3
1939	2															3
1940	1	81	3	0	4	26	1	10	1	1	1		1	1	1	3
1941	2															3
1942	2															3
1943	2															3
1944	2															3
1945	2															3
1946	1	81	7	4	0	22	2	9	82	1	46		3	8	2	3
1947	2															3
1948	2															3
1949	2															3
1950	2															3
1951	1	81	3	0	3	17	1	10	81	1	45		2	3	1	3
1952	2															3
1953	1	81	3	4	0	18	2	6	82	1	46		3	4	2	3
1954	2															3
1955	2															3
1956	2															3
1957	2															3
1958	2															3
1959	2															3
1960	2															3
1961	2															3
1962	2															3
1963	2															3
1964	2															3
1965	2															3
1966	2															3
1967	1	81	3	3	2	25	1	10	13	2		29	1	8	1	3
1968	2															3
1969	2															3
1970	2															3
1971	2															3
1972	2															3
1973	2															3
1974	2															3
1975	2															3
1976	2															3
1977	2															3
1978	2															3
1979	2															3
1980	2															3
1981	1	81	2	10	4	50	1	4	13	1	1		1	3	1	3
1982	2															3
1983	2															3
1984	2															3
1985	2															3
1986	2															3
1987	2															3
1988	2															3
1989	2															3
1990	1	81	2	4	3	30	1	10	13	1	1		1	1	1	3
1991	1	81	2	11	6	30	1	8	13	1	1		1	1	1	3
1992	2															3
1993	2															3
1994	2															3
1995	2															3
1996	2															3
1997	2															3
1998	2															3
1999	1	81	2	4	2	25	1	99	22	1	1		8	1	1	3
2000	2															3
2001	2															3
2002	2															3
2003	2															3
2004	2															3
2005	2															3
2006	2															3
2007	1	81	3	6	3	29	1	10	12	1	7		1	1	1	3
2007	1	82	3	12	10	40	1	12	13	1	1		1	1	1	3
2008	1	81	2	15	2	41	1	12	12	1	1		1	1	1	3
2009	2															3
2010	2															3
2011	2															3
2012	2															3
2013	2															3
2014	1	81	2	2	4	47	1	4	1	1	1		1	4	1	3
2015	2															3
2016	2															3
2017	2															3
2018	2															3
2019	2															3
2020	2															3
2021	2															3
2022	2															3
2023	2															3
2024	2															3
2025	2															3
2026	2															3
2027	2															3
2028	2															3
2029	2															3
2030	2															3
2031	2															3
2032	2															3
2033	2															3
2034	2															3
2035	2															3
2036	2															3
2037	1	81	3	10	2	30	2	6	13	1	1		1	3	1	3
2037	1	82	3	6	3	24	2	4	13	1	1		1	3	1	3
2038	1	81	3	8	4	25	2	7	13	1	1		1	3	1	3
2038	1	82	3	7	3	20	2	2	13	1	1		1	3	1	3
2039	2															3
2040	2															3
2041	2															3
2042	2															3
2043	1	81	2	1	6	50	1	5	13	1	1		1	1	1	3
2044	1	81	3	3	2	50	1	8	13	1	12		1	1	1	3
2045	2	81	3	5	6	28	1	10	13	1	1		1	1	1	3
2046	2															3
2047	1	81	1	18	4	52	1	8	13	1	1		1	3	1	3
2047	1	82	3	4	2	27	1	10	13	1	1		1	3	1	3
2048	2															3
2049	2															3
2050	2															3
2051	2															3
2052	2															3
2053	2															3
2054	2															3
2055	2															3
2056	2															3
2057	2															3
2058	2															3
2059	2															3
2060	1	81	2	2	4	62	1	4	13	2		29	1	4	1	3
2061	2															3
2062	2															3
2063	2															3
2064	2															3
2065	1	81	3	5	4	28	1	14	46	1	1		1	1	1	3
2066	2															3
2067	1	81	2	3	6	45	1	12	13	2		12	1	1	1	3
2068	2															3
2069	2															3
2070	2															3
2071	2															3
2072	2															3
2073	2															3
2074	1	81	2	2	4	36	1	3	22	1	18		1	4	1	3
2075	2															3
2076	2															3
2077	2															3
2078	2															3
2079	2															3
2080	2															3
2081	2															2
2082	2															2
2083	2															2
2084	2															2
2085	2															2
2086	2															2
2087	2															2
2088	2															2
2089	2															2
2090	2															2
2091	2															2
2092	2															2
2093	2															2
2094	1	81	3	3	9	26	2	12	82	1	30		3	8	2	2
2095	2															2
2096	2															2
2097	2															2
2098	2															2
2099	2															2
2100	2															2
2101	1	81	3	11	3	35	1	12	13	2		30	1	8	1	2
2102	2															2
2103	2															2
2104	1	81	2	2	4	30	1	6	21	1	30		1	1	1	2
2105	2															2
2106	2															2
2107	2															2
2108	2															2
2109	2															2
2110	2															2
2111	2															2
2112	2															2
2113	2															2
2114	1	81	3	3	3	22	1	10	7	2		30	1	5	1	2
2115	1	81	3	1	2	22	2	10	82	1	17		3	5	2	2
2115	1	82	3	1	1	20	1	10	81	1	30		2	1	2	2
2116	2															2
2117	2															2
2118	2															2
2119	1	81	3	1	3	35	1	14	13	2		30	1	6	1	2
2120	1	81	2	0	7	40	1	12	13	2		30	1	3	1	2
2121	2															2
2122	2															2
2123	2															2
2124	1	81	3	3	6	24	1	9	13	2		20	1	4	1	2
2125	1	81	2	0	9	32	1	10	12	1	5		1	1	1	2
2126	1	81	3	3	1	23	1	10	12	1	1		1	1	1	2
2127	2															2
2128	2															2
2129	2															2
2130	2															2
2131	2															2
2132	2															2
2133	2															2
2134	2															2
2135	2															2
2136	2															2
2137	1	81	2	4	6	36	1	5	13	2		20	1	8	1	2
2137	1	82	3	0	4	11	1	2	81	1	30		2	1	2	2
2138	1	81	3	1	8	19	2	12	81	1	30		2	1	2	2
2139	2															2
2140	1	81	3	4	2	27	2	7	13	2		10	1	6	1	2
2141	2															2
2142	2															2
2143	2															2
2144	2															2
2145	2															2
2146	2															2
2147	2															2
2148	2															2
2149	2															2
2150	2															2
2151	2															2
2152	2															2
2153	2															2
2154	2															2
2155	1	81	2	11	9	32	1	12	12	1	34		1	1	1	2
2156	2															2
2157	2															2
2158	2															2
2159	2															2
2160	2															2
2161	2															2
2162	1	81	3	0	6	25	2	10	8	1	1		1	1	2	2
2163	2															2
2164	2															2
2165	2															2
2166	1	81	2	4	4	44	1	10	13	2		29	1	3	1	2
2167	2															2
2168	2															2
2169	1	81	2	4	2	50	1	8	12	1	1		1	1	2	2
2170	2															2
2171	1	81	2	2	5	45	1	8	13	1	61		1	1	2	2
2172	2															2
2173	1	81	3	4	8	35	1	5	8	1	61		1	1	1	2
2173	1	82	3	3	9	24	1	5	8	1	18		1	1	1	2
2174	1	81	3	4	2	40	1	14	13	1	1		1	2	1	2
2174	1	82	3	3	9	35	1	8	8	2		38	1	3	1	2
2174	1	83	3	4	1	25	1	12	13	1	1		1	2	1	2
2175	2															2
2176	1	81	3	3	10	27	1	5	8	2		20	1	4	1	2
2176	1	82	3	2	0	22	1	6	36	1	1		1	4	1	2
2177	2															2
2178	2															2
2179	2															2
2180	1	81	3	4	11	30	1	99	13	1	1		1	1	1	2
2180	1	82	3	4	11	27	1	99	13	1	1		1	1	1	2
2180	1	83	3	1	0	21	1	99	13	1	1		1	1	1	2
2181	2															2
2182	1	81	3	4	7	32	1	10	8	1	18		1	1	1	2
2183	2															2
2184	2															2
2185	2															2
2186	1	81	3	0	2	25	1	2	9	1	29		1	4	2	2
2186	1	82	3	0	2	18	1	4	8	1	1		1	4	1	2
2187	1	81	3	0	8	21	1	12	13	2		29	1	4	1	2
2188	1	81	3	0	2	18	1	3	36	2		41	1	5	2	2
2189	2															2
2190	1	81	3	2	6	48	1	99	51	1	29		1	1	1	2
2190	1	82	3	1	2	18	1	5	8	1	29		1	1	2	2
2191	2															2
2192	2															2
2193	2															2
2194	2															2
2195	1	81	3	0	8	19	1	9	7	2		30	1	4	1	2
2196	2															2
2197	2															2
2198	2															2
2199	1	81	3	4	10	70	1	4	51	1	29		1	1	1	2
2200	2															2
2201	2															2
2202	1	81	3	0	11	19	1	12	81	1	31		2	2	2	2
2203	2															2
2204	2															2
2205	2															2
2206	2															2
2207	2															2
2208	1	81	7	10	3	30	1	9	9	2		29	1	8	1	2
2209	2															2
2210	2															2
2211	2															2
2212	2															2
2213	2															2
2214	2															2
2215	2															2
2216	2															2
2217	2															2
2218	2															2
2219	2															2
2220	2															2
2221	2															2
2222	1	81	3	1	3	18	1	12	81	1	30		2	2	2	2
2223	2															2
2224	1	81	3	4	6	30	1	6	36	2		29	1	5	1	2
2225	2															2
2226	2															2
2227	2															2
2228	2															2
2229	2															2
2230	2															2
2231	2															2
2232	2															2
2233	2															2
2234	2															2
2235	2															2
2236	2															2
2237	2															2
2238	2															2
2239	2															2
2240	2															2
2241	1	81	3	7	3	22	1	15	81	1	37		2	2	2	2
2242	2															2
2243	2															2
2244	2															2
2245	2															2
2246	2															2
2247	2															2
2248	2															2
2249	2															2
2250	2															2
2251	2															2
2252	2															2
2253	2															2
2254	2															2
2255	2															2
2256	2															2
2257	2															2
2258	2															2
2259	2															2
2260	2															2
2261	2															3
2262	2															3
2263	2															3
2264	1	81	2	2	6	35	1	5	37	1	18		8	1	1	3
2265	2															3
2266	2															3
2267	2															3
2268	2															3
2269	1	81	2	5	0	39	1	99	22	1	18		8	1	1	3
2270	2															3
2271	2															3
2272	2															3
2273	2															3
2274	1	81	2	0	5	30	1	9	1	1	21		1	1	1	3
2275	1	81	3	1	4	15	1	7	5	1	7		2	1	2	3
2275	1	82	3	1	2	13	1	5	5	1	7		2	1	2	3
2276	2															3
2277	2															3
2278	2															3
2279	1	81	2	1	2	40	1	99	11	1	18		1	1	1	3
2280	2															3
2281	1	81	3	0	4	26	1	15	20	1	29		1	1	1	2
2282	2															2
2283	1	81	2	7	2	35	1	14	14	1	64		1	1	1	2
2284	2															2
2285	2															2
2286	2															2
2287	1	81	3	1	3	32	1	5	1	1	29		1	1	1	2
2288	2															2
2289	2															2
2290	2															2
2291	2															2
2292	2															2
2293	2															2
2294	1	81	3	0	3	22	1	5	1	2		10	1	1	2	2
2295	2															2
2296	2															2
2297	2															2
2298	2															2
2299	1	81	4	0	6	36	1	14	20	1	62		1	1	1	2
2300	2															2
2301	2															2
2302	2															2
2303	2															2
2304	2															2
2305	2															2
2306	2															2
2307	2															2
2308	2															2
2309	2															2
2310	2															2
2311	2															2
2312	2															2
2313	2															2
2314	2															2
2315	2															2
2316	2															2
2317	2															2
2318	2															2
2319	2															2
2320	2															2
2321	2															2
2322	2															2
2323	2															2
2324	2															2
2325	1	81	2	1	1	30	1	8	12	1	30		1	1	1	2
2326	2															2
2327	1	81	3	5	6	26	1	8	13	1	2		1	1	1	2
2328	2															2
2329	2															2
2330	2															2
2331	2															2
2332	2															2
2333	2															2
2334	2															2
2335	2															2
2336	1	81	3	1	4	15	1	7	13	1	29		1	1	1	2
2337	2															2
2338	2															2
2339	1	81	3	1	0	21	2	9	82	1	29		3	5	2	2
2340	2															2
2341	2															3
2342	1	81	3	11	10	34	1	16	13	1	57		1	2	1	3
2343	2															3
2344	2															3
2345	2															3
2346	2															3
2347	2															3
2348	2															3
2349	2															3
2350	1	81	3	1	3	20	1	12	81	1	14		2	8	2	3
2351	2															3
2352	2															3
2353	2															3
2354	2															3
2355	2															3
2356	2															3
2357	2															3
2358	1	81	3	8	2	43	2	99	1	1	55		1	1	1	3
2359	2															3
2360	1	81	3	1	6	28	1	99	15	2		38	1	7	1	3
2361	2															3
2362	2															3
2363	2															3
2364	2															3
2365	2															3
2366	2															3
2367	2															3
2368	2															3
2369	2															3
2370	2															3
2371	2															3
2372	2															3
2373	2															3
2374	2															3
2375	2															3
2376	2															3
2377	2															3
2378	2															3
2379	2															3
2380	2															3
2381	2															3
2382	2															3
2383	2															3
2384	1	81	3	15	0	36	1	14	1	1	55		1	1	1	3
2384	1	82	4	5	0	27	2	9	1	1	55		1	1	1	3
2385	2															3
2386	1	81	14	12	0	32	1	10	12	1	25		1	1	1	3
2387	1	81	2	8	0	38	1	14	12	1	58		1	1	1	3
2388	2															3
2389	2															3
2390	2															3
2391	2															3
2392	2															3
2393	2															3
2394	2															3
2395	2															3
2396	2															3
2397	2															3
2398	2															3
2399	2															3
2400	2															3
2401	2															3
2402	2															3
2403	2															3
2404	1	81	3	0	7	25	1	5	8	2		24	1	2	2	3
2405	2															3
2406	2															3
2407	2															3
2408	2															3
2409	2															3
2410	2															3
2411	2															3
2412	2															3
2413	2															3
2414	2															3
2415	1	81	2	1	3	41	1	7	51	1	55		8	1	1	3
2416	1	81	2	2	0	48	1	3	8	1	1		1	1	1	3
2417	2															3
2418	2															3
2419	2															3
2420	2															3
2421	2															3
2422	1	81	2	2	0	32	1	4	8	1	1		1	1	1	3
2423	2															3
2424	2															3
2425	2															3
2426	2															3
2427	2															3
2428	2															3
2429	2															3
2430	2															3
2431	2															3
2432	2															3
2433	1	81	3	5	3	24	1	10	23	2		22	1	7	1	3
2434	1	81	2	4	2	38	1	8	8	1	1		1	1	1	3
2435	2															3
2436	2															3
2437	1	81	3	2	6	28	1	8	12	1	1		1	1	1	3
2438	2															3
2439	2															3
2440	2															3
2441	1	81	3	12	7	21	1	10	12	1	18		1	2	1	3
2442	1	81	3	10	5	23	1	9	21	1	1		1	1	1	3
2443	2															3
2444	2															3
2445	2															3
2446	2															3
2447	2															3
2448	2															3
2449	2															3
2450	2															3
2451	2															3
2452	2															3
2453	2															3
2454	2															3
2455	2															3
2456	2															3
2457	2															3
2458	2															3
2459	2															3
2460	2															3
2461	2															3
2462	2															3
2463	2															3
2464	2															3
2465	2															3
2466	2															3
2467	2															3
2468	2															3
2469	2															3
2470	2															3
2471	1	81	3	3	0	28	1	12	1	1	6		1	1	1	3
2471	1	82	4	1	0	36	1	10	1	1	14		1	1	1	3
2472	2															3
2473	2															3
2474	1	81	2	8	2	29	1	2	33	1	14		1	1	1	3
2475	2															3
2476	2															3
2477	2															3
2478	2															3
2479	1	81	2	0	4	27	1	10	8	1	1		1	1	1	3
2480	2															3
2481	1	81	3	0	4	19	1	99	1	1	14		1	1	2	3
2482	1	81	3	1	6	13	2	3	15	1	1		8	1	2	3
2483	2															3
2484	1	81	6	8	0	55	1	2	7	1	1		8	1	1	3
2485	1	81	2	4	2	40	1	99	8	1	6		1	1	1	3
2486	1	81	3	3	4	18	2	8	15	1	1		1	1	1	3
2487	2															3
2488	1	81	1	2	4	30	1	8	13	1	1		1	1	1	3
2489	2															3
2490	2															3
2491	1	81	3	0	1	13	2	4	15	1	1		1	1	2	3
2492	2															3
2493	2															3
2494	2															3
2495	1	81	3	3	2	24	1	5	8	1	1		1	1	2	3
2496	2															3
2497	2															3
2498	1	81	2	15	0	32	1	99	1	1	25		1	1	1	3
2499	1	81	2	6	0	17	2	99	13	1	1		1	1	2	3
2500	1	81	2	0	1	40	1	99	22	1	55		1	1	2	3
2501	2															3
2502	2															3
2503	2															3
2504	2															3
2505	2															3
2506	2															3
2507	2															3
2508	2															3
2509	2															3
2510	2															3
2511	1	81	7	5	2	15	1	5	1	1	1		8	9	1	3
2512	1	81	3	10	2	20	1	6	13	1	1		1	1	1	3
2512	1	82	3	5	6	18	1	0	1	1	21		8	1	1	3
2512	1	83	3	2	2	15	1	6	13	1	1		1	1	1	3
2513	2															3
2514	2															3
2515	2															3
2516	2															3
2517	2															3
2518	1	81	3	15	2	30	1	1	13	1	1		1	1	1	3
2519	2															3
2520	2															3
2521	2															3
2522	2															3
2523	2															3
2524	1	81	3	5	2	30	1	5	72	1	44		1	3	1	3
2525	2															3
2526	2															3
2527	2															3
2528	2															3
2529	1	81	3	9	11	35	1	4	37	2		29	1	2	1	3
2529	1	82	3	3	11	26	1	2	1	2		29	1	2	1	3
2530	1	81	2	10	2	35	2	99	1	1	45		8	1	1	3
2530	1	82	11	0	7	25	2	12	37	1	1		2	1	2	3
2531	2															3
2532	2															3
2533	2															3
2534	1	81	3	3	2	24	1	99	1	1	25		8	1	1	3
2535	2															3
2536	2															3
2537	2															3
2538	2															3
2539	2															3
2540	2															3
2541	2															3
2542	2															3
2543	2															3
2544	2															3
2545	1	81	7	28	2	55	1	12	12	1	48		1	1	1	3
2545	1	82	7	3	4	48	1	12	12	1	18		1	1	1	3
2545	1	83	7	6	6	45	1	16	14	1	54		1	1	1	3
2546	1	81	7	10	2	27	1	10	13	2		29	1	8	1	3
2546	1	82	7	4	2	22	1	12	81	1	17		2	8	2	3
2547	2															3
2548	2															3
2549	2															3
2550	2															3
2551	2															3
2552	2															3
2553	2															3
2554	2															3
2555	2															3
2556	2															3
2557	2															3
2558	2															3
2559	2															3
2560	2															3
2561	2															3
2562	2															3
2563	2															3
2564	2															3
2565	2															3
2566	2															3
2567	2															3
2568	2															3
2569	2															3
2570	2															3
2571	1	81	2	0	6	40	1	2	22	1	1		8	1	1	3
2572	2															3
2573	2															3
2574	2															3
2575	2															3
2576	2															3
2577	1	81	2	12	0	28	1	8	13	1	1		1	1	1	3
2578	2															3
2579	2															3
2580	2															3
2581	2															3
2582	2															3
2583	2															3
2584	2															3
