a01	plotid	g01	g02	g03	g04	g05	g06	g07	g08a	g08b	g08c	g09a	g09b	g09c	g10	g11	g12	g13a	g13b	g13c	g14	g15a	g15b	g15c	g16a	g16b	g16c	g17a	g17b	g17c	g18a	g18b	g18c	g19a	g19b	g19c	flag	sample_type
28	4	2	45.0	250.0	0.0	5	2		1			1			1000000	1	2006	1			1	1			1			1			1			1				2
28	5	2	37.0	500.0	0.0	5	2		1			1			700000	1	2004	1			1	1			1			1			1			1				2
28	6	2	45.0	1000.0	0.0	5	4		72			72			1500000	6	2010	1			1	1			1			1			1			1				2
28	7	2	12.0	0.0	0.0	5	2		1			1			150000	3	1998	1			1	1			1			1			1			1				2
28	8	2	10.0	50.0	0.0	5	12		72			72			110000	6	1998	1			1	1			1			1			1			1				2
29	1	1	9.0	0.0	0.0	4			1			1			108000	1	2004	1			4																	2
29	2	8	5.0	20.0	3.0	4	2		1			1			50000	1	2004	1			2	1			1			1			1			1				2
29	3	7	2.0	1000.0	0.0	4	1		1			1			200000	1	2000	1			6																	2
30	1	1	12.0	0.0	0.0	5			1			1			300000	3	1990	1			4																	2
30	2	2	25.0	300.0	0.0	5	6	125.0	4			4			625000	3	1971	72			1	72			72			72			72			72				2
30	3	4	8.0	200.0	0.0	5	1		1			1			200000	1	2004	1			5																	2
30	4	8	5.0	0.0	0.0	5	2		1			1			100000	1	2004	1			2	1			1			1			1			1				2
31	1	1	10.0	0.0	0.0	4			1			1			100000	2	1981	1			4																	2
31	2	2	18.0	500.0	2.0	4	4		72			72			300000	6	2011	1			1	1			1			1			1			1				2
31	3	2	26.0	350.0	2.0	5	4		72			72			400000	6	2009	1			1	1			1			1			1			1				2
31	4	2	13.0	350.0	2.0	4	4		72			72			300000	6	2010	1			1	1			1			1			1			1				2
31	5	8	10.0	20.0	7.0	1	12		1			1			50000	6	1981	1			2	1			1			1			1			1				2
32	1	1	10.0	0.0	0.0	4			1			72			250000	3	1990	1			4																	2
33	1	1	20.0	0.0	0.0	4			1			1			200000	3	1980	1			4																	2
33	2	2	10.0	200.0	1.0	4	2		1			1			700000	3	1980	1			1	1			1			1			1			1				2
33	3	2	50.0	500.0	1.0	4	4		72			72			300000	6	2008	1			1	1			1			1			1			1				2
33	4	2	25.0	600.0	1.0	4	4		72			72			150000	6	2008	1			1	1			1			1			1			1				2
34	1	1	20.0	0.0	0.0	4			4			4			400000	1	1991	1	4		4																	2
34	2	9	5.0	10.0	3.0	4	1		4			4			100000	1	1991	1	4		7																	2
35	1	1	19.0	0.0	0.0	4			1			4			750000	5	1998	1			4																	2
36	1	1	6.0	0.0	0.0	4			1			72			300000	3	2001	1			4																	2
36	2	2	18.0	100.0	2.0	4	2		1			72			300000	3	2001	1			2	1			1			1			1			1				2
36	3	2	30.0	100.0	2.0	4	4		72			72			500000	6	2009	1			2	1			1			1			1			1				2
36	4	8	40.0	50.0	10.0	1	3	266.0	72			72			1000000	6	2010	1			1	1			1			1			1			1				2
